t_ur, ur1, ur2, ur3
0.000000, -11.339960, -2.440502, 0.813114
0.020000, -10.317926, -1.930027, -1.230881
0.040000, -11.339824, -0.908245, -0.209202
0.060000, -11.850559, -1.419156, -0.208922
0.080000, -10.828671, -1.418879, 0.813319
0.100000, -10.318058, -1.418765, 1.323809
0.120000, -11.850722, -0.907821, -0.209158
0.140000, -11.850748, -0.908128, 0.812934
0.160000, -10.317226, -0.907919, 1.323946
0.180000, -10.828467, -1.418502, -0.719278
0.200000, -10.828928, -2.440730, 0.813370
0.220000, -10.318631, -2.441067, 1.324564
0.240000, -10.828432, -0.908519, -0.719883
0.260000, -10.829464, -1.930264, 1.324242
0.280000, -10.828991, -1.929765, 0.813550
0.300000, -9.806952, -2.440763, 0.813231
0.320000, -11.339803, -0.397202, 2.346518
0.340000, -9.806312, -0.907402, 0.301890
0.360000, -10.318010, -1.418937, -0.209390
0.380000, -10.828816, -1.418694, 0.301875
0.400000, -10.828979, -2.440785, 8.478160
0.420000, -11.339591, -0.907376, -0.208852
0.440000, -10.317472, -2.440806, 0.813125
0.460000, -11.850560, -1.930307, 0.812824
0.480000, -10.829106, -1.419020, 0.813019
0.500000, -11.851175, -1.419069, 1.835225
0.520000, -10.317778, -1.929564, 0.813516
0.540000, -11.340301, -1.418564, 1.324155
0.560000, -10.829272, -1.419020, 0.813087
0.580000, -10.317616, -1.929654, -0.208715
0.600000, -11.850899, -0.907594, 0.302112
0.620000, -11.339573, -1.418969, -0.209270
0.640000, -10.317921, -1.929721, 0.302147
0.660000, -10.318054, -0.907433, 2.345942
0.680000, -10.318149, -0.908357, -0.208658
0.700000, -9.807374, -0.397116, 1.324310
0.720000, -10.828559, -1.930168, 1.323925
0.740000, -10.317735, -0.908590, 1.323850
0.760000, -11.339736, -1.930099, 0.812705
0.780000, -9.807138, -1.418603, -0.208784
0.800000, -11.850856, -1.419036, -0.208649
0.820000, -10.318223, -2.440940, 0.302538
0.840000, -10.318035, -1.929760, -0.209365
0.860000, -10.318098, -0.908010, 1.324518
0.880000, -10.318102, -4.995931, 0.813159
0.900000, -10.828970, -0.908087, 1.323554
0.920000, -9.807141, -0.396700, 1.324020
0.940000, -11.339969, -1.929930, -0.209232
0.960000, -11.339665, -0.908192, 1.835050
0.980000, -11.340433, -2.440531, -0.719668
1.000000, -10.318350, -1.418972, 1.835682
