t_ur, ur1, ur2, ur3
0.000000, -0.097183, 0.114431, -0.207987
0.020000, -0.608833, -0.396651, 0.813858
0.040000, -0.097827, 0.114317, -0.208067
0.060000, -0.097826, -0.908657, 0.814012
0.080000, -0.096975, -0.397159, 0.303072
0.100000, -0.097886, -0.396650, 0.303286
0.120000, -0.097543, 0.114405, 0.302968
0.140000, -0.608808, -0.396954, 0.302917
0.160000, 0.412748, -0.396519, 0.813598
0.180000, -0.098122, -0.397210, 0.303466
0.200000, -0.097367, -0.396828, 0.303456
0.220000, -0.608970, -0.397070, 0.302665
0.240000, -0.097920, -0.396789, 0.303008
0.260000, 0.413385, 0.113634, 0.813858
0.280000, -0.608543, 0.113366, 0.303400
0.300000, -0.097221, -0.396111, 0.302812
0.320000, -0.097845, -0.396904, 0.302736
0.340000, -0.097852, 0.113361, 0.302796
0.360000, -0.097896, 0.113933, -0.208525
0.380000, -0.097685, 0.113825, 1.325197
0.400000, -0.097573, 0.114056, 0.302880
0.420000, -0.097732, 0.113800, 0.813742
0.440000, -0.097086, 0.625191, 0.302994
0.460000, -0.097200, 0.113855, 0.814283
0.480000, -0.097710, 0.113733, 0.303214
0.500000, -0.608217, -0.397534, 0.302620
0.520000, -0.098116, -0.907403, 0.303287
0.540000, 0.413139, -0.396742, 0.303033
0.560000, -0.097387, -0.396758, 0.303218
0.580000, -0.098173, 0.114085, 0.813256
0.600000, -0.097481, -0.397020, 0.303081
0.620000, -0.097965, 0.113722, 0.813669
0.640000, -0.097481, 0.113894, 0.303158
0.660000, -0.097141, -0.397019, 0.302837
0.680000, 0.413529, -0.396953, 0.813864
0.700000, 0.413435, 0.113937, 0.302861
0.720000, 0.413397, 0.114305, 0.303089
0.740000, -0.097845, -0.396656, -0.208139
0.760000, -0.097717, -0.397509, 0.303288
0.780000, 0.413452, 0.113850, 0.814138
0.800000, -0.097675, 0.113872, 0.302365
0.820000, -0.098061, -0.396903, 0.302888
0.840000, -0.097433, -0.397162, 0.302854
0.860000, -0.097440, 0.113874, 0.303089
0.880000, -0.097400, 0.625350, 0.302183
0.900000, -0.097557, -0.397045, 0.302415
0.920000, -0.097427, 0.113726, 0.302875
0.940000, -0.097524, -0.396703, 0.302533
0.960000, -0.097943, 0.113824, 0.302848
0.980000, -0.097872, -0.396346, 0.813819
1.000000, 0.413525, 0.114092, 0.814280
1.020000, -0.096956, 0.114196, 0.302824
1.040000, -0.097940, -0.397371, -0.207775
1.060000, -0.098419, 0.114028, 0.302931
1.080000, -0.097487, 0.114194, 0.302809
1.100000, -0.097923, -0.397274, -0.208049
1.120000, -0.098171, 0.113592, 0.303023
1.140000, 0.413532, 0.114453, 0.302626
1.159999, -0.097155, 0.114083, 0.303205
1.179999, 0.413349, -0.396709, -0.207514
1.199999, -0.097642, 0.113825, 0.303194
1.219999, -0.097992, -0.397071, -0.208049
1.239999, -0.097183, -0.397209, 0.302928
1.259999, -0.097806, -0.396839, 0.302670
1.279999, 0.413258, -0.396961, 3.368937
1.299999, -0.608634, -0.397249, 0.303028
1.319999, -0.097686, -0.907661, -0.208043
1.339999, -0.608960, 0.113494, -0.208421
1.359999, -0.097808, 0.113982, 0.302298
1.379999, -0.609060, 0.113911, -0.207937
1.399999, -0.097753, 0.113904, -0.719145
1.419999, -0.097658, 0.114357, 0.303178
1.439999, -0.097352, -0.397090, -0.208592
1.459999, 0.413547, 0.113450, 0.302527
1.479999, -0.097844, 0.114004, 4.390675
1.499999, -0.097505, -0.396929, -0.208111
1.519999, -0.608973, 0.113503, -0.207988
1.539999, -0.097433, 0.114309, 0.302700
1.559999, 0.413712, 0.114038, -0.207743
1.579999, -0.097847, -0.396929, 0.303425
1.599999, -0.097985, -0.397006, 0.303217
1.619999, -0.098541, -0.396820, 0.813669
1.639999, -0.097503, -0.396783, 0.814627
1.659999, -0.097804, 0.113963, 0.302913
1.679999, -0.097690, -0.396863, 0.302987
1.699999, -0.097183, 0.113270, 0.302852
1.719999, -0.097963, 0.113686, 0.813758
1.739999, -0.097962, 0.113978, 0.813714
1.759999, -0.097604, -0.397764, -0.208004
1.779999, -0.097136, 0.114109, 0.302948
1.799999, -0.097828, 0.114162, 0.813634
1.819999, 0.412820, -0.908525, -0.207707
1.839999, -0.097506, -0.397208, 0.303199
1.859999, -0.097756, -0.397040, 0.814064
1.879999, -0.097913, -0.396632, 0.302782
1.899999, -0.097621, -0.397208, -0.207878
1.919999, -0.097318, 0.113882, 0.814239
1.939999, -0.097140, -0.396995, -0.208171
1.959999, -0.097367, 0.113959, 0.813638
1.979999, -0.097414, -0.397251, -0.302127
1.999999, -0.098100, -0.397281, -0.302074
2.019999, -0.097846, -0.396766, 0.209081
2.039999, -0.097424, -1.418691, -0.302219
2.059999, -0.608489, 0.114030, 0.208298
2.079999, -0.097534, 0.113435, 0.208666
2.099999, -0.096962, -0.397000, -0.302534
2.119999, -0.098106, -0.397142, -0.302446
2.139999, -0.097937, 0.114073, -0.302717
2.159999, -0.097712, -0.397376, -0.302274
2.179999, -0.097830, -0.397375, -0.302686
2.199999, 0.413206, 0.114057, -0.302408
2.219999, -0.097281, 0.114104, -0.302424
2.239999, -0.097852, -0.397237, 0.208244
2.259999, 0.413247, -0.396755, -0.303117
2.279999, -0.097452, 0.114059, -0.301946
2.299999, -0.097482, -0.397232, -0.302250
2.319999, -0.097531, 0.114332, -0.303002
2.339998, -0.608747, -0.397165, 0.208295
2.359998, -0.097526, -0.397044, -0.302411
2.379998, -0.097319, -0.397042, -0.302339
2.399998, -0.097509, 0.113805, 0.208110
2.419998, -0.097607, 0.113126, 0.208221
2.439998, -0.097323, 0.114150, -0.813488
2.459998, -0.608375, -0.396950, -0.302474
2.479998, -0.097687, 0.113444, -0.813744
2.499998, -0.097522, -0.396914, 0.208345
2.519998, -0.608333, -0.397323, 0.208433
2.539998, -0.097507, -0.397283, 0.208350
2.559998, -0.097393, 0.113732, -0.302547
2.579998, -0.097783, -0.396604, -0.302680
2.599998, -0.097896, -0.396103, 0.207819
2.619998, -0.097924, 0.625435, -0.303192
2.639998, -0.608562, -0.396626, -0.302843
2.659998, -0.097823, 0.113726, -0.302557
2.679998, 0.412910, 0.113876, -0.302189
2.699998, -0.608375, -0.908100, -0.813691
2.719998, 0.413202, 0.114029, -0.302911
2.739998, -0.608833, -0.396525, -0.813944
2.759998, -0.098168, -0.908288, 0.209139
2.779998, 0.413275, 0.624631, -0.302251
2.799998, -0.097993, -0.397154, 0.208431
2.819998, 0.413526, 0.625002, 0.208443
2.839998, 0.412935, 0.114521, -0.302440
2.859998, -0.097593, -0.397194, -0.302734
2.879998, -0.098103, 0.113425, -0.813269
2.899998, 0.413317, -0.397256, -0.813330
2.919998, -0.097552, -0.396840, 0.208323
2.939998, -0.608219, 0.113743, 0.208734
2.959998, -0.097901, 0.113734, -0.302394
2.979998, -0.097799, -0.396928, -0.301884
2.999998, -0.097689, -0.397112, 0.208599
3.019998, -0.608790, 0.625561, -0.813768
3.039998, -0.098128, 0.113894, -0.302348
3.059998, -0.097164, -1.419026, 0.208106
3.079998, -0.608059, -2.440664, -0.302579
3.099998, -0.608378, 0.113992, 0.208205
3.119998, -0.097847, -0.396911, -0.302529
3.139998, -0.097365, -0.397190, -0.302817
3.159998, -0.097319, -0.396926, -0.302502
3.179998, -0.097714, -0.397258, 0.208478
3.199998, 0.413185, 0.114262, -0.302407
3.219998, -0.098376, -0.396846, -0.302483
3.239998, -0.097528, -0.396581, -0.813646
3.259998, -0.097733, 0.113911, 0.208338
3.279998, -0.097344, 0.114263, 0.208674
3.299998, 0.413033, -0.908107, -0.301819
3.319998, -0.097323, -0.397018, -0.302524
3.339998, -0.098145, 0.114036, 0.209001
3.359998, -0.097733, -0.907945, 0.208064
3.379997, -0.098350, -0.397288, -0.302223
3.399997, -0.097805, 0.113766, 0.208068
3.419997, -0.097671, 0.114052, -0.813998
3.439997, -0.097756, -0.396863, 0.208224
3.459997, -0.097776, -0.907290, -0.813300
3.479997, -0.098197, 0.114825, 1.230323
3.499997, -0.097893, -0.396537, -0.302477
3.519997, -0.097184, -0.396576, -0.302193
3.539997, -0.608550, -0.396419, 0.208624
3.559997, -0.097551, -1.418883, -0.302338
3.579997, 0.413547, 0.113962, -0.302523
3.599997, -0.097459, 0.113686, 0.208593
3.619997, -0.097575, -0.397207, 0.208621
3.639997, -0.097806, -0.908150, -0.302275
3.659997, -0.098118, 0.114246, -0.302070
3.679997, -0.097715, -0.396841, -0.302783
3.699997, -0.097411, 0.114167, 0.208562
3.719997, -0.097781, 0.114336, 0.208555
3.739997, 0.413627, 0.114311, -0.302223
3.759997, -0.097889, -0.396814, 0.209058
