t_g, g1, g2, g3
0.000000, 0.000000, -0.002490, 3.099597
0.020000, 0.000000, -0.009799, 3.111565
0.040000, 0.000000, -0.005254, 3.124648
0.060000, 0.000000, -0.025880, 3.105862
0.080000, 0.000000, -0.013009, 3.110252
0.100000, 0.000000, -0.014462, 3.122994
0.120000, 0.000000, -0.008913, 3.133811
0.140000, 0.000000, -0.016360, 3.117793
0.160000, 0.000000, -0.009099, 3.114432
0.180000, 0.000000, -0.004216, 3.120093
0.200000, 0.000000, -0.030300, 3.114645
0.220000, 0.000000, -0.014674, 3.133118
0.240000, 0.000000, -0.002435, 3.110520
0.260000, 0.000000, -0.011886, 3.121930
0.280000, 0.000000, 0.003351, 3.116350
0.300000, 0.000000, -0.021494, 3.112803
0.320000, 0.000000, -0.003703, 3.114939
0.340000, 0.000000, 0.004502, 3.125893
0.360000, 0.000000, -0.004455, 3.116316
0.380000, 0.000000, -0.014654, 3.126729
0.400000, 0.000000, -0.003882, 3.110856
0.420000, 0.000000, -0.000021, 3.123480
0.440000, 0.000000, -0.014524, 3.114267
0.460000, 0.000000, -0.007954, 3.119460
0.480000, 0.000000, -0.022506, 3.133743
0.500000, 0.000000, -0.022666, -3.139313
0.520000, 0.000000, -0.006387, 3.139003
0.540000, 0.000000, -0.005228, 3.122969
0.560000, 0.000000, -0.030202, 3.108281
0.580000, 0.000000, 0.000008, 3.116100
0.600000, 0.000000, -0.000351, 3.108904
0.620000, 0.000000, -0.005731, 3.116627
0.640000, 0.000000, -0.015284, 3.118547
0.660000, 0.000000, -0.027873, 3.107358
0.680000, 0.000000, 0.005934, 3.132189
0.700000, 0.000000, -0.023208, 3.129551
0.720000, 0.000000, 0.003498, 3.127799
0.740000, 0.000000, -0.012766, 3.125443
0.760000, 0.000000, -0.010633, 3.116953
0.780000, 0.000000, 0.005295, 3.129377
0.800000, 0.000000, -0.012748, 3.130090
0.820000, 0.000000, -0.002717, 3.112442
0.840000, 0.000000, -0.005919, 3.110026
0.860000, 0.000000, -0.012976, 3.117512
0.880000, 0.000000, 0.005865, 3.107897
0.900000, 0.000000, 0.004265, 3.124640
0.920000, 0.000000, -0.001440, 3.122658
0.940000, 0.000000, 0.005781, 3.118030
0.960000, 0.000000, -0.032392, 3.115200
0.980000, 0.000000, -0.017063, 3.124050
1.000000, 0.000000, -0.013934, 3.123197
1.020000, 0.000000, -0.026111, 3.131263
1.040000, 0.000000, -0.002013, -3.130873
1.060000, 0.000000, -0.007745, 3.124669
1.080000, 0.000000, -0.021957, 3.123989
1.100000, 0.000000, -0.008783, 3.116182
1.120000, 0.000000, -0.020605, 3.125913
1.140000, 0.000000, -0.017697, 3.101969
1.159999, 0.000000, -0.022006, 3.118034
1.179999, 0.000000, -0.012058, 3.109492
1.199999, 0.000000, -0.004615, 3.111117
1.219999, 0.000000, -0.002833, 3.123594
1.239999, 0.000000, -0.003474, 3.118144
1.259999, 0.000000, -0.019655, 3.124377
1.279999, 0.000000, -0.016915, 3.120717
1.299999, -0.000050, -0.016882, 3.120785
1.319999, -0.000090, -0.016494, 3.120837
1.339999, -0.000148, -0.016297, 3.120509
1.359999, -0.000194, -0.016061, 3.120588
1.379999, -0.000244, -0.016226, 3.120593
1.399999, -0.000289, -0.016098, 3.120414
1.419999, -0.000323, -0.015843, 3.120289
1.439999, -0.000359, -0.015800, 3.120241
1.459999, -0.000403, -0.015877, 3.120508
1.479999, -0.000444, -0.015903, 3.120380
1.499999, -0.000477, -0.015788, 3.119954
1.519999, -0.000527, -0.015641, 3.119762
1.539999, -0.000554, -0.015924, 3.119807
1.559999, -0.000581, -0.015926, 3.119577
1.579999, -0.000618, -0.015910, 3.119469
1.599999, -0.000657, -0.015781, 3.119365
1.619999, -0.000702, -0.015822, 3.119424
1.639999, -0.000728, -0.015827, 3.119088
1.659999, -0.000762, -0.015705, 3.119020
1.679999, -0.000791, -0.015835, 3.118954
1.699999, -0.000826, -0.015862, 3.118893
1.719999, -0.000865, -0.015711, 3.118804
1.739999, -0.000899, -0.015531, 3.118631
1.759999, -0.000940, -0.015167, 3.118608
1.779999, -0.000956, -0.015057, 3.118420
1.799999, -0.000983, -0.014511, 3.118324
1.819999, -0.001027, -0.014437, 3.118279
1.839999, -0.001053, -0.014661, 3.118504
1.859999, -0.001081, -0.014124, 3.118464
1.879999, -0.001103, -0.013654, 3.118565
1.899999, -0.001130, -0.013295, 3.118283
1.919999, -0.001150, -0.012825, 3.118087
1.939999, -0.001164, -0.012737, 3.118055
1.959999, -0.001182, -0.012613, 3.118338
1.979999, -0.001153, -0.025338, 3.071748
1.999999, -0.001136, -0.037950, 3.026129
2.019999, -0.001106, -0.050163, 2.981409
2.039999, -0.001069, -0.062411, 2.937407
2.059999, -0.001038, -0.074423, 2.894315
2.079999, -0.001018, -0.085899, 2.852045
2.099999, -0.000980, -0.097103, 2.810677
2.119999, -0.000964, -0.108252, 2.769784
2.139999, -0.000942, -0.119196, 2.729783
2.159999, -0.000924, -0.129955, 2.690823
2.179999, -0.000909, -0.140715, 2.652679
2.199999, -0.000886, -0.151275, 2.615354
2.219999, -0.000853, -0.161204, 2.578773
2.239999, -0.000837, -0.171144, 2.543042
2.259999, -0.000812, -0.180933, 2.507799
2.279999, -0.000785, -0.190301, 2.473374
2.299999, -0.000764, -0.199607, 2.439302
2.319999, -0.000734, -0.208928, 2.406034
2.339998, -0.000718, -0.217789, 2.373612
2.359998, -0.000696, -0.226430, 2.341462
2.379998, -0.000671, -0.234983, 2.310328
2.399998, -0.000652, -0.243545, 2.279925
2.419998, -0.000646, -0.251521, 2.250173
2.439998, -0.000619, -0.259487, 2.221064
2.459998, -0.000595, -0.267009, 2.192539
2.479998, -0.000587, -0.274752, 2.164454
2.499998, -0.000565, -0.282197, 2.137169
2.519998, -0.000548, -0.289772, 2.109926
2.539998, -0.000533, -0.297449, 2.083529
2.559998, -0.000516, -0.304841, 2.057596
2.579998, -0.000495, -0.312002, 2.031858
2.599998, -0.000467, -0.318725, 2.006985
2.619998, -0.000451, -0.325488, 1.982571
2.639998, -0.000428, -0.332032, 1.958523
2.659998, -0.000420, -0.338440, 1.935260
2.679998, -0.000415, -0.344968, 1.912085
2.699998, -0.000398, -0.350728, 1.889319
2.719998, -0.000385, -0.356605, 1.867277
2.739998, -0.000366, -0.362423, 1.845787
2.759998, -0.000367, -0.368338, 1.824901
2.779998, -0.000362, -0.374122, 1.803969
2.799998, -0.000357, -0.379723, 1.783561
2.819998, -0.000342, -0.385028, 1.763423
2.839998, -0.000326, -0.390426, 1.743798
2.859998, -0.000316, -0.396013, 1.724460
