t_uk, uk1, uk2, uk3
0.000000, -0.001235, -0.000560, -0.000956
0.020000, -0.001899, -0.000655, -0.001083
0.040000, -0.001879, -0.000673, -0.001036
0.060000, -0.001878, -0.001675, -0.000929
0.080000, -0.001028, -0.001163, -0.000883
0.100000, -0.001939, -0.000654, -0.000669
0.120000, -0.001595, -0.000586, -0.000987
0.140000, -0.001875, -0.000958, -0.001038
0.160000, -0.002291, -0.000523, -0.001343
0.180000, -0.002174, -0.001214, -0.000490
0.200000, -0.001419, -0.000832, -0.000499
0.220000, -0.002037, -0.001074, -0.001290
0.240000, -0.001973, -0.000793, -0.000947
0.260000, -0.001654, -0.001356, -0.001084
0.280000, -0.001610, -0.001624, -0.000555
0.300000, -0.001274, -0.000115, -0.001143
0.320000, -0.001898, -0.000907, -0.001219
0.340000, -0.001904, -0.001630, -0.001159
0.360000, -0.001948, -0.001057, -0.001494
0.380000, -0.001738, -0.001165, -0.000852
0.400000, -0.001626, -0.000934, -0.001075
0.420000, -0.001785, -0.001190, -0.001200
0.440000, -0.001139, -0.000908, -0.000961
0.460000, -0.001253, -0.001136, -0.000659
0.480000, -0.001762, -0.001257, -0.000742
0.500000, -0.001284, -0.001538, -0.001335
0.520000, -0.002169, -0.000421, -0.000668
0.540000, -0.001900, -0.000745, -0.000922
0.560000, -0.001440, -0.000762, -0.000737
0.580000, -0.002226, -0.000905, -0.001686
0.600000, -0.001533, -0.001024, -0.000874
0.620000, -0.002018, -0.001268, -0.001273
0.640000, -0.001534, -0.001096, -0.000797
0.660000, -0.001194, -0.001023, -0.001118
0.680000, -0.001510, -0.000957, -0.001077
0.700000, -0.001604, -0.001053, -0.001094
0.720000, -0.001642, -0.000685, -0.000866
0.740000, -0.001898, -0.000660, -0.001108
0.760000, -0.001770, -0.001513, -0.000667
0.780000, -0.001587, -0.001140, -0.000803
0.800000, -0.001727, -0.001118, -0.001590
0.820000, -0.002114, -0.000906, -0.001068
0.840000, -0.001486, -0.001166, -0.001101
0.860000, -0.001493, -0.001116, -0.000866
0.880000, -0.001453, -0.000749, -0.001772
0.900000, -0.001609, -0.001049, -0.001540
