t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 586.000000, -16146.000000, 12746.000000, -75.000000, 133.000000, 19.000000, 0.020000, 433.000000, -16439.000000, 3106.000000, -258.000000, 215.000000, -6.000000, 0.020000, 439.000000, 199.000000, -15419.000000, -48.000000, 158.000000, 98.000000, 0.020000, 247.000000, 458.000000, -15745.000000, 18.000000, 68.000000, -100.000000, 0.020000, -16072.000000, 239.000000, 923.000000, -89.000000, 92.000000, 185.000000, 0.020000, -16143.000000, 85.000000, 2459.000000, 21.000000, 95.000000, 109.000000
0.040000, 602.000000, -16146.000000, 12744.000000, -70.000000, 133.000000, 20.000000, 0.040000, 433.000000, -16454.000000, 3112.000000, -262.000000, 215.000000, -4.000000, 0.040000, 427.000000, 196.000000, -15455.000000, -53.000000, 167.000000, 91.000000, 0.040000, 253.000000, 491.000000, -15758.000000, 19.000000, 64.000000, -84.000000, 0.040000, -16073.000000, 230.000000, 930.000000, -87.000000, 83.000000, 180.000000, 0.040000, -16146.000000, 76.000000, 2453.000000, 28.000000, 95.000000, 115.000000
0.060000, 596.000000, -16143.000000, 12733.000000, -69.000000, 135.000000, 20.000000, 0.060000, 433.000000, -16456.000000, 3143.000000, -257.000000, 216.000000, -5.000000, 0.060000, 424.000000, 209.000000, -15440.000000, -46.000000, 168.000000, 86.000000, 0.060000, 269.000000, 480.000000, -15798.000000, 16.000000, 64.000000, -98.000000, 0.060000, -16050.000000, 233.000000, 931.000000, -82.000000, 78.000000, 184.000000, 0.060000, -16127.000000, 77.000000, 2457.000000, 35.000000, 100.000000, 116.000000
0.080000, 607.000000, -16148.000000, 12756.000000, -71.000000, 137.000000, 17.000000, 0.080000, 426.000000, -16457.000000, 3105.000000, -251.000000, 212.000000, 6.000000, 0.080000, 436.000000, 203.000000, -15455.000000, -42.000000, 159.000000, 97.000000, 0.080000, 276.000000, 469.000000, -15791.000000, 11.000000, 71.000000, -96.000000, 0.080000, -16064.000000, 244.000000, 931.000000, -84.000000, 98.000000, 179.000000, 0.080000, -16142.000000, 89.000000, 2443.000000, 21.000000, 95.000000, 106.000000
0.100000, 580.000000, -16165.000000, 12723.000000, -53.000000, 141.000000, 22.000000, 0.100000, 462.000000, -16429.000000, 3097.000000, -260.000000, 197.000000, -13.000000, 0.100000, 457.000000, 227.000000, -15421.000000, -45.000000, 174.000000, 81.000000, 0.100000, 258.000000, 491.000000, -15766.000000, 17.000000, 72.000000, -99.000000, 0.100000, -16085.000000, 248.000000, 955.000000, -88.000000, 92.000000, 196.000000, 0.100000, -16145.000000, 83.000000, 2467.000000, 27.000000, 94.000000, 117.000000
0.120000, 618.000000, -16161.000000, 12724.000000, -68.000000, 121.000000, 16.000000, 0.120000, 421.000000, -16459.000000, 3126.000000, -258.000000, 208.000000, -7.000000, 0.120000, 450.000000, 210.000000, -15447.000000, -48.000000, 169.000000, 88.000000, 0.120000, 257.000000, 454.000000, -15742.000000, 20.000000, 79.000000, -98.000000, 0.120000, -16061.000000, 231.000000, 947.000000, -83.000000, 84.000000, 192.000000, 0.120000, -16146.000000, 80.000000, 2476.000000, 31.000000, 111.000000, 113.000000
0.140000, 580.000000, -16162.000000, 12726.000000, -78.000000, 133.000000, 25.000000, 0.140000, 425.000000, -16460.000000, 3115.000000, -255.000000, 210.000000, -3.000000, 0.140000, 408.000000, 184.000000, -15403.000000, -50.000000, 170.000000, 90.000000, 0.140000, 264.000000, 459.000000, -15775.000000, 17.000000, 74.000000, -97.000000, 0.140000, -16089.000000, 234.000000, 951.000000, -84.000000, 80.000000, 186.000000, 0.140000, -16116.000000, 94.000000, 2437.000000, 32.000000, 105.000000, 116.000000
0.160000, 612.000000, -16151.000000, 12739.000000, -67.000000, 131.000000, 27.000000, 0.160000, 438.000000, -16437.000000, 3099.000000, -260.000000, 214.000000, -8.000000, 0.160000, 425.000000, 213.000000, -15416.000000, -51.000000, 167.000000, 88.000000, 0.160000, 268.000000, 466.000000, -15770.000000, 16.000000, 70.000000, -88.000000, 0.160000, -16083.000000, 238.000000, 937.000000, -77.000000, 86.000000, 180.000000, 0.160000, -16109.000000, 94.000000, 2475.000000, 24.000000, 106.000000, 124.000000
0.180000, 607.000000, -16141.000000, 12763.000000, -71.000000, 144.000000, 21.000000, 0.180000, 430.000000, -16459.000000, 3119.000000, -265.000000, 210.000000, -5.000000, 0.180000, 406.000000, 206.000000, -15441.000000, -46.000000, 174.000000, 89.000000, 0.180000, 273.000000, 465.000000, -15769.000000, 10.000000, 66.000000, -91.000000, 0.180000, -16091.000000, 245.000000, 935.000000, -80.000000, 86.000000, 184.000000, 0.180000, -16129.000000, 88.000000, 2482.000000, 26.000000, 97.000000, 113.000000
0.200000, 602.000000, -16165.000000, 12730.000000, -78.000000, 141.000000, 18.000000, 0.200000, 427.000000, -16457.000000, 3132.000000, -259.000000, 218.000000, -17.000000, 0.200000, 431.000000, 220.000000, -15457.000000, -44.000000, 158.000000, 93.000000, 0.200000, 298.000000, 472.000000, -15762.000000, 21.000000, 73.000000, -90.000000, 0.200000, -16075.000000, 234.000000, 957.000000, -84.000000, 86.000000, 179.000000, 0.200000, -16127.000000, 89.000000, 2432.000000, 32.000000, 101.000000, 118.000000
