t, phi, uk, ur, tm
0.000000, 0.028351, -0.000365, -1.228684, 0.118662
0.020000, 0.041932, -0.003320, 0.812306, 0.178531
0.040000, 0.055101, 0.000222, 1.326957, 0.237331
0.060000, 0.068194, 0.000042, 13.590693, 0.313696
0.080000, 0.078393, -0.000480, 21.255209, 0.369819
0.100000, 0.089002, -0.000350, 28.920317, 0.428013
0.120000, 0.101828, 0.000386, 37.608067, 0.497690
0.140000, 0.114300, -0.000851, 46.804825, 0.565723
0.160000, 0.126847, 0.000401, 53.960072, 0.631888
0.180000, 0.137603, -0.000128, 55.492561, 0.680070
0.200000, 0.149448, -0.000341, 65.712326, 0.747665
0.220000, 0.161200, 0.000454, 69.801132, 0.805055
0.240000, 0.121597, -1.236182, 7.244483, -0.088040
0.260000, 0.098877, -1.112202, 2.258478, -0.131258
0.280000, 0.079832, -0.956828, -0.652188, -0.139596
0.300000, 0.064176, -0.803785, -15.318115, -0.154412
0.320000, 0.050813, -0.656900, -21.814175, -0.148799
0.340000, 0.042048, -0.495940, -29.318253, -0.118224
0.360000, 0.035155, -0.345377, -37.854702, -0.086604
0.380000, 0.031678, -0.186316, -42.805626, -0.030137
0.400000, 0.031907, -0.034515, -45.719868, 0.041928
0.420000, 0.034867, 0.087365, -44.064903, 0.118344
0.440000, 0.038725, 0.143292, -38.898991, 0.171476
0.460000, 0.042575, 0.158248, -33.263065, 0.204857
0.480000, 0.045148, 0.168828, -26.098433, 0.233172
0.500000, 0.050023, 0.177994, -17.913363, 0.272314
0.520000, 0.054452, 0.188362, -12.793009, 0.305002
0.540000, 0.058961, 0.202208, -7.669055, 0.339776
0.560000, 0.063242, 0.216442, -4.077917, 0.371198
0.580000, 0.068596, 0.244258, 3.103951, 0.420028
0.600000, 0.074026, 0.279705, 16.425409, 0.483327
0.620000, 0.079154, 0.320885, 25.664587, 0.541345
0.640000, 0.085401, 0.369068, 29.800722, 0.599059
0.660000, 0.094554, 0.432492, 38.040173, 0.683692
0.680000, 0.105012, 0.507063, 43.224728, 0.774340
0.700000, 0.117304, 0.587604, 51.992279, 0.881818
0.720000, 0.130393, 0.673757, 59.743412, 0.993794
0.740000, 0.144866, 0.778693, 62.403400, 1.112519
0.760000, 0.163710, 0.914248, 70.714928, 1.274712
0.780000, 0.123603, -0.952943, 66.803726, 0.162430
0.800000, 0.105431, -0.996775, 68.292915, 0.065496
0.820000, 0.084106, -1.049177, 73.861488, -0.042315
0.840000, 0.065144, -0.996821, 76.468834, -0.092594
0.860000, 0.046714, -0.834216, 66.922455, -0.105845
0.880000, 0.034509, -0.604064, 63.575638, -0.048317
0.900000, 0.026386, -0.395328, 58.674328, 0.013288
0.920000, 0.021043, -0.269846, 52.667850, 0.043217
0.940000, 0.016889, -0.210605, 59.370098, 0.066421
0.960000, 0.012978, -0.182822, 59.397881, 0.063696
0.980000, 0.009825, -0.165596, 65.036079, 0.068353
1.000000, 0.006517, -0.159933, 69.640747, 0.064820
1.020000, 0.001617, -0.178074, 69.622604, 0.034812
1.040000, -0.002614, -0.190353, 72.165314, 0.014900
1.060000, -0.006039, -0.164326, 77.812378, 0.022816
1.080000, -0.009508, -0.136574, 77.840126, 0.021959
1.100000, -0.011950, -0.136068, 76.818604, 0.010080
1.120000, -0.014529, -0.132540, 76.822128, 0.000855
1.140000, -0.016751, -0.103920, 78.894753, 0.009189
1.160000, -0.018554, -0.087597, 76.356087, 0.005402
1.180000, -0.020600, -0.095048, 77.370605, -0.005348
1.200000, -0.022406, -0.084187, 80.447510, -0.002442
1.220000, -0.024100, -0.059701, 79.961006, 0.001775
1.240000, -0.025030, -0.061458, 80.470238, -0.002213
1.260000, -0.026508, -0.072110, 80.459587, -0.013866
1.280000, -0.027984, -0.056583, 79.453079, -0.014081
1.300000, -0.029167, -0.037596, 80.494095, -0.007873
1.320000, -0.029821, -0.044156, 81.509514, -0.012240
1.340000, -0.030657, -0.043993, 80.998688, -0.016581
1.360000, -0.030938, -0.022617, 79.998093, -0.008764
1.380000, -0.031846, -0.018779, 77.957924, -0.014143
1.400000, -0.032924, -0.029579, 77.436073, -0.025025
1.420000, -0.033324, -0.013319, 77.963387, -0.017705
1.440000, -0.032802, 0.011662, 79.010338, -0.001214
1.460000, -0.031990, 0.007384, 76.451065, -0.004194
1.480000, -0.032262, -0.008463, 75.413246, -0.015030
1.500000, -0.032161, 0.001275, 74.911934, -0.010571
1.520000, -0.031908, 0.017119, 74.927780, -0.001533
1.540000, -0.031911, 0.009447, 72.365112, -0.009694
1.560000, -0.032049, 0.000715, 69.801392, -0.018966
1.580000, -0.032509, 0.019199, 71.863884, -0.008207
1.600000, -0.031819, 0.039235, 69.839912, 0.001364
1.620000, -0.031506, 0.034808, 69.835487, 0.000477
1.640000, -0.030801, 0.023823, 67.269508, -0.006332
1.660000, -0.029798, 0.030502, 67.276184, 0.001300
1.680000, -0.029556, 0.044331, 67.801003, 0.010138
1.700000, -0.029067, 0.038183, 67.794853, 0.009134
1.720000, -0.028314, 0.018544, 65.220222, -0.001812
1.740000, -0.027777, 0.016917, 66.751617, 0.002236
1.760000, -0.027386, 0.030037, 64.720726, 0.007056
1.780000, -0.026874, 0.032958, 61.146618, 0.004695
1.800000, -0.026523, 0.021733, 61.646442, 0.001413
1.820000, -0.026742, 0.013790, 64.704483, 0.001644
1.840000, -0.026392, 0.019822, 61.644531, 0.001013
1.860000, -0.025696, 0.030856, 62.166550, 0.010382
1.880000, -0.025226, 0.027812, 59.097466, 0.005700
1.900000, -0.024725, 0.011743, 58.570412, -0.001091
1.920000, -0.024459, 0.004343, 59.073997, -0.002816
1.940000, -0.024285, 0.013886, 58.572556, 0.001860
1.960000, -0.024079, 0.021314, 59.090969, 0.007330
1.980000, -0.024036, 0.012193, 58.570862, 0.002070
2.000000, -0.024260, -0.004527, 59.576176, -0.005561
2.020000, -0.024264, -0.009887, 59.059769, -0.009129
2.040000, -0.024604, -0.002637, 56.001038, -0.012096
2.060000, -0.024413, 0.008061, 56.522720, -0.005048
2.080000, -0.024154, 0.007144, 59.076797, -0.000106
2.100000, -0.024243, -0.006774, 52.930923, -0.017788
2.120000, -0.024798, -0.012639, 53.436043, -0.022239
2.140000, -0.025176, 0.000815, 52.938511, -0.017956
2.160000, -0.024929, 0.015625, 50.398327, -0.013758
2.180000, -0.024985, 0.018013, 53.466694, -0.007645
2.200000, -0.024804, 0.010230, 51.414906, -0.014217
2.220000, -0.024330, -0.000616, 48.849068, -0.021941
2.240000, -0.024039, 0.003063, 50.385765, -0.016272
2.260000, -0.023501, 0.013084, 48.351780, -0.012382
2.280000, -0.023504, 0.017289, 51.421967, -0.005127
2.300000, -0.023434, 0.008771, 53.457455, -0.005672
2.320000, -0.023662, -0.007412, 50.886276, -0.019067
2.340000, -0.023767, -0.014292, 51.390385, -0.022112
2.360000, -0.024619, -0.005470, 45.778236, -0.030762
2.380000, -0.024388, 0.013203, 48.351902, -0.016103
2.400000, -0.023752, 0.028514, 45.812218, -0.009999
2.420000, -0.023358, 0.028180, 48.366879, -0.004188
2.440000, -0.022623, 0.018345, 45.291000, -0.011149
2.460000, -0.022354, 0.012641, 45.796345, -0.012009
2.480000, -0.022104, 0.015748, 44.777420, -0.011099
2.500000, -0.021750, 0.025169, 40.698826, -0.011731
2.520000, -0.020823, 0.035670, 42.753334, 0.000934
2.540000, -0.019899, 0.037506, 40.711166, 0.002360
2.560000, -0.019645, 0.030164, 40.703823, -0.000245
2.580000, -0.019295, 0.024205, 40.697865, -0.001744
2.600000, -0.018317, 0.022672, 38.141338, -0.002641
2.620000, -0.018153, 0.028701, 40.191372, 0.004524
2.640000, -0.017196, 0.035062, 40.197735, 0.011798
2.660000, -0.016021, 0.037014, 37.133705, 0.012638
2.680000, -0.015131, 0.032134, 40.705791, 0.019995
2.700000, -0.014477, 0.020898, 40.183571, 0.016282
2.720000, -0.014585, 0.005798, 40.679455, 0.009097
2.740000, -0.014913, -0.001177, 40.161495, 0.003335
2.760000, -0.014932, 0.001414, 38.120079, 0.001118
2.780000, -0.015156, 0.011265, 40.173935, 0.008549
2.800000, -0.014588, 0.020727, 37.628407, 0.011427
2.820000, -0.014205, 0.024209, 37.120903, 0.013951
2.840000, -0.014204, 0.019986, 37.627666, 0.012691
2.860000, -0.014242, 0.011896, 40.685555, 0.013620
2.880000, -0.013859, 0.004487, 35.057175, 0.002083
2.900000, -0.014330, 0.002433, 35.055119, -0.000956
2.920000, -0.015125, 0.010035, 35.573708, 0.000330
2.940000, -0.014299, 0.021205, 37.628883, 0.012901
2.960000, -0.013552, 0.025841, 38.144508, 0.019273
2.980000, -0.012741, 0.017894, 37.114586, 0.017021
3.000000, -0.012394, 0.001758, 37.609436, 0.011258
3.020000, -0.013269, -0.013111, 40.149563, 0.004354
3.040000, -0.013669, -0.022334, 39.629353, -0.002845
3.060000, -0.014085, -0.023050, 40.650608, -0.003263
3.080000, -0.015425, -0.019099, 38.099567, -0.011289
3.100000, -0.015323, -0.009272, 41.175434, -0.000762
3.120000, -0.015725, -0.003400, 40.159271, -0.001245
3.140000, -0.016117, -0.005014, 37.091679, -0.008882
3.160000, -0.015912, -0.007829, 35.044857, -0.012857
3.180000, -0.016165, -0.007837, 37.088856, -0.010505
3.200000, -0.016226, -0.005040, 38.113625, -0.007641
3.220000, -0.016833, -0.002324, 38.116341, -0.008864
3.240000, -0.016808, 0.000673, 35.053360, -0.012411
3.260000, -0.017130, 0.005695, 37.102386, -0.007821
3.280000, -0.016665, 0.010518, 35.063206, -0.006854
3.300000, -0.015940, 0.009793, 37.617474, 0.000170
3.320000, -0.015880, 0.002626, 35.055313, -0.007471
3.340000, -0.015581, -0.005801, 37.601879, -0.006131
3.360000, -0.015219, -0.008614, 37.599064, -0.006001
3.380000, -0.015170, -0.009152, 37.598526, -0.006064
3.400000, -0.014554, -0.005821, 37.090870, -0.002621
3.420000, -0.014343, -0.002535, 35.050152, -0.003509
3.440000, -0.014056, -0.001095, 35.051590, -0.001560
3.460000, -0.013890, -0.001847, 35.050838, -0.001232
3.480000, -0.013648, -0.006000, 35.046684, -0.002284
3.500000, -0.013801, -0.008241, 35.044445, -0.004062
3.520000, -0.014072, -0.007925, 35.044762, -0.005061
3.540000, -0.014073, -0.001626, 35.051060, -0.001900
3.560000, -0.013998, 0.007191, 32.504887, -0.001447
3.580000, -0.013999, 0.016103, 32.513798, 0.003024
3.600000, -0.013497, 0.022588, 35.586262, 0.013575
3.620000, -0.012777, 0.022213, 32.008923, 0.010445
3.640000, -0.012252, 0.014994, 32.001701, 0.009061
3.660000, -0.011798, 0.009500, 31.485161, 0.007376
3.680000, -0.011716, 0.006904, 34.548603, 0.011577
3.700000, -0.011012, 0.006106, 34.547806, 0.014177
3.720000, -0.010982, 0.005024, 32.502720, 0.010328
3.740000, -0.010951, 0.006153, 31.992861, 0.010168
3.760000, -0.010344, 0.009325, 31.996033, 0.014347
3.780000, -0.010228, 0.010445, 32.508141, 0.016263
3.800000, -0.009823, 0.006451, 31.993158, 0.015126
3.820000, -0.010332, -0.000710, 35.562962, 0.015373
