t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, 559.000000, -15660.000000, -3413.000000, -14.000000, 161.000000, 88.000000
0.020000, 546.000000, -15626.000000, -3434.000000, -18.000000, 149.000000, 91.000000
0.040000, 538.000000, -15621.000000, -3438.000000, -17.000000, 159.000000, 105.000000
0.060000, 543.000000, -15648.000000, -3419.000000, -24.000000, 154.000000, 90.000000
0.080000, 570.000000, -15646.000000, -3409.000000, -10.000000, 155.000000, 90.000000
0.100000, 558.000000, -15688.000000, -3391.000000, -6.000000, 161.000000, 94.000000
0.120000, 560.000000, -15631.000000, -3413.000000, -22.000000, 156.000000, 97.000000
0.140000, 561.000000, -15636.000000, -3381.000000, -16.000000, 161.000000, 99.000000
0.160000, 564.000000, -15648.000000, -3390.000000, -14.000000, 164.000000, 93.000000
0.180000, 563.000000, -15648.000000, -3400.000000, -17.000000, 151.000000, 90.000000
0.200000, 560.000000, -15642.000000, -3425.000000, -14.000000, 157.000000, 99.000000
0.220000, 537.000000, -15662.000000, -3414.000000, -16.000000, 152.000000, 94.000000
0.240000, 561.000000, -15669.000000, -3445.000000, -13.000000, 152.000000, 102.000000
0.260000, 527.000000, -15659.000000, -3384.000000, -10.000000, 158.000000, 86.000000
0.280000, 540.000000, -15658.000000, -3416.000000, -16.000000, 148.000000, 92.000000
0.300000, 538.000000, -15673.000000, -3398.000000, -12.000000, 151.000000, 100.000000
0.320000, 536.000000, -15662.000000, -3378.000000, -7.000000, 166.000000, 98.000000
0.340000, 557.000000, -15631.000000, -3400.000000, -10.000000, 163.000000, 98.000000
0.360000, 547.000000, -15620.000000, -3385.000000, -12.000000, 159.000000, 86.000000
0.380000, 524.000000, -15631.000000, -3380.000000, -15.000000, 157.000000, 95.000000
0.400000, 539.000000, -15617.000000, -3392.000000, -13.000000, 158.000000, 100.000000
0.420000, 553.000000, -15631.000000, -3409.000000, -13.000000, 153.000000, 96.000000
0.440000, 521.000000, -15643.000000, -3431.000000, -18.000000, 162.000000, 102.000000
0.460000, 538.000000, -15637.000000, -3404.000000, -17.000000, 158.000000, 109.000000
0.480000, 545.000000, -15637.000000, -3427.000000, -15.000000, 157.000000, 92.000000
0.500000, 541.000000, -15644.000000, -3419.000000, -9.000000, 157.000000, 92.000000
0.520000, 539.000000, -15632.000000, -3415.000000, -9.000000, 165.000000, 94.000000
0.540000, 562.000000, -15636.000000, -3407.000000, -1.000000, 155.000000, 95.000000
0.560000, 551.000000, -15629.000000, -3395.000000, -9.000000, 158.000000, 97.000000
0.580000, 515.000000, -15679.000000, -3402.000000, -17.000000, 152.000000, 94.000000
0.600000, 563.000000, -15636.000000, -3419.000000, -15.000000, 173.000000, 93.000000
0.620000, 559.000000, -15642.000000, -3384.000000, -14.000000, 158.000000, 95.000000
0.640000, 554.000000, -15646.000000, -3446.000000, -8.000000, 153.000000, 87.000000
0.660000, 568.000000, -15643.000000, -3400.000000, -13.000000, 163.000000, 97.000000
0.680000, 546.000000, -15678.000000, -3411.000000, -22.000000, 163.000000, 94.000000
0.700000, 558.000000, -15651.000000, -3408.000000, -13.000000, 158.000000, 91.000000
0.720000, 537.000000, -15668.000000, -3408.000000, -13.000000, 160.000000, 95.000000
0.740000, 550.000000, -15662.000000, -3378.000000, -6.000000, 148.000000, 98.000000
0.760000, 552.000000, -15680.000000, -3412.000000, -19.000000, 158.000000, 100.000000
0.780000, 539.000000, -15667.000000, -3400.000000, -17.000000, 157.000000, 94.000000
0.800000, 540.000000, -15638.000000, -3393.000000, -5.000000, 155.000000, 102.000000
0.820000, 539.000000, -15637.000000, -3429.000000, -16.000000, 166.000000, 91.000000
0.840000, 559.000000, -15644.000000, -3417.000000, -18.000000, 157.000000, 95.000000
0.860000, 551.000000, -15663.000000, -3417.000000, -14.000000, 155.000000, 103.000000
0.880000, 525.000000, -15647.000000, -3377.000000, -11.000000, 160.000000, 91.000000
0.900000, 523.000000, -15678.000000, -3420.000000, -17.000000, 161.000000, 97.000000
0.920000, 535.000000, -15629.000000, -3421.000000, -8.000000, 158.000000, 92.000000
0.940000, 549.000000, -15609.000000, -3409.000000, -14.000000, 157.000000, 101.000000
0.960000, 553.000000, -15660.000000, -3416.000000, -16.000000, 162.000000, 91.000000
0.980000, 549.000000, -15672.000000, -3414.000000, -16.000000, 164.000000, 92.000000
1.000000, 525.000000, -15663.000000, -3388.000000, -26.000000, 161.000000, 92.000000
1.020000, 535.000000, -15653.000000, -3414.000000, -10.000000, 163.000000, 88.000000
1.040000, 558.000000, -15632.000000, -3422.000000, -11.000000, 158.000000, 88.000000
1.060000, 540.000000, -15625.000000, -3403.000000, -11.000000, 154.000000, 100.000000
1.080000, 553.000000, -15635.000000, -3402.000000, -19.000000, 155.000000, 92.000000
1.100000, 539.000000, -15624.000000, -3397.000000, -10.000000, 165.000000, 97.000000
1.120000, 539.000000, -15637.000000, -3419.000000, -20.000000, 159.000000, 94.000000
1.140000, 549.000000, -15639.000000, -3444.000000, -16.000000, 159.000000, 103.000000
1.159999, 547.000000, -15628.000000, -3450.000000, -16.000000, 148.000000, 102.000000
1.179999, 538.000000, -15630.000000, -3435.000000, -8.000000, 162.000000, 98.000000
1.199999, 564.000000, -15636.000000, -3445.000000, -13.000000, 156.000000, 97.000000
1.219999, 572.000000, -15658.000000, -3434.000000, -19.000000, 160.000000, 92.000000
1.239999, 537.000000, -15627.000000, -3386.000000, -10.000000, 160.000000, 104.000000
1.259999, 551.000000, -15622.000000, -3407.000000, -19.000000, 157.000000, 89.000000
1.279999, 528.000000, -15633.000000, -3429.000000, -12.000000, 145.000000, 97.000000
1.299999, 561.000000, -15628.000000, -3394.000000, -20.000000, 161.000000, 83.000000
1.319999, 550.000000, -15657.000000, -3424.000000, -12.000000, 149.000000, 98.000000
1.339999, 541.000000, -15631.000000, -3389.000000, -15.000000, 154.000000, 102.000000
1.359999, 538.000000, -15633.000000, -3442.000000, -32.000000, 159.000000, 94.000000
1.379999, 553.000000, -15641.000000, -3432.000000, -19.000000, 162.000000, 96.000000
1.399999, 547.000000, -15651.000000, -3413.000000, -16.000000, 154.000000, 96.000000
1.419999, 534.000000, -15665.000000, -3386.000000, -19.000000, 153.000000, 99.000000
1.439999, 529.000000, -15667.000000, -3396.000000, -12.000000, 151.000000, 96.000000
1.459999, 545.000000, -15676.000000, -3387.000000, -15.000000, 166.000000, 85.000000
1.479999, 548.000000, -15692.000000, -3402.000000, -9.000000, 158.000000, 92.000000
1.499999, 550.000000, -15650.000000, -3443.000000, -12.000000, 163.000000, 93.000000
1.519999, 570.000000, -15678.000000, -3404.000000, -14.000000, 165.000000, 92.000000
1.539999, 550.000000, -15636.000000, -3387.000000, -22.000000, 163.000000, 100.000000
1.559999, 527.000000, -15625.000000, -3402.000000, -9.000000, 164.000000, 98.000000
1.579999, 553.000000, -15644.000000, -3410.000000, -5.000000, 155.000000, 102.000000
1.599999, 525.000000, -15663.000000, -3387.000000, -6.000000, 160.000000, 96.000000
1.619999, 551.000000, -15641.000000, -3410.000000, -17.000000, 154.000000, 94.000000
1.639999, 561.000000, -15639.000000, -3385.000000, -10.000000, 169.000000, 103.000000
1.659999, 580.000000, -15661.000000, -3434.000000, -14.000000, 155.000000, 96.000000
1.679999, 554.000000, -15655.000000, -3380.000000, -2.000000, 158.000000, 96.000000
1.699999, 551.000000, -15665.000000, -3403.000000, -11.000000, 159.000000, 85.000000
1.719999, 528.000000, -15620.000000, -3377.000000, -17.000000, 162.000000, 102.000000
1.739999, 535.000000, -15642.000000, -3384.000000, -15.000000, 166.000000, 90.000000
1.759999, 572.000000, -15654.000000, -3405.000000, -20.000000, 161.000000, 78.000000
1.779999, 566.000000, -15683.000000, -3412.000000, -16.000000, 171.000000, 90.000000
1.799999, 550.000000, -15671.000000, -3444.000000, -18.000000, 154.000000, 92.000000
1.819999, 535.000000, -15670.000000, -3417.000000, -16.000000, 160.000000, 94.000000
1.839999, 541.000000, -15673.000000, -3424.000000, -23.000000, 166.000000, 99.000000
1.859999, 568.000000, -15662.000000, -3404.000000, -17.000000, 157.000000, 93.000000
1.879999, 519.000000, -15634.000000, -3419.000000, -10.000000, 160.000000, 92.000000
1.899999, 550.000000, -15632.000000, -3409.000000, -12.000000, 154.000000, 89.000000
1.919999, 527.000000, -15633.000000, -3360.000000, -15.000000, 165.000000, 96.000000
1.939999, 549.000000, -15635.000000, -3364.000000, -20.000000, 155.000000, 92.000000
1.959999, 557.000000, -15632.000000, -3420.000000, -24.000000, 162.000000, 100.000000
1.979999, 546.000000, -15658.000000, -3410.000000, -17.000000, 160.000000, 99.000000
