t, uk1, uk2, uk3)
0.000000, -0.006214, -0.005238, -0.004749
0.020000, -0.006614, -0.005393, -0.004971
0.040000, -0.006325, -0.005548, -0.004439
0.060000, -0.006525, -0.005681, -0.004483
0.080000, -0.006325, -0.005504, -0.004483
0.100000, -0.006414, -0.005260, -0.004883
0.120000, -0.006303, -0.006148, -0.004860
0.140000, -0.006503, -0.005238, -0.004705
0.160000, -0.006725, -0.005815, -0.004550
0.180000, -0.006591, -0.005238, -0.005171
0.200000, -0.006081, -0.005326, -0.004772
0.220000, -0.006148, -0.005149, -0.004306
0.240000, -0.005970, -0.005171, -0.004883
0.260000, -0.005748, -0.005770, -0.004816
0.280000, -0.006747, -0.005149, -0.004994
0.300000, -0.006702, -0.005948, -0.004394
0.320000, -0.006103, -0.004794, -0.005482
0.340000, -0.005903, -0.004905, -0.005415
0.360000, -0.006192, -0.005748, -0.003839
0.380000, -0.006303, -0.006037, -0.004372
0.400000, -0.005815, -0.004994, -0.004705
0.420000, -0.006081, -0.005260, -0.005038
0.440000, -0.006525, -0.004883, -0.004838
0.460000, -0.006081, -0.006503, -0.004172
0.480000, -0.006236, -0.004838, -0.004727
0.500000, -0.006614, -0.005726, -0.004994
0.520000, -0.006236, -0.004727, -0.004616
0.540000, -0.006059, -0.006192, -0.004772
0.560000, -0.006281, -0.005016, -0.005215
0.580000, -0.006214, -0.005127, -0.004772
0.600000, -0.006480, -0.005215, -0.004172
0.620000, -0.006347, -0.005903, -0.004527
0.640000, -0.006125, -0.005393, -0.005016
0.660000, -0.006214, -0.004816, -0.005016
0.680000, -0.006347, -0.005415, -0.004616
0.700000, -0.006170, -0.005060, -0.004217
0.720000, -0.006369, -0.005349, -0.004794
0.740000, -0.006414, -0.005815, -0.004306
0.760000, -0.006125, -0.005437, -0.004527
0.780000, -0.005948, -0.005726, -0.005082
0.800000, -0.006192, -0.005326, -0.004372
0.820000, -0.006458, -0.005881, -0.005082
0.840000, -0.006702, -0.005127, -0.004905
0.860000, -0.006170, -0.004905, -0.005504
0.880000, -0.006947, -0.005926, -0.004416
0.900000, -0.006325, -0.004971, -0.004306
0.920000, -0.006480, -0.005504, -0.004683
0.940000, -0.006125, -0.004483, -0.004705
0.960000, -0.006037, -0.005282, -0.004794
0.980000, -0.005415, -0.004971, -0.005082
1.000000, -0.006614, -0.005571, -0.004683
1.020000, -0.006392, -0.004661, -0.005104
1.040000, -0.006170, -0.005504, -0.004683
1.060000, -0.006747, -0.005149, -0.005104
1.080000, -0.006414, -0.005415, -0.004638
1.100000, -0.006347, -0.005482, -0.004638
1.120000, -0.006125, -0.005659, -0.004971
1.140000, -0.006414, -0.005992, -0.004550
1.159999, -0.006414, -0.005038, -0.004772
1.179999, -0.006081, -0.005326, -0.004749
1.199999, -0.006170, -0.005149, -0.004483
1.219999, -0.005992, -0.004883, -0.004439
1.239999, -0.006192, -0.005016, -0.004172
1.259999, -0.005881, -0.005038, -0.004306
1.279999, -0.005903, -0.005238, -0.004039
1.299999, -0.005504, -0.005149, -0.003973
1.319999, -0.006503, -0.004705, -0.003773
1.339999, -0.006347, -0.005104, -0.003640
1.359999, -0.006347, -0.005770, -0.004905
1.379999, -0.006525, -0.005016, -0.004594
1.399999, -0.006725, -0.005970, -0.004017
1.419999, -0.006059, -0.004772, -0.004816
1.439999, -0.006725, -0.005792, -0.004195
1.459999, -0.006347, -0.005349, -0.003507
1.479999, -0.004195, -0.003196, -0.012073
1.499999, -0.003906, -0.001110, -0.007568
1.519999, -0.004306, -0.002286, -0.007790
1.539999, -0.007390, -0.014048, -0.000022
1.559999, -0.008589, -0.004883, 0.004394
1.579999, -0.006658, -0.003640, -0.006259
1.599999, -0.007168, -0.007013, -0.003973
1.619999, -0.006125, -0.003174, -0.006081
1.639999, -0.006081, -0.007856, -0.003462
1.659999, -0.005437, -0.004616, -0.005659
1.679999, -0.005948, 0.010675, -0.015668
1.699999, 0.000333, 0.036397, -0.025300
1.719999, -0.005704, -0.013316, -0.004172
1.739999, -0.008877, -0.031936, 0.008123
1.759999, -0.007413, -0.017067, 0.003240
1.779999, -0.008877, -0.016467, 0.001620
1.799999, -0.006037, -0.004971, -0.002197
1.819999, -0.007124, -0.009632, -0.003728
1.839999, -0.007812, -0.003839, -0.002907
1.859999, -0.007013, -0.003839, -0.004483
1.879999, -0.006569, -0.002796, -0.004461
1.899999, -0.006369, 0.000377, -0.006636
1.919999, -0.006680, 0.004306, -0.007967
1.939999, -0.006947, 0.028674, -0.018909
1.959999, -0.004394, 0.094233, -0.050845
1.979999, -0.013249, 0.243306, -0.131851
1.999999, -0.014248, 0.368343, -0.184205
2.019999, -0.024035, 0.324400, -0.103598
