t, ur1, ur2, ur3
0.000000, 0.920111, 0.109531, -0.211048
0.020000, 0.408958, 0.109087, 0.299428
0.040000, 0.409047, 0.621238, -0.722079
0.060000, 0.920200, 0.109708, 0.300005
0.080000, 0.408514, -0.401101, -0.211381
0.100000, 0.409091, 0.109508, 0.299738
0.120000, 0.409158, 0.109730, 0.299672
0.140000, 0.409158, 0.109375, 1.321966
0.160000, 0.408470, -0.401655, 0.299494
0.180000, 0.920155, 0.108998, 0.810592
0.200000, 0.409025, 0.109398, -0.211226
0.220000, 0.409113, 0.109442, 0.299472
0.240000, 0.408914, 0.109531, -0.722301
0.260000, 0.408204, 0.109708, -1.233265
0.280000, 0.919822, 0.109575, -0.210871
0.300000, 0.408581, -0.401456, -0.721746
0.320000, 0.408603, 0.109531, -0.721968
0.340000, 0.408514, 0.620905, 0.810503
0.360000, 0.408891, 0.109442, 0.811257
0.380000, 0.408958, 0.110108, 0.300093
0.400000, 0.408403, 0.109775, -0.211337
0.420000, 0.920355, -0.401922, -0.211226
0.440000, 0.919867, 0.109220, -0.722567
0.460000, 0.919867, 0.109797, -1.233243
0.480000, 0.920399, 0.109575, -1.232777
0.500000, 0.409069, 0.109486, 0.299516
0.520000, 0.408603, 0.109309, -1.233420
0.540000, 0.408914, 0.109442, -0.211226
0.560000, 0.409557, -0.401256, 0.299583
0.580000, 0.408581, 0.109664, -0.722146
0.600000, 0.409025, 0.109775, -0.211093
0.620000, 0.408781, -0.401500, -0.721924
0.640000, 0.408492, 0.621039, 0.810703
0.660000, 0.408958, 0.109442, -1.233065
0.680000, 0.408403, -0.401389, -0.211448
0.700000, 0.409402, 0.620506, 0.299938
0.720000, 0.408847, -0.401766, -0.211226
0.740000, 0.408714, 0.109508, -0.211115
0.760000, 0.920266, 0.109508, -0.211359
0.780000, 0.920466, 0.109708, -0.722146
0.800000, 0.920133, 0.109353, -0.210937
0.820000, 0.408758, 0.109619, 0.300005
0.840000, 0.408758, -0.400945, -0.722612
0.860000, 0.919778, 0.109908, -0.211426
0.880000, 0.409291, 0.109065, 0.810947
0.900000, 0.920200, 0.109797, 0.300093
0.920000, 0.408647, 0.109864, 0.300138
0.940000, 0.408692, 0.109952, -0.722190
0.960000, 0.409491, -0.401256, -0.210715
0.980000, 0.409025, 0.109486, -1.234108
1.000000, 0.408581, 0.109753, -0.721901
1.020000, 0.408670, 0.108820, 0.810458
1.040000, 0.920111, 0.109486, -0.211248
1.060000, 0.409113, 0.109708, -0.721968
1.080000, 0.409180, 0.109597, -0.721901
1.100000, 0.408781, -0.401101, 0.299605
1.120000, 0.409069, 0.110130, -0.721324
1.140000, 0.408980, 0.109553, 0.299960
1.159999, 0.409247, 0.109819, -0.722634
1.179999, 0.408803, 0.109819, -0.721901
1.199999, 0.408625, -0.400546, -0.211026
1.219999, 0.920044, 0.109997, -0.722234
1.239999, 0.920111, 0.109531, 0.299916
1.259999, 0.408980, 0.621105, 0.299827
1.279999, 0.408625, 0.109841, -0.722478
1.299999, 0.408692, 0.109398, -1.233110
1.319999, 0.409002, -0.401589, -0.721635
1.339999, 0.920066, -0.400945, -0.722035
1.359999, 0.408670, 0.109797, -1.232688
1.379999, 0.409269, 0.109975, -0.211226
