t, tm1, tm2, tm3
0.000000, -1.351829, -5.825408, 4.400830
0.020000, -1.351116, -5.826543, 4.400841
0.040000, -1.351253, -5.824524, 4.400866
0.060000, -1.349817, -5.824608, 4.403204
0.080000, -1.352973, -5.827695, 4.401133
0.100000, -1.351082, -5.826835, 4.402587
0.120000, -1.349393, -5.826567, 4.403548
0.140000, -1.352052, -5.827263, 4.401230
0.160000, -1.350280, -5.822445, 4.398919
0.180000, -1.348805, -5.828071, 4.402561
0.200000, -1.348698, -5.826754, 4.402746
0.220000, -1.348116, -5.829957, 4.403748
0.240000, -1.348835, -5.829792, 4.402436
0.260000, -1.348351, -5.827319, 4.401583
0.280000, -1.347940, -5.826787, 4.403619
0.300000, -1.347976, -5.828539, 4.404697
0.320000, -1.348642, -5.828994, 4.404518
0.340000, -1.345649, -5.826466, 4.401638
0.360000, -1.346577, -5.836458, 4.406569
0.380000, -1.346980, -5.826635, 4.402362
0.400000, -1.347188, -5.828505, 4.404136
0.420000, -1.349184, -5.829507, 4.403686
0.440000, -1.348816, -5.828962, 4.403540
0.460000, -1.347895, -5.831332, 4.404759
0.480000, -1.346660, -5.833665, 4.404754
0.500000, -1.344429, -5.834893, 4.405119
0.520000, -1.344306, -5.838724, 4.402391
0.540000, -1.341532, -5.840372, 4.404705
0.560000, -1.342609, -5.839202, 4.403949
0.580000, -1.340929, -5.835082, 4.403805
0.600000, -1.346414, -5.827323, 4.404719
0.620000, -1.350426, -5.820157, 4.406101
0.640000, -1.355672, -5.811674, 4.405633
0.660000, -1.352866, -5.808552, 4.397924
0.680000, -1.354155, -5.810624, 4.399752
0.700000, -1.350181, -5.815869, 4.398381
0.720000, -1.349462, -5.826896, 4.403317
0.740000, -1.348514, -5.820222, 4.401274
0.760000, -1.348516, -5.823337, 4.402257
0.780000, -1.349856, -5.825290, 4.403664
0.800000, -1.352891, -5.823822, 4.399879
0.820000, -1.350210, -5.826135, 4.402174
0.840000, -1.349757, -5.823617, 4.401156
0.860000, -1.350024, -5.826583, 4.403488
0.880000, -1.350408, -5.822623, 4.401924
0.900000, -1.349303, -5.824580, 4.404548
0.920000, -1.351199, -5.824102, 4.400473
0.940000, -1.350356, -5.823590, 4.404310
0.960000, -1.349993, -5.825300, 4.402306
0.980000, -1.351189, -5.823372, 4.403350
1.000000, -1.350053, -5.825190, 4.402437
1.020000, -1.350578, -5.824971, 4.404541
1.040000, -1.351210, -5.826611, 4.402867
1.060000, -1.351042, -5.824281, 4.404425
1.080000, -1.350263, -5.824296, 4.403744
1.100000, -1.351063, -5.825292, 4.403759
1.120000, -1.350806, -5.825708, 4.403886
1.140000, -1.351614, -5.825375, 4.402853
1.159999, -1.352322, -5.824956, 4.403602
1.179999, -1.352527, -5.826205, 4.405083
1.199999, -1.351958, -5.824671, 4.405232
1.219999, -1.351754, -5.826151, 4.403265
1.239999, -1.351999, -5.826155, 4.405001
1.259999, -1.352410, -5.826206, 4.402670
1.279999, -1.352162, -5.825972, 4.404938
1.299999, -1.352500, -5.826217, 4.403882
1.319999, -1.352631, -5.826447, 4.405112
1.339999, -1.352723, -5.825794, 4.404113
1.359999, -1.350089, -5.823512, 4.407755
1.379999, -1.352799, -5.826566, 4.402732
1.399999, -1.352839, -5.825686, 4.404806
1.419999, -1.352820, -5.826534, 4.405418
1.439999, -1.352547, -5.825946, 4.404991
1.459999, -1.352599, -5.826009, 4.404199
1.479999, -1.353522, -5.826312, 4.403721
1.499999, -1.352940, -5.824862, 4.404812
1.519999, -1.351989, -5.826175, 4.405871
1.539999, -1.353537, -5.827243, 4.404874
1.559999, -1.354065, -5.826190, 4.403985
1.579999, -1.353497, -5.827479, 4.405092
1.599999, -1.352546, -5.827359, 4.404870
1.619999, -1.354012, -5.828069, 4.404417
1.639999, -1.351734, -5.826072, 4.407790
1.659999, -1.352735, -5.825995, 4.405925
1.679999, -1.352625, -5.826194, 4.406427
1.699999, -1.354765, -5.827546, 4.403732
1.719999, -1.354288, -5.827516, 4.405489
1.739999, -1.354216, -5.826544, 4.404275
1.759999, -1.352978, -5.827904, 4.407060
1.779999, -1.354075, -5.825460, 4.404895
1.799999, -1.354179, -5.825980, 4.405116
1.819999, -1.353432, -5.826856, 4.406068
1.839999, -1.353961, -5.827834, 4.405338
1.859999, -1.353436, -5.824831, 4.405332
1.879999, -1.354744, -5.827926, 4.404880
1.899999, -1.354195, -5.825665, 4.405189
1.919999, -1.353890, -5.826495, 4.406018
1.939999, -1.353675, -5.826964, 4.406140
1.959999, -1.352090, -5.825039, 4.404918
1.979999, -1.352040, -5.825954, 4.406229
1.999999, -1.354569, -5.826363, 4.406322
2.019999, -1.354203, -5.827274, 4.406451
2.039999, -1.353313, -5.826464, 4.406282
2.059999, -1.353388, -5.826789, 4.406982
2.079999, -1.353549, -5.827040, 4.406347
2.099999, -1.354726, -5.828401, 4.406258
2.119999, -1.354485, -5.826001, 4.405306
2.139999, -1.353033, -5.825729, 4.407563
2.159999, -1.355076, -5.827514, 4.405950
2.179999, -1.353472, -5.826468, 4.407859
2.199999, -1.354568, -5.828638, 4.407983
2.219999, -1.354973, -5.825602, 4.405684
2.239999, -1.355082, -5.826956, 4.405007
2.259999, -1.354247, -5.825148, 4.408646
2.279999, -1.355286, -5.826099, 4.405725
2.299999, -1.354299, -5.825388, 4.408678
