t, ur1, ur2, ur3
0.000000, 0.919933, 0.619108, 0.299738
0.020000, 0.920444, 0.618264, 0.298629
0.040000, 0.409402, 1.129650, -0.213689
0.060000, 0.409002, 0.618331, -1.234619
0.080000, 0.409069, 0.618797, 1.321234
0.100000, 0.409269, 0.108110, 0.297430
0.120000, 0.409313, 0.107134, -0.724898
0.140000, 0.408847, 0.618664, 0.808661
0.160000, 0.409313, 2.661966, -1.236172
0.180000, 0.409624, 0.106357, -0.215221
0.200000, -0.101473, 0.616933, -0.726273
0.220000, 0.409890, 0.105270, -0.210449
0.240000, 0.410401, 0.617243, 0.300293
0.260000, 0.409624, 0.618841, -0.214155
0.280000, 0.409513, 0.108754, -0.722456
0.300000, 0.409690, 0.107511, -0.720570
0.320000, -0.100963, 0.107422, -0.212868
0.340000, 0.411155, 0.109065, -0.728781
0.360000, 0.409269, -0.409956, -0.208074
0.380000, 0.410268, 0.620595, -0.723965
0.400000, 0.409247, 0.108399, -0.721768
0.420000, 0.408758, 0.108865, 0.301447
0.440000, 0.409136, 0.619529, -0.209850
0.460000, 0.409402, 0.106956, -0.210560
0.480000, 0.409957, 0.104892, -0.212446
0.500000, 0.409513, 0.101874, -1.238281
0.520000, 0.410423, 0.610341, 0.294123
0.540000, 0.410489, 0.097901, -0.726917
0.560000, 0.409291, 0.609986, -0.726096
0.580000, 0.920599, 0.614958, -1.745761
0.600000, 0.409846, 0.116211, -0.205411
0.620000, 0.409313, 0.634488, -0.709074
0.640000, 0.407604, 0.133233, -0.199596
0.660000, 0.919955, 0.642699, -0.216796
0.680000, 0.408026, 0.638127, -0.213645
0.700000, 0.409491, 0.629650, -0.215420
0.720000, 0.408381, 0.108310, -0.208984
0.740000, 0.409224, 0.624168, -1.235063
0.760000, 0.408670, 0.620328, -1.233265
0.780000, -0.102406, 0.619618, -0.721813
0.800000, 0.408914, 0.623458, 1.320968
0.820000, 0.408559, 0.109198, 0.300648
0.840000, 0.409912, 0.621172, -0.212247
0.860000, 0.408492, 0.108288, -0.209051
0.880000, 0.409469, 0.111839, -0.213223
0.900000, 0.408492, 0.108865, -1.230247
0.920000, 0.409002, 0.620883, 0.296520
0.940000, 0.408714, 0.620861, -1.229004
0.960000, 0.409025, 0.109065, -0.214200
0.980000, 0.408714, 0.621704, -0.720370
1.000000, 0.408980, 0.109176, -0.213179
1.020000, 0.408803, 0.109553, -0.719749
1.040000, 0.408781, 0.108820, 0.299405
1.060000, 0.408758, 0.110374, -0.721080
1.080000, 0.408514, 0.619596, -1.232866
1.100000, 0.409402, 0.109997, -0.211070
1.120000, 0.409580, 0.109708, -0.210649
1.140000, 0.408803, 0.620062, -0.211758
1.159999, 0.408891, 0.621016, -0.209739
1.179999, -0.102827, 0.108399, -0.212047
1.199999, 0.408625, 0.110396, -0.720858
1.219999, 0.408825, 0.619396, -0.211603
1.239999, 0.409313, 0.109930, -0.209828
1.259999, 0.409002, 0.620151, 0.299028
1.279999, 0.409269, 0.110041, -0.210316
1.299999, 0.408492, 0.619729, -0.210782
1.319999, 0.408714, 0.109531, -0.211159
1.339999, 0.408869, 0.620506, -0.210493
1.359999, 0.408337, 0.109220, -2.765891
1.379999, 0.920089, 0.620817, 0.300382
1.399999, 0.408670, 0.110108, -0.211936
1.419999, 0.408736, 0.109464, -0.210116
1.439999, 0.409047, 0.109997, -0.211004
1.459999, 0.409335, 0.620328, -0.210826
1.479999, 0.409002, 0.620617, 0.300249
1.499999, 0.408536, 0.620728, -0.721946
1.519999, 0.409069, 0.109264, -0.721702
1.539999, 0.408847, 0.109331, 0.299583
1.559999, 0.408914, 0.620883, 0.299938
1.579999, 0.409091, 0.109287, 0.299894
1.599999, 0.919889, 0.109153, -0.210471
1.619999, 0.409091, 0.109242, 0.810103
1.639999, 0.408980, -0.401056, -1.232732
1.659999, 0.408536, 0.109353, -0.722944
1.679999, 0.409091, 0.109619, -0.721347
1.699999, 0.408758, 0.620151, 0.810614
1.719999, 0.408514, 0.109287, 0.300182
1.739999, 0.408891, 0.620661, 0.300249
1.759999, 0.409002, -0.401744, -0.210582
1.779999, 0.408825, 0.621194, -0.210649
1.799999, 0.408758, 0.620772, -0.210871
1.819999, 0.409202, 0.109619, -0.210782
1.839999, 0.408869, 0.108931, 0.299161
1.859999, 0.408914, 0.621150, -0.721835
1.879999, 0.408825, 0.109375, 0.811058
1.899999, 0.409002, 0.621083, -0.210116
1.919999, 0.408847, 0.109686, -0.211026
1.939999, 0.409025, 0.109287, -0.210826
1.959999, 0.920044, 0.620595, -1.233087
1.979999, 0.919911, 0.109442, -1.232577
1.999999, 0.408403, 0.109775, -0.210582
2.019999, 0.408736, 0.108909, -0.211026
2.039999, 0.919889, 0.109730, -0.720770
2.059999, 0.408980, 0.108887, -0.721746
2.079999, 0.919911, -0.400657, -0.210649
2.099999, 0.409380, -0.401056, 0.811346
2.119999, 0.408958, 0.620484, -0.210782
2.139999, 0.408958, 0.109375, -1.232089
2.159999, 0.408581, 0.109198, 0.300049
2.179999, 0.408891, -0.401056, -0.721679
2.199999, 0.408714, -0.912353, 0.300005
2.219999, 0.409202, 0.621150, -0.210249
2.239999, 0.409291, 0.620240, 0.299894
2.259999, -0.102095, 0.109597, -1.232910
2.279999, 0.408581, 0.620395, -0.210849
2.299999, -0.102250, 0.109264, -1.233021
2.319999, 0.408758, 0.621061, -0.210959
2.339998, 0.408226, 1.128185, -0.720459
2.359998, 0.409202, 0.626676, -0.209739
2.379998, 0.407405, 0.099610, -0.730712
2.399998, 0.411399, 0.118941, -0.709473
2.419998, 0.406162, 0.612206, -1.754660
2.439998, 0.411865, 0.114835, -0.204124
2.459998, 0.407382, -0.405184, -0.722656
2.479998, 0.410090, 0.112083, -0.723366
2.499998, 0.408581, 0.619197, 0.813787
2.519998, 0.409091, -0.400546, 0.296720
2.539998, 0.408492, 0.109242, -0.717840
2.559998, 0.409091, 0.109930, -0.725785
2.579998, 0.408936, 0.108820, 0.304310
2.599998, -0.101540, -0.400745, -0.726052
2.619998, 0.408825, 1.130671, 0.303178
2.639998, 0.409313, 0.110019, -1.745472
2.659998, 0.409158, 0.109042, -1.232022
2.679998, 0.408803, 0.109331, -0.722589
2.699998, -0.101629, 0.109841, -0.210760
2.719998, 0.408248, -0.402565, -0.721546
2.739998, 0.409557, 0.110552, -0.212224
2.759998, -0.102494, 0.108865, 0.302246
2.779998, 0.408647, 0.109553, -0.723743
2.799998, 0.409224, 0.621593, -0.208518
2.819998, 0.408980, -0.401811, 0.297719
2.839998, 0.409069, 0.621305, -1.230202
2.859998, 0.919179, 0.108266, 0.297541
2.879998, 0.409269, 0.110640, -0.719771
2.899998, 0.408492, 0.619441, -1.234574
2.919998, 0.409469, 0.110063, 0.301381
2.939998, 0.408647, 0.109153, -1.233598
2.959998, 0.409069, 0.109886, -0.721236
2.979998, 0.408891, 0.620972, -0.721347
2.999998, 0.408936, 0.109797, -0.211248
3.019998, 0.409113, 0.621016, -0.721236
3.039998, 0.920422, 0.109331, 0.810392
3.059998, 0.408847, -0.401544, 0.301336
3.079998, 0.408736, 0.620173, -0.723011
3.099998, 0.920155, 0.621682, -0.721280
3.119998, 0.409047, 0.109353, 0.810214
3.139998, 0.409424, 0.109619, -0.721480
3.159998, 0.409047, 0.620328, -0.211004
3.179998, 0.409424, 0.620772, -0.721546
3.199998, 0.920222, 0.108909, -0.211115
3.219998, 0.408914, 0.109952, -0.722301
3.239998, 0.408536, 0.109575, -0.720747
3.259998, 0.409025, 0.109975, -0.722345
3.279998, 0.409402, 0.109464, -0.210072
3.299998, -0.101274, 0.109442, -0.722856
3.319998, 0.408314, 0.108754, -0.209117
3.339998, 0.408625, 0.108820, 0.299028
3.359998, 0.408647, 0.110485, -0.210604
3.379997, 0.411422, 0.613759, -0.209206
3.399997, 0.405918, 0.603972, -0.721635
3.419997, 0.409868, 0.109042, 0.304643
3.439997, 0.408425, 0.610563, -0.719948
3.459997, 0.411666, 0.105669, -0.209694
3.479997, 0.411533, 0.109242, -0.209339
3.499997, 0.409668, 0.112238, -0.723522
3.519997, 0.403321, 0.120073, -0.722589
3.539997, 0.407294, 0.118031, -1.233420
3.559997, 0.406450, 0.106224, -1.741322
3.579997, 0.406717, 0.114635, -0.216796
3.599997, 0.916560, 0.610874, 1.325184
3.619997, 0.406850, 0.095194, -0.209095
3.639997, 0.410090, 0.613804, 0.301159
3.659997, 0.411200, 0.105602, -0.210715
3.679997, 0.410911, 0.104360, -0.718506
3.699997, 0.409957, 0.620018, 0.305087
3.719997, 0.405230, 0.625988, -0.207098
3.739997, 0.402921, 0.633578, -0.211093
3.759997, 0.403388, 0.110396, 0.303223
3.779997, 0.404253, 0.102029, -0.205855
3.799997, 0.399903, 0.101963, 0.306929
3.819997, 0.394111, 0.112039, -0.202859
3.839997, 0.390116, 0.116255, 0.314985
3.859997, -0.126729, 0.125110, -0.720082
3.879997, 0.388207, 0.131302, -1.235573
3.899997, 0.367834, -0.387518, 0.300093
3.919997, 0.342578, 0.614492, -0.203747
3.939997, 0.328263, 0.621061, -0.717507
3.959997, 0.825012, -0.392667, -0.722123
3.979997, 0.295705, 0.119584, -0.725608
3.999997, -0.222893, 0.118208, -0.211825
4.019997, 0.294796, 0.109841, 0.303378
4.039997, 0.296238, 2.671176, -0.211359
4.059997, 0.792632, 0.120183, -0.721280
4.079997, 0.277218, 0.101275, 0.819913
4.099997, -0.228042, 0.610785, -1.228094
4.119997, 0.298435, 0.112305, 0.301758
4.139997, 0.812229, 0.625633, 0.296232
4.159997, 0.285985, 0.615912, 0.297408
4.179997, 0.801465, 0.093263, -0.205345
4.199997, 0.289980, 0.613870, 0.308394
4.219997, 0.788038, 1.142367, -1.235196
4.239997, 0.255957, 0.119118, -1.233132
4.259997, 0.236716, 0.608189, 0.311190
4.279997, 0.242375, 0.095105, -0.202482
4.299997, 0.248434, 0.122447, 0.301935
4.319997, 0.241465, 0.630582, -0.207786
4.339997, 0.280237, 1.651045, -1.231933
4.359997, 0.866070, 0.119362, 0.286666
4.379997, 0.399304, 0.615135, 0.275259
4.399997, 0.411999, 0.098789, -0.730424
4.419997, 0.428022, 0.629827, 0.294257
4.439997, 0.944257, 0.610563, -1.238680
4.459997, 0.416193, -0.413041, 0.809637
4.479997, 0.412576, 0.623369, -0.214133
4.499997, 0.411488, 0.110685, 0.297652
4.519997, 0.409757, 0.106069, 0.810370
4.539997, 0.410112, 0.109864, -1.234064
4.559997, 0.409469, 15.439964, -0.211914
4.579997, 0.409069, -0.403231, 0.298651
4.599997, 0.408803, 0.619685, -0.722634
4.619997, 0.919867, 0.108998, -2.255504
4.639997, 0.409313, 0.109264, -0.722523
4.659997, 0.409202, 0.620550, 0.299383
4.679996, 0.408758, 0.109198, 0.300160
4.699996, 0.408847, 0.109420, -0.722301
4.719996, 0.409247, 0.109575, 0.299894
4.739996, 0.408847, 0.109864, 0.299672
4.759996, 0.408781, 0.620683, -0.722390
4.779996, 0.409513, 0.629294, -0.724143
4.799996, 0.410223, 0.120694, 0.807218
4.819996, 0.408670, 0.110907, -0.723144
4.839996, 0.408337, 0.098323, -0.209095
4.859996, 0.408292, 0.096636, -0.718972
