t, x2_estimate, x2_phiobs, x2_fullobs
0.000000, -0.005149, -0.007378, -0.204430
0.040000, -0.005393, -0.007027, -0.204810
0.060000, -0.005215, -0.007051, -0.205190
0.080000, -0.005593, -0.007018, -0.205426
0.100000, -0.005748, -0.008408, -0.204401
0.120000, -0.005393, -0.007979, -0.204982
0.140000, -0.005304, -0.007594, -0.205326
0.160000, -0.005260, -0.007381, -0.205562
0.180000, -0.005504, -0.007281, -0.205725
0.200000, -0.005193, -0.008542, -0.204593
0.220000, -0.005460, -0.008878, -0.203593
0.240000, -0.005726, -0.007942, -0.204233
0.260000, -0.005859, -0.007672, -0.204837
0.280000, -0.005082, -0.007681, -0.205369
0.300000, -0.005415, -0.007280, -0.205528
0.320000, -0.005571, -0.008436, -0.204422
0.340000, -0.005193, -0.010137, -0.202270
0.360000, -0.005792, -0.007109, -0.204461
0.380000, -0.005881, -0.007255, -0.205069
0.400000, -0.005171, -0.007472, -0.205586
0.420000, -0.005460, -0.008360, -0.204422
0.440000, -0.005615, -0.007732, -0.204930
0.460000, -0.005082, -0.008684, -0.204053
0.480000, -0.005326, -0.006483, -0.205852
0.500000, -0.005304, -0.007962, -0.204679
0.520000, -0.005371, -0.008602, -0.203743
0.540000, -0.005460, -0.008853, -0.203032
0.560000, -0.005460, -0.008926, -0.202515
0.600000, -0.005371, -0.006607, -0.204794
0.620000, -0.005770, -0.006735, -0.205236
0.640000, -0.005282, -0.009388, -0.203054
0.660000, -0.004838, -0.007951, -0.203847
0.680000, -0.005326, -0.008127, -0.202994
0.700000, -0.005881, -0.008405, -0.202490
0.720000, -0.004017, -0.007678, -0.203635
0.740000, -0.005637, -0.007413, -0.202590
0.760000, -0.005526, -0.007007, -0.203640
0.780000, -0.005681, -0.006853, -0.204451
0.800000, -0.005681, -0.008107, -0.203819
0.820000, -0.029007, -0.007559, -0.204665
0.840000, -0.004927, -0.023824, -0.210726
0.860000, -0.007790, -0.015920, -0.210380
0.880000, -0.002419, -0.014410, -0.209748
0.900000, -0.001221, -0.009043, -0.208761
0.920000, -0.013205, -0.005374, -0.207486
0.940000, -0.009299, -0.010677, -0.210497
0.960000, -0.010608, -0.011457, -0.211667
0.980000, -0.005571, -0.012782, -0.213068
1.000000, -0.007368, -0.011674, -0.211154
1.020000, -0.002641, -0.010813, -0.211532
1.040000, -0.002175, -0.007526, -0.210186
1.060000, -0.003928, -0.006547, -0.207520
1.080000, -0.000843, -0.006869, -0.205918
1.100000, 0.002952, -0.002773, -0.206220
1.120000, 0.009166, 0.001546, -0.205052
1.140000, 0.024501, 0.007540, -0.201824
1.159999, 0.037951, 0.018980, -0.192401
1.179999, 0.035132, 0.033828, -0.179811
1.199999, 0.043699, 0.040728, -0.170130
1.219999, 0.067157, 0.049966, -0.158999
1.239999, 0.102888, 0.069609, -0.141531
1.259999, 0.136822, 0.100458, -0.111832
1.279999, 0.169957, 0.141668, -0.077907
1.299999, 0.221867, 0.185544, -0.037853
1.319999, 0.241863, 0.242408, 0.013839
1.339999, 0.205155, 0.286227, 0.065758
1.359999, 0.159037, 0.289387, 0.097014
1.379999, 0.145144, 0.262190, 0.108936
1.399999, 0.158305, 0.240680, 0.111525
1.419999, 0.210082, 0.236106, 0.118358
1.439999, 0.301075, 0.264840, 0.142011
1.459999, 0.378840, 0.335561, 0.194671
1.479999, 0.465194, 0.424982, 0.264536
1.499999, 0.556587, 0.529038, 0.353303
1.519999, 0.638524, 0.643509, 0.461115
1.539999, 0.740880, 0.760765, 0.579034
1.559999, 0.852601, 0.890667, 0.713942
1.579999, 0.949031, 1.033600, 0.866448
1.599999, 1.040157, 1.173640, 1.029940
1.619999, 1.129818, 1.311303, 1.198182
1.639999, 1.192980, 1.445307, 1.371410
1.659999, 1.233949, 1.561097, 1.539808
1.679999, 1.260626, 1.651754, 1.697902
1.699999, 1.266574, 1.720588, 1.841037
1.719999, 1.264266, 1.764169, 1.964489
1.739999, 1.262779, 1.786983, 2.069874
1.759999, 1.241473, 1.800777, 2.157584
1.779999, 1.182239, 1.795857, 2.225041
1.799999, 1.088561, 1.759301, 2.259756
1.819999, 0.980790, 1.678516, 2.260533
1.839999, 0.905999, 1.567573, 2.223668
1.859999, 0.883117, 1.457895, 2.167753
1.879999, 0.869135, 1.380553, 2.113552
1.899999, 0.847452, 1.327294, 2.063840
1.919999, 0.828300, 1.283256, 2.015255
1.939999, 0.808547, 1.246092, 1.968482
