t, ur1, ur2, ur3
0.000000, 0.408825, 0.620861, -0.211781
0.020000, -0.102561, -0.401389, 0.809970
0.040000, 0.408714, 0.109442, 0.299516
0.060000, 0.408514, 0.620417, 0.810458
0.080000, -0.102272, 0.109486, 0.299472
0.100000, -0.102361, 0.109730, -0.211914
0.120000, 0.408736, 0.108843, 0.299095
0.140000, 0.408536, 0.109753, 0.299250
0.160000, 0.408314, 0.620284, -1.744540
0.180000, 0.408448, 0.109753, -0.212202
0.200000, -0.102028, 0.109664, -0.211803
0.220000, 0.408891, -0.401145, 0.299650
0.240000, -0.101917, 0.109819, -0.211914
0.260000, 0.409291, 0.620328, -0.211847
0.280000, 0.408292, 0.109841, -0.723011
0.300000, 0.408337, -0.401944, 0.299561
0.320000, 0.408936, 0.110196, -0.212513
0.340000, 0.920244, -0.400901, 0.809526
0.360000, 0.408847, 0.109242, 0.811102
0.380000, 0.408736, -1.424005, 0.299583
0.400000, 0.409224, 0.109997, -0.211736
0.420000, 0.408958, 0.109730, -0.723055
0.440000, -0.102472, 0.110108, -0.211869
0.460000, 0.408958, 0.108488, 0.299783
0.480000, 0.408803, 0.110152, -0.211758
0.500000, -0.102561, 0.109264, -0.212025
0.520000, -0.102184, 0.110263, -0.211647
0.540000, 0.408980, 0.619907, -0.211803
0.560000, 0.408758, 0.109975, -0.212247
0.580000, 0.919933, 0.109864, 0.299184
0.600000, -0.102428, 0.109775, -0.211204
0.620000, 0.408692, 0.109087, 0.299428
0.640000, 0.408914, -0.401389, -0.723033
0.660000, 0.408825, 0.110174, 0.298939
0.680000, 0.408692, 0.109575, 0.299339
0.700000, 0.408869, 0.109930, -0.722234
0.720000, -0.102317, 0.109642, -0.722811
0.740000, 0.408625, 0.109176, 0.299650
0.760000, 0.408914, -0.401433, -0.211559
0.780000, 0.409091, -7.044666, -0.212114
0.800000, 0.408847, 0.109664, 0.299583
0.820000, 0.408581, 0.109109, -0.212114
0.840000, 0.408337, 0.109864, 0.299050
0.860000, 0.408869, 0.110086, 0.298451
0.880000, -0.102894, -0.401922, 0.299539
0.900000, 0.408714, 0.110019, -0.211337
0.920000, 0.408559, 0.109486, -0.722700
0.940000, 0.408914, 0.110507, 0.299250
0.960000, 0.409002, 0.109708, 0.299161
0.980000, -0.101362, -0.400967, -0.723100
1.000000, 0.408425, 0.620528, -0.722700
1.020000, 0.408647, 0.110330, 0.298851
1.040000, 0.408869, 0.109486, -0.211714
1.060000, 0.408292, 0.109841, -0.212136
1.080000, -0.102361, -0.401411, 0.299317
1.100000, 0.408692, -0.401478, -0.211670
1.120000, 0.408914, 0.109331, 0.298984
1.140000, 0.919734, 0.108998, 0.810392
1.159999, 0.408625, 0.109952, -0.211803
1.179999, 0.408958, 0.109664, 0.810192
1.199999, 0.408869, 0.109841, -0.722501
1.219999, 0.409047, 0.110108, -0.722456
1.239999, 0.408847, 0.621083, -0.722190
1.259999, 0.409158, 0.109952, -0.722323
1.279999, 0.409136, -0.401234, -0.722057
1.299999, 0.409535, -1.934104, -0.211004
1.319999, 0.408536, 0.621394, -0.210804
1.339999, 0.408692, 0.620994, -0.721657
1.359999, -0.102295, 0.109220, 0.299050
1.379999, 0.408514, 0.109975, -0.211625
1.399999, 0.408314, -0.401966, -0.211048
1.419999, -0.102006, 0.110219, -0.211847
1.439999, -0.102672, -0.401789, 0.299761
1.459999, -0.102295, 0.620750, 0.811435
1.479999, -0.100142, -0.399192, 0.802868
1.499999, 0.411133, 0.113881, 0.296387
1.519999, 0.410734, -0.398282, -0.214821
1.539999, -0.103338, -0.410044, 0.303933
1.559999, -0.104536, -0.400879, -0.713623
1.579999, -0.102605, -0.399636, 0.297697
1.599999, 0.407871, 0.107977, 0.299982
1.619999, 0.408914, -0.399170, -0.213112
1.639999, 0.408958, 0.107134, 0.300493
1.659999, 0.409602, 0.110374, -0.212691
1.679999, 0.409091, 0.125665, -0.733686
1.699999, 0.415372, 0.151387, -0.232332
1.719999, 0.409335, 0.101674, 0.299783
1.739999, -0.104825, 0.083054, 0.312078
