t, x2_estimate, x2_phiobs, x2_fullobs
0.000000, -0.004883, -0.006951, -0.203887
0.040000, -0.005349, -0.006447, -0.204499
0.060000, -0.005837, -0.006553, -0.205135
0.080000, -0.005881, -0.008133, -0.204469
0.100000, -0.004971, -0.008909, -0.203968
0.120000, -0.005038, -0.005280, -0.207275
0.140000, -0.005593, -0.007220, -0.205887
0.160000, -0.005060, -0.007319, -0.206292
0.180000, -0.005349, -0.007106, -0.206420
0.200000, -0.004905, -0.008333, -0.205266
0.220000, -0.005704, -0.008571, -0.204192
0.240000, -0.005926, -0.007905, -0.204943
0.260000, -0.005571, -0.007765, -0.205619
0.280000, -0.005127, -0.007554, -0.206037
0.300000, -0.005038, -0.008361, -0.204874
0.320000, -0.005326, -0.007462, -0.205248
0.340000, -0.004860, -0.007210, -0.205631
0.360000, -0.005349, -0.007984, -0.204432
0.380000, -0.005770, -0.008552, -0.203641
0.400000, -0.005415, -0.008996, -0.203169
0.420000, -0.004994, -0.008926, -0.202696
0.440000, -0.005326, -0.008541, -0.202195
0.460000, -0.005215, -0.008452, -0.201928
0.480000, -0.005104, -0.007148, -0.203036
0.500000, -0.005326, -0.006518, -0.203887
0.520000, -0.005615, -0.006440, -0.204639
0.540000, -0.004860, -0.006689, -0.205333
0.560000, -0.005371, -0.008731, -0.202959
0.600000, -0.005571, -0.008696, -0.202589
0.620000, -0.005437, -0.008720, -0.202384
0.640000, -0.004993, -0.008592, -0.202202
0.660000, -0.005815, -0.007068, -0.203262
0.680000, -0.005704, -0.006884, -0.204388
0.700000, -0.004994, -0.006866, -0.205255
0.720000, -0.005437, -0.006545, -0.205700
0.740000, -0.005593, -0.006727, -0.206186
0.760000, -0.005215, -0.007003, -0.206611
0.780000, -0.004927, -0.008125, -0.205473
0.800000, -0.005482, -0.008411, -0.204461
0.820000, -0.005526, -0.007635, -0.205175
0.840000, -0.005526, -0.008464, -0.204420
0.860000, -0.005326, -0.008801, -0.203828
0.880000, -0.005171, -0.008762, -0.203302
0.900000, -0.005748, -0.008557, -0.202843
0.920000, -0.005326, -0.007589, -0.204023
0.940000, -0.005282, -0.006953, -0.204827
0.960000, -0.005371, -0.006700, -0.205446
0.980000, -0.005548, -0.006719, -0.205958
1.000000, -0.005082, -0.006927, -0.206413
1.020000, -0.005215, -0.006833, -0.206601
1.040000, -0.005016, -0.008047, -0.205439
1.060000, -0.005127, -0.008436, -0.204439
1.080000, -0.005038, -0.007446, -0.205014
1.100000, -0.004683, -0.008067, -0.204097
1.120000, -0.005127, -0.008066, -0.203247
1.140000, -0.005304, -0.007092, -0.204058
1.159999, -0.004394, -0.007913, -0.203429
1.179999, -0.004328, -0.007713, -0.202630
1.199999, -0.002064, -0.007463, -0.201972
1.219999, 0.005349, -0.005866, -0.200683
1.239999, 0.000311, 0.000758, -0.198415
1.259999, -0.010253, 0.000196, -0.196843
1.279999, -0.011851, -0.006471, -0.199177
1.299999, -0.006214, -0.011221, -0.201730
1.319999, -0.004838, -0.009346, -0.203312
1.339999, 0.006103, -0.006488, -0.205459
1.359999, 0.019419, 0.001435, -0.203388
1.379999, 0.041701, 0.012675, -0.195618
1.399999, 0.115383, 0.030455, -0.178725
1.419999, 0.253781, 0.088289, -0.142003
1.439999, 0.375378, 0.205802, -0.063483
1.459999, 0.373558, 0.348685, 0.043273
1.479999, 0.278393, 0.428626, 0.134285
1.499999, 0.202958, 0.416877, 0.178595
1.519999, 0.198031, 0.364234, 0.190244
1.539999, 0.296237, 0.329767, 0.199853
1.559999, 0.442469, 0.371040, 0.240375
1.579999, 0.566241, 0.483825, 0.324916
1.599999, 0.671038, 0.624217, 0.438929
1.619999, 0.800669, 0.767883, 0.572658
1.639999, 0.977439, 0.929942, 0.730162
1.659999, 1.158070, 1.131277, 0.923960
1.679999, 1.308319, 1.358736, 1.148457
1.699999, 1.430161, 1.581403, 1.389925
1.719999, 1.509812, 1.784059, 1.636048
1.739999, 1.551181, 1.950656, 1.870370
1.759999, 1.576370, 2.070674, 2.084420
1.779999, 1.563831, 2.155395, 2.274462
1.799999, 1.470087, 2.197908, 2.430037
1.819999, 1.334285, 2.164131, 2.531470
1.839999, 1.224118, 2.062133, 2.571396
1.859999, 1.144044, 1.936336, 2.568218
1.879999, 1.069896, 1.815082, 2.539002
1.899999, 0.990311, 1.701153, 2.488505
1.919999, 0.889132, 1.585615, 2.420916
1.939999, 0.777366, 1.458530, 2.328727
1.959999, 0.683222, 1.315815, 2.214861
1.979999, 0.616864, 1.175066, 2.088619
