t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, 468.000000, -4397.000000, -13713.000000, 35.000000, 91.000000, 97.000000
0.020000, 463.000000, -4406.000000, -13745.000000, 39.000000, 89.000000, 100.000000
0.040000, 463.000000, -4392.000000, -13690.000000, 39.000000, 99.000000, 102.000000
0.060000, 459.000000, -4395.000000, -13694.000000, 32.000000, 103.000000, 96.000000
0.080000, 466.000000, -4409.000000, -13717.000000, 39.000000, 94.000000, 94.000000
0.100000, 490.000000, -4402.000000, -13707.000000, 37.000000, 101.000000, 101.000000
0.120000, 489.000000, -4393.000000, -13745.000000, 41.000000, 93.000000, 90.000000
0.140000, 462.000000, -4397.000000, -13688.000000, 36.000000, 104.000000, 97.000000
0.160000, 465.000000, -4405.000000, -13710.000000, 38.000000, 100.000000, 98.000000
0.180000, 472.000000, -4413.000000, -13675.000000, 30.000000, 95.000000, 106.000000
0.200000, 473.000000, -4392.000000, -13709.000000, 24.000000, 94.000000, 102.000000
0.220000, 469.000000, -4399.000000, -13721.000000, 36.000000, 92.000000, 95.000000
0.240000, 458.000000, -4397.000000, -13679.000000, 36.000000, 95.000000, 99.000000
0.260000, 453.000000, -4370.000000, -13724.000000, 37.000000, 97.000000, 83.000000
0.280000, 467.000000, -4398.000000, -13699.000000, 36.000000, 95.000000, 90.000000
0.300000, 435.000000, -4390.000000, -13715.000000, 39.000000, 86.000000, 97.000000
0.320000, 474.000000, -4399.000000, -13668.000000, 41.000000, 84.000000, 87.000000
0.340000, 466.000000, -4404.000000, -13706.000000, 33.000000, 99.000000, 106.000000
0.360000, 438.000000, -4403.000000, -13707.000000, 34.000000, 96.000000, 90.000000
0.380000, 453.000000, -4407.000000, -13675.000000, 31.000000, 101.000000, 88.000000
0.400000, 467.000000, -4405.000000, -13684.000000, 36.000000, 98.000000, 99.000000
0.420000, 485.000000, -4425.000000, -13704.000000, 32.000000, 93.000000, 89.000000
0.440000, 463.000000, -4377.000000, -13702.000000, 37.000000, 86.000000, 97.000000
0.460000, 453.000000, -4402.000000, -13711.000000, 45.000000, 79.000000, 106.000000
0.480000, 458.000000, -4402.000000, -13694.000000, 40.000000, 94.000000, 102.000000
0.500000, 464.000000, -4400.000000, -13685.000000, 41.000000, 98.000000, 92.000000
0.520000, 485.000000, -4416.000000, -13690.000000, 42.000000, 98.000000, 93.000000
0.540000, 477.000000, -4407.000000, -13693.000000, 41.000000, 96.000000, 94.000000
0.560000, 450.000000, -4411.000000, -13692.000000, 36.000000, 98.000000, 99.000000
0.580000, 461.000000, -4398.000000, -13725.000000, 44.000000, 99.000000, 97.000000
0.600000, 489.000000, -4387.000000, -13723.000000, 37.000000, 95.000000, 100.000000
0.620000, 465.000000, -4406.000000, -13680.000000, 46.000000, 105.000000, 101.000000
0.640000, 451.000000, -4378.000000, -13715.000000, 36.000000, 94.000000, 96.000000
0.660000, 455.000000, -4408.000000, -13729.000000, 46.000000, 91.000000, 110.000000
0.680000, 475.000000, -4423.000000, -13710.000000, 45.000000, 93.000000, 99.000000
0.700000, 457.000000, -4404.000000, -13702.000000, 41.000000, 98.000000, 95.000000
0.720000, 469.000000, -4398.000000, -13708.000000, 32.000000, 98.000000, 91.000000
0.740000, 452.000000, -4403.000000, -13701.000000, 40.000000, 96.000000, 95.000000
0.760000, 446.000000, -4391.000000, -13709.000000, 34.000000, 93.000000, 98.000000
0.780000, 456.000000, -4376.000000, -13722.000000, 35.000000, 96.000000, 103.000000
0.800000, 458.000000, -4394.000000, -13714.000000, 40.000000, 87.000000, 95.000000
0.820000, 468.000000, -4393.000000, -13695.000000, 35.000000, 94.000000, 95.000000
0.840000, 447.000000, -4388.000000, -13655.000000, 40.000000, 106.000000, 93.000000
0.860000, 458.000000, -4414.000000, -13700.000000, 39.000000, 87.000000, 102.000000
0.880000, 453.000000, -4400.000000, -13713.000000, 32.000000, 95.000000, 86.000000
0.900000, 463.000000, -4372.000000, -13701.000000, 43.000000, 110.000000, 93.000000
0.920000, 446.000000, -4402.000000, -13692.000000, 35.000000, 96.000000, 99.000000
0.940000, 459.000000, -4396.000000, -13706.000000, 43.000000, 100.000000, 95.000000
0.960000, 478.000000, -4395.000000, -13722.000000, 33.000000, 101.000000, 105.000000
0.980000, 432.000000, -4378.000000, -13704.000000, 43.000000, 99.000000, 106.000000
1.000000, 475.000000, -4394.000000, -13696.000000, 53.000000, 99.000000, 99.000000
1.020000, 475.000000, -4396.000000, -13704.000000, 42.000000, 88.000000, 86.000000
1.040000, 454.000000, -4369.000000, -13689.000000, 41.000000, 83.000000, 90.000000
1.060000, 480.000000, -4390.000000, -13699.000000, 43.000000, 81.000000, 102.000000
1.080000, 449.000000, -4396.000000, -13739.000000, 29.000000, 99.000000, 97.000000
1.100000, 486.000000, -4401.000000, -13695.000000, 40.000000, 101.000000, 101.000000
1.120000, 443.000000, -4391.000000, -13672.000000, 33.000000, 87.000000, 94.000000
1.140000, 456.000000, -4387.000000, -13698.000000, 40.000000, 86.000000, 95.000000
1.159999, 457.000000, -4387.000000, -13674.000000, 40.000000, 97.000000, 98.000000
1.179999, 477.000000, -4384.000000, -13702.000000, 41.000000, 104.000000, 95.000000
1.199999, 457.000000, -4384.000000, -13660.000000, 39.000000, 91.000000, 100.000000
1.219999, 459.000000, -4377.000000, -13674.000000, 35.000000, 102.000000, 98.000000
1.239999, 467.000000, -4391.000000, -13691.000000, 40.000000, 98.000000, 98.000000
1.259999, 481.000000, -4390.000000, -13691.000000, 34.000000, 92.000000, 98.000000
1.279999, 474.000000, -4398.000000, -13683.000000, 37.000000, 89.000000, 95.000000
1.299999, 473.000000, -4413.000000, -13709.000000, 34.000000, 93.000000, 99.000000
1.319999, 451.000000, -4407.000000, -13685.000000, 31.000000, 94.000000, 97.000000
1.339999, 450.000000, -4412.000000, -13698.000000, 48.000000, 87.000000, 91.000000
1.359999, 438.000000, -4404.000000, -13693.000000, 39.000000, 99.000000, 95.000000
1.379999, 475.000000, -4420.000000, -13706.000000, 38.000000, 80.000000, 92.000000
1.399999, 465.000000, -4401.000000, -13687.000000, 40.000000, 103.000000, 101.000000
1.419999, 449.000000, -4414.000000, -13669.000000, 44.000000, 89.000000, 107.000000
1.439999, 443.000000, -4405.000000, -13689.000000, 32.000000, 100.000000, 91.000000
1.459999, 464.000000, -4400.000000, -13731.000000, 36.000000, 97.000000, 97.000000
1.479999, 459.000000, -4397.000000, -13699.000000, 36.000000, 96.000000, 92.000000
1.499999, 484.000000, -4396.000000, -13684.000000, 36.000000, 81.000000, 104.000000
1.519999, 456.000000, -4394.000000, -13719.000000, 23.000000, 98.000000, 105.000000
1.539999, 478.000000, -4391.000000, -13700.000000, 33.000000, 100.000000, 98.000000
1.559999, 480.000000, -4398.000000, -13727.000000, 45.000000, 98.000000, 102.000000
1.579999, 460.000000, -4399.000000, -13712.000000, 38.000000, 91.000000, 98.000000
1.599999, 465.000000, -4414.000000, -13703.000000, 29.000000, 98.000000, 106.000000
1.619999, 437.000000, -4399.000000, -13706.000000, 40.000000, 89.000000, 102.000000
1.639999, 465.000000, -4416.000000, -13726.000000, 48.000000, 97.000000, 102.000000
1.659999, 460.000000, -4386.000000, -13700.000000, 38.000000, 105.000000, 100.000000
1.679999, 488.000000, -4400.000000, -13713.000000, 39.000000, 96.000000, 94.000000
1.699999, 463.000000, -4400.000000, -13715.000000, 31.000000, 91.000000, 86.000000
1.719999, 445.000000, -4408.000000, -13698.000000, 31.000000, 88.000000, 99.000000
1.739999, 456.000000, -4396.000000, -13704.000000, 31.000000, 93.000000, 101.000000
1.759999, 477.000000, -4402.000000, -13727.000000, 28.000000, 99.000000, 104.000000
1.779999, 446.000000, -4423.000000, -13722.000000, 28.000000, 97.000000, 98.000000
1.799999, 456.000000, -4387.000000, -13690.000000, 28.000000, 83.000000, 104.000000
1.819999, 460.000000, -4417.000000, -13696.000000, 44.000000, 90.000000, 92.000000
1.839999, 515.000000, -4406.000000, -13764.000000, 36.000000, 101.000000, 96.000000
1.859999, 456.000000, -4383.000000, -13736.000000, 39.000000, 97.000000, 88.000000
1.879999, 450.000000, -4402.000000, -13687.000000, 25.000000, 104.000000, 101.000000
1.899999, 479.000000, -4402.000000, -13711.000000, 40.000000, 101.000000, 95.000000
1.919999, 480.000000, -4402.000000, -13746.000000, 35.000000, 93.000000, 93.000000
1.939999, 431.000000, -4413.000000, -13710.000000, 34.000000, 101.000000, 92.000000
1.959999, 446.000000, -4380.000000, -13730.000000, 33.000000, 105.000000, 107.000000
1.979999, 471.000000, -4365.000000, -13704.000000, 30.000000, 107.000000, 97.000000
1.999999, 472.000000, -4416.000000, -13721.000000, 34.000000, 86.000000, 97.000000
2.019999, 485.000000, -4383.000000, -13682.000000, 33.000000, 96.000000, 99.000000
2.039999, 477.000000, -4382.000000, -13708.000000, 42.000000, 92.000000, 106.000000
2.059999, 451.000000, -4391.000000, -13729.000000, 39.000000, 97.000000, 97.000000
2.079999, 491.000000, -4407.000000, -13725.000000, 26.000000, 99.000000, 98.000000
2.099999, 485.000000, -4401.000000, -13687.000000, 33.000000, 101.000000, 96.000000
