t, tm1, tm2, tm3
0.000000, -0.628522, -5.163570, 3.550305
0.020000, -0.627650, -5.164224, 3.550435
0.040000, -0.629035, -5.164279, 3.549986
0.060000, -0.629902, -5.165762, 3.548813
0.080000, -0.628483, -5.165518, 3.551114
0.100000, -0.629686, -5.164231, 3.550983
0.120000, -0.629645, -5.165628, 3.551587
0.140000, -0.629780, -5.164162, 3.550951
0.160000, -0.629966, -5.163772, 3.551134
0.180000, -0.629029, -5.164201, 3.552746
0.200000, -0.630186, -5.164205, 3.551448
0.220000, -0.629797, -5.163274, 3.551749
0.240000, -0.631184, -5.165322, 3.550246
0.260000, -0.629276, -5.164064, 3.552811
0.280000, -0.630958, -5.164868, 3.551858
0.300000, -0.630978, -5.164333, 3.549879
0.320000, -0.629781, -5.164806, 3.551453
0.340000, -0.629703, -5.163245, 3.551054
0.360000, -0.630643, -5.164958, 3.552705
0.380000, -0.630140, -5.164693, 3.552585
0.400000, -0.628711, -5.163249, 3.551603
0.420000, -0.631956, -5.162329, 3.550828
0.440000, -0.630280, -5.164603, 3.552658
0.460000, -0.630372, -5.164788, 3.552043
0.480000, -0.632374, -5.164425, 3.551381
0.500000, -0.631124, -5.164531, 3.553075
0.520000, -0.632129, -5.165381, 3.552995
0.540000, -0.631255, -5.165941, 3.553499
0.560000, -0.630769, -5.163707, 3.552665
0.580000, -0.631054, -5.164355, 3.553913
0.600000, -0.630615, -5.165248, 3.552324
0.620000, -0.631236, -5.164929, 3.553221
0.640000, -0.630404, -5.162680, 3.551566
0.660000, -0.631207, -5.164225, 3.554021
0.680000, -0.631036, -5.163905, 3.551851
0.700000, -0.633353, -5.166070, 3.552615
0.720000, -0.629737, -5.164030, 3.553441
0.740000, -0.633241, -5.164894, 3.551203
0.760000, -0.631557, -5.164910, 3.553262
0.780000, -0.631656, -5.163818, 3.551159
0.800000, -0.632035, -5.164147, 3.552414
0.820000, -0.632918, -5.164237, 3.551792
0.840000, -0.631099, -5.162713, 3.553397
0.860000, -0.632222, -5.165236, 3.551977
0.880000, -0.632714, -5.163763, 3.553438
0.900000, -0.629823, -5.162728, 3.554030
0.920000, -0.632003, -5.165926, 3.552170
0.940000, -0.632234, -5.162885, 3.553103
0.960000, -0.631893, -5.162951, 3.553094
0.980000, -0.632053, -5.164397, 3.555252
1.000000, -0.632343, -5.163228, 3.553267
1.020000, -0.632177, -5.163734, 3.554466
1.040000, -0.632953, -5.162710, 3.552362
1.060000, -0.633695, -5.164137, 3.552373
1.080000, -0.632007, -5.163611, 3.554280
1.100000, -0.633198, -5.163672, 3.552812
1.120000, -0.633452, -5.162704, 3.551724
1.140000, -0.631266, -5.164056, 3.553145
1.159999, -0.633367, -5.162568, 3.552482
1.179999, -0.632398, -5.161638, 3.550195
1.199999, -0.631946, -5.165194, 3.552795
1.219999, -0.632184, -5.164795, 3.553812
1.239999, -0.633098, -5.164212, 3.553892
1.259999, -0.634678, -5.163945, 3.549853
1.279999, -0.635126, -5.157418, 3.546270
1.299999, -0.633995, -5.163867, 3.552355
1.319999, -0.632138, -5.164063, 3.552601
1.339999, -0.633434, -5.163132, 3.552740
1.359999, -0.633774, -5.164491, 3.553353
1.379999, -0.632550, -5.163033, 3.554224
1.399999, -0.633311, -5.163156, 3.552615
1.419999, -0.632111, -5.164419, 3.552538
1.439999, -0.632497, -5.162534, 3.552099
1.459999, -0.631248, -5.160983, 3.555747
1.479999, -0.632369, -5.163674, 3.552624
1.499999, -0.632639, -5.163932, 3.552774
1.519999, -0.632335, -5.162926, 3.552393
1.539999, -0.633105, -5.164602, 3.552994
1.559999, -0.633440, -5.162865, 3.553582
1.579999, -0.631705, -5.163519, 3.553231
1.599999, -0.633085, -5.164165, 3.553127
1.619999, -0.633134, -5.163014, 3.554449
1.639999, -0.635279, -5.156784, 3.544345
1.659999, -0.632229, -5.162799, 3.552305
1.679999, -0.631796, -5.163020, 3.552200
1.699999, -0.633932, -5.162839, 3.550033
1.719999, -0.633846, -5.162692, 3.552759
1.739999, -0.633548, -5.161721, 3.553182
1.759999, -0.633078, -5.162587, 3.553333
1.779999, -0.632624, -5.164186, 3.552913
1.799999, -0.633918, -5.163036, 3.553014
1.819999, -0.632369, -5.164073, 3.553064
1.839999, -0.632687, -5.162342, 3.552552
1.859999, -0.634739, -5.162665, 3.554045
1.879999, -0.632715, -5.164250, 3.551911
1.899999, -0.631918, -5.162229, 3.552278
1.919999, -0.627013, -5.171289, 3.552761
1.939999, -0.631577, -5.162470, 3.553659
1.959999, -0.630795, -5.170893, 3.551448
1.979999, -0.632369, -5.162716, 3.554620
1.999999, -0.633621, -5.164392, 3.551957
2.019999, -0.633339, -5.159911, 3.553834
2.039999, -0.633680, -5.163100, 3.554129
2.059999, -0.634990, -5.162219, 3.552753
2.079999, -0.634252, -5.163080, 3.553837
2.099999, -0.635915, -5.164876, 3.554387
2.119999, -0.634062, -5.163242, 3.552011
2.139999, -0.635128, -5.159657, 3.553292
2.159999, -0.634993, -5.157694, 3.553560
2.179999, -0.634233, -5.163524, 3.555911
2.199999, -0.633587, -5.166186, 3.553521
2.219999, -0.633472, -5.170727, 3.554881
2.239999, -0.634666, -5.167778, 3.555229
2.259999, -0.633589, -5.157687, 3.551006
2.279999, -0.630964, -5.140348, 3.544202
2.299999, -0.630901, -5.112305, 3.533806
2.319999, -0.634585, -5.118817, 3.533773
2.339998, -0.635088, -5.168859, 3.546507
2.359998, -0.633716, -5.170096, 3.554990
2.379998, -0.637977, -5.137492, 3.545601
2.399998, -0.643050, -5.097243, 3.530056
2.419998, -0.652370, -5.033247, 3.508042
2.439998, -0.662439, -4.939297, 3.471431
2.459998, -0.668733, -4.824320, 3.426678
2.479998, -0.662240, -4.751683, 3.391530
2.499998, -0.670214, -4.681500, 3.353540
2.519998, -0.677015, -4.679739, 3.314067
2.539998, -0.680595, -4.667624, 3.272282
2.559998, -0.703257, -4.596838, 3.228295
2.579998, -0.702533, -4.528844, 3.181863
2.599998, -0.678881, -4.443533, 3.123271
2.619998, -0.653399, -4.323311, 3.054575
2.639998, -0.640605, -4.183154, 2.978489
2.659998, -0.637533, -4.027811, 2.895948
2.679998, -0.618891, -3.860875, 2.803070
2.699998, -0.575911, -3.694643, 2.691103
2.719998, -0.496814, -3.521809, 2.563513
2.739998, -0.399518, -3.364434, 2.418996
2.759998, -0.290170, -3.193115, 2.268980
2.779998, -0.208229, -3.002231, 2.112905
2.799998, -0.159526, -2.778893, 1.955163
2.819998, -0.139715, -2.543930, 1.804983
2.839998, -0.134492, -2.301017, 1.656887
2.859998, -0.117465, -2.052608, 1.502198
2.879998, -0.088193, -1.816011, 1.345274
2.899998, -0.034066, -1.594583, 1.181587
2.919998, 0.026075, -1.396967, 1.027704
2.939998, 0.079153, -1.217443, 0.887308
2.959998, 0.115630, -1.033101, 0.749478
2.979998, 0.129729, -0.849521, 0.623810
2.999998, 0.142117, -0.667610, 0.506679
3.019998, 0.163034, -0.501262, 0.388634
3.039998, 0.201406, -0.368397, 0.277480
3.059998, 0.258453, -0.277139, 0.177940
3.079998, 0.319674, -0.212498, 0.090159
3.099998, 0.372881, -0.154696, 0.008939
3.119998, 0.413502, -0.095753, -0.057199
3.139998, 0.446196, -0.039454, -0.127800
3.159998, 0.483171, 0.010596, -0.194854
3.179998, 0.532928, 0.053376, -0.260013
3.199998, 0.573303, 0.088856, -0.324178
3.219998, 0.599101, 0.134243, -0.380587
3.239998, 0.601604, 0.183713, -0.434362
3.259998, 0.594038, 0.238118, -0.479919
3.279998, 0.579090, 0.284944, -0.514984
3.299998, 0.563869, 0.317685, -0.544826
3.319998, 0.546274, 0.337072, -0.566259
3.339998, 0.530477, 0.348294, -0.585416
3.359998, 0.517374, 0.352436, -0.595389
3.379997, 0.499617, 0.361238, -0.603382
3.399997, 0.474255, 0.362816, -0.604646
3.419997, 0.443702, 0.357834, -0.595020
3.439997, 0.419114, 0.345224, -0.582194
3.459997, 0.402001, 0.327229, -0.565125
3.479997, 0.395938, 0.314204, -0.547441
3.499997, 0.397575, 0.303459, -0.536682
3.519997, 0.409391, 0.291285, -0.524839
3.539997, 0.426816, 0.272098, -0.507678
3.559997, 0.446968, 0.260128, -0.501006
3.579997, 0.467740, 0.237840, -0.486521
3.599997, 0.485466, 0.218404, -0.476494
3.619997, 0.508755, 0.181489, -0.450875
3.639997, 0.525388, 0.158791, -0.430492
3.659997, 0.533097, 0.153757, -0.417817
3.679997, 0.531591, 0.159501, -0.406325
3.699997, 0.523448, 0.165689, -0.391828
3.719997, 0.513197, 0.168493, -0.378530
3.739997, 0.502321, 0.173469, -0.368599
3.759997, 0.486623, 0.175805, -0.358174
3.779997, 0.459517, 0.187292, -0.348257
3.799997, 0.426232, 0.195903, -0.331970
3.819997, 0.391668, 0.202384, -0.320459
3.839997, 0.370869, 0.198272, -0.307710
3.859997, 0.360055, 0.178946, -0.298221
3.879997, 0.353778, 0.160337, -0.287622
3.899997, 0.342380, 0.142958, -0.276935
3.919997, 0.330033, 0.127591, -0.268538
3.939997, 0.316384, 0.112991, -0.262408
3.959997, 0.309443, 0.095844, -0.251664
3.979997, 0.306478, 0.071860, -0.244525
3.999997, 0.306672, 0.052710, -0.235940
4.019997, 0.308679, 0.036039, -0.229242
4.039997, 0.308200, 0.023086, -0.221047
4.059997, 0.305318, 0.013231, -0.215577
4.079997, 0.298409, 0.015644, -0.206433
4.099997, 0.278380, 0.022387, -0.200267
4.119997, 0.263234, 0.029190, -0.191988
4.139997, 0.249882, 0.032196, -0.184339
4.159997, 0.240901, 0.034632, -0.175699
4.179997, 0.236282, 0.038435, -0.173526
4.199997, 0.231309, 0.044318, -0.168757
4.219997, 0.226731, 0.056648, -0.168406
4.239997, 0.215738, 0.064529, -0.166555
4.259997, 0.206812, 0.065903, -0.161800
4.279997, 0.192879, 0.058422, -0.151884
4.299997, 0.180692, 0.057934, -0.144637
4.319997, 0.166959, 0.063923, -0.140623
4.339997, 0.152230, 0.071481, -0.139270
4.359997, 0.139106, 0.070987, -0.131784
4.379997, 0.122766, 0.071848, -0.125764
4.399997, 0.108782, 0.074824, -0.117821
4.419997, 0.095673, 0.079068, -0.116596
4.439997, 0.084693, 0.079324, -0.111228
4.459997, 0.075943, 0.077123, -0.106681
4.479997, 0.063703, 0.078729, -0.100077
4.499997, 0.057040, 0.085559, -0.096078
4.519997, 0.055074, 0.086342, -0.089082
