t, uk1, uk2, uk3)
0.000000, -0.006125, -0.006014, -0.004905
0.020000, -0.005881, -0.005460, -0.004483
0.040000, -0.006547, -0.005171, -0.004483
0.060000, -0.006369, -0.005637, -0.004994
0.080000, -0.006303, -0.005704, -0.004283
0.100000, -0.006347, -0.005637, -0.004971
0.120000, -0.005881, -0.005460, -0.004439
0.140000, -0.006414, -0.005704, -0.005060
0.160000, -0.006236, -0.004994, -0.004572
0.180000, -0.006259, -0.005304, -0.004394
0.200000, -0.006369, -0.005437, -0.004106
0.220000, -0.006569, -0.005349, -0.004749
0.240000, -0.006103, -0.005437, -0.004860
0.260000, -0.006170, -0.005326, -0.004550
0.280000, -0.006503, -0.004993, -0.004661
0.300000, -0.006791, -0.005127, -0.004860
0.320000, -0.006525, -0.005415, -0.004594
0.340000, -0.006458, -0.005193, -0.004239
0.360000, -0.006591, -0.005970, -0.004394
0.380000, -0.005792, -0.005415, -0.004483
0.400000, -0.005992, -0.005704, -0.004683
0.420000, -0.006392, -0.004638, -0.004217
0.440000, -0.007013, -0.005815, -0.004416
0.460000, -0.006081, -0.005060, -0.004461
0.480000, -0.006791, -0.005548, -0.005349
0.500000, -0.006103, -0.005193, -0.004439
0.520000, -0.006436, -0.005282, -0.003551
0.540000, -0.006059, -0.005215, -0.004794
0.560000, -0.006081, -0.005681, -0.004705
0.580000, -0.006591, -0.005659, -0.004350
0.600000, -0.006214, -0.005548, -0.004350
0.620000, -0.006103, -0.005593, -0.004860
0.640000, -0.006259, -0.005637, -0.004150
0.660000, -0.006458, -0.005437, -0.004372
0.680000, -0.006813, -0.005903, -0.005260
0.700000, -0.006769, -0.005615, -0.004572
0.720000, -0.006214, -0.005593, -0.004705
0.740000, -0.006347, -0.005304, -0.005016
0.760000, -0.006325, -0.005903, -0.004883
0.780000, -0.006658, -0.005326, -0.005149
0.800000, -0.006281, -0.005881, -0.004439
0.820000, -0.006503, -0.005437, -0.004772
0.840000, -0.006414, -0.005681, -0.004749
0.860000, -0.006636, -0.005371, -0.004572
0.880000, -0.006014, -0.005770, -0.004616
0.900000, -0.005615, -0.005992, -0.004439
0.920000, -0.006503, -0.005881, -0.004527
0.940000, -0.006569, -0.005127, -0.004572
0.960000, -0.006192, -0.005082, -0.004239
0.980000, -0.007102, -0.005326, -0.004439
1.000000, -0.006525, -0.005571, -0.004616
1.020000, -0.006414, -0.005193, -0.003884
1.040000, -0.006813, -0.005992, -0.004727
1.060000, -0.006325, -0.005238, -0.004350
1.080000, -0.006214, -0.005104, -0.004483
1.100000, -0.006614, -0.005548, -0.004638
1.120000, -0.006414, -0.005349, -0.004661
1.140000, -0.006303, -0.005482, -0.004905
1.159999, -0.006480, -0.004550, -0.005082
1.179999, -0.006148, -0.005504, -0.004439
1.199999, -0.006436, -0.006347, -0.004661
1.219999, -0.006569, -0.004971, -0.004483
1.239999, -0.006458, -0.005548, -0.004550
1.259999, -0.006813, -0.005482, -0.004749
1.279999, -0.005992, -0.005415, -0.004927
1.299999, -0.006192, -0.005326, -0.004705
1.319999, -0.006059, -0.005171, -0.004927
1.339999, -0.006369, -0.005371, -0.004638
1.359999, -0.006347, -0.005371, -0.004350
1.379999, -0.006281, -0.005127, -0.004572
1.399999, -0.006281, -0.005548, -0.004927
1.419999, -0.006303, -0.005859, -0.005016
1.439999, -0.006813, -0.005437, -0.004838
1.459999, -0.006747, -0.005193, -0.004394
1.479999, -0.006037, -0.004971, -0.004505
1.499999, -0.006414, -0.005326, -0.004350
1.519999, -0.006347, -0.005637, -0.004261
1.539999, -0.007102, -0.006236, -0.004683
1.559999, -0.006702, -0.005948, -0.004550
1.579999, -0.005926, -0.005304, -0.004949
1.599999, -0.006636, -0.005437, -0.004172
1.619999, -0.006525, -0.005260, -0.004727
1.639999, -0.006214, -0.005637, -0.004860
1.659999, -0.006059, -0.005526, -0.004638
1.679999, -0.005726, -0.005704, -0.004749
1.699999, -0.006458, -0.005349, -0.005082
1.719999, -0.006436, -0.005238, -0.004527
1.739999, -0.006725, -0.004994, -0.004661
1.759999, -0.006392, -0.005792, -0.004416
1.779999, -0.006259, -0.005593, -0.004195
1.799999, -0.006414, -0.005437, -0.004195
1.819999, -0.005748, -0.005016, -0.003595
1.839999, -0.006325, -0.004794, -0.003795
1.859999, -0.006236, -0.002974, -0.000533
1.879999, -0.007057, -0.007701, -0.006458
1.899999, -0.005415, -0.004261, -0.004638
1.919999, -0.006059, -0.013605, -0.005437
1.939999, -0.005992, -0.003507, -0.000155
1.959999, -0.008145, -0.012251, -0.005282
1.979999, -0.005881, -0.001443, 0.003373
1.999999, -0.009299, -0.005948, -0.004328
2.019999, -0.005637, -0.000044, -0.002774
2.039999, -0.006858, -0.005371, -0.003551
2.059999, -0.006680, -0.002508, -0.003507
