t, x1_compfilter, x1_phiobs, x1_fullobs
0.000000, -0.768104, -0.000867, -0.023848
0.040000, -0.768096, -0.000825, -0.023893
0.060000, -0.768103, -0.000828, -0.023937
0.080000, -0.768120, -0.000823, -0.023964
0.100000, -0.768114, -0.000987, -0.023845
0.120000, -0.768108, -0.000936, -0.023913
0.140000, -0.768097, -0.000891, -0.023952
0.160000, -0.768086, -0.000866, -0.023980
0.180000, -0.768075, -0.000854, -0.023999
0.200000, -0.768072, -0.001002, -0.023867
0.220000, -0.768078, -0.001042, -0.023751
0.240000, -0.768095, -0.000932, -0.023825
0.260000, -0.768108, -0.000900, -0.023896
0.280000, -0.768109, -0.000901, -0.023958
0.300000, -0.768103, -0.000854, -0.023976
0.320000, -0.768115, -0.000990, -0.023847
0.340000, -0.768124, -0.001191, -0.023597
0.360000, -0.768117, -0.000836, -0.023852
0.380000, -0.768111, -0.000852, -0.023923
0.400000, -0.768105, -0.000877, -0.023983
0.420000, -0.768112, -0.000981, -0.023848
0.440000, -0.768110, -0.000908, -0.023907
0.460000, -0.768104, -0.001020, -0.023805
0.480000, -0.768119, -0.000761, -0.024014
0.500000, -0.768124, -0.000935, -0.023878
0.520000, -0.768133, -0.001010, -0.023769
0.540000, -0.768142, -0.001040, -0.023686
0.560000, -0.768146, -0.001050, -0.023626
0.600000, -0.768127, -0.000777, -0.023891
0.620000, -0.768143, -0.000792, -0.023943
0.640000, -0.768143, -0.001103, -0.023689
0.660000, -0.768072, -0.000935, -0.023781
0.680000, -0.768045, -0.000956, -0.023682
0.700000, -0.768108, -0.000989, -0.023624
0.720000, -0.768080, -0.000904, -0.023757
0.740000, -0.768039, -0.000874, -0.023636
0.760000, -0.768056, -0.000825, -0.023758
0.780000, -0.768078, -0.000807, -0.023852
0.800000, -0.768044, -0.000954, -0.023779
0.820000, -0.769444, -0.000889, -0.023877
0.840000, -0.769833, -0.002787, -0.024584
0.860000, -0.771153, -0.001865, -0.024544
0.880000, -0.771482, -0.001690, -0.024471
0.900000, -0.771652, -0.001063, -0.024355
0.920000, -0.772059, -0.000635, -0.024206
0.940000, -0.772280, -0.001252, -0.024557
0.960000, -0.772331, -0.001343, -0.024693
0.980000, -0.772291, -0.001497, -0.024857
1.000000, -0.772062, -0.001368, -0.024634
1.020000, -0.771816, -0.001267, -0.024678
1.040000, -0.771557, -0.000884, -0.024521
1.060000, -0.771369, -0.000771, -0.024210
1.080000, -0.771253, -0.000809, -0.024024
1.100000, -0.771063, -0.000329, -0.024058
1.120000, -0.770846, 0.000176, -0.023921
1.140000, -0.770433, 0.000876, -0.023544
1.159999, -0.769617, 0.002210, -0.022445
1.179999, -0.768786, 0.003941, -0.020977
1.199999, -0.767968, 0.004746, -0.019849
1.219999, -0.766858, 0.005823, -0.018551
1.239999, -0.765096, 0.008113, -0.016514
1.259999, -0.762477, 0.011707, -0.013052
1.279999, -0.759502, 0.016511, -0.009097
1.299999, -0.755364, 0.021627, -0.004427
1.319999, -0.750314, 0.028257, 0.001600
1.339999, -0.745326, 0.033365, 0.007654
1.359999, -0.741588, 0.033734, 0.011298
1.379999, -0.738522, 0.030562, 0.012689
1.399999, -0.735544, 0.028056, 0.012992
1.419999, -0.732232, 0.027524, 0.013790
1.439999, -0.727082, 0.030874, 0.016548
1.459999, -0.720274, 0.039118, 0.022687
1.479999, -0.711977, 0.049544, 0.030833
1.499999, -0.701744, 0.061676, 0.041183
1.519999, -0.689945, 0.075021, 0.053753
1.539999, -0.676415, 0.088692, 0.067502
1.559999, -0.660580, 0.103839, 0.083232
1.579999, -0.642637, 0.120505, 0.101014
1.599999, -0.622963, 0.136832, 0.120077
1.619999, -0.601309, 0.152884, 0.139694
1.639999, -0.578123, 0.168510, 0.159894
1.659999, -0.553864, 0.182013, 0.179531
1.679999, -0.528834, 0.192585, 0.197966
1.699999, -0.503417, 0.200612, 0.214658
1.719999, -0.477990, 0.205696, 0.229055
1.739999, -0.452673, 0.208357, 0.241346
1.759999, -0.427268, 0.209967, 0.251576
1.779999, -0.402593, 0.209396, 0.259446
1.799999, -0.379328, 0.205140, 0.263499
1.819999, -0.358055, 0.195723, 0.263594
1.839999, -0.338857, 0.182792, 0.259300
1.859999, -0.320675, 0.170007, 0.252785
1.879999, -0.302699, 0.160991, 0.246469
1.899999, -0.285090, 0.154782, 0.240675
1.919999, -0.267602, 0.149648, 0.235012
1.939999, -0.250616, 0.145315, 0.229560
1.959999, -0.234016, 0.141403, 0.224259
1.979999, -0.217501, 0.137914, 0.219415
1.999999, -0.200831, 0.136432, 0.215463
2.019999, -0.183611, 0.136738, 0.213104
2.039999, -0.166322, 0.138070, 0.211602
2.059999, -0.148964, 0.138948, 0.210488
2.079999, -0.132086, 0.138502, 0.209102
