t, x3_estimate, x3_phiobs, x3_fullobs
0.000000, 0.110041, 0.022373, 0.006251
0.040000, -0.401877, 0.040269, 0.012183
0.060000, 0.109753, -0.050354, -0.012702
0.080000, -0.401700, -0.017486, -0.005585
0.100000, -0.401567, -0.096133, -0.029335
0.120000, -0.401167, -0.158503, -0.051605
0.140000, 0.109309, -0.207903, -0.072472
0.160000, -0.401589, -0.142574, -0.061664
0.180000, -0.401456, -0.195349, -0.081924
0.200000, 0.109686, -0.237194, -0.100924
0.220000, -0.401411, -0.165731, -0.088327
0.240000, -0.400812, -0.213684, -0.106923
0.260000, 0.109686, -0.251605, -0.124335
0.280000, 0.109442, -0.177166, -0.110290
0.300000, 0.109442, -0.118155, -0.097120
0.320000, 0.108710, -0.071335, -0.084757
0.340000, 0.109819, -0.034341, -0.073197
0.360000, 0.109198, -0.004758, -0.062276
0.380000, -0.401500, 0.018582, -0.052063
0.400000, -0.401123, -0.067470, -0.072874
0.420000, -0.400990, -0.135667, -0.092382
0.440000, -0.401367, -0.189747, -0.110684
0.460000, 0.109442, -0.232734, -0.127884
0.480000, 0.109220, -0.162245, -0.113622
0.500000, -0.401589, -0.106364, -0.100250
0.520000, 0.108909, -0.166619, -0.118104
0.540000, 0.109575, -0.109899, -0.104475
0.560000, -0.401234, -0.064757, -0.091642
0.600000, 0.109353, -0.133534, -0.110002
0.620000, 0.109287, -0.083558, -0.096842
0.640000, 0.109575, -0.043920, -0.084495
0.660000, -0.401433, -0.012410, -0.072888
0.680000, 0.109775, -0.092045, -0.092412
0.700000, -0.401056, -0.050553, -0.080306
0.720000, 0.109575, -0.122230, -0.099350
0.740000, -0.401456, -0.074545, -0.086830
0.760000, -0.400923, -0.141349, -0.105498
0.780000, 0.109508, -0.194240, -0.122986
0.800000, -0.912486, -0.131692, -0.109019
0.820000, 0.109309, -0.291327, -0.156743
0.840000, 0.109708, -0.208761, -0.140715
0.860000, 0.109220, -0.143166, -0.125647
0.880000, 0.110019, -0.091225, -0.111535
0.900000, 0.109553, -0.049848, -0.098240
0.920000, -0.402188, -0.017118, -0.085790
0.940000, -0.400879, -0.095939, -0.104568
0.960000, 0.109730, -0.158201, -0.122111
0.980000, 0.620994, -0.103051, -0.108184
1.000000, 0.109508, 0.045393, -0.064680
1.020000, -0.401322, 0.058437, -0.054294
1.040000, -0.913285, -0.035813, -0.074952
1.060000, -0.401855, -0.215428, -0.124818
1.080000, -0.401722, -0.253211, -0.141177
1.100000, 0.109841, -0.283158, -0.156524
1.120000, 0.109841, -0.202166, -0.140476
1.140000, 0.109398, -0.137905, -0.125414
1.159999, 0.110241, -0.087014, -0.111305
1.179999, 0.109975, -0.046460, -0.098010
1.199999, 0.109442, -0.014343, -0.085549
1.219999, 0.109486, 0.011027, -0.073886
1.239999, -0.401278, 0.031164, -0.062936
1.259999, 0.109264, -0.057443, -0.083061
1.279999, 0.109109, -0.023208, -0.071561
1.299999, -0.400967, 0.003922, -0.060777
1.319999, 0.109686, -0.078990, -0.081014
1.339999, 0.109420, -0.040216, -0.069613
1.359999, 0.109908, -0.009507, -0.058929
1.379999, -0.401433, 0.014961, -0.048871
1.399999, 0.109930, -0.070332, -0.069869
1.419999, 0.109553, -0.033295, -0.059137
1.439999, 0.109975, -0.003988, -0.049088
1.459999, -0.401411, 0.019352, -0.039629
1.479999, 0.109841, -0.066843, -0.061193
1.499999, 0.109886, -0.030546, -0.050999
1.519999, -0.401744, -0.001738, -0.041429
1.539999, -0.400990, -0.083646, -0.062902
1.559999, 0.109819, -0.148474, -0.083010
1.579999, 0.109486, -0.095316, -0.071477
1.599999, -1.423584, -0.053209, -0.060674
1.619999, -0.401056, -0.333712, -0.141789
1.639999, 0.109797, -0.346891, -0.157056
1.659999, 0.109553, -0.252743, -0.140977
1.679999, -0.401123, -0.178094, -0.125902
1.699999, -0.401278, -0.223431, -0.142150
1.719999, -0.401966, -0.259436, -0.157410
1.739999, -0.401212, -0.288146, -0.171775
1.759999, -0.401567, -0.310766, -0.185211
1.779999, 0.110152, -0.328787, -0.197845
1.799999, -0.401056, -0.238301, -0.179241
1.819999, -0.401611, -0.271185, -0.192210
1.839999, -0.401544, -0.297392, -0.204418
1.859999, 0.110263, -0.318171, -0.215871
1.879999, 0.109375, -0.229855, -0.196155
1.899999, 0.109508, -0.159971, -0.177705
1.919999, -0.401078, -0.104496, -0.160380
1.939999, 0.109841, -0.165029, -0.174510
1.959999, -0.401300, -0.108443, -0.157360
1.979999, 0.109242, -0.168209, -0.171689
1.999999, -0.401589, -0.111093, -0.154750
2.019999, -0.401877, -0.170372, -0.169258
2.039999, 0.109353, -0.217465, -0.182892
2.059999, 0.110352, -0.150147, -0.165257
2.079999, -0.401256, -0.096527, -0.148644
2.099999, 0.620595, -0.158746, -0.163505
2.119999, 0.110174, 0.001121, -0.116630
2.139999, -0.401389, 0.023452, -0.103014
2.159999, 0.109464, -0.063584, -0.120686
2.179999, -0.912398, -0.028039, -0.106865
2.199999, 0.109508, -0.209072, -0.154718
2.219999, -0.401212, -0.143460, -0.138803
2.239999, -0.401234, -0.195975, -0.154265
2.259999, 0.109997, -0.237645, -0.168780
2.279999, 0.108998, -0.166025, -0.151971
2.299999, -0.401811, -0.109410, -0.136257
2.319999, 0.109531, -0.169082, -0.151914
2.339998, 0.109508, -0.111723, -0.136170
2.359998, -0.401633, -0.066218, -0.121395
2.379998, 0.109531, -0.134777, -0.137952
2.399998, 0.110063, -0.084506, -0.123066
2.419998, -0.401500, -0.044509, -0.109061
2.439998, -0.912109, -0.117527, -0.126368
2.459998, -0.401234, -0.280011, -0.173004
2.479998, -0.912287, -0.304322, -0.186367
2.499998, -0.401833, -0.428251, -0.229329
2.519998, 0.109619, -0.422058, -0.239270
2.539998, 0.109442, -0.312413, -0.218156
2.559998, -0.401078, -0.225457, -0.198351
2.579998, 0.108998, -0.260996, -0.210149
