t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, -14070.000000, -7861.000000, 869.000000, 27.000000, 73.000000, -89.000000
0.020000, -14029.000000, -7861.000000, 811.000000, 44.000000, 66.000000, -87.000000
0.040000, -14037.000000, -7865.000000, 830.000000, 40.000000, 70.000000, -97.000000
0.060000, -14067.000000, -7842.000000, 854.000000, 34.000000, 71.000000, -91.000000
0.080000, -14047.000000, -7851.000000, 802.000000, 22.000000, 62.000000, -97.000000
0.100000, -14055.000000, -7883.000000, 813.000000, 30.000000, 68.000000, -97.000000
0.120000, -14048.000000, -7860.000000, 845.000000, 28.000000, 78.000000, -89.000000
0.140000, -14045.000000, -7859.000000, 846.000000, 36.000000, 74.000000, -87.000000
0.160000, -14035.000000, -7859.000000, 848.000000, 35.000000, 72.000000, -83.000000
0.180000, -14050.000000, -7861.000000, 836.000000, 32.000000, 65.000000, -98.000000
0.200000, -14048.000000, -7872.000000, 839.000000, 29.000000, 80.000000, -94.000000
0.220000, -14041.000000, -7847.000000, 841.000000, 32.000000, 72.000000, -91.000000
0.240000, -14040.000000, -7866.000000, 840.000000, 45.000000, 75.000000, -87.000000
0.260000, -14065.000000, -7856.000000, 784.000000, 44.000000, 70.000000, -83.000000
0.280000, -14046.000000, -7874.000000, 834.000000, 27.000000, 80.000000, -95.000000
0.300000, -14064.000000, -7889.000000, 818.000000, 33.000000, 76.000000, -90.000000
0.320000, -14043.000000, -7868.000000, 838.000000, 35.000000, 70.000000, -85.000000
0.340000, -14051.000000, -7850.000000, 834.000000, 36.000000, 61.000000, -95.000000
0.360000, -14041.000000, -7874.000000, 831.000000, 32.000000, 74.000000, -90.000000
0.380000, -14050.000000, -7885.000000, 842.000000, 30.000000, 66.000000, -95.000000
0.400000, -14037.000000, -7869.000000, 868.000000, 28.000000, 67.000000, -91.000000
0.420000, -14072.000000, -7869.000000, 790.000000, 26.000000, 67.000000, -98.000000
0.440000, -14065.000000, -7868.000000, 823.000000, 22.000000, 75.000000, -86.000000
0.460000, -14046.000000, -7877.000000, 819.000000, 28.000000, 70.000000, -84.000000
0.480000, -14048.000000, -7850.000000, 838.000000, 36.000000, 75.000000, -93.000000
0.500000, -14035.000000, -7886.000000, 869.000000, 34.000000, 70.000000, -95.000000
0.520000, -14062.000000, -7856.000000, 829.000000, 32.000000, 74.000000, -89.000000
0.540000, -14048.000000, -7861.000000, 821.000000, 38.000000, 83.000000, -94.000000
0.560000, -14043.000000, -7861.000000, 827.000000, 32.000000, 66.000000, -94.000000
0.580000, -14059.000000, -7858.000000, 848.000000, 29.000000, 64.000000, -94.000000
0.600000, -14064.000000, -7866.000000, 836.000000, 42.000000, 74.000000, -92.000000
0.620000, -14043.000000, -7881.000000, 839.000000, 33.000000, 64.000000, -97.000000
0.640000, -14049.000000, -7845.000000, 839.000000, 42.000000, 71.000000, -93.000000
0.660000, -14044.000000, -7857.000000, 842.000000, 38.000000, 71.000000, -96.000000
0.680000, -14066.000000, -7882.000000, 842.000000, 35.000000, 79.000000, -92.000000
0.700000, -14047.000000, -7869.000000, 872.000000, 35.000000, 78.000000, -95.000000
0.720000, -14021.000000, -7856.000000, 838.000000, 46.000000, 85.000000, -99.000000
0.740000, -14071.000000, -7873.000000, 832.000000, 39.000000, 82.000000, -87.000000
0.760000, -14062.000000, -7857.000000, 832.000000, 48.000000, 81.000000, -97.000000
0.780000, -14065.000000, -7875.000000, 848.000000, 37.000000, 66.000000, -92.000000
0.800000, -14068.000000, -7859.000000, 837.000000, 29.000000, 73.000000, -77.000000
0.820000, -14045.000000, -7858.000000, 868.000000, 33.000000, 75.000000, -101.000000
0.840000, -14039.000000, -7880.000000, 856.000000, 33.000000, 80.000000, -100.000000
0.860000, -14033.000000, -7855.000000, 802.000000, 34.000000, 78.000000, -98.000000
0.880000, -14062.000000, -7853.000000, 814.000000, 23.000000, 77.000000, -87.000000
0.900000, -14051.000000, -7856.000000, 829.000000, 31.000000, 75.000000, -93.000000
0.920000, -14044.000000, -7872.000000, 831.000000, 34.000000, 76.000000, -84.000000
0.940000, -14069.000000, -7850.000000, 834.000000, 33.000000, 77.000000, -95.000000
0.960000, -14027.000000, -7887.000000, 839.000000, 36.000000, 74.000000, -88.000000
0.980000, -14052.000000, -7899.000000, 837.000000, 25.000000, 64.000000, -96.000000
1.000000, -14056.000000, -7883.000000, 865.000000, 35.000000, 67.000000, -96.000000
1.020000, -14052.000000, -7853.000000, 867.000000, 34.000000, 71.000000, -88.000000
1.040000, -14057.000000, -7859.000000, 833.000000, 32.000000, 69.000000, -98.000000
1.060000, -14041.000000, -7872.000000, 845.000000, 30.000000, 73.000000, -95.000000
1.080000, -14043.000000, -7880.000000, 844.000000, 27.000000, 76.000000, -85.000000
1.100000, -14033.000000, -7887.000000, 836.000000, 38.000000, 75.000000, -91.000000
1.120000, -14065.000000, -7882.000000, 822.000000, 37.000000, 69.000000, -100.000000
1.140000, -14054.000000, -7872.000000, 871.000000, 28.000000, 72.000000, -94.000000
1.159999, -14040.000000, -7868.000000, 855.000000, 32.000000, 79.000000, -96.000000
1.179999, -14054.000000, -7863.000000, 864.000000, 35.000000, 71.000000, -98.000000
1.199999, -14066.000000, -7847.000000, 809.000000, 31.000000, 73.000000, -97.000000
1.219999, -14060.000000, -7839.000000, 835.000000, 43.000000, 73.000000, -79.000000
1.239999, -14054.000000, -7867.000000, 769.000000, 35.000000, 77.000000, -82.000000
1.259999, -14057.000000, -7861.000000, 847.000000, 37.000000, 70.000000, -84.000000
1.279999, -14057.000000, -7881.000000, 864.000000, 32.000000, 75.000000, -85.000000
1.299999, -14034.000000, -7864.000000, 802.000000, 44.000000, 82.000000, -90.000000
1.319999, -14039.000000, -7852.000000, 818.000000, 30.000000, 77.000000, -89.000000
1.339999, -14055.000000, -7858.000000, 809.000000, 42.000000, 79.000000, -86.000000
1.359999, -14049.000000, -7880.000000, 837.000000, 30.000000, 75.000000, -86.000000
1.379999, -14055.000000, -7845.000000, 825.000000, 30.000000, 77.000000, -93.000000
1.399999, -14066.000000, -7856.000000, 859.000000, 34.000000, 76.000000, -96.000000
1.419999, -14049.000000, -7871.000000, 853.000000, 33.000000, 73.000000, -94.000000
1.439999, -14073.000000, -7861.000000, 824.000000, 31.000000, 73.000000, -90.000000
1.459999, -14056.000000, -7855.000000, 816.000000, 42.000000, 71.000000, -93.000000
1.479999, -14044.000000, -7861.000000, 854.000000, 35.000000, 75.000000, -93.000000
1.499999, -14059.000000, -7858.000000, 834.000000, 35.000000, 69.000000, -94.000000
1.519999, -14046.000000, -7877.000000, 833.000000, 27.000000, 79.000000, -98.000000
1.539999, -14037.000000, -7860.000000, 837.000000, 26.000000, 74.000000, -92.000000
1.559999, -14055.000000, -7840.000000, 839.000000, 32.000000, 72.000000, -96.000000
1.579999, -14018.000000, -7845.000000, 826.000000, 43.000000, 76.000000, -86.000000
1.599999, -14032.000000, -7880.000000, 798.000000, 43.000000, 73.000000, -90.000000
1.619999, -14062.000000, -7859.000000, 831.000000, 55.000000, 74.000000, -91.000000
1.639999, -14047.000000, -7879.000000, 834.000000, 33.000000, 71.000000, -94.000000
1.659999, -14059.000000, -7867.000000, 819.000000, 30.000000, 73.000000, -97.000000
1.679999, -14069.000000, -7853.000000, 826.000000, 36.000000, 62.000000, -90.000000
1.699999, -14064.000000, -7866.000000, 847.000000, 31.000000, 67.000000, -91.000000
1.719999, -14078.000000, -7858.000000, 840.000000, 31.000000, 81.000000, -98.000000
1.739999, -14033.000000, -7877.000000, 831.000000, 31.000000, 70.000000, -100.000000
1.759999, -14044.000000, -7873.000000, 794.000000, 32.000000, 73.000000, -93.000000
1.779999, -14058.000000, -7877.000000, 825.000000, 30.000000, 79.000000, -95.000000
1.799999, -14038.000000, -7868.000000, 835.000000, 34.000000, 71.000000, -105.000000
1.819999, -14055.000000, -7847.000000, 835.000000, 27.000000, 79.000000, -90.000000
1.839999, -14054.000000, -7856.000000, 844.000000, 29.000000, 75.000000, -96.000000
1.859999, -14062.000000, -7866.000000, 816.000000, 32.000000, 77.000000, -91.000000
1.879999, -14073.000000, -7872.000000, 847.000000, 32.000000, 70.000000, -88.000000
1.899999, -14060.000000, -7874.000000, 818.000000, 38.000000, 71.000000, -94.000000
1.919999, -14032.000000, -7876.000000, 840.000000, 25.000000, 72.000000, -96.000000
1.939999, -14058.000000, -7853.000000, 833.000000, 32.000000, 60.000000, -101.000000
