t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 328.000000, 118.000000, -4058.000000, -80.000000, 132.000000, 19.000000, 0.020000, 311.000000, -165.000000, -13553.000000, -264.000000, 202.000000, -18.000000, 0.020000, -16190.000000, -143.000000, 878.000000, -33.000000, 181.000000, 93.000000, 0.020000, -16202.000000, 345.000000, 643.000000, 26.000000, 60.000000, -103.000000, 0.020000, 133.000000, -16337.000000, 914.000000, -102.000000, 85.000000, 176.000000, 0.020000, 288.000000, -16331.000000, 2448.000000, 5.000000, 94.000000, 107.000000
0.040000, 338.000000, 135.000000, -3948.000000, -92.000000, 143.000000, 33.000000, 0.040000, 380.000000, -125.000000, -13534.000000, -268.000000, 210.000000, -27.000000, 0.040000, -16163.000000, -108.000000, 887.000000, -36.000000, 160.000000, 104.000000, 0.040000, -16162.000000, 267.000000, 657.000000, 9.000000, 66.000000, -98.000000, 0.040000, 139.000000, -16355.000000, 857.000000, -103.000000, 92.000000, 186.000000, 0.040000, 355.000000, -16313.000000, 2325.000000, 32.000000, 79.000000, 86.000000
0.060000, 358.000000, 163.000000, -4050.000000, -83.000000, 149.000000, 22.000000, 0.060000, 357.000000, -197.000000, -13581.000000, -252.000000, 213.000000, -11.000000, 0.060000, -16150.000000, -149.000000, 885.000000, -43.000000, 207.000000, 98.000000, 0.060000, -16181.000000, 322.000000, 701.000000, 17.000000, 88.000000, -83.000000, 0.060000, 139.000000, -16367.000000, 874.000000, -99.000000, 81.000000, 197.000000, 0.060000, 301.000000, -16286.000000, 2323.000000, 6.000000, 96.000000, 112.000000
0.080000, 365.000000, 173.000000, -4055.000000, -72.000000, 128.000000, 22.000000, 0.080000, 357.000000, -188.000000, -13485.000000, -250.000000, 206.000000, -14.000000, 0.080000, -16179.000000, -134.000000, 875.000000, -53.000000, 186.000000, 81.000000, 0.080000, -16178.000000, 372.000000, 706.000000, 20.000000, 80.000000, -91.000000, 0.080000, 167.000000, -16399.000000, 837.000000, -107.000000, 88.000000, 195.000000, 0.080000, 339.000000, -16330.000000, 2417.000000, 26.000000, 109.000000, 118.000000
0.100000, 384.000000, 176.000000, -3991.000000, -72.000000, 145.000000, 36.000000, 0.100000, 355.000000, -185.000000, -13593.000000, -267.000000, 221.000000, -28.000000, 0.100000, -16198.000000, -135.000000, 902.000000, -70.000000, 178.000000, 84.000000, 0.100000, -16194.000000, 314.000000, 758.000000, 11.000000, 80.000000, -99.000000, 0.100000, 138.000000, -16389.000000, 874.000000, -93.000000, 59.000000, 198.000000, 0.100000, 309.000000, -16314.000000, 2398.000000, 19.000000, 101.000000, 123.000000
0.120000, 336.000000, 149.000000, -3970.000000, -59.000000, 124.000000, 28.000000, 0.120000, 334.000000, -159.000000, -13560.000000, -266.000000, 214.000000, -16.000000, 0.120000, -16161.000000, -146.000000, 856.000000, -45.000000, 175.000000, 80.000000, 0.120000, -16166.000000, 351.000000, 692.000000, 13.000000, 76.000000, -105.000000, 0.120000, 137.000000, -16378.000000, 878.000000, -86.000000, 71.000000, 194.000000, 0.120000, 316.000000, -16319.000000, 2379.000000, 46.000000, 103.000000, 118.000000
0.140000, 347.000000, 169.000000, -4102.000000, -64.000000, 132.000000, 36.000000, 0.140000, 412.000000, -172.000000, -13556.000000, -242.000000, 197.000000, -9.000000, 0.140000, -16178.000000, -103.000000, 921.000000, -49.000000, 168.000000, 96.000000, 0.140000, -16217.000000, 302.000000, 631.000000, 24.000000, 62.000000, -111.000000, 0.140000, 153.000000, -16396.000000, 912.000000, -97.000000, 47.000000, 170.000000, 0.140000, 355.000000, -16330.000000, 2408.000000, 26.000000, 108.000000, 107.000000
0.160000, 341.000000, 145.000000, -4056.000000, -74.000000, 130.000000, 39.000000, 0.160000, 331.000000, -135.000000, -13527.000000, -254.000000, 217.000000, -11.000000, 0.160000, -16174.000000, -100.000000, 938.000000, -51.000000, 176.000000, 93.000000, 0.160000, -16170.000000, 359.000000, 703.000000, 26.000000, 85.000000, -115.000000, 0.160000, 197.000000, -16374.000000, 930.000000, -86.000000, 90.000000, 198.000000, 0.160000, 299.000000, -16302.000000, 2343.000000, 22.000000, 102.000000, 115.000000
0.180000, 332.000000, 160.000000, -4085.000000, -86.000000, 111.000000, 14.000000, 0.180000, 360.000000, -197.000000, -13601.000000, -252.000000, 215.000000, -16.000000, 0.180000, -16170.000000, -114.000000, 875.000000, -47.000000, 165.000000, 74.000000, 0.180000, -16108.000000, 336.000000, 698.000000, 23.000000, 73.000000, -112.000000, 0.180000, 98.000000, -16399.000000, 880.000000, -87.000000, 101.000000, 188.000000, 0.180000, 323.000000, -16336.000000, 2326.000000, 24.000000, 120.000000, 97.000000
0.200000, 326.000000, 157.000000, -4002.000000, -38.000000, 135.000000, 31.000000, 0.200000, 357.000000, -142.000000, -13616.000000, -250.000000, 203.000000, -2.000000, 0.200000, -16180.000000, -123.000000, 895.000000, -38.000000, 154.000000, 87.000000, 0.200000, -16122.000000, 334.000000, 619.000000, 11.000000, 79.000000, -110.000000, 0.200000, 153.000000, -16411.000000, 832.000000, -103.000000, 79.000000, 180.000000, 0.200000, 284.000000, -16321.000000, 2393.000000, 5.000000, 113.000000, 99.000000
