t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 556.000000, -7946.000000, -1539.000000, -53.000000, 131.000000, 11.000000, 0.020000, 503.000000, -8292.000000, -11252.000000, -256.000000, 211.000000, 7.000000, 0.020000, -13929.000000, 51.000000, -7291.000000, -52.000000, 179.000000, 92.000000, 0.020000, -13980.000000, 475.000000, -7440.000000, 23.000000, 70.000000, -97.000000, 0.020000, -7915.000000, -14184.000000, 1007.000000, -81.000000, 94.000000, 196.000000, 0.020000, -7777.000000, -14172.000000, 2451.000000, 25.000000, 94.000000, 110.000000
0.040000, 574.000000, -7976.000000, -1616.000000, -64.000000, 110.000000, 20.000000, 0.040000, 460.000000, -8276.000000, -11232.000000, -254.000000, 214.000000, -7.000000, 0.040000, -13973.000000, 32.000000, -7357.000000, -32.000000, 180.000000, 95.000000, 0.040000, -13977.000000, 508.000000, -7492.000000, 6.000000, 80.000000, -74.000000, 0.040000, -7966.000000, -14156.000000, 1083.000000, -87.000000, 96.000000, 193.000000, 0.040000, -7811.000000, -14163.000000, 2533.000000, 33.000000, 89.000000, 105.000000
0.060000, 571.000000, -7934.000000, -1607.000000, -55.000000, 126.000000, 25.000000, 0.060000, 525.000000, -8311.000000, -11259.000000, -260.000000, 214.000000, -11.000000, 0.060000, -13918.000000, 39.000000, -7370.000000, -45.000000, 144.000000, 100.000000, 0.060000, -13997.000000, 497.000000, -7460.000000, 13.000000, 67.000000, -98.000000, 0.060000, -7988.000000, -14136.000000, 1056.000000, -89.000000, 75.000000, 177.000000, 0.060000, -7836.000000, -14171.000000, 2566.000000, 25.000000, 85.000000, 128.000000
0.080000, 554.000000, -7935.000000, -1518.000000, -67.000000, 108.000000, 6.000000, 0.080000, 482.000000, -8302.000000, -11265.000000, -257.000000, 215.000000, -25.000000, 0.080000, -13926.000000, 51.000000, -7331.000000, -56.000000, 172.000000, 98.000000, 0.080000, -13961.000000, 493.000000, -7490.000000, 18.000000, 54.000000, -105.000000, 0.080000, -7962.000000, -14149.000000, 940.000000, -97.000000, 67.000000, 186.000000, 0.080000, -7834.000000, -14141.000000, 2537.000000, 13.000000, 111.000000, 125.000000
0.100000, 614.000000, -7948.000000, -1554.000000, -93.000000, 133.000000, 6.000000, 0.100000, 518.000000, -8288.000000, -11323.000000, -259.000000, 219.000000, -17.000000, 0.100000, -13898.000000, 62.000000, -7364.000000, -42.000000, 177.000000, 71.000000, 0.100000, -13979.000000, 505.000000, -7457.000000, 16.000000, 69.000000, -99.000000, 0.100000, -7923.000000, -14163.000000, 1019.000000, -89.000000, 92.000000, 181.000000, 0.100000, -7814.000000, -14149.000000, 2435.000000, 21.000000, 115.000000, 108.000000
0.120000, 554.000000, -7977.000000, -1639.000000, -64.000000, 123.000000, 19.000000, 0.120000, 527.000000, -8296.000000, -11253.000000, -251.000000, 219.000000, 1.000000, 0.120000, -13918.000000, 99.000000, -7315.000000, -27.000000, 192.000000, 92.000000, 0.120000, -13990.000000, 516.000000, -7471.000000, 39.000000, 64.000000, -93.000000, 0.120000, -7942.000000, -14150.000000, 1050.000000, -80.000000, 78.000000, 177.000000, 0.120000, -7823.000000, -14169.000000, 2486.000000, 46.000000, 100.000000, 109.000000
0.140000, 612.000000, -7927.000000, -1617.000000, -62.000000, 146.000000, 9.000000, 0.140000, 460.000000, -8317.000000, -11335.000000, -260.000000, 211.000000, -31.000000, 0.140000, -13916.000000, 65.000000, -7373.000000, -36.000000, 168.000000, 105.000000, 0.140000, -13964.000000, 530.000000, -7510.000000, 26.000000, 52.000000, -90.000000, 0.140000, -7922.000000, -14188.000000, 1015.000000, -103.000000, 83.000000, 173.000000, 0.140000, -7779.000000, -14127.000000, 2463.000000, 26.000000, 106.000000, 94.000000
0.160000, 600.000000, -7934.000000, -1605.000000, -63.000000, 143.000000, 20.000000, 0.160000, 495.000000, -8350.000000, -11233.000000, -251.000000, 187.000000, -15.000000, 0.160000, -13932.000000, 65.000000, -7329.000000, -48.000000, 167.000000, 112.000000, 0.160000, -14011.000000, 492.000000, -7526.000000, 14.000000, 70.000000, -110.000000, 0.160000, -7944.000000, -14188.000000, 982.000000, -88.000000, 97.000000, 184.000000, 0.160000, -7812.000000, -14141.000000, 2512.000000, 16.000000, 105.000000, 116.000000
0.180000, 598.000000, -7990.000000, -1618.000000, -62.000000, 132.000000, -1.000000, 0.180000, 510.000000, -8336.000000, -11243.000000, -255.000000, 225.000000, -16.000000, 0.180000, -13980.000000, 75.000000, -7327.000000, -43.000000, 185.000000, 83.000000, 0.180000, -14001.000000, 511.000000, -7379.000000, 20.000000, 65.000000, -113.000000, 0.180000, -7955.000000, -14103.000000, 1012.000000, -88.000000, 70.000000, 165.000000, 0.180000, -7830.000000, -14165.000000, 2475.000000, 27.000000, 105.000000, 100.000000
0.200000, 602.000000, -8021.000000, -1576.000000, -79.000000, 119.000000, 19.000000, 0.200000, 517.000000, -8309.000000, -11302.000000, -250.000000, 215.000000, -32.000000, 0.200000, -13963.000000, 145.000000, -7339.000000, -50.000000, 168.000000, 117.000000, 0.200000, -14007.000000, 538.000000, -7450.000000, 23.000000, 74.000000, -103.000000, 0.200000, -7929.000000, -14165.000000, 983.000000, -82.000000, 75.000000, 183.000000, 0.200000, -7789.000000, -14135.000000, 2558.000000, 32.000000, 93.000000, 115.000000
