t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, -13816.000000, -8027.000000, 12987.000000, -78.000000, 143.000000, 12.000000, 0.020000, -13914.000000, -8200.000000, 3032.000000, -241.000000, 210.000000, -10.000000, 0.020000, 355.000000, -14102.000000, -7189.000000, -40.000000, 197.000000, 93.000000, 0.020000, 65.000000, -13965.000000, -7495.000000, 16.000000, 61.000000, -98.000000, 0.020000, -7737.000000, -25.000000, -13588.000000, -75.000000, 81.000000, 204.000000, 0.020000, -7884.000000, -113.000000, -12172.000000, 39.000000, 109.000000, 105.000000
0.040000, -13788.000000, -8029.000000, 12960.000000, -68.000000, 127.000000, -21.000000, 0.040000, -13940.000000, -8219.000000, 3041.000000, -252.000000, 226.000000, -13.000000, 0.040000, 377.000000, -14086.000000, -7279.000000, -58.000000, 177.000000, 93.000000, 0.040000, 42.000000, -13950.000000, -7487.000000, 26.000000, 91.000000, -98.000000, 0.040000, -7724.000000, -30.000000, -13534.000000, -83.000000, 82.000000, 185.000000, 0.040000, -7901.000000, -128.000000, -12236.000000, 37.000000, 107.000000, 103.000000
0.060000, -13849.000000, -7988.000000, 12974.000000, -68.000000, 129.000000, 17.000000, 0.060000, -13894.000000, -8241.000000, 2939.000000, -261.000000, 217.000000, 11.000000, 0.060000, 383.000000, -14107.000000, -7212.000000, -48.000000, 182.000000, 93.000000, 0.060000, 16.000000, -13936.000000, -7521.000000, 30.000000, 83.000000, -111.000000, 0.060000, -7727.000000, -3.000000, -13607.000000, -97.000000, 94.000000, 165.000000, 0.060000, -7869.000000, -105.000000, -12186.000000, 26.000000, 113.000000, 99.000000
0.080000, -13799.000000, -8038.000000, 12898.000000, -61.000000, 127.000000, -8.000000, 0.080000, -13902.000000, -8206.000000, 2959.000000, -256.000000, 216.000000, -2.000000, 0.080000, 385.000000, -14151.000000, -7235.000000, -38.000000, 186.000000, 79.000000, 0.080000, 79.000000, -13978.000000, -7494.000000, 41.000000, 71.000000, -86.000000, 0.080000, -7746.000000, 16.000000, -13550.000000, -71.000000, 74.000000, 179.000000, 0.080000, -7835.000000, -130.000000, -12183.000000, 13.000000, 111.000000, 103.000000
0.100000, -13822.000000, -8064.000000, 13015.000000, -32.000000, 135.000000, -21.000000, 0.100000, -13964.000000, -8211.000000, 2992.000000, -256.000000, 208.000000, -6.000000, 0.100000, 412.000000, -14118.000000, -7170.000000, -35.000000, 172.000000, 90.000000, 0.100000, 18.000000, -13956.000000, -7481.000000, 26.000000, 71.000000, -116.000000, 0.100000, -7762.000000, -14.000000, -13566.000000, -77.000000, 68.000000, 205.000000, 0.100000, -7868.000000, -88.000000, -12160.000000, 28.000000, 72.000000, 123.000000
0.120000, -13843.000000, -8028.000000, 12963.000000, -68.000000, 141.000000, 7.000000, 0.120000, -13923.000000, -8175.000000, 2989.000000, -264.000000, 211.000000, 1.000000, 0.120000, 385.000000, -14187.000000, -7192.000000, -39.000000, 163.000000, 101.000000, 0.120000, 67.000000, -13985.000000, -7494.000000, 38.000000, 61.000000, -101.000000, 0.120000, -7721.000000, -44.000000, -13626.000000, -76.000000, 107.000000, 180.000000, 0.120000, -7860.000000, -106.000000, -12141.000000, 15.000000, 111.000000, 99.000000
0.140000, -13843.000000, -8050.000000, 12972.000000, -53.000000, 142.000000, 16.000000, 0.140000, -13913.000000, -8228.000000, 3038.000000, -274.000000, 208.000000, 5.000000, 0.140000, 359.000000, -14084.000000, -7199.000000, -43.000000, 184.000000, 88.000000, 0.140000, 9.000000, -13962.000000, -7460.000000, 23.000000, 67.000000, -116.000000, 0.140000, -7743.000000, 5.000000, -13601.000000, -84.000000, 82.000000, 194.000000, 0.140000, -7824.000000, -143.000000, -12156.000000, 25.000000, 94.000000, 115.000000
0.160000, -13831.000000, -8050.000000, 12994.000000, -61.000000, 138.000000, -11.000000, 0.160000, -13898.000000, -8200.000000, 3055.000000, -252.000000, 225.000000, -11.000000, 0.160000, 356.000000, -14111.000000, -7263.000000, -56.000000, 179.000000, 97.000000, 0.160000, 41.000000, -13989.000000, -7575.000000, 27.000000, 77.000000, -107.000000, 0.160000, -7769.000000, -25.000000, -13576.000000, -92.000000, 75.000000, 169.000000, 0.160000, -7829.000000, -120.000000, -12160.000000, 32.000000, 100.000000, 100.000000
0.180000, -13866.000000, -8008.000000, 13002.000000, -54.000000, 116.000000, -2.000000, 0.180000, -13951.000000, -8228.000000, 2992.000000, -255.000000, 212.000000, -5.000000, 0.180000, 365.000000, -14155.000000, -7201.000000, -57.000000, 168.000000, 100.000000, 0.180000, 21.000000, -13952.000000, -7540.000000, 39.000000, 84.000000, -99.000000, 0.180000, -7686.000000, 5.000000, -13637.000000, -74.000000, 81.000000, 187.000000, 0.180000, -7877.000000, -118.000000, -12157.000000, 25.000000, 107.000000, 90.000000
0.200000, -13815.000000, -8058.000000, 12953.000000, -66.000000, 133.000000, 3.000000, 0.200000, -13914.000000, -8233.000000, 3025.000000, -265.000000, 237.000000, -15.000000, 0.200000, 365.000000, -14130.000000, -7209.000000, -36.000000, 179.000000, 87.000000, 0.200000, 38.000000, -13960.000000, -7468.000000, 38.000000, 73.000000, -112.000000, 0.200000, -7756.000000, -22.000000, -13635.000000, -88.000000, 71.000000, 203.000000, 0.200000, -7888.000000, -89.000000, -12153.000000, 12.000000, 84.000000, 86.000000
