time, adcValue
0.020000, 66.000000
0.040000, 67.000000
0.060000, 109.000000
0.080000, 186.000000
0.100000, 225.000000
0.120000, 256.000000
0.140000, 280.000000
0.160000, 299.000000
0.180000, 341.000000
0.200000, 347.000000
0.220000, 355.000000
0.240000, 360.000000
0.260000, 390.000000
0.280000, 389.000000
0.300000, 388.000000
0.320000, 395.000000
0.340000, 411.000000
0.360000, 406.000000
0.380000, 403.000000
0.400000, 427.000000
0.420000, 420.000000
0.440000, 414.000000
0.460000, 410.000000
0.480000, 433.000000
0.500000, 428.000000
0.520000, 420.000000
0.540000, 415.000000
0.560000, 433.000000
0.580000, 429.000000
0.600000, 422.000000
0.620000, 415.000000
0.640000, 439.000000
0.660000, 429.000000
0.680000, 421.000000
0.700000, 416.000000
0.720000, 438.000000
0.740000, 428.000000
0.760000, 421.000000
0.780000, 415.000000
0.800000, 436.000000
0.820000, 431.000000
0.840000, 423.000000
0.860000, 417.000000
0.880000, 440.000000
0.900000, 430.000000
0.920000, 422.000000
0.940000, 416.000000
0.960000, 438.000000
0.980000, 429.000000
1.000000, 422.000000
1.020000, 416.000000
1.040000, 437.000000
1.060000, 427.000000
1.080000, 420.000000
1.100000, 424.000000
1.120000, 435.000000
1.140000, 427.000000
1.159999, 419.000000
1.179999, 436.000000
1.199999, 433.000000
1.219999, 425.000000
1.239999, 419.000000
1.259999, 443.000000
1.279999, 432.000000
1.299999, 424.000000
1.319999, 418.000000
1.339999, 440.000000
1.359999, 431.000000
1.379999, 422.000000
1.399999, 416.000000
1.419999, 438.000000
1.439999, 433.000000
1.459999, 425.000000
1.479999, 418.000000
1.499999, 442.000000
1.519999, 431.000000
1.539999, 423.000000
1.559999, 417.000000
1.579999, 440.000000
1.599999, 430.000000
1.619999, 422.000000
1.639999, 416.000000
1.659999, 438.000000
1.679999, 428.000000
1.699999, 421.000000
1.719999, 421.000000
1.739999, 436.000000
1.759999, 427.000000
1.779999, 420.000000
1.799999, 433.000000
1.819999, 435.000000
1.839999, 426.000000
1.859999, 419.000000
1.879999, 443.000000
1.899999, 433.000000
1.919999, 424.000000
1.939999, 418.000000
1.959999, 442.000000
1.979999, 431.000000
1.999999, 423.000000
2.019999, 417.000000
2.039999, 439.000000
2.059999, 429.000000
2.079999, 422.000000
2.099999, 417.000000
2.119999, 437.000000
2.139999, 428.000000
2.159999, 421.000000
2.179999, 429.000000
2.199999, 440.000000
2.219999, 430.000000
2.239999, 423.000000
2.259999, 417.000000
2.279999, 438.000000
2.299999, 428.000000
2.319999, 422.000000
2.339998, 418.000000
2.359998, 437.000000
2.379998, 427.000000
2.399998, 421.000000
2.419998, 431.000000
2.439998, 435.000000
2.459998, 426.000000
2.479998, 420.000000
2.499998, 442.000000
2.519998, 433.000000
2.539998, 425.000000
2.559998, 419.000000
2.579998, 443.000000
2.599998, 432.000000
2.619998, 424.000000
2.639998, 418.000000
2.659998, 440.000000
2.679998, 430.000000
2.699998, 423.000000
2.719998, 417.000000
2.739998, 438.000000
2.759998, 428.000000
2.779998, 422.000000
2.799998, 421.000000
2.819998, 437.000000
2.839998, 427.000000
2.859998, 420.000000
2.879998, 433.000000
2.899998, 435.000000
2.919998, 426.000000
2.939998, 420.000000
2.959998, 444.000000
2.979998, 433.000000
2.999998, 425.000000
3.019998, 418.000000
3.039998, 442.000000
3.059998, 432.000000
3.079998, 424.000000
3.099998, 417.000000
3.119998, 440.000000
3.139998, 430.000000
3.159998, 422.000000
3.179998, 416.000000
3.199998, 438.000000
3.219998, 428.000000
3.239998, 421.000000
3.259998, 424.000000
3.279998, 436.000000
3.299998, 427.000000
3.319998, 420.000000
3.339998, 436.000000
3.359998, 434.000000
3.379997, 426.000000
3.399997, 419.000000
3.419997, 444.000000
3.439997, 433.000000
3.459997, 424.000000
3.479997, 418.000000
3.499997, 441.000000
3.519997, 431.000000
3.539997, 423.000000
3.559997, 417.000000
3.579997, 439.000000
3.599997, 429.000000
3.619997, 422.000000
3.639997, 416.000000
3.659997, 437.000000
3.679997, 428.000000
3.699997, 421.000000
3.719997, 427.000000
3.739997, 436.000000
3.759997, 426.000000
3.779997, 420.000000
3.799997, 439.000000
3.819997, 434.000000
3.839997, 426.000000
3.859997, 419.000000
3.879997, 443.000000
3.899997, 432.000000
3.919997, 424.000000
3.939997, 418.000000
3.959997, 441.000000
3.979997, 431.000000
3.999997, 423.000000
4.019997, 417.000000
4.039997, 439.000000
4.059997, 429.000000
4.079997, 422.000000
4.099997, 418.000000
4.119997, 437.000000
4.139997, 427.000000
4.159997, 421.000000
4.179997, 430.000000
4.199997, 436.000000
4.219997, 426.000000
4.239997, 420.000000
4.259997, 442.000000
4.279997, 434.000000
4.299997, 425.000000
4.319997, 419.000000
4.339997, 443.000000
4.359997, 432.000000
4.379997, 424.000000
4.399997, 418.000000
4.419997, 441.000000
4.439997, 430.000000
4.459997, 423.000000
4.479997, 417.000000
4.499997, 439.000000
4.519997, 429.000000
4.539997, 422.000000
4.559997, 420.000000
4.579997, 436.000000
4.599997, 428.000000
4.619997, 421.000000
4.639997, 432.000000
4.659997, 435.000000
4.679996, 426.000000
4.699996, 419.000000
4.719996, 443.000000
4.739996, 433.000000
4.759996, 425.000000
4.779996, 419.000000
4.799996, 443.000000
4.819996, 432.000000
4.839996, 424.000000
4.859996, 418.000000
4.879996, 440.000000
4.899996, 430.000000
4.919996, 423.000000
4.939996, 417.000000
4.959996, 438.000000
4.979996, 429.000000
4.999996, 422.000000
5.019996, 423.000000
5.039996, 437.000000
5.059996, 427.000000
5.079996, 421.000000
5.099996, 435.000000
5.119996, 434.000000
5.139996, 426.000000
5.159996, 419.000000
5.179996, 444.000000
