time, x1__dd, x2__dd, y1__dd, y2__dd, phi1__d, phi2__d
0.020000, 12400.000000, 12414.000000, 11400.000000, 11436.000000, -120.000000, 25.000000
0.040000, 12328.000000, 12438.000000, 11424.000000, 11480.000000, -134.000000, 39.000000
0.060000, 12296.000000, 12394.000000, 11488.000000, 11434.000000, -134.000000, 33.000000
0.080000, 12464.000000, 12508.000000, 11376.000000, 11422.000000, -126.000000, 49.000000
0.100000, 12328.000000, 12430.000000, 11484.000000, 11390.000000, -135.000000, 30.000000
0.120000, 12420.000000, 12478.000000, 11432.000000, 11466.000000, -131.000000, 36.000000
0.140000, 12380.000000, 12382.000000, 11504.000000, 11406.000000, -139.000000, 37.000000
0.160000, 12438.000000, 12410.000000, 11524.000000, 11444.000000, -132.000000, 23.000000
0.180000, 12348.000000, 12376.000000, 11462.000000, 11416.000000, -132.000000, 43.000000
0.200000, 12416.000000, 12448.000000, 11448.000000, 11476.000000, -151.000000, 41.000000
0.220000, 12364.000000, 12512.000000, 11446.000000, 11372.000000, -134.000000, 41.000000
0.240000, 12360.000000, 12424.000000, 11500.000000, 11456.000000, -141.000000, 41.000000
0.260000, 12350.000000, 12450.000000, 11404.000000, 11420.000000, -140.000000, 19.000000
0.280000, 12404.000000, 12456.000000, 11494.000000, 11544.000000, -131.000000, 40.000000
0.300000, 12328.000000, 12566.000000, 11456.000000, 11466.000000, -133.000000, 43.000000
0.320000, 12392.000000, 12366.000000, 11490.000000, 11416.000000, -135.000000, 35.000000
0.340000, 12276.000000, 12458.000000, 11514.000000, 11474.000000, -125.000000, 47.000000
0.360000, 12428.000000, 12486.000000, 11456.000000, 11428.000000, -127.000000, 27.000000
0.380000, 12336.000000, 12482.000000, 11492.000000, 11480.000000, -139.000000, 37.000000
0.400000, 12454.000000, 12404.000000, 11460.000000, 11408.000000, -133.000000, 28.000000
0.420000, 12414.000000, 12482.000000, 11386.000000, 11410.000000, -127.000000, 37.000000
0.440000, 12402.000000, 12446.000000, 11458.000000, 11418.000000, -124.000000, 42.000000
0.460000, 12360.000000, 12426.000000, 11354.000000, 11422.000000, -143.000000, 32.000000
0.480000, 12372.000000, 12282.000000, 11532.000000, 11332.000000, -129.000000, 27.000000
0.500000, 12320.000000, 12386.000000, 11412.000000, 11444.000000, -136.000000, 39.000000
0.520000, 12322.000000, 12442.000000, 11446.000000, 11404.000000, -121.000000, 27.000000
0.540000, 12360.000000, 12414.000000, 11516.000000, 11476.000000, -136.000000, 25.000000
0.560000, 12380.000000, 12406.000000, 11516.000000, 11436.000000, -128.000000, 50.000000
0.580000, 12374.000000, 12396.000000, 11422.000000, 11436.000000, -138.000000, 45.000000
0.600000, 12398.000000, 12574.000000, 11410.000000, 11488.000000, -138.000000, 34.000000
0.620000, 12336.000000, 12386.000000, 11456.000000, 11464.000000, -137.000000, 36.000000
0.640000, 12410.000000, 12486.000000, 11580.000000, 11500.000000, -145.000000, 23.000000
0.660000, 12430.000000, 12468.000000, 11402.000000, 11438.000000, -133.000000, 30.000000
0.680000, 12350.000000, 12470.000000, 11450.000000, 11504.000000, -135.000000, 21.000000
0.700000, 12436.000000, 12392.000000, 11438.000000, 11396.000000, -131.000000, 39.000000
0.720000, 12346.000000, 12482.000000, 11522.000000, 11338.000000, -133.000000, 47.000000
0.740000, 12380.000000, 12482.000000, 11458.000000, 11418.000000, -128.000000, 37.000000
0.760000, 12472.000000, 12528.000000, 11458.000000, 11412.000000, -134.000000, 28.000000
0.780000, 12368.000000, 12502.000000, 11440.000000, 11452.000000, -122.000000, 44.000000
0.800000, 12418.000000, 12490.000000, 11424.000000, 11502.000000, -135.000000, 36.000000
