time, x1__dd, x2__dd, y1__dd, y2__dd, phi1__d, phi2__d
0.020000, -3482.000000, -3250.000000, 15856.000000, 15906.000000, -145.000000, 29.000000
0.040000, -3436.000000, -3320.000000, 15942.000000, 15806.000000, -146.000000, 26.000000
0.060000, -3400.000000, -3296.000000, 15822.000000, 15864.000000, -143.000000, 27.000000
0.080000, -3442.000000, -3320.000000, 15908.000000, 15890.000000, -137.000000, 31.000000
0.100000, -3312.000000, -3188.000000, 15900.000000, 15832.000000, -150.000000, 20.000000
0.120000, -3350.000000, -3212.000000, 15896.000000, 15942.000000, -156.000000, 11.000000
0.140000, -3346.000000, -3320.000000, 15912.000000, 15868.000000, -134.000000, 9.000000
0.160000, -3354.000000, -3382.000000, 15870.000000, 15860.000000, -148.000000, 36.000000
0.180000, -3410.000000, -3200.000000, 15932.000000, 15898.000000, -136.000000, 33.000000
0.200000, -3358.000000, -3150.000000, 15880.000000, 15830.000000, -142.000000, 36.000000
0.220000, -3372.000000, -3234.000000, 15870.000000, 15780.000000, -115.000000, 42.000000
0.240000, -3322.000000, -3302.000000, 15960.000000, 15910.000000, -138.000000, 28.000000
0.260000, -3352.000000, -3384.000000, 15910.000000, 15926.000000, -134.000000, 29.000000
0.280000, -3332.000000, -3226.000000, 15910.000000, 15858.000000, -128.000000, 16.000000
0.300000, -3372.000000, -3176.000000, 15884.000000, 15818.000000, -130.000000, 39.000000
0.320000, -3386.000000, -3370.000000, 15924.000000, 15830.000000, -143.000000, 27.000000
0.340000, -3346.000000, -3282.000000, 15870.000000, 15890.000000, -148.000000, 28.000000
0.360000, -3322.000000, -3396.000000, 15878.000000, 15828.000000, -144.000000, 33.000000
0.380000, -3406.000000, -3204.000000, 15888.000000, 15866.000000, -145.000000, 37.000000
0.400000, -3428.000000, -3350.000000, 15890.000000, 15860.000000, -133.000000, 24.000000
0.420000, -3400.000000, -3452.000000, 15916.000000, 15844.000000, -141.000000, 33.000000
0.440000, -3320.000000, -3296.000000, 15942.000000, 15786.000000, -120.000000, 23.000000
0.460000, -3372.000000, -3282.000000, 15870.000000, 15814.000000, -142.000000, 32.000000
0.480000, -3466.000000, -3232.000000, 15900.000000, 15898.000000, -135.000000, 33.000000
0.500000, -3444.000000, -3364.000000, 15854.000000, 15946.000000, -119.000000, 27.000000
0.520000, -3404.000000, -3300.000000, 15936.000000, 15864.000000, -120.000000, 53.000000
0.540000, -3382.000000, -3258.000000, 15938.000000, 15794.000000, -111.000000, 62.000000
0.560000, -3438.000000, -3330.000000, 15850.000000, 15880.000000, -122.000000, 36.000000
0.580000, -3324.000000, -3382.000000, 15848.000000, 15890.000000, -118.000000, 44.000000
0.600000, -3360.000000, -3296.000000, 15946.000000, 15830.000000, -129.000000, 37.000000
0.620000, -3356.000000, -3168.000000, 15808.000000, 15806.000000, -136.000000, 24.000000
0.640000, -3394.000000, -3306.000000, 15894.000000, 15776.000000, -133.000000, 47.000000
0.660000, -3432.000000, -3360.000000, 15884.000000, 15766.000000, -140.000000, 40.000000
0.680000, -3390.000000, -3278.000000, 15926.000000, 15820.000000, -118.000000, 20.000000
0.700000, -3426.000000, -3274.000000, 15966.000000, 15866.000000, -129.000000, 39.000000
0.720000, -3436.000000, -3222.000000, 15858.000000, 15848.000000, -121.000000, 28.000000
0.740000, -3388.000000, -3298.000000, 15834.000000, 15794.000000, -137.000000, 37.000000
0.760000, -3490.000000, -3324.000000, 15936.000000, 15860.000000, -143.000000, 40.000000
0.780000, -3380.000000, -3376.000000, 15888.000000, 15858.000000, -133.000000, 45.000000
0.800000, -3404.000000, -3306.000000, 15830.000000, 15860.000000, -123.000000, 40.000000
0.820000, -3364.000000, -3256.000000, 15938.000000, 15832.000000, -135.000000, 30.000000
0.840000, -3398.000000, -3358.000000, 15898.000000, 15796.000000, -133.000000, 27.000000
0.860000, -3434.000000, -3336.000000, 15950.000000, 15838.000000, -117.000000, 33.000000
0.880000, -3398.000000, -3310.000000, 15936.000000, 15840.000000, -128.000000, 29.000000
0.900000, -3430.000000, -3224.000000, 15896.000000, 15878.000000, -121.000000, 36.000000
0.920000, -3426.000000, -3314.000000, 15902.000000, 15860.000000, -139.000000, 34.000000
0.940000, -3430.000000, -3278.000000, 15976.000000, 15900.000000, -154.000000, 34.000000
0.960000, -3394.000000, -3252.000000, 15848.000000, 15780.000000, -136.000000, 27.000000
0.980000, -3292.000000, -3342.000000, 15840.000000, 15894.000000, -135.000000, 29.000000
1.000000, -3366.000000, -3218.000000, 15952.000000, 15856.000000, -123.000000, 31.000000
1.020000, -3382.000000, -3264.000000, 15870.000000, 15820.000000, -135.000000, 39.000000
1.040000, -3430.000000, -3236.000000, 15834.000000, 15838.000000, -131.000000, 29.000000
1.060000, -3490.000000, -3302.000000, 15902.000000, 15850.000000, -145.000000, 13.000000
1.080000, -3382.000000, -3372.000000, 15986.000000, 15872.000000, -135.000000, 37.000000
1.100000, -3370.000000, -3304.000000, 15924.000000, 15824.000000, -143.000000, 17.000000
1.120000, -3446.000000, -3388.000000, 15912.000000, 15876.000000, -148.000000, 37.000000
1.140000, -3492.000000, -3364.000000, 15888.000000, 15838.000000, -142.000000, 15.000000
1.159999, -3414.000000, -3342.000000, 15952.000000, 15810.000000, -133.000000, 41.000000
1.179999, -3420.000000, -3240.000000, 15918.000000, 15930.000000, -139.000000, 24.000000
1.199999, -3350.000000, -3286.000000, 15868.000000, 15904.000000, -140.000000, 40.000000
1.219999, -3392.000000, -3226.000000, 15984.000000, 15854.000000, -128.000000, 42.000000
1.239999, -3432.000000, -3264.000000, 16004.000000, 15866.000000, -130.000000, 36.000000
1.259999, -3380.000000, -3348.000000, 15890.000000, 15826.000000, -130.000000, 37.000000
1.279999, -3394.000000, -3222.000000, 15890.000000, 15860.000000, -140.000000, 30.000000
1.299999, -3402.000000, -3220.000000, 15956.000000, 15858.000000, -142.000000, 32.000000
1.319999, -3354.000000, -3344.000000, 15930.000000, 15822.000000, -148.000000, 35.000000
1.339999, -3414.000000, -3326.000000, 15944.000000, 15836.000000, -124.000000, 28.000000
1.359999, -3374.000000, -3312.000000, 15806.000000, 15850.000000, -136.000000, 42.000000
1.379999, -3412.000000, -3286.000000, 15882.000000, 15918.000000, -119.000000, 43.000000
1.399999, -3334.000000, -3182.000000, 15902.000000, 15794.000000, -136.000000, 41.000000
1.419999, -3350.000000, -3254.000000, 15908.000000, 15766.000000, -136.000000, 24.000000
1.439999, -3342.000000, -3398.000000, 15922.000000, 15836.000000, -142.000000, 39.000000
1.459999, -3432.000000, -3328.000000, 15926.000000, 15854.000000, -133.000000, 39.000000
1.479999, -3446.000000, -3250.000000, 15942.000000, 15922.000000, -118.000000, 32.000000
1.499999, -3510.000000, -3200.000000, 15906.000000, 15828.000000, -124.000000, 53.000000
1.519999, -3394.000000, -3298.000000, 15920.000000, 15946.000000, -110.000000, 49.000000
1.539999, -3314.000000, -3312.000000, 16002.000000, 15916.000000, -118.000000, 51.000000
1.559999, -3358.000000, -3366.000000, 15926.000000, 15884.000000, -116.000000, 35.000000
1.579999, -3306.000000, -3304.000000, 15926.000000, 15876.000000, -114.000000, 24.000000
1.599999, -3276.000000, -3242.000000, 15896.000000, 15784.000000, -137.000000, 29.000000
1.619999, -3392.000000, -3292.000000, 15886.000000, 15824.000000, -129.000000, 22.000000
1.639999, -3338.000000, -3362.000000, 15886.000000, 15858.000000, -140.000000, 30.000000
1.659999, -3408.000000, -3280.000000, 15868.000000, 15930.000000, -144.000000, 31.000000
1.679999, -3410.000000, -3294.000000, 15820.000000, 15930.000000, -148.000000, 16.000000
1.699999, -3390.000000, -3276.000000, 16000.000000, 15800.000000, -150.000000, 25.000000
1.719999, -3344.000000, -3272.000000, 15870.000000, 15922.000000, -130.000000, 19.000000
1.739999, -3356.000000, -3326.000000, 15860.000000, 15854.000000, -136.000000, 23.000000
1.759999, -3234.000000, -3248.000000, 15948.000000, 15884.000000, -157.000000, 14.000000
1.779999, -3148.000000, -3138.000000, 15808.000000, 15810.000000, -174.000000, -15.000000
1.799999, -3116.000000, -3296.000000, 15970.000000, 15928.000000, -222.000000, -69.000000
1.819999, -3312.000000, -3208.000000, 15894.000000, 15844.000000, -250.000000, -106.000000
1.839999, -3264.000000, -3334.000000, 15830.000000, 15838.000000, -273.000000, -118.000000
1.859999, -3382.000000, -3406.000000, 15804.000000, 15842.000000, -279.000000, -124.000000
1.879999, -3562.000000, -3328.000000, 15882.000000, 15906.000000, -270.000000, -105.000000
1.899999, -3748.000000, -3496.000000, 15938.000000, 15782.000000, -209.000000, -27.000000
1.919999, -3880.000000, -3448.000000, 15906.000000, 15808.000000, -116.000000, 67.000000
1.939999, -3540.000000, -3314.000000, 15910.000000, 15840.000000, -75.000000, 105.000000
1.959999, -3250.000000, -3206.000000, 15904.000000, 15882.000000, -68.000000, 92.000000
1.979999, -3028.000000, -3038.000000, 15904.000000, 15948.000000, -103.000000, 42.000000
1.999999, -3096.000000, -3330.000000, 15940.000000, 15858.000000, -173.000000, -14.000000
2.019999, -3320.000000, -3236.000000, 15816.000000, 15808.000000, -238.000000, -58.000000
2.039999, -3500.000000, -3414.000000, 15912.000000, 15856.000000, -216.000000, -39.000000
2.059999, -3662.000000, -3400.000000, 15850.000000, 15804.000000, -166.000000, 0.000000
2.079999, -3552.000000, -3366.000000, 15890.000000, 15910.000000, -142.000000, 35.000000
2.099999, -3358.000000, -3388.000000, 15884.000000, 15836.000000, -105.000000, 49.000000
