t_ur, ur1, ur2, ur3
0.000000, 0.138992, 0.046158, 0.743438
0.020000, 0.139377, 0.454930, 0.743271
0.040000, -0.064648, 0.249122, 0.947643
0.060000, -0.268685, 0.454886, 0.745396
0.080000, 0.139565, -0.364510, 0.541169
0.100000, -0.268456, 0.248694, 0.744079
0.120000, -0.268179, 0.453987, 0.949482
0.140000, -0.270261, 0.045075, 0.541661
0.160000, -0.268704, -0.158064, 0.949420
0.180000, -0.063925, 0.249657, 0.744623
0.200000, -0.268651, 0.248713, 0.745297
0.220000, -0.064235, 0.455693, 0.948734
0.240000, -0.269715, 0.045903, 0.949654
0.260000, -0.064573, 0.045182, 0.948603
0.280000, -0.064574, 0.045787, 0.949928
0.300000, -0.269555, -0.158540, 0.744318
0.320000, -0.270430, 0.044765, -0.481214
0.340000, -0.064862, 0.249823, 0.948929
0.360000, -0.268444, 0.248689, 0.948289
0.380000, -0.064958, -0.159334, 0.744509
0.400000, 0.138738, 0.045105, 0.948707
0.420000, -0.268344, -0.159634, 0.948614
0.440000, -0.064740, 0.250687, 0.539433
0.460000, -0.268507, 0.250049, 1.152921
0.480000, -0.064150, -0.362971, 1.152317
0.500000, -0.269104, -0.158953, 0.948434
0.520000, -0.065906, -0.363257, 0.744735
0.540000, -0.064697, 0.249279, 0.744233
0.560000, -0.269177, 0.454377, 1.152414
0.580000, -0.065263, -0.159086, 0.947309
0.600000, -0.064428, 0.045758, 0.948757
0.620000, -0.268278, 0.249639, 0.948977
0.640000, -0.473836, 0.249647, 0.743775
0.660000, -0.269972, 0.250097, 0.948462
0.680000, -0.474789, 0.046282, 0.539434
0.700000, -0.064405, 0.249754, 0.744674
0.720000, -0.064868, 0.046044, 0.539777
0.740000, -0.268783, 0.249536, 0.948429
0.760000, -0.065385, 0.248650, 0.949257
0.780000, -0.064107, 0.250166, 0.744461
0.800000, -0.268952, 0.656974, 0.744683
0.820000, -0.473741, -0.363958, 0.948729
0.840000, -0.474722, -0.159211, 0.744476
0.860000, -0.065369, -0.158726, 0.744672
0.880000, 0.139484, 0.250189, 0.335969
0.900000, 0.139719, 0.044433, 0.540111
0.920000, -0.064294, -0.159293, 1.153401
0.940000, -0.269809, 1.272227, 0.744550
0.960000, -0.270248, 0.044875, 0.948914
0.980000, -0.268775, 0.250477, 0.948412
1.000000, -0.065254, -0.363625, 0.540572
1.020000, -0.268900, 0.044736, 0.744711
1.040000, -0.268803, 0.045618, 0.948601
1.060000, -0.472978, -0.159447, 0.130670
1.080000, -0.269470, -0.159233, 1.152628
1.100000, -0.268815, 0.045811, 0.540339
1.120000, -0.065624, 0.044493, 0.540870
1.140000, -0.473237, 0.249708, 0.949128
1.159999, -0.269405, 0.454267, 0.743163
1.179999, -0.064950, 0.249882, 0.743801
1.199999, -0.268831, 0.044995, 0.744331
1.219999, -0.268636, 0.045111, 0.540530
1.239999, -0.270125, -0.158753, 0.744674
1.259999, -0.268674, 0.453074, 2.789053
1.279999, -0.065263, 0.046181, 0.540027
1.299999, -0.268692, 0.046151, 0.539413
1.319999, 0.138282, -0.159927, 0.949215
1.339999, -0.269215, -0.159033, 0.744006
1.359999, -0.270106, 0.045146, 0.948870
1.379999, -0.268223, 0.045968, 0.539838
1.399999, 0.138753, 0.250341, 0.947807
1.419999, -0.064333, 0.044833, 0.743741
1.439999, 0.139517, -0.363055, 0.540515
1.459999, -0.269379, 0.046173, 0.744455
1.479999, -0.268617, 0.045347, 0.949137
1.499999, -0.269693, 0.045041, 0.539266
1.519999, 0.139660, 0.251184, 0.948278
1.539999, -0.472609, 0.249374, 0.947766
1.559999, -0.064021, 0.045074, 1.154140
1.579999, -0.268108, -0.158251, 0.744396
1.599999, -0.269712, 0.046132, 0.745503
1.619999, -0.269208, -0.158046, 0.948578
1.639999, -0.269138, -0.158393, 0.948765
1.659999, -0.269020, 0.454814, 0.744386
1.679999, -0.269928, 0.044685, 0.949418
1.699999, -0.678319, -0.772462, 0.540151
1.719999, -0.064633, -0.158790, 0.948402
1.739999, -0.473428, -0.158857, 0.949114
1.759999, -0.064699, 0.250062, 0.539638
1.779999, -0.064633, 0.454273, 0.540032
1.799999, -0.269397, 0.045612, 0.948939
1.819999, 0.139657, 0.045550, 1.154151
1.839999, -0.474742, 0.045021, 0.948604
1.859999, -0.268763, 0.046029, 0.540514
1.879999, 0.139490, 0.249618, 0.539358
1.899999, -0.473769, 0.454483, 0.744686
1.919999, -0.473296, 0.453980, 0.539596
1.939999, 0.343555, 0.046473, 1.152968
1.959999, -0.269710, 0.249839, 0.948246
1.979999, -0.066186, 0.250817, 0.541004
1.999999, -0.677721, 0.044847, 1.153367
2.019999, -0.269112, 0.249932, 1.152973
2.039999, -0.065206, 1.884291, 0.744372
2.059999, -0.065536, -0.159354, 0.744796
2.079999, -0.269706, -0.363498, 0.744703
2.099999, 0.139619, 0.045380, 0.950123
2.119999, -0.065413, 0.045674, 2.174821
2.139999, -0.473357, -0.159049, 0.949368
2.159999, -0.065472, 0.249218, 0.335242
2.179999, -0.065052, 0.249454, 0.539801
2.199999, -0.064871, 0.045069, 0.948866
2.219999, -0.269942, 0.045459, 0.744954
2.239999, -0.064156, 0.045672, 0.539564
2.259999, -0.474666, 0.250555, 1.152692
2.279999, -0.064165, -0.158571, 0.540632
2.299999, -0.269437, 0.046635, 0.744090
