t_tm, tm1, tm2, tm3
0.000000, -0.014998, 0.046788, -0.019338
0.020000, -0.061165, 0.054007, 0.004679
0.040000, 0.041483, 0.115290, -0.095912
0.060000, -0.035108, 0.118258, -0.050570
0.080000, -0.083197, 0.063587, 0.012396
0.100000, -0.085213, 0.103409, -0.010663
0.120000, -0.148356, 0.063314, 0.052677
0.140000, -0.156300, 0.189995, -0.019736
0.160000, -0.067761, 0.073285, -0.003025
0.180000, -0.163015, 0.200063, -0.021747
0.200000, -0.103295, 0.024114, 0.048857
0.220000, 0.049802, 0.121459, -0.104798
0.240000, -0.110082, 0.162668, -0.031514
0.260000, -0.083472, 0.112042, -0.017003
0.280000, -0.092636, 0.145134, -0.031555
0.300000, -0.061180, 0.183769, -0.074498
0.320000, -0.129183, 0.156528, -0.016008
0.340000, -0.109762, 0.117786, -0.004324
0.360000, -0.119963, 0.181362, -0.036840
0.380000, -0.200567, -2.053177, 1.376379
0.400000, -0.197820, -2.009033, 1.347750
0.420000, -0.195408, -1.969243, 1.321984
0.440000, -0.192327, -1.928238, 1.295064
0.460000, -0.190058, -1.887984, 1.269103
0.480000, -0.184429, -1.850661, 1.242862
0.500000, -0.180849, -1.813689, 1.218096
0.520000, -0.178032, -1.774931, 1.192711
0.540000, -0.176142, -1.735441, 1.167448
0.560000, -0.172414, -1.699994, 1.143522
0.580000, -0.170765, -1.664416, 1.120797
0.600000, -0.169856, -1.628128, 1.098092
0.620000, -0.168084, -1.593326, 1.075764
0.640000, -0.104171, -1.663488, 1.079251
0.660000, -0.100671, -1.629043, 1.056077
0.680000, -0.099480, -1.596647, 1.035575
0.700000, -0.097197, -1.565873, 1.015390
0.720000, -0.093886, -1.535329, 0.994712
0.740000, -0.093167, -1.504147, 0.975241
0.760000, -0.089375, -1.476355, 0.955948
0.780000, -0.087222, -1.446771, 0.936569
0.800000, -0.084658, -1.417423, 0.917081
0.820000, -0.081186, -1.389054, 0.897632
0.840000, -0.081029, -1.361659, 0.880818
0.860000, -0.079656, -1.333159, 0.862581
0.880000, -0.078504, -1.308793, 0.847002
0.900000, -0.076261, -1.284368, 0.830717
0.920000, -0.073636, -1.259253, 0.813774
0.940000, -0.070971, -1.235916, 0.797893
0.960000, -0.068983, -1.211890, 0.782007
0.980000, -0.068785, -1.188588, 0.767666
1.000000, -0.067438, -1.164619, 0.752210
1.020000, -0.067279, -1.140571, 0.737437
1.040000, -0.066130, -1.117891, 0.722889
1.060000, -0.063582, -1.096721, 0.708402
1.080000, -0.061956, -1.074351, 0.693750
1.100000, -0.059897, -1.051994, 0.678839
1.120000, -0.061134, -1.030409, 0.666429
1.140000, -0.060484, -1.010194, 0.653693
1.159999, -0.057087, -0.992487, 0.640796
1.179999, -0.055206, -0.972636, 0.627524
1.199999, -0.054507, -0.952212, 0.614631
1.219999, -0.054775, -0.933313, 0.603263
1.239999, -0.053196, -0.915103, 0.591178
1.259999, -0.051477, -0.895914, 0.578410
1.279999, -0.049799, -0.878322, 0.566642
1.299999, -0.050044, -0.858902, 0.554941
1.319999, -0.049518, -0.842030, 0.544322
1.339999, -0.048524, -0.824765, 0.533174
1.359999, -0.045134, -0.808730, 0.521303
1.379999, -0.043276, -0.792746, 0.510404
1.399999, -0.039976, -0.776413, 0.498406
1.419999, -0.037466, -0.761618, 0.487832
1.439999, -0.037010, -0.747556, 0.478970
1.459999, -0.036399, -0.732755, 0.469562
1.479999, -0.035810, -0.718051, 0.460226
1.499999, -0.034551, -0.703974, 0.450861
1.519999, -0.034670, -0.691203, 0.443141
1.539999, -0.034800, -0.677121, 0.434628
1.559999, -0.034595, -0.665113, 0.427174
1.579999, -0.033416, -0.653602, 0.419424
1.599999, -0.035490, -0.641565, 0.413355
1.619999, -0.034673, -0.628769, 0.405043
1.639999, -0.034046, -0.617521, 0.397794
1.659999, -0.033279, -0.605833, 0.390189
1.679999, -0.034911, -0.591962, 0.382729
1.699999, -0.033281, -0.579003, 0.373818
1.719999, -0.031204, -0.568233, 0.365966
1.739999, -0.031351, -0.555263, 0.358143
1.759999, -0.031867, -0.544157, 0.351683
1.779999, -0.032188, -0.533190, 0.345188
1.799999, -0.034463, -0.520115, 0.338610
1.819999, -0.034454, -0.508339, 0.331418
1.839999, -0.033759, -0.497682, 0.324487
1.859999, -0.033029, -0.489168, 0.318842
1.879999, -0.032133, -0.480167, 0.312797
1.899999, -0.029673, -0.472759, 0.306762
1.919999, -0.029538, -0.464077, 0.301381
1.939999, -0.027993, -0.454800, 0.294769
1.959999, -0.029098, -0.445389, 0.289706
1.979999, -0.027805, -0.435601, 0.282937
1.999999, -0.026292, -0.427402, 0.277002
2.019999, -0.025297, -0.419386, 0.271498
2.039999, -0.023845, -0.411960, 0.266073
2.059999, -0.024605, -0.403439, 0.261341
2.079999, -0.025088, -0.394595, 0.256241
2.099999, -0.023280, -0.387561, 0.250835
2.119999, -0.023678, -0.377495, 0.244938
2.139999, -0.024687, -0.369544, 0.240707
2.159999, -0.025594, -0.360624, 0.235822
2.179999, -0.024233, -0.355277, 0.231721
2.199999, -0.022653, -0.347594, 0.226060
2.219999, -0.022032, -0.341131, 0.221734
2.239999, -0.020491, -0.333505, 0.216131
2.259999, -0.018523, -0.326237, 0.210485
2.279999, -0.019238, -0.320295, 0.207299
2.299999, -0.019578, -0.314487, 0.203964
2.319999, -0.019416, -0.307653, 0.199694
2.339998, -0.018685, -0.302631, 0.196179
2.359998, -0.017189, -0.298418, 0.192687
2.379998, -0.015448, -0.293656, 0.188710
2.399998, -0.015901, -0.287707, 0.185359
2.419998, -0.015631, -0.281328, 0.181300
2.439998, -0.013793, -0.276236, 0.177061
2.459998, -0.012393, -0.271233, 0.173146
2.479998, -0.011817, -0.268001, 0.170819
2.499998, -0.013300, -0.261745, 0.167914
2.519998, -0.012946, -0.255491, 0.163880
2.539998, -0.011416, -0.252350, 0.161021
2.559998, -0.012211, -0.246987, 0.158238
2.579998, -0.012878, -0.242504, 0.155913
2.599998, -0.015132, -0.236762, 0.153797
2.619998, -0.017177, -0.231020, 0.151551
2.639998, -0.016026, -0.227327, 0.148589
2.659998, -0.016192, -0.221953, 0.145412
2.679998, -0.016843, -0.215171, 0.141674
2.699998, -0.016880, -0.211349, 0.139365
2.719998, -0.017643, -0.207146, 0.137270
2.739998, -0.017990, -0.202921, 0.134905
2.759998, -0.018726, -0.197687, 0.132164
2.779998, -0.019383, -0.193496, 0.130012
2.799998, -0.019212, -0.190263, 0.127933
2.819998, -0.018923, -0.187521, 0.126082
2.839998, -0.020450, -0.183354, 0.124479
2.859998, -0.019833, -0.179076, 0.121488
2.879998, -0.018119, -0.177705, 0.119597
2.899998, -0.017024, -0.172621, 0.115820
2.919998, -0.016607, -0.169397, 0.113595
2.939998, -0.016113, -0.167938, 0.112401
2.959998, -0.014931, -0.164557, 0.109611
