t_uk, uk1, uk2, uk3
0.000000, -0.001723, 0.000099, -0.000892
0.020000, -0.001369, 0.000092, -0.001561
0.040000, -0.002567, -0.000234, -0.001665
0.060000, -0.001791, -0.001059, -0.000855
0.080000, -0.002860, -0.001545, -0.002022
0.100000, -0.002133, -0.000202, -0.002112
0.120000, -0.001375, -0.000670, -0.001311
0.140000, -0.000829, -0.000844, -0.001373
0.160000, -0.001040, -0.000698, -0.000953
0.180000, -0.002137, -0.000489, -0.000107
0.200000, -0.001303, -0.000663, -0.001826
0.220000, -0.002343, 0.000727, -0.002071
0.240000, -0.000522, -0.000513, -0.001042
0.260000, -0.002221, -0.000374, -0.001157
0.280000, -0.000914, -0.001491, -0.001143
0.300000, -0.000815, -0.000892, -0.001181
0.320000, -0.002237, 0.000114, -0.001080
0.340000, -0.000640, 0.001461, -0.001608
0.360000, -0.001996, -0.000386, -0.000929
0.380000, -0.001837, -0.000396, -0.001000
0.400000, -0.000898, 0.000351, -0.001898
0.420000, -0.000527, -0.000154, -0.001843
0.440000, -0.002317, -0.000792, -0.000565
0.460000, -0.002837, -0.000752, -0.000678
0.480000, -0.002084, -0.001817, -0.001246
0.500000, -0.001251, 0.000658, -0.000412
0.520000, -0.001310, -0.000010, -0.002200
0.540000, -0.002823, 0.000294, -0.001158
0.560000, -0.001491, 0.000307, -0.002746
0.580000, -0.001619, -0.002397, -0.001316
0.600000, -0.002075, 0.000058, -0.001816
0.620000, -0.001876, 0.000102, -0.000675
0.640000, -0.002303, -0.000430, -0.001830
0.660000, -0.001633, -0.000460, -0.001475
0.680000, -0.001754, 0.000153, -0.001075
0.700000, -0.002132, -0.000365, -0.000792
0.720000, -0.001610, -0.001867, -0.001705
0.740000, -0.001632, -0.001097, -0.001395
0.760000, -0.001625, 0.000486, -0.001677
0.780000, -0.001630, -0.000136, -0.001078
0.800000, -0.002370, -0.000028, -0.001796
0.820000, -0.002702, 0.000196, -0.001434
0.840000, -0.002998, 0.000118, -0.002113
0.860000, -0.000925, -0.000073, -0.002423
0.880000, -0.000525, 0.000395, -0.001091
0.900000, -0.001714, -0.000276, -0.001160
0.920000, -0.001491, -0.000768, -0.001799
0.940000, -0.001936, -0.000463, -0.002304
0.960000, -0.001832, 0.000083, -0.002182
0.980000, -0.001996, -0.000109, -0.002335
1.000000, -0.001537, -0.000137, -0.001531
1.020000, -0.001441, 0.000219, -0.001805
1.040000, -0.001810, -0.000998, -0.002257
1.060000, -0.001346, -0.000791, -0.000449
1.080000, -0.001771, -0.001060, -0.002515
1.100000, -0.000687, -0.001135, -0.002321
1.120000, -0.001007, -0.000496, -0.001159
1.140000, -0.001442, -0.000481, -0.000732
1.159999, -0.001771, 0.000104, -0.001899
1.179999, -0.001314, -0.000722, -0.000793
1.199999, -0.001387, -0.001800, -0.001069
1.219999, -0.001325, -0.000780, -0.000826
1.239999, -0.001710, -0.000461, -0.000341
1.259999, -0.001507, 0.000071, -0.001701
1.279999, -0.000877, -0.000859, -0.001579
1.299999, -0.002347, 0.000103, -0.000493
1.319999, -0.001118, -0.000978, -0.000121
1.339999, -0.001879, 0.000618, -0.002128
1.359999, -0.002286, -0.000707, -0.002375
1.379999, -0.002469, -0.001549, -0.000626
1.399999, -0.002305, -0.001077, -0.001019
1.419999, -0.001526, -0.000794, -0.001724
1.439999, -0.001377, 0.000171, -0.000838
1.459999, -0.002846, 0.000195, -0.001888
1.479999, -0.001766, 0.000270, -0.001897
1.499999, -0.002355, -0.000109, -0.002056
1.519999, -0.003000, -0.000350, -0.000753
1.539999, -0.000762, -0.000160, -0.002219
1.559999, -0.001630, -0.000722, -0.001707
1.579999, -0.000058, -0.000324, -0.001776
1.599999, -0.000885, -0.000397, -0.000613
1.619999, -0.001493, 0.000008, -0.002096
1.639999, -0.001312, -0.001738, -0.001075
1.659999, -0.001881, -0.000826, -0.001242
1.679999, -0.001457, 0.000062, -0.002374
1.699999, -0.002107, -0.000686, -0.001621
1.719999, -0.001080, -0.000310, -0.001549
1.739999, -0.002057, 0.000248, 0.000064
1.759999, -0.002499, -0.000722, -0.001025
1.779999, -0.001805, -0.001224, -0.001659
1.799999, -0.001714, -0.000969, -0.000858
1.819999, -0.001150, -0.000960, -0.001382
1.839999, -0.001395, -0.000194, -0.001710
1.859999, -0.002076, -0.001149, -0.001208
1.879999, -0.002459, 0.000509, -0.001598
