t_g, g1, g2, g3
0.000000, -5.523242, -6.039287, -6.054206
0.020000, -5.616282, -6.056618, -6.187617
0.040000, -5.907488, -6.122206, -6.381245
0.060000, -5.662210, -5.807943, -6.247005
0.080000, -5.830308, -5.671520, -6.178165
0.100000, -5.694529, -5.904754, -6.320982
0.120000, -5.585814, -6.131652, -6.293627
0.140000, -5.590359, -5.534862, -6.504054
0.160000, -5.453035, -5.448609, -6.011867
0.180000, -5.398190, -5.552085, -6.005346
0.200000, -5.865100, -5.634241, -5.993282
0.220000, -5.641201, -6.116004, -6.048893
0.240000, -5.409171, -5.707878, -6.115127
0.260000, -5.863155, -5.747378, -5.987244
0.280000, -5.630896, -6.169482, -5.908261
0.300000, -5.860781, -5.772320, -5.897835
0.320000, -5.432673, -5.859041, -6.336299
0.340000, -5.558860, -5.939935, -6.100865
0.360000, -5.120977, -5.594382, -6.526629
0.380000, -5.651745, -5.835778, -6.015905
0.400000, -5.690264, -5.739857, -6.353319
0.420000, -5.692011, -5.746449, -6.249483
0.440000, -5.745657, -5.665754, -5.983458
0.460000, -5.627414, -5.663238, -6.489588
0.480000, -5.610384, -5.462778, -5.811197
0.500000, -5.601111, -5.869019, -6.075562
0.520000, -5.686793, -5.628692, -6.336140
0.540000, -5.503068, -5.881809, -6.181303
0.560000, -5.718907, -5.709199, -5.978802
0.580000, -5.490821, -6.062170, -5.876751
0.600000, -5.953660, -5.786277, -6.313971
0.620000, -5.583086, -6.035563, -6.236633
0.640000, -5.476295, -6.206797, -6.031170
0.660000, -5.342981, -5.977555, -5.733108
0.680000, -5.482662, -6.105634, -6.048110
0.700000, -5.688161, -5.720437, -5.828639
0.720000, -6.123962, -5.961964, -6.366494
0.740000, -5.550300, -6.009142, -6.070569
0.760000, -5.623667, -5.772326, -6.325962
0.780000, -5.361006, -5.539971, -6.318954
0.800000, -5.586655, -5.748298, -6.304123
0.820000, -5.640499, -5.662923, -6.580179
0.840000, -5.583561, -5.864192, -6.300758
0.860000, -5.595519, -5.777830, -5.982316
0.880000, -5.921908, -5.576124, -6.296997
0.900000, -5.752788, -6.093108, -5.910314
0.920000, -5.617083, -6.139107, -6.063275
0.940000, -5.816651, -6.224924, -6.398616
0.960000, -5.747007, -5.825788, -6.272645
0.980000, -5.716452, -5.755004, -6.230411
1.000000, -5.687114, -6.137857, -6.180793
1.020000, -5.500551, -5.954316, -6.229464
1.040000, -5.774355, -5.807385, -5.971512
1.060000, -5.682103, -5.716940, -6.370656
1.080000, -5.494747, -5.910807, -6.305555
1.100000, -5.572877, -5.669095, -6.118023
1.120000, -5.919850, -5.612565, -6.155109
1.140000, -5.871535, -6.154207, -6.164457
1.159999, -5.572743, -6.039511, -5.985038
1.179999, -5.589681, -5.907334, -6.114312
1.199999, -5.452201, -6.244110, -6.051839
1.219999, -5.821322, -5.727743, -6.107412
1.239999, -5.472878, -5.680582, -6.174229
1.259999, -5.540450, -6.230222, -5.854942
1.279999, -5.727773, -5.638109, -5.957644
1.299999, -5.462472, -5.866105, -6.254123
1.319999, -5.776639, -5.941301, -6.148530
1.339999, -5.222481, -5.930829, -6.098244
1.359999, -5.595695, -5.695466, -6.302383
1.379999, -5.861905, -6.024809, -5.904798
1.399999, -5.452766, -5.557874, -5.970000
1.419999, -5.626915, -5.649167, -6.106141
1.439999, -5.298577, -5.572046, -6.262649
1.459999, -5.643572, -5.937041, -5.823346
1.479999, -5.606823, -5.840377, -6.213750
1.499999, -5.618126, -5.860620, -6.153720
1.519999, -5.368857, -5.847577, -5.982122
1.539999, -5.827619, -5.890073, -5.822523
1.559999, -5.808951, -5.881882, -6.513749
1.579999, -5.607259, -5.774230, -6.129703
1.599999, -5.599736, -5.696312, -6.140050
1.619999, -5.727578, -5.903444, -6.137756
1.639999, -5.751467, -5.642792, -6.321759
1.659999, -5.745862, -5.624743, -5.792785
1.679999, -5.788026, -6.013072, -6.053206
1.699999, -5.475313, -5.837096, -6.286049
1.719999, -5.908437, -5.833252, -5.875630
1.739999, -5.973011, -5.781494, -6.060744
1.759999, -5.466478, -5.953389, -6.558931
1.779999, -5.503881, -5.964460, -6.319633
1.799999, -5.412399, -5.509653, -6.137951
1.819999, -5.820060, -5.928728, -6.079575
1.839999, -5.648376, -6.030101, -6.329998
1.859999, -5.568688, -5.844155, -6.176550
1.879999, -5.837245, -5.839456, -6.403495
1.899999, -5.483100, -5.585577, -5.964892
1.919999, -5.905126, -5.771459, -6.384543
1.939999, -5.945945, -5.859084, -5.968420
1.959999, -5.659177, -5.687713, -5.728985
1.979999, -5.828580, -5.718415, -6.154455
1.999999, -5.447668, -5.651823, -5.974078
2.019999, -5.548242, -5.849460, -6.120850
2.039999, -5.808821, -5.559160, -6.344505
2.059999, -5.881074, -5.733272, -6.236493
2.079999, -5.688997, -5.581488, -6.179652
2.099999, -5.798677, -5.848553, -6.063006
2.119999, -5.809106, -5.689806, -5.979980
2.139999, -5.875793, -6.107180, -6.189524
2.159999, -5.694333, -5.444855, -5.923664
2.179999, -5.907725, -5.523596, -6.205284
2.199999, -5.454255, -6.059032, -6.218577
2.219999, -5.801891, -5.999284, -6.282904
2.239999, -5.414725, -6.159041, -6.176180
2.259999, -5.658461, -5.762472, -6.218400
2.279999, -5.150510, -5.762539, -6.143046
2.299999, -5.605425, -5.535261, -6.461998
2.319999, -5.775242, -5.730480, -6.208861
2.339998, -5.332874, -5.924124, -5.923018
2.359998, -5.618913, -5.881985, -6.458879
2.379998, -5.810500, -5.900918, -6.136207
2.399998, -5.739375, -5.700510, -6.052082
