t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, -15440.000000, -4211.000000, 12538.000000, -73.000000, 133.000000, 8.000000, 0.020000, -15510.000000, -4402.000000, 3023.000000, -259.000000, 205.000000, -5.000000, 0.020000, 504.000000, -15691.000000, -3175.000000, -45.000000, 169.000000, 91.000000, 0.020000, 100.000000, -15545.000000, -3691.000000, 24.000000, 70.000000, -95.000000, 0.020000, -3945.000000, 97.000000, -15153.000000, -94.000000, 85.000000, 183.000000, 0.020000, -4069.000000, 52.000000, -13715.000000, 26.000000, 106.000000, 118.000000
0.040000, -15449.000000, -4206.000000, 12579.000000, -67.000000, 139.000000, 12.000000, 0.040000, -15530.000000, -4383.000000, 3003.000000, -247.000000, 212.000000, -8.000000, 0.040000, 541.000000, -15704.000000, -3222.000000, -42.000000, 166.000000, 100.000000, 0.040000, 114.000000, -15575.000000, -3714.000000, 22.000000, 71.000000, -98.000000, 0.040000, -3929.000000, 98.000000, -15153.000000, -79.000000, 93.000000, 194.000000, 0.040000, -4065.000000, 31.000000, -13726.000000, 24.000000, 96.000000, 115.000000
0.060000, -15475.000000, -4190.000000, 12584.000000, -68.000000, 132.000000, 14.000000, 0.060000, -15534.000000, -4382.000000, 3037.000000, -256.000000, 218.000000, 2.000000, 0.060000, 504.000000, -15717.000000, -3210.000000, -48.000000, 168.000000, 83.000000, 0.060000, 101.000000, -15560.000000, -3724.000000, 15.000000, 63.000000, -91.000000, 0.060000, -3927.000000, 62.000000, -15173.000000, -76.000000, 92.000000, 193.000000, 0.060000, -4072.000000, 38.000000, -13722.000000, 23.000000, 97.000000, 107.000000
0.080000, -15450.000000, -4207.000000, 12570.000000, -54.000000, 140.000000, 15.000000, 0.080000, -15516.000000, -4368.000000, 3054.000000, -251.000000, 221.000000, -6.000000, 0.080000, 482.000000, -15710.000000, -3204.000000, -53.000000, 164.000000, 85.000000, 0.080000, 105.000000, -15545.000000, -3728.000000, 20.000000, 70.000000, -93.000000, 0.080000, -3945.000000, 89.000000, -15183.000000, -83.000000, 92.000000, 189.000000, 0.080000, -4078.000000, 29.000000, -13728.000000, 30.000000, 102.000000, 112.000000
0.100000, -15458.000000, -4210.000000, 12578.000000, -71.000000, 143.000000, 19.000000, 0.100000, -15541.000000, -4383.000000, 3027.000000, -257.000000, 211.000000, -5.000000, 0.100000, 503.000000, -15703.000000, -3208.000000, -51.000000, 163.000000, 91.000000, 0.100000, 122.000000, -15564.000000, -3721.000000, 23.000000, 68.000000, -93.000000, 0.100000, -3952.000000, 74.000000, -15172.000000, -86.000000, 91.000000, 181.000000, 0.100000, -4088.000000, 44.000000, -13759.000000, 25.000000, 94.000000, 109.000000
0.120000, -15458.000000, -4217.000000, 12584.000000, -68.000000, 140.000000, 27.000000, 0.120000, -15523.000000, -4391.000000, 3017.000000, -255.000000, 213.000000, -7.000000, 0.120000, 517.000000, -15679.000000, -3233.000000, -50.000000, 166.000000, 87.000000, 0.120000, 91.000000, -15553.000000, -3735.000000, 27.000000, 64.000000, -90.000000, 0.120000, -3942.000000, 74.000000, -15164.000000, -86.000000, 85.000000, 184.000000, 0.120000, -4083.000000, 11.000000, -13745.000000, 28.000000, 113.000000, 110.000000
0.140000, -15475.000000, -4216.000000, 12570.000000, -52.000000, 135.000000, 25.000000, 0.140000, -15506.000000, -4381.000000, 2994.000000, -258.000000, 211.000000, -1.000000, 0.140000, 526.000000, -15686.000000, -3215.000000, -40.000000, 162.000000, 86.000000, 0.140000, 121.000000, -15561.000000, -3728.000000, 19.000000, 70.000000, -84.000000, 0.140000, -3940.000000, 74.000000, -15177.000000, -85.000000, 90.000000, 182.000000, 0.140000, -4070.000000, 54.000000, -13752.000000, 33.000000, 97.000000, 119.000000
0.160000, -15450.000000, -4218.000000, 12540.000000, -62.000000, 135.000000, 19.000000, 0.160000, -15526.000000, -4389.000000, 3032.000000, -258.000000, 207.000000, -8.000000, 0.160000, 512.000000, -15707.000000, -3217.000000, -56.000000, 161.000000, 97.000000, 0.160000, 107.000000, -15553.000000, -3711.000000, 14.000000, 66.000000, -109.000000, 0.160000, -3939.000000, 80.000000, -15196.000000, -81.000000, 91.000000, 181.000000, 0.160000, -4077.000000, 37.000000, -13754.000000, 20.000000, 101.000000, 114.000000
0.180000, -15438.000000, -4230.000000, 12519.000000, -66.000000, 134.000000, 22.000000, 0.180000, -15503.000000, -4383.000000, 3029.000000, -263.000000, 212.000000, -11.000000, 0.180000, 502.000000, -15684.000000, -3213.000000, -45.000000, 170.000000, 90.000000, 0.180000, 106.000000, -15580.000000, -3705.000000, 15.000000, 71.000000, -101.000000, 0.180000, -3946.000000, 73.000000, -15182.000000, -88.000000, 83.000000, 189.000000, 0.180000, -4071.000000, 25.000000, -13724.000000, 26.000000, 105.000000, 111.000000
0.200000, -15449.000000, -4205.000000, 12558.000000, -70.000000, 133.000000, 14.000000, 0.200000, -15499.000000, -4379.000000, 3028.000000, -258.000000, 200.000000, -12.000000, 0.200000, 510.000000, -15674.000000, -3239.000000, -44.000000, 172.000000, 81.000000, 0.200000, 108.000000, -15561.000000, -3713.000000, 19.000000, 67.000000, -101.000000, 0.200000, -3935.000000, 63.000000, -15180.000000, -75.000000, 81.000000, 181.000000, 0.200000, -4073.000000, 14.000000, -13753.000000, 27.000000, 108.000000, 102.000000
0.220000, -15448.000000, -4237.000000, 12590.000000, -63.000000, 127.000000, 11.000000, 0.220000, -15535.000000, -4400.000000, 3044.000000, -256.000000, 214.000000, -10.000000, 0.220000, 537.000000, -15720.000000, -3208.000000, -54.000000, 170.000000, 82.000000, 0.220000, 98.000000, -15532.000000, -3720.000000, 9.000000, 78.000000, -102.000000, 0.220000, -3935.000000, 56.000000, -15214.000000, -76.000000, 83.000000, 180.000000, 0.220000, -4087.000000, 33.000000, -13760.000000, 29.000000, 104.000000, 113.000000
0.240000, -15444.000000, -4222.000000, 12553.000000, -63.000000, 138.000000, 16.000000, 0.240000, -15531.000000, -4381.000000, 3023.000000, -260.000000, 201.000000, -6.000000, 0.240000, 510.000000, -15689.000000, -3226.000000, -46.000000, 169.000000, 88.000000, 0.240000, 117.000000, -15556.000000, -3694.000000, 20.000000, 67.000000, -97.000000, 0.240000, -3950.000000, 87.000000, -15168.000000, -79.000000, 91.000000, 180.000000, 0.240000, -4081.000000, 43.000000, -13756.000000, 18.000000, 101.000000, 103.000000
0.260000, -15455.000000, -4216.000000, 12585.000000, -64.000000, 142.000000, 20.000000, 0.260000, -15521.000000, -4387.000000, 3052.000000, -264.000000, 212.000000, -7.000000, 0.260000, 483.000000, -15688.000000, -3213.000000, -48.000000, 173.000000, 93.000000, 0.260000, 105.000000, -15566.000000, -3739.000000, 25.000000, 65.000000, -98.000000, 0.260000, -3948.000000, 92.000000, -15223.000000, -78.000000, 88.000000, 182.000000, 0.260000, -4078.000000, 27.000000, -13728.000000, 22.000000, 106.000000, 108.000000
