t, adc1, adc2, adc3
0.000000, 2039.000000, 2037.000000, 2035.000000
0.020000, 2039.000000, 2038.000000, 2036.000000
0.040000, 2038.000000, 2040.000000, 2036.000000
0.060000, 2039.000000, 2037.000000, 2035.000000
0.080000, 2040.000000, 2036.000000, 2036.000000
0.100000, 2041.000000, 2037.000000, 2036.000000
0.120000, 2040.000000, 2039.000000, 2036.000000
0.140000, 2041.000000, 2034.000000, 2035.000000
0.160000, 2041.000000, 2037.000000, 2033.000000
0.180000, 2028.000000, 2034.000000, 2031.000000
0.200000, 2029.000000, 2025.000000, 2030.000000
0.220000, 2026.000000, 2033.000000, 2018.000000
0.240000, 2024.000000, 2020.000000, 2022.000000
0.260000, 2015.000000, 2023.000000, 2022.000000
0.280000, 2013.000000, 2018.000000, 2014.000000
0.300000, 2012.000000, 2020.000000, 2013.000000
0.320000, 2012.000000, 2013.000000, 2009.000000
0.340000, 2006.000000, 2012.000000, 2012.000000
0.360000, 2010.000000, 2008.000000, 2010.000000
0.380000, 2002.000000, 2006.000000, 2004.000000
0.400000, 2001.000000, 2005.000000, 2004.000000
0.420000, 2002.000000, 2001.000000, 2000.000000
0.440000, 1997.000000, 2002.000000, 2001.000000
0.460000, 1996.000000, 1995.000000, 1999.000000
0.480000, 1992.000000, 1995.000000, 1993.000000
0.500000, 1993.000000, 1990.000000, 1994.000000
0.520000, 1988.000000, 1991.000000, 1994.000000
0.540000, 1987.000000, 1988.000000, 1990.000000
0.560000, 1987.000000, 1987.000000, 1989.000000
0.580000, 1982.000000, 1986.000000, 1985.000000
0.600000, 1985.000000, 1987.000000, 1984.000000
0.620000, 1982.000000, 1981.000000, 1983.000000
0.640000, 1976.000000, 1981.000000, 1978.000000
0.660000, 1971.000000, 1976.000000, 1980.000000
0.680000, 1972.000000, 1975.000000, 1973.000000
0.700000, 1961.000000, 1972.000000, 1975.000000
0.720000, 1968.000000, 1967.000000, 1968.000000
0.740000, 1968.000000, 1964.000000, 1971.000000
0.760000, 1966.000000, 1972.000000, 1963.000000
0.780000, 1962.000000, 1967.000000, 1970.000000
0.800000, 1957.000000, 1962.000000, 1969.000000
0.820000, 1963.000000, 1967.000000, 1963.000000
0.840000, 1952.000000, 1958.000000, 1961.000000
0.860000, 1952.000000, 1964.000000, 1954.000000
0.880000, 1946.000000, 1954.000000, 1959.000000
0.900000, 1952.000000, 1952.000000, 1954.000000
0.920000, 1952.000000, 1951.000000, 1944.000000
0.940000, 1941.000000, 1944.000000, 1955.000000
0.960000, 1942.000000, 1943.000000, 1947.000000
0.980000, 1935.000000, 1948.000000, 1939.000000
1.000000, 1937.000000, 1936.000000, 1953.000000
1.020000, 1926.000000, 1933.000000, 1943.000000
1.040000, 1933.000000, 1931.000000, 1935.000000
1.060000, 1933.000000, 1934.000000, 1934.000000
1.080000, 1931.000000, 1932.000000, 1934.000000
1.100000, 1925.000000, 1932.000000, 1934.000000
1.120000, 1925.000000, 1935.000000, 1931.000000
1.140000, 1920.000000, 1936.000000, 1932.000000
1.159999, 1916.000000, 1933.000000, 1924.000000
1.179999, 1911.000000, 1924.000000, 1919.000000
1.199999, 1917.000000, 1922.000000, 1921.000000
1.219999, 1908.000000, 1913.000000, 1934.000000
1.239999, 1904.000000, 1919.000000, 1919.000000
1.259999, 1915.000000, 1903.000000, 1923.000000
1.279999, 1910.000000, 1908.000000, 1915.000000
1.299999, 1904.000000, 1906.000000, 1918.000000
1.319999, 1894.000000, 1922.000000, 1912.000000
1.339999, 1900.000000, 1901.000000, 1915.000000
1.359999, 1910.000000, 1904.000000, 1912.000000
1.379999, 1893.000000, 1898.000000, 1910.000000
1.399999, 1891.000000, 1902.000000, 1911.000000
1.419999, 1883.000000, 1899.000000, 1899.000000
1.439999, 1889.000000, 1902.000000, 1902.000000
1.459999, 1894.000000, 1887.000000, 1905.000000
1.479999, 1890.000000, 1895.000000, 1901.000000
1.499999, 1884.000000, 1888.000000, 1902.000000
1.519999, 1885.000000, 1888.000000, 1902.000000
1.539999, 1878.000000, 1878.000000, 1896.000000
1.559999, 1884.000000, 1883.000000, 1896.000000
1.579999, 1878.000000, 1895.000000, 1885.000000
1.599999, 1873.000000, 1877.000000, 1885.000000
1.619999, 1879.000000, 1888.000000, 1887.000000
1.639999, 1879.000000, 1882.000000, 1889.000000
1.659999, 1867.000000, 1876.000000, 1880.000000
1.679999, 1863.000000, 1883.000000, 1888.000000
1.699999, 1863.000000, 1881.000000, 1874.000000
1.719999, 1858.000000, 1864.000000, 1880.000000
1.739999, 1857.000000, 1865.000000, 1864.000000
1.759999, 1858.000000, 1878.000000, 1886.000000
1.779999, 1852.000000, 1869.000000, 1875.000000
1.799999, 1851.000000, 1863.000000, 1875.000000
1.819999, 1851.000000, 1861.000000, 1858.000000
1.839999, 1852.000000, 1864.000000, 1866.000000
1.859999, 1856.000000, 1852.000000, 1870.000000
1.879999, 1857.000000, 1864.000000, 1868.000000
1.899999, 1853.000000, 1853.000000, 1856.000000
1.919999, 1843.000000, 1843.000000, 1854.000000
1.939999, 1847.000000, 1851.000000, 1855.000000
1.959999, 1820.000000, 1846.000000, 1844.000000
1.979999, 1811.000000, 1851.000000, 1840.000000
1.999999, 1837.000000, 1847.000000, 1846.000000
2.019999, 1827.000000, 1839.000000, 1850.000000
2.039999, 1825.000000, 1829.000000, 1850.000000
2.059999, 1830.000000, 1837.000000, 1840.000000
2.079999, 1831.000000, 1832.000000, 1843.000000
2.099999, 1832.000000, 1825.000000, 1838.000000
2.119999, 1832.000000, 1834.000000, 1847.000000
2.139999, 1816.000000, 1830.000000, 1845.000000
2.159999, 1833.000000, 1821.000000, 1845.000000
2.179999, 1819.000000, 1823.000000, 1838.000000
2.199999, 1805.000000, 1821.000000, 1835.000000
2.219999, 1818.000000, 1822.000000, 1836.000000
2.239999, 1810.000000, 1831.000000, 1830.000000
2.259999, 1818.000000, 1824.000000, 1832.000000
2.279999, 1795.000000, 1818.000000, 1837.000000
2.299999, 1802.000000, 1826.000000, 1834.000000
2.319999, 1803.000000, 1826.000000, 1830.000000
2.339998, 1807.000000, 1816.000000, 1827.000000
2.359998, 1808.000000, 1820.000000, 1818.000000
2.379998, 1801.000000, 1802.000000, 1812.000000
2.399998, 1800.000000, 1809.000000, 1822.000000
2.419998, 1789.000000, 1812.000000, 1824.000000
2.439998, 1789.000000, 1813.000000, 1817.000000
2.459998, 1776.000000, 1793.000000, 1818.000000
2.479998, 1785.000000, 1795.000000, 1814.000000
2.499998, 1786.000000, 1788.000000, 1803.000000
2.519998, 1792.000000, 1796.000000, 1811.000000
2.539998, 1795.000000, 1769.000000, 1801.000000
2.559998, 1771.000000, 1809.000000, 1806.000000
2.579998, 1779.000000, 1782.000000, 1803.000000
2.599998, 1784.000000, 1790.000000, 1810.000000
2.619998, 1756.000000, 1783.000000, 1805.000000
2.639998, 1771.000000, 1783.000000, 1802.000000
2.659998, 1770.000000, 1791.000000, 1802.000000
2.679998, 1767.000000, 1769.000000, 1790.000000
2.699998, 1776.000000, 1786.000000, 1798.000000
2.719998, 1764.000000, 1777.000000, 1791.000000
2.739998, 1764.000000, 1765.000000, 1779.000000
2.759998, 1770.000000, 1764.000000, 1791.000000
2.779998, 1759.000000, 1776.000000, 1790.000000
2.799998, 1760.000000, 1764.000000, 1782.000000
2.819998, 1759.000000, 1740.000000, 1779.000000
2.839998, 1750.000000, 1783.000000, 1785.000000
2.859998, 1757.000000, 1751.000000, 1783.000000
2.879998, 1751.000000, 1781.000000, 1775.000000
2.899998, 1754.000000, 1756.000000, 1778.000000
2.919998, 1750.000000, 1755.000000, 1776.000000
2.939998, 1745.000000, 1751.000000, 1784.000000
2.959998, 1747.000000, 1756.000000, 1760.000000
2.979998, 1738.000000, 1751.000000, 1778.000000
2.999998, 1745.000000, 1758.000000, 1759.000000
3.019998, 1740.000000, 1745.000000, 1776.000000
3.039998, 1734.000000, 1748.000000, 1760.000000
3.059998, 1735.000000, 1744.000000, 1761.000000
3.079998, 1733.000000, 1738.000000, 1761.000000
3.099998, 1722.000000, 1742.000000, 1764.000000
3.119998, 1737.000000, 1735.000000, 1761.000000
3.139998, 1735.000000, 1744.000000, 1760.000000
3.159998, 1733.000000, 1736.000000, 1755.000000
3.179998, 1721.000000, 1736.000000, 1757.000000
3.199998, 1722.000000, 1735.000000, 1750.000000
3.219998, 1723.000000, 1746.000000, 1742.000000
3.239998, 1718.000000, 1730.000000, 1745.000000
3.259998, 1711.000000, 1734.000000, 1745.000000
3.279998, 1702.000000, 1728.000000, 1750.000000
3.299998, 1720.000000, 1728.000000, 1741.000000
3.319998, 1714.000000, 1726.000000, 1738.000000
3.339998, 1707.000000, 1724.000000, 1738.000000
3.359998, 1704.000000, 1721.000000, 1737.000000
3.379997, 1697.000000, 1713.000000, 1737.000000
3.399997, 1697.000000, 1727.000000, 1735.000000
3.419997, 1701.000000, 1714.000000, 1727.000000
3.439997, 1702.000000, 1707.000000, 1745.000000
3.459997, 1696.000000, 1721.000000, 1733.000000
3.479997, 1703.000000, 1711.000000, 1726.000000
3.499997, 1694.000000, 1712.000000, 1724.000000
3.519997, 1687.000000, 1704.000000, 1736.000000
3.539997, 1685.000000, 1719.000000, 1725.000000
3.559997, 1685.000000, 1696.000000, 1723.000000
