t, adc1, adc2, adc3
0.000000, 1680.000000, 1668.000000, 1669.000000
0.020000, 1673.000000, 1667.000000, 1668.000000
0.040000, 2037.000000, 2035.000000, 2035.000000
0.060000, 2035.000000, 2032.000000, 2032.000000
0.080000, 2037.000000, 2039.000000, 2039.000000
0.100000, 2044.000000, 2049.000000, 2033.000000
0.120000, 2046.000000, 2027.000000, 2060.000000
0.140000, 2117.000000, 2091.000000, 2129.000000
0.160000, 2175.000000, 2186.000000, 2153.000000
0.180000, 2238.000000, 2232.000000, 2133.000000
0.200000, 2260.000000, 2253.000000, 2156.000000
0.220000, 2205.000000, 2222.000000, 2144.000000
0.240000, 2199.000000, 2206.000000, 2151.000000
0.260000, 2194.000000, 2200.000000, 2153.000000
0.280000, 2179.000000, 2182.000000, 2148.000000
0.300000, 2156.000000, 2146.000000, 2163.000000
0.320000, 2111.000000, 2136.000000, 2177.000000
0.340000, 2145.000000, 2121.000000, 2189.000000
0.360000, 2146.000000, 2127.000000, 2206.000000
0.380000, 2216.000000, 2245.000000, 2204.000000
0.400000, 2294.000000, 2258.000000, 2230.000000
0.420000, 2339.000000, 2321.000000, 2266.000000
0.440000, 2374.000000, 2370.000000, 2264.000000
0.460000, 2382.000000, 2370.000000, 2261.000000
0.480000, 2332.000000, 2365.000000, 2274.000000
0.500000, 2323.000000, 2323.000000, 2273.000000
0.520000, 2292.000000, 2294.000000, 2289.000000
0.540000, 2284.000000, 2274.000000, 2286.000000
0.560000, 2261.000000, 2262.000000, 2319.000000
0.580000, 2239.000000, 2321.000000, 2325.000000
0.600000, 2282.000000, 2259.000000, 2333.000000
0.620000, 2359.000000, 2287.000000, 2343.000000
0.640000, 2357.000000, 2359.000000, 2369.000000
0.660000, 2442.000000, 2423.000000, 2364.000000
0.680000, 2433.000000, 2428.000000, 2382.000000
0.700000, 2469.000000, 2459.000000, 2391.000000
0.720000, 2465.000000, 2465.000000, 2400.000000
0.740000, 2455.000000, 2451.000000, 2409.000000
0.760000, 2403.000000, 2428.000000, 2440.000000
0.780000, 2422.000000, 2418.000000, 2441.000000
0.800000, 2405.000000, 2406.000000, 2444.000000
0.820000, 2387.000000, 2394.000000, 2455.000000
0.840000, 2421.000000, 2392.000000, 2462.000000
0.860000, 2469.000000, 2469.000000, 2471.000000
0.880000, 2474.000000, 2483.000000, 2477.000000
0.900000, 2530.000000, 2500.000000, 2498.000000
0.920000, 2515.000000, 2508.000000, 2482.000000
0.940000, 2500.000000, 2547.000000, 2495.000000
0.960000, 2555.000000, 2497.000000, 2549.000000
0.980000, 2551.000000, 2574.000000, 2540.000000
1.000000, 2607.000000, 2589.000000, 2544.000000
1.020000, 2582.000000, 2565.000000, 2559.000000
1.040000, 2545.000000, 2546.000000, 2575.000000
1.060000, 2555.000000, 2532.000000, 2571.000000
1.080000, 2575.000000, 2569.000000, 2606.000000
1.100000, 2602.000000, 2575.000000, 2600.000000
1.120000, 2586.000000, 2595.000000, 2605.000000
1.140000, 2597.000000, 2591.000000, 2613.000000
1.159999, 2609.000000, 2596.000000, 2599.000000
1.179999, 2595.000000, 2601.000000, 2606.000000
1.199999, 2613.000000, 2594.000000, 2597.000000
1.219999, 2581.000000, 2596.000000, 2597.000000
1.239999, 2598.000000, 2597.000000, 2603.000000
1.259999, 2589.000000, 2590.000000, 2589.000000
1.279999, 2599.000000, 2587.000000, 2582.000000
1.299999, 2572.000000, 2583.000000, 2586.000000
1.319999, 2572.000000, 2587.000000, 2584.000000
1.339999, 2574.000000, 2603.000000, 2598.000000
1.359999, 2583.000000, 2580.000000, 2590.000000
1.379999, 2589.000000, 2601.000000, 2598.000000
1.399999, 2588.000000, 2593.000000, 2598.000000
1.419999, 2599.000000, 2597.000000, 2595.000000
1.439999, 2591.000000, 2608.000000, 2600.000000
1.459999, 2616.000000, 2598.000000, 2605.000000
1.479999, 2599.000000, 2583.000000, 2593.000000
1.499999, 2588.000000, 2589.000000, 2600.000000
1.519999, 2597.000000, 2596.000000, 2597.000000
1.539999, 2579.000000, 2595.000000, 2599.000000
1.559999, 2603.000000, 2594.000000, 2590.000000
1.579999, 2600.000000, 2587.000000, 2591.000000
1.599999, 2605.000000, 2588.000000, 2590.000000
1.619999, 2594.000000, 2591.000000, 2592.000000
1.639999, 2572.000000, 2581.000000, 2590.000000
1.659999, 2601.000000, 2588.000000, 2583.000000
1.679999, 2600.000000, 2577.000000, 2591.000000
1.699999, 2605.000000, 2591.000000, 2591.000000
1.719999, 2594.000000, 2602.000000, 2591.000000
1.739999, 2577.000000, 2581.000000, 2597.000000
1.759999, 2598.000000, 2594.000000, 2591.000000
1.779999, 2604.000000, 2585.000000, 2583.000000
1.799999, 2603.000000, 2583.000000, 2599.000000
1.819999, 2605.000000, 2587.000000, 2590.000000
1.839999, 2585.000000, 2596.000000, 2588.000000
1.859999, 2592.000000, 2601.000000, 2589.000000
1.879999, 2583.000000, 2596.000000, 2602.000000
1.899999, 2610.000000, 2581.000000, 2601.000000
1.919999, 2592.000000, 2591.000000, 2595.000000
1.939999, 2604.000000, 2578.000000, 2599.000000
1.959999, 2596.000000, 2595.000000, 2589.000000
1.979999, 2569.000000, 2591.000000, 2604.000000
1.999999, 2600.000000, 2591.000000, 2595.000000
2.019999, 2598.000000, 2595.000000, 2589.000000
2.039999, 2599.000000, 2588.000000, 2602.000000
2.059999, 2602.000000, 2584.000000, 2600.000000
2.079999, 2576.000000, 2593.000000, 2599.000000
2.099999, 2590.000000, 2592.000000, 2588.000000
2.119999, 2607.000000, 2585.000000, 2591.000000
2.139999, 2610.000000, 2594.000000, 2595.000000
2.159999, 2602.000000, 2576.000000, 2595.000000
2.179999, 2582.000000, 2592.000000, 2597.000000
2.199999, 2592.000000, 2601.000000, 2590.000000
2.219999, 2585.000000, 2601.000000, 2596.000000
2.239999, 2601.000000, 2591.000000, 2592.000000
2.259999, 2594.000000, 2582.000000, 2589.000000
2.279999, 2595.000000, 2603.000000, 2593.000000
2.299999, 2598.000000, 2597.000000, 2593.000000
2.319999, 2579.000000, 2594.000000, 2593.000000
2.339998, 2592.000000, 2596.000000, 2587.000000
2.359998, 2602.000000, 2584.000000, 2579.000000
2.379998, 2590.000000, 2590.000000, 2592.000000
2.399998, 2602.000000, 2597.000000, 2592.000000
2.419998, 2581.000000, 2591.000000, 2596.000000
2.439998, 2594.000000, 2586.000000, 2589.000000
2.459998, 2583.000000, 2589.000000, 2592.000000
2.479998, 2581.000000, 2592.000000, 2585.000000
2.499998, 2597.000000, 2602.000000, 2592.000000
2.519998, 2605.000000, 2582.000000, 2588.000000
2.539998, 2595.000000, 2600.000000, 2589.000000
2.559998, 2608.000000, 2600.000000, 2592.000000
2.579998, 2578.000000, 2600.000000, 2599.000000
2.599998, 2597.000000, 2594.000000, 2590.000000
2.619998, 2581.000000, 2581.000000, 2590.000000
2.639998, 2591.000000, 2584.000000, 2601.000000
2.659998, 2596.000000, 2593.000000, 2588.000000
2.679998, 2594.000000, 2593.000000, 2596.000000
2.699998, 2606.000000, 2588.000000, 2588.000000
2.719998, 2577.000000, 2588.000000, 2585.000000
2.739998, 2585.000000, 2579.000000, 2599.000000
2.759998, 2607.000000, 2588.000000, 2592.000000
2.779998, 2585.000000, 2595.000000, 2592.000000
2.799998, 2582.000000, 2595.000000, 2598.000000
2.819998, 2588.000000, 2590.000000, 2586.000000
2.839998, 2569.000000, 2585.000000, 2594.000000
2.859998, 2578.000000, 2577.000000, 2597.000000
2.879998, 2589.000000, 2595.000000, 2597.000000
2.899998, 2611.000000, 2602.000000, 2602.000000
2.919998, 2594.000000, 2596.000000, 2598.000000
2.939998, 2579.000000, 2587.000000, 2600.000000
2.959998, 2574.000000, 2575.000000, 2587.000000
2.979998, 2602.000000, 2606.000000, 2594.000000
2.999998, 2603.000000, 2606.000000, 2601.000000
3.019998, 2588.000000, 2593.000000, 2591.000000
3.039998, 2592.000000, 2588.000000, 2586.000000
3.059998, 2578.000000, 2584.000000, 2587.000000
3.079998, 2593.000000, 2588.000000, 2593.000000
3.099998, 2604.000000, 2590.000000, 2602.000000
3.119998, 2586.000000, 2579.000000, 2591.000000
3.139998, 2610.000000, 2595.000000, 2599.000000
3.159998, 2577.000000, 2588.000000, 2589.000000
3.179998, 2582.000000, 2581.000000, 2591.000000
3.199998, 2602.000000, 2600.000000, 2605.000000
3.219998, 2596.000000, 2597.000000, 2597.000000
3.239998, 2580.000000, 2585.000000, 2594.000000
3.259998, 2582.000000, 2589.000000, 2594.000000
3.279998, 2587.000000, 2590.000000, 2597.000000
3.299998, 2589.000000, 2591.000000, 2592.000000
3.319998, 2597.000000, 2593.000000, 2592.000000
3.339998, 2595.000000, 2587.000000, 2593.000000
3.359998, 2585.000000, 2584.000000, 2596.000000
3.379997, 2580.000000, 2584.000000, 2591.000000
3.399997, 2590.000000, 2588.000000, 2593.000000
3.419997, 2604.000000, 2600.000000, 2600.000000
3.439997, 2603.000000, 2586.000000, 2600.000000
3.459997, 2585.000000, 2588.000000, 2600.000000
3.479997, 2578.000000, 2583.000000, 2593.000000
3.499997, 2585.000000, 2593.000000, 2598.000000
3.519997, 2574.000000, 2592.000000, 2591.000000
3.539997, 2599.000000, 2592.000000, 2585.000000
3.559997, 2600.000000, 2590.000000, 2590.000000
3.579997, 2593.000000, 2584.000000, 2582.000000
3.599997, 2583.000000, 2586.000000, 2588.000000
3.619997, 2608.000000, 2584.000000, 2586.000000
3.639997, 2591.000000, 2605.000000, 2599.000000
3.659997, 2582.000000, 2586.000000, 2599.000000
3.679997, 2608.000000, 2609.000000, 2593.000000
3.699997, 2596.000000, 2576.000000, 2596.000000
3.719997, 2601.000000, 2587.000000, 2591.000000
3.739997, 2577.000000, 2592.000000, 2593.000000
3.759997, 2603.000000, 2604.000000, 2595.000000
3.779997, 2599.000000, 2591.000000, 2586.000000
3.799997, 2600.000000, 2588.000000, 2594.000000
3.819997, 2591.000000, 2575.000000, 2588.000000
3.839997, 2590.000000, 2591.000000, 2589.000000
3.859997, 2594.000000, 2593.000000, 2597.000000
3.879997, 2596.000000, 2599.000000, 2592.000000
3.899997, 2595.000000, 2576.000000, 2596.000000
3.919997, 2607.000000, 2587.000000, 2604.000000
3.939997, 2576.000000, 2593.000000, 2594.000000
3.959997, 2583.000000, 2604.000000, 2589.000000
3.979997, 2596.000000, 2581.000000, 2592.000000
3.999997, 2601.000000, 2592.000000, 2608.000000
4.019997, 2604.000000, 2601.000000, 2595.000000
4.039997, 2588.000000, 2593.000000, 2602.000000
4.059997, 2581.000000, 2595.000000, 2599.000000
4.079997, 2598.000000, 2588.000000, 2594.000000
4.099997, 2596.000000, 2580.000000, 2602.000000
4.119997, 2610.000000, 2593.000000, 2593.000000
4.139997, 2594.000000, 2594.000000, 2593.000000
4.159997, 2584.000000, 2585.000000, 2591.000000
4.179997, 2598.000000, 2587.000000, 2600.000000
4.199997, 2596.000000, 2585.000000, 2593.000000
4.219997, 2601.000000, 2582.000000, 2596.000000
4.239997, 2603.000000, 2592.000000, 2601.000000
4.259997, 2580.000000, 2591.000000, 2596.000000
4.279997, 2598.000000, 2605.000000, 2595.000000
4.299997, 2590.000000, 2588.000000, 2591.000000
4.319997, 2598.000000, 2580.000000, 2595.000000
4.339997, 2600.000000, 2606.000000, 2603.000000
4.359997, 2598.000000, 2598.000000, 2592.000000
4.379997, 2591.000000, 2590.000000, 2602.000000
4.399997, 2585.000000, 2597.000000, 2594.000000
4.419997, 2599.000000, 2589.000000, 2591.000000
4.439997, 2603.000000, 2593.000000, 2602.000000
4.459997, 2592.000000, 2590.000000, 2588.000000
4.479997, 2597.000000, 2590.000000, 2601.000000
4.499997, 2579.000000, 2600.000000, 2601.000000
4.519997, 2589.000000, 2591.000000, 2595.000000
4.539997, 2601.000000, 2588.000000, 2598.000000
4.559997, 2587.000000, 2595.000000, 2585.000000
4.579997, 2590.000000, 2598.000000, 2602.000000
4.599997, 2584.000000, 2597.000000, 2588.000000
4.619997, 2591.000000, 2593.000000, 2600.000000
4.639997, 2569.000000, 2590.000000, 2595.000000
4.659997, 2603.000000, 2587.000000, 2590.000000
4.679996, 2600.000000, 2601.000000, 2603.000000
4.699996, 2600.000000, 2591.000000, 2595.000000
4.719996, 2578.000000, 2593.000000, 2598.000000
4.739996, 2589.000000, 2577.000000, 2597.000000
4.759996, 2584.000000, 2587.000000, 2600.000000
4.779996, 2592.000000, 2592.000000, 2594.000000
4.799996, 2591.000000, 2595.000000, 2604.000000
4.819996, 2595.000000, 2597.000000, 2604.000000
4.839996, 2598.000000, 2603.000000, 2595.000000
4.859996, 2579.000000, 2585.000000, 2585.000000
4.879996, 2586.000000, 2574.000000, 2595.000000
4.899996, 2595.000000, 2600.000000, 2600.000000
4.919996, 2588.000000, 2592.000000, 2598.000000
4.939996, 2606.000000, 2596.000000, 2605.000000
4.959996, 2581.000000, 2596.000000, 2596.000000
4.979996, 2591.000000, 2585.000000, 2591.000000
4.999996, 2597.000000, 2589.000000, 2594.000000
5.019996, 2589.000000, 2597.000000, 2596.000000
5.039996, 2599.000000, 2593.000000, 2598.000000
5.059996, 2594.000000, 2603.000000, 2593.000000
5.079996, 2577.000000, 2581.000000, 2587.000000
5.099996, 2579.000000, 2588.000000, 2602.000000
5.119996, 2583.000000, 2591.000000, 2590.000000
5.139996, 2595.000000, 2593.000000, 2607.000000
5.159996, 2596.000000, 2598.000000, 2591.000000
5.179996, 2586.000000, 2585.000000, 2592.000000
5.199996, 2598.000000, 2583.000000, 2595.000000
5.219996, 2598.000000, 2595.000000, 2602.000000
5.239996, 2600.000000, 2599.000000, 2596.000000
5.259996, 2599.000000, 2584.000000, 2600.000000
5.279996, 2572.000000, 2583.000000, 2603.000000
5.299996, 2592.000000, 2586.000000, 2594.000000
5.319996, 2587.000000, 2585.000000, 2604.000000
5.339996, 2575.000000, 2595.000000, 2599.000000
5.359996, 2591.000000, 2591.000000, 2600.000000
5.379996, 2599.000000, 2593.000000, 2598.000000
5.399996, 2591.000000, 2603.000000, 2596.000000
5.419996, 2588.000000, 2582.000000, 2593.000000
5.439996, 2580.000000, 2593.000000, 2602.000000
5.459996, 2589.000000, 2597.000000, 2591.000000
5.479996, 2608.000000, 2606.000000, 2590.000000
5.499996, 2598.000000, 2592.000000, 2598.000000
5.519996, 2589.000000, 2587.000000, 2599.000000
5.539996, 2580.000000, 2595.000000, 2599.000000
5.559996, 2577.000000, 2590.000000, 2604.000000
5.579996, 2584.000000, 2596.000000, 2598.000000
5.599996, 2604.000000, 2585.000000, 2585.000000
5.619996, 2595.000000, 2587.000000, 2592.000000
5.639996, 2581.000000, 2592.000000, 2604.000000
5.659996, 2599.000000, 2605.000000, 2589.000000
5.679996, 2600.000000, 2577.000000, 2593.000000
5.699996, 2600.000000, 2588.000000, 2603.000000
5.719995, 2603.000000, 2589.000000, 2599.000000
5.739995, 2575.000000, 2601.000000, 2600.000000
5.759995, 2591.000000, 2599.000000, 2592.000000
5.779995, 2602.000000, 2583.000000, 2593.000000
5.799995, 2589.000000, 2591.000000, 2590.000000
5.819995, 2589.000000, 2587.000000, 2591.000000
5.839995, 2583.000000, 2595.000000, 2596.000000
5.859995, 2590.000000, 2588.000000, 2590.000000
5.879995, 2612.000000, 2593.000000, 2584.000000
5.899995, 2585.000000, 2582.000000, 2596.000000
5.919995, 2593.000000, 2590.000000, 2601.000000
5.939995, 2589.000000, 2586.000000, 2599.000000
5.959995, 2581.000000, 2603.000000, 2590.000000
5.979995, 2600.000000, 2594.000000, 2587.000000
5.999995, 2589.000000, 2595.000000, 2598.000000
6.019995, 2600.000000, 2575.000000, 2596.000000
6.039995, 2593.000000, 2577.000000, 2603.000000
6.059995, 2579.000000, 2593.000000, 2599.000000
6.079995, 2589.000000, 2591.000000, 2599.000000
6.099995, 2601.000000, 2573.000000, 2596.000000
6.119995, 2599.000000, 2590.000000, 2603.000000
6.139995, 2585.000000, 2586.000000, 2590.000000
6.159995, 2600.000000, 2582.000000, 2591.000000
6.179995, 2597.000000, 2606.000000, 2593.000000
6.199995, 2596.000000, 2584.000000, 2607.000000
6.219995, 2586.000000, 2591.000000, 2592.000000
6.239995, 2592.000000, 2591.000000, 2592.000000
6.259995, 2589.000000, 2596.000000, 2599.000000
6.279995, 2603.000000, 2583.000000, 2589.000000
6.299995, 2598.000000, 2587.000000, 2594.000000
6.319995, 2601.000000, 2582.000000, 2592.000000
6.339995, 2587.000000, 2587.000000, 2587.000000
6.359995, 2584.000000, 2596.000000, 2595.000000
6.379995, 2591.000000, 2577.000000, 2588.000000
6.399995, 2597.000000, 2588.000000, 2593.000000
6.419995, 2606.000000, 2586.000000, 2590.000000
6.439995, 2596.000000, 2594.000000, 2593.000000
6.459995, 2587.000000, 2591.000000, 2597.000000
6.479995, 2600.000000, 2597.000000, 2586.000000
6.499995, 2598.000000, 2585.000000, 2595.000000
6.519995, 2596.000000, 2585.000000, 2600.000000
6.539995, 2601.000000, 2595.000000, 2589.000000
6.559995, 2588.000000, 2597.000000, 2592.000000
6.579995, 2578.000000, 2591.000000, 2599.000000
6.599995, 2610.000000, 2580.000000, 2595.000000
6.619995, 2603.000000, 2597.000000, 2589.000000
6.639995, 2589.000000, 2597.000000, 2600.000000
6.659995, 2590.000000, 2597.000000, 2600.000000
6.679995, 2592.000000, 2583.000000, 2589.000000
6.699995, 2604.000000, 2589.000000, 2590.000000
6.719995, 2597.000000, 2588.000000, 2590.000000
6.739995, 2606.000000, 2592.000000, 2588.000000
6.759995, 2576.000000, 2597.000000, 2592.000000
6.779994, 2587.000000, 2592.000000, 2602.000000
6.799994, 2610.000000, 2582.000000, 2594.000000
6.819994, 2602.000000, 2585.000000, 2589.000000
6.839994, 2623.000000, 2604.000000, 2597.000000
6.859994, 2586.000000, 2589.000000, 2590.000000
6.879994, 2605.000000, 2590.000000, 2594.000000
6.899994, 2586.000000, 2586.000000, 2605.000000
6.919994, 2613.000000, 2601.000000, 2592.000000
6.939994, 2590.000000, 2586.000000, 2585.000000
6.959994, 2586.000000, 2583.000000, 2588.000000
6.979994, 2601.000000, 2586.000000, 2596.000000
6.999994, 2597.000000, 2589.000000, 2587.000000
7.019994, 2587.000000, 2597.000000, 2597.000000
7.039994, 2600.000000, 2592.000000, 2586.000000
7.059994, 2601.000000, 2581.000000, 2593.000000
7.079994, 2592.000000, 2594.000000, 2594.000000
7.099994, 2599.000000, 2598.000000, 2590.000000
7.119994, 2594.000000, 2583.000000, 2595.000000
7.139994, 2580.000000, 2585.000000, 2594.000000
7.159994, 2600.000000, 2582.000000, 2602.000000
7.179994, 2599.000000, 2592.000000, 2594.000000
7.199994, 2599.000000, 2599.000000, 2590.000000
7.219994, 2608.000000, 2593.000000, 2586.000000
7.239994, 2582.000000, 2594.000000, 2595.000000
7.259994, 2584.000000, 2594.000000, 2597.000000
7.279994, 2601.000000, 2590.000000, 2592.000000
7.299994, 2595.000000, 2595.000000, 2584.000000
7.319994, 2580.000000, 2577.000000, 2597.000000
7.339994, 2592.000000, 2582.000000, 2589.000000
7.359994, 2591.000000, 2589.000000, 2591.000000
7.379994, 2581.000000, 2581.000000, 2594.000000
7.399994, 2579.000000, 2591.000000, 2586.000000
7.419994, 2588.000000, 2586.000000, 2603.000000
7.439994, 2582.000000, 2595.000000, 2589.000000
7.459994, 2592.000000, 2598.000000, 2596.000000
7.479994, 2590.000000, 2596.000000, 2586.000000
7.499994, 2589.000000, 2584.000000, 2600.000000
7.519994, 2584.000000, 2601.000000, 2600.000000
7.539994, 2578.000000, 2584.000000, 2589.000000
7.559994, 2597.000000, 2597.000000, 2592.000000
7.579994, 2601.000000, 2602.000000, 2593.000000
7.599994, 2591.000000, 2581.000000, 2603.000000
7.619994, 2583.000000, 2591.000000, 2607.000000
7.639994, 2597.000000, 2592.000000, 2591.000000
7.659994, 2602.000000, 2594.000000, 2587.000000
7.679994, 2588.000000, 2594.000000, 2592.000000
7.699994, 2588.000000, 2591.000000, 2597.000000
7.719994, 2574.000000, 2583.000000, 2590.000000
7.739994, 2595.000000, 2579.000000, 2597.000000
7.759994, 2596.000000, 2592.000000, 2591.000000
7.779994, 2588.000000, 2595.000000, 2598.000000
7.799994, 2599.000000, 2586.000000, 2590.000000
7.819993, 2578.000000, 2588.000000, 2597.000000
7.839993, 2585.000000, 2597.000000, 2599.000000
7.859993, 2606.000000, 2597.000000, 2600.000000
7.879993, 2587.000000, 2601.000000, 2596.000000
7.899993, 2615.000000, 2586.000000, 2597.000000
7.919993, 2596.000000, 2580.000000, 2591.000000
7.939993, 2589.000000, 2594.000000, 2607.000000
7.959993, 2604.000000, 2596.000000, 2600.000000
7.979993, 2598.000000, 2595.000000, 2588.000000
7.999993, 2595.000000, 2591.000000, 2593.000000
8.019994, 2583.000000, 2584.000000, 2596.000000
8.039994, 2580.000000, 2601.000000, 2587.000000
8.059995, 2597.000000, 2600.000000, 2592.000000
8.079995, 2604.000000, 2592.000000, 2588.000000
8.099996, 2590.000000, 2596.000000, 2593.000000
8.119996, 2588.000000, 2578.000000, 2602.000000
8.139997, 2577.000000, 2584.000000, 2588.000000
8.159997, 2584.000000, 2595.000000, 2597.000000
8.179997, 2589.000000, 2592.000000, 2590.000000
8.199998, 2583.000000, 2602.000000, 2587.000000
8.219998, 2593.000000, 2594.000000, 2596.000000
8.239999, 2601.000000, 2579.000000, 2590.000000
8.259999, 2588.000000, 2582.000000, 2590.000000
8.280000, 2584.000000, 2581.000000, 2592.000000
8.300000, 2580.000000, 2598.000000, 2594.000000
8.320001, 2579.000000, 2588.000000, 2592.000000
8.340001, 2604.000000, 2590.000000, 2608.000000
8.360002, 2602.000000, 2573.000000, 2597.000000
8.380002, 2599.000000, 2604.000000, 2592.000000
8.400002, 2587.000000, 2591.000000, 2613.000000
8.420003, 2606.000000, 2594.000000, 2603.000000
8.440003, 2593.000000, 2590.000000, 2596.000000
8.460004, 2591.000000, 2594.000000, 2600.000000
8.480004, 2584.000000, 2594.000000, 2587.000000
8.500005, 2584.000000, 2594.000000, 2596.000000
8.520005, 2602.000000, 2596.000000, 2597.000000
8.540006, 2595.000000, 2593.000000, 2595.000000
8.560006, 2602.000000, 2583.000000, 2598.000000
8.580007, 2600.000000, 2583.000000, 2590.000000
8.600007, 2583.000000, 2596.000000, 2605.000000
8.620008, 2597.000000, 2596.000000, 2598.000000
8.640008, 2591.000000, 2590.000000, 2594.000000
8.660008, 2599.000000, 2582.000000, 2605.000000
8.680009, 2601.000000, 2602.000000, 2591.000000
8.700009, 2609.000000, 2597.000000, 2594.000000
8.720010, 2591.000000, 2586.000000, 2589.000000
8.740010, 2585.000000, 2600.000000, 2596.000000
8.760011, 2612.000000, 2588.000000, 2600.000000
8.780011, 2598.000000, 2577.000000, 2596.000000
8.800012, 2614.000000, 2600.000000, 2598.000000
8.820012, 2600.000000, 2593.000000, 2590.000000
8.840013, 2578.000000, 2599.000000, 2588.000000
8.860013, 2603.000000, 2594.000000, 2597.000000
8.880013, 2592.000000, 2581.000000, 2594.000000
8.900014, 2604.000000, 2590.000000, 2598.000000
8.920014, 2604.000000, 2600.000000, 2600.000000
8.940015, 2586.000000, 2598.000000, 2597.000000
8.960015, 2594.000000, 2593.000000, 2595.000000
8.980016, 2607.000000, 2582.000000, 2592.000000
9.000016, 2600.000000, 2589.000000, 2601.000000
9.020017, 2607.000000, 2595.000000, 2595.000000
9.040017, 2608.000000, 2602.000000, 2595.000000
9.060018, 2590.000000, 2596.000000, 2601.000000
9.080018, 2575.000000, 2578.000000, 2591.000000
9.100019, 2584.000000, 2586.000000, 2591.000000
9.120019, 2609.000000, 2600.000000, 2600.000000
9.140019, 2604.000000, 2587.000000, 2593.000000
9.160020, 2582.000000, 2597.000000, 2584.000000
