t, adc1, adc2, adc3
0.000000, 3076.000000, 2048.000000, 1023.000000
0.020000, 3072.000000, 2048.000000, 1029.000000
0.040000, 3073.000000, 2048.000000, 1023.000000
0.060000, 3071.000000, 2044.000000, 1028.000000
0.080000, 3071.000000, 2048.000000, 1021.000000
0.100000, 3073.000000, 2044.000000, 1023.000000
0.120000, 3077.000000, 2047.000000, 1031.000000
0.140000, 3071.000000, 2043.000000, 1021.000000
0.160000, 3078.000000, 2048.000000, 1026.000000
0.180000, 3075.000000, 2048.000000, 1022.000000
0.200000, 3071.000000, 2055.000000, 1024.000000
0.220000, 3072.000000, 2055.000000, 1021.000000
0.240000, 3074.000000, 2049.000000, 1025.000000
0.260000, 3083.000000, 2049.000000, 1019.000000
0.280000, 3071.000000, 2053.000000, 1023.000000
0.300000, 3072.000000, 2040.000000, 1020.000000
0.320000, 3072.000000, 2047.000000, 1023.000000
0.340000, 3078.000000, 2048.000000, 1025.000000
0.360000, 3072.000000, 2059.000000, 1022.000000
0.380000, 3071.000000, 2052.000000, 1021.000000
0.400000, 3073.000000, 2044.000000, 1027.000000
0.420000, 3077.000000, 2049.000000, 1028.000000
0.440000, 3072.000000, 2045.000000, 1023.000000
0.460000, 3071.000000, 2050.000000, 1021.000000
0.480000, 3072.000000, 2050.000000, 1020.000000
0.500000, 3072.000000, 2052.000000, 1022.000000
0.520000, 3080.000000, 2052.000000, 1023.000000
0.540000, 3072.000000, 2052.000000, 1022.000000
0.560000, 3076.000000, 2048.000000, 1022.000000
0.580000, 3071.000000, 2048.000000, 1020.000000
0.600000, 3079.000000, 2049.000000, 1017.000000
0.620000, 3072.000000, 2052.000000, 1022.000000
0.640000, 3076.000000, 2052.000000, 1022.000000
0.660000, 3077.000000, 2049.000000, 1027.000000
0.680000, 3072.000000, 2048.000000, 1024.000000
0.700000, 3082.000000, 2049.000000, 1016.000000
0.720000, 3072.000000, 2047.000000, 1022.000000
0.740000, 3071.000000, 2054.000000, 1022.000000
0.760000, 3072.000000, 2049.000000, 1029.000000
0.780000, 3072.000000, 2048.000000, 1012.000000
0.800000, 3071.000000, 2049.000000, 1019.000000
0.820000, 3071.000000, 2056.000000, 1026.000000
0.840000, 3078.000000, 2047.000000, 1025.000000
0.860000, 3071.000000, 2059.000000, 1022.000000
0.880000, 3071.000000, 2052.000000, 1021.000000
0.900000, 3074.000000, 2048.000000, 1026.000000
0.920000, 3072.000000, 2053.000000, 1023.000000
0.940000, 3072.000000, 2051.000000, 1024.000000
0.960000, 3071.000000, 2052.000000, 1022.000000
0.980000, 3072.000000, 2050.000000, 1021.000000
1.000000, 3077.000000, 2048.000000, 1030.000000
1.020000, 3071.000000, 2056.000000, 1020.000000
1.040000, 3072.000000, 2041.000000, 1015.000000
1.060000, 3072.000000, 2049.000000, 1019.000000
1.080000, 3072.000000, 2056.000000, 1025.000000
1.100000, 3071.000000, 2058.000000, 1022.000000
1.120000, 3077.000000, 2047.000000, 1029.000000
1.140000, 3071.000000, 2049.000000, 1022.000000
1.159999, 3071.000000, 2053.000000, 1021.000000
1.179999, 3072.000000, 2046.000000, 1021.000000
1.199999, 3076.000000, 2048.000000, 1029.000000
1.219999, 3073.000000, 2047.000000, 1026.000000
1.239999, 3075.000000, 2048.000000, 1017.000000
1.259999, 3075.000000, 2048.000000, 1021.000000
1.279999, 3071.000000, 2051.000000, 1022.000000
1.299999, 3072.000000, 2050.000000, 1020.000000
1.319999, 3072.000000, 2047.000000, 1028.000000
1.339999, 3075.000000, 2048.000000, 1019.000000
1.359999, 3071.000000, 2053.000000, 1022.000000
1.379999, 3071.000000, 2051.000000, 1022.000000
1.399999, 3072.000000, 2048.000000, 1030.000000
1.419999, 3072.000000, 2048.000000, 1017.000000
1.439999, 3071.000000, 2049.000000, 1022.000000
1.459999, 3072.000000, 2047.000000, 1023.000000
1.479999, 3078.000000, 2048.000000, 1025.000000
1.499999, 3072.000000, 2048.000000, 1030.000000
1.519999, 3075.000000, 2048.000000, 1024.000000
1.539999, 3071.000000, 2050.000000, 1022.000000
1.559999, 3071.000000, 2049.000000, 1022.000000
1.579999, 3073.000000, 2048.000000, 1026.000000
1.599999, 3071.000000, 2055.000000, 1023.000000
1.619999, 3074.000000, 2047.000000, 1023.000000
1.639999, 3075.000000, 2048.000000, 1024.000000
1.659999, 3071.000000, 2052.000000, 1022.000000
1.679999, 3082.000000, 2048.000000, 1017.000000
1.699999, 3076.000000, 2046.000000, 1024.000000
1.719999, 3071.000000, 2058.000000, 1021.000000
1.739999, 3076.000000, 2044.000000, 1021.000000
1.759999, 3072.000000, 2043.000000, 1028.000000
1.779999, 3077.000000, 2048.000000, 1031.000000
1.799999, 3072.000000, 2053.000000, 1022.000000
1.819999, 3071.000000, 2052.000000, 1023.000000
1.839999, 3072.000000, 2044.000000, 1024.000000
1.859999, 3072.000000, 2048.000000, 1022.000000
1.879999, 3077.000000, 2048.000000, 1027.000000
1.899999, 3071.000000, 2050.000000, 1023.000000
1.919999, 3082.000000, 2048.000000, 1018.000000
1.939999, 3072.000000, 2047.000000, 1023.000000
1.959999, 3082.000000, 2048.000000, 1015.000000
1.979999, 3071.000000, 2056.000000, 1024.000000
1.999999, 3072.000000, 2055.000000, 1020.000000
2.019999, 3072.000000, 2046.000000, 1025.000000
2.039999, 3077.000000, 2049.000000, 1027.000000
2.059999, 3074.000000, 2050.000000, 1024.000000
