t_g, g1, g2, g3
0.000000, -9.552582, 0.111669, 0.014457
0.020000, -9.465696, 0.063124, 0.073356
0.040000, -9.411302, 0.129445, 0.216595
0.060000, -9.552478, 0.078508, 0.001383
0.080000, -9.600317, 0.095744, 0.009894
0.100000, -9.381542, -0.000274, 0.049345
0.120000, -9.607292, 0.064859, 0.112610
0.140000, -9.597031, 0.075667, 0.132347
0.160000, -9.554169, 0.246846, 0.048099
0.180000, -9.393326, 0.171156, 0.216206
0.200000, -9.474771, 0.130874, 0.120913
0.220000, -9.617427, 0.268109, 0.001591
0.240000, -9.413153, 0.198420, 0.066868
0.260000, -9.621609, 0.016378, -0.007386
0.280000, -9.481699, -0.022393, -0.020978
0.300000, -9.531959, 0.154602, 0.069658
0.320000, -9.355277, -0.053006, -0.075626
0.340000, -9.392355, -0.000698, -0.072265
0.360000, -9.507568, 0.030344, 0.112959
0.380000, -9.312105, 0.087845, 0.148301
0.400000, -9.456772, 0.127503, 0.039551
0.420000, -9.578640, 0.183434, 0.124559
0.440000, -9.583612, -0.097774, 0.159879
0.460000, -9.486733, 0.012788, 0.025955
0.480000, -9.631660, -0.139625, 0.113520
0.500000, -9.537869, 0.084616, 0.102826
0.520000, -9.485759, 0.145240, 0.194062
0.540000, -9.577273, -0.207246, 0.243507
0.560000, -9.407040, -0.031277, 0.173092
0.580000, -9.507629, 0.052788, 0.085705
0.600000, -9.535387, -0.153051, -0.037867
0.620000, -9.584367, -0.011347, 0.049041
0.640000, -9.430422, 0.031819, -0.017684
0.660000, -9.593517, 0.068851, 0.152073
0.680000, -9.647045, 0.122664, -0.065705
0.700000, -9.581923, -0.029900, -0.061274
0.720000, -9.531182, -0.087618, 0.196583
0.740000, -9.509796, -0.090380, 0.071429
0.760000, -9.600921, 0.047016, 0.170376
0.780000, -9.475652, 0.137210, 0.136315
0.800000, -9.374068, -0.031711, -0.018482
0.820000, -9.468899, 0.004707, 0.027798
0.840000, -9.399608, 0.098157, 0.003358
0.860000, -9.581945, -0.002462, -0.015749
0.880000, -9.513540, -0.091618, 0.191901
0.900000, -9.637419, 0.127266, 0.190230
0.920000, -9.445700, 0.146620, -0.118004
0.940000, -9.763177, 0.037887, -0.017311
0.960000, -9.604660, -0.045109, -0.063820
0.980000, -9.545348, -0.187857, -0.015171
1.000000, -9.426014, -0.092710, -0.041845
1.020000, -9.344445, -0.012744, 0.167403
1.040000, -9.752453, -0.040647, 0.209605
1.060000, -9.563216, 0.044765, 0.062781
1.080000, -9.442403, -0.037848, 0.111721
1.100000, -9.252747, -0.035274, 0.034026
1.120000, -9.558408, 0.092888, 0.132428
1.140000, -9.420382, 0.070369, 0.084786
1.159999, -9.449571, 0.212715, 0.138510
1.179999, -9.548796, -0.015381, 0.031552
1.199999, -9.576549, -0.032479, 0.108601
1.219999, -9.407699, 0.042624, 0.032819
1.239999, -9.501022, 0.075638, 0.057169
1.259999, -9.591200, -0.057460, 0.210877
1.279999, -9.429890, -0.023829, 0.093915
1.299999, -9.468616, 0.111163, 0.084369
1.319999, -9.630586, 0.013977, 0.099345
1.339999, -9.551913, 0.039051, 0.108231
1.359999, -9.541646, 0.040078, 0.122050
1.379999, -9.437594, 0.103018, 0.002083
1.399999, -9.447315, -0.028132, 0.100881
1.419999, -9.415187, -0.141449, 0.033766
1.439999, -9.590710, -0.002443, 0.133529
1.459999, -9.581333, -0.112345, 0.031366
1.479999, -9.316890, 0.056578, -0.130600
1.499999, -9.669580, -0.113351, -0.037841
1.519999, -9.649998, -0.086671, -0.091737
