t_tm, tm1, tm2, tm3
0.000000, 0.563970, -12.087313, 7.184752
0.020000, 0.697059, -12.054057, 7.091389
0.040000, 0.801922, -12.181564, 7.115952
0.060000, 0.589609, -12.082536, 7.150918
0.080000, 0.582526, -12.153910, 7.200706
0.100000, 0.743472, -11.933309, 6.971957
0.120000, 0.756719, -12.296632, 7.200019
0.140000, 0.771153, -12.307714, 7.200942
0.160000, 0.438763, -12.137398, 7.282714
0.180000, 0.747732, -12.157010, 7.134234
0.200000, 0.675760, -12.139469, 7.152476
0.220000, 0.353834, -12.155808, 7.339375
0.240000, 0.516371, -11.987244, 7.146120
0.260000, 0.662151, -12.159333, 7.153603
0.280000, 0.684547, -11.966977, 7.017419
0.300000, 0.581751, -12.142336, 7.202633
0.320000, 0.642733, -11.741446, 6.894393
0.340000, 0.583455, -11.789348, 6.961190
0.360000, 0.796086, -12.170536, 7.097882
0.380000, 0.760357, -11.970223, 7.000034
0.400000, 0.571433, -12.012510, 7.125260
0.420000, 0.621842, -12.269369, 7.265556
0.440000, 1.026006, -12.334806, 7.066528
0.460000, 0.702653, -12.035819, 7.056751
0.480000, 1.018199, -12.336997, 7.066294
0.500000, 0.717668, -12.193636, 7.157388
0.520000, 0.757038, -12.245968, 7.180396
0.540000, 1.276267, -12.439982, 6.994428
0.560000, 0.948597, -12.127869, 6.988038
0.580000, 0.732265, -12.136095, 7.110288
0.600000, 0.828864, -12.020274, 6.962224
0.620000, 0.769457, -12.187840, 7.114629
0.640000, 0.614894, -11.908148, 7.023893
0.660000, 0.803586, -12.329672, 7.198327
0.680000, 0.450470, -12.112215, 7.243321
0.700000, 0.646564, -12.038021, 7.078006
0.720000, 1.059225, -12.316360, 7.041706
0.740000, 0.896101, -12.126935, 7.002964
0.760000, 0.857967, -12.363671, 7.189142
0.780000, 0.691193, -12.157595, 7.156761
0.800000, 0.693300, -11.837994, 6.932471
0.820000, 0.713916, -12.012589, 7.035587
0.840000, 0.558483, -11.892438, 7.052153
0.860000, 0.671709, -12.100519, 7.109539
0.880000, 1.054856, -12.288242, 7.025492
0.900000, 0.784618, -12.431467, 7.278696
0.920000, 0.339332, -11.792103, 7.104420
0.940000, 0.630966, -12.323352, 7.273208
0.960000, 0.664477, -12.066802, 7.084867
0.980000, 0.906092, -12.062381, 6.943959
1.000000, 0.742424, -11.874238, 6.922022
1.020000, 0.913730, -12.041493, 6.954513
1.040000, 1.030642, -12.607492, 7.242602
1.060000, 0.714692, -12.176811, 7.142567
1.080000, 0.876009, -12.093333, 7.000278
1.100000, 0.759309, -11.754378, 6.848248
1.120000, 0.746324, -12.259738, 7.185653
1.140000, 0.702188, -12.025282, 7.059481
1.159999, 0.594382, -12.126907, 7.196368
1.179999, 0.741803, -12.124539, 7.089714
1.199999, 0.874758, -12.255221, 7.101939
1.219999, 0.669405, -11.942070, 7.020920
1.239999, 0.664555, -12.089757, 7.118829
1.259999, 1.044601, -12.406426, 7.109220
1.279999, 0.836299, -12.052602, 6.997859
1.299999, 0.653713, -12.083925, 7.125642
1.319999, 0.805903, -12.308630, 7.174475
1.339999, 0.783193, -12.220762, 7.136346
1.359999, 0.797180, -12.227111, 7.132265
1.379999, 0.555062, -11.936982, 7.081121
1.399999, 0.852085, -12.083380, 7.008083
1.419999, 0.901891, -11.963582, 6.891961
1.439999, 0.870571, -12.305225, 7.138589
1.459999, 0.873566, -12.164948, 7.034331
1.479999, 0.429390, -11.611953, 6.933803
1.499999, 0.787136, -12.186427, 7.089206
1.519999, 0.680257, -12.092196, 7.087089
1.539999, 0.824099, -12.550447, 7.303049
1.559999, 0.845793, -12.073445, 7.001029
1.579999, 1.107149, -12.532962, 7.161807
