t_uk, uk1, uk2, uk3
0.000000, -0.002076, -0.001222, -0.002426
0.020000, -0.001937, -0.001515, -0.001502
0.040000, -0.002068, -0.000656, -0.001640
0.060000, -0.002411, -0.000338, -0.002010
0.080000, -0.001402, -0.000699, -0.001354
0.100000, -0.002222, -0.000613, -0.001226
0.120000, -0.002530, -0.000481, -0.002316
0.140000, -0.002111, -0.001502, -0.001783
0.160000, -0.002106, -0.000285, -0.001380
0.180000, -0.002062, -0.000611, -0.001130
0.200000, -0.002017, -0.000802, -0.001295
0.220000, -0.002823, -0.000787, -0.001693
0.240000, -0.002344, -0.001337, -0.001509
0.260000, -0.001675, -0.001313, -0.001568
0.280000, -0.002415, -0.001006, -0.001487
0.300000, -0.001496, -0.000559, -0.001705
0.320000, -0.001908, -0.001244, -0.001853
0.340000, -0.001938, -0.001100, -0.001871
0.360000, -0.002708, -0.001350, -0.001154
0.380000, -0.001825, -0.001028, -0.002166
0.400000, -0.001885, -0.001077, -0.001475
0.420000, -0.002210, -0.000920, -0.002056
0.440000, -0.002031, -0.000853, -0.002126
0.460000, -0.002003, -0.000893, -0.001572
0.480000, -0.002272, -0.000993, -0.001809
0.500000, -0.002071, -0.000491, -0.001659
0.520000, -0.002237, -0.001357, -0.002288
0.540000, -0.001696, -0.000127, -0.001718
0.560000, -0.002302, -0.000425, -0.001551
0.580000, -0.002030, -0.000451, -0.001825
0.600000, -0.002264, -0.000899, -0.002517
0.620000, -0.002007, -0.001095, -0.001500
0.640000, -0.001890, -0.001085, -0.002301
0.660000, -0.001545, -0.000726, -0.001820
0.680000, -0.002363, -0.000859, -0.002171
0.700000, -0.002153, -0.000473, -0.001294
0.720000, -0.001728, -0.001142, -0.001286
0.740000, -0.001891, -0.001276, -0.001433
0.760000, -0.002112, -0.000990, -0.001707
0.780000, -0.002175, -0.000200, -0.001478
0.800000, -0.002186, -0.000613, -0.001685
0.820000, -0.001729, -0.000678, -0.001929
0.840000, -0.002291, -0.000423, -0.001183
0.860000, -0.002075, -0.001122, -0.001990
0.880000, -0.001907, -0.000959, -0.001409
0.900000, -0.000070, 0.000608, 0.000062
0.920000, -0.000393, 0.000580, -0.000403
0.940000, 0.000048, 0.000446, 0.000319
0.960000, 0.000706, -0.000043, 0.000047
0.980000, -0.000137, -0.000167, 0.000403
1.000000, -0.000501, 0.000393, 0.000285
1.020000, 0.000320, 0.000191, 0.000393
1.040000, 0.000157, -0.000274, 0.000082
1.060000, -0.000279, -0.000204, 0.000472
1.080000, -0.000237, -0.000557, 0.000108
1.100000, 0.000070, 0.000210, 0.000224
1.120000, 0.000005, 0.000215, 0.000735
1.140000, -0.000046, 0.000280, 0.000137
1.159999, -0.000163, 0.000135, -0.000071
1.179999, -0.000182, 0.001021, 0.000097
1.199999, -0.000270, 0.000346, 0.000753
1.219999, -0.000754, 0.000579, 0.000351
1.239999, -0.000039, 0.000814, 0.000642
