t_uk, uk1, uk2, uk3
0.000000, -0.002247, -0.000340, -0.001772
0.020000, -0.001952, 0.000017, -0.001815
0.040000, -0.001654, -0.001087, -0.001637
0.060000, -0.002316, -0.000889, -0.001484
0.080000, -0.002206, -0.000981, -0.001613
0.100000, -0.002274, -0.000356, -0.001712
0.120000, -0.002110, -0.000772, -0.001895
0.140000, -0.002089, -0.000605, -0.001159
0.160000, -0.001603, -0.000486, -0.001217
0.180000, -0.001772, -0.000890, -0.002207
0.200000, -0.002024, -0.001629, -0.001714
0.220000, -0.001675, -0.000674, -0.001613
0.240000, -0.001537, -0.000887, -0.001494
0.260000, -0.001906, -0.000835, -0.001822
0.280000, -0.002184, -0.000497, -0.001859
0.300000, -0.002134, -0.001403, -0.001740
0.320000, -0.001701, -0.001284, -0.002080
0.340000, -0.002114, -0.001428, -0.001784
0.360000, -0.002666, -0.000764, -0.002269
0.380000, -0.002161, -0.001009, -0.001638
0.400000, -0.002153, -0.000581, -0.001646
0.420000, -0.001819, -0.000912, -0.002003
0.440000, -0.002278, -0.001196, -0.001918
0.460000, -0.002225, -0.000706, -0.001919
0.480000, -0.002094, -0.000951, -0.001433
0.500000, -0.001822, -0.001319, -0.001738
0.520000, -0.002120, -0.000817, -0.002029
0.540000, -0.001812, -0.000914, -0.002053
0.560000, -0.001817, -0.000706, -0.002024
0.580000, -0.002412, -0.000961, -0.001970
0.600000, -0.001898, -0.000985, -0.001805
0.620000, -0.002519, -0.000955, -0.001212
0.640000, -0.002045, -0.000816, -0.001871
0.660000, -0.002157, -0.000447, -0.001734
0.680000, -0.001687, -0.000994, -0.002055
0.700000, -0.002069, -0.001049, -0.001852
0.720000, -0.002477, -0.001164, -0.001326
0.740000, -0.002391, -0.000753, -0.001715
0.760000, -0.002159, -0.001100, -0.001943
0.780000, -0.002339, -0.000612, -0.001548
0.800000, -0.002640, -0.000847, -0.001745
0.820000, -0.002646, -0.001447, -0.001720
0.840000, -0.002248, -0.000382, -0.001888
0.860000, -0.001587, -0.000834, -0.001361
0.880000, -0.001863, -0.001125, -0.001750
0.900000, -0.002461, -0.001209, -0.001657
0.920000, -0.001535, -0.000644, -0.001311
0.940000, -0.001628, -0.000958, -0.001701
0.960000, -0.002210, -0.001056, -0.002036
0.980000, -0.002318, -0.001211, -0.001578
1.000000, -0.001997, -0.001052, -0.001877
1.020000, -0.001679, -0.001096, -0.002031
1.040000, -0.002007, -0.001350, -0.002295
1.060000, -0.002092, -0.001445, -0.001417
1.080000, -0.002005, -0.001394, -0.001672
1.100000, -0.001657, -0.001186, -0.001844
1.120000, -0.001978, -0.000634, -0.001963
1.140000, -0.002163, -0.001191, -0.002086
1.159999, -0.002023, -0.001352, -0.001832
1.179999, -0.002085, 0.000037, -0.002188
1.199999, -0.002318, -0.000935, -0.001644
1.219999, -0.001843, -0.000094, -0.001951
1.239999, -0.002161, -0.000819, -0.002014
1.259999, -0.001678, -0.001440, -0.001318
1.279999, -0.002164, -0.000615, -0.002263
1.299999, -0.002299, -0.001282, -0.001485
1.319999, -0.001977, -0.000797, -0.001797
1.339999, -0.002295, -0.001446, -0.001464
1.359999, -0.002338, -0.000777, -0.002152
1.379999, -0.001725, -0.001065, -0.001361
1.399999, -0.002274, -0.001373, -0.001554
1.419999, -0.002003, -0.001232, -0.001785
1.439999, -0.002163, -0.001162, -0.001601
1.459999, -0.002090, -0.001071, -0.001688
1.479999, -0.002232, -0.001111, -0.001418
1.499999, -0.002072, -0.001445, -0.001672
1.519999, -0.002109, -0.001173, -0.001615
1.539999, -0.002118, -0.001718, -0.001279
1.559999, -0.001955, -0.001672, -0.001252
1.579999, -0.002046, -0.001170, -0.001689
1.599999, -0.001906, -0.000678, -0.001594
1.619999, -0.002620, -0.001310, -0.001351
1.639999, -0.002161, -0.000962, -0.002031
