t_ur, ur1, ur2, ur3
0.000000, 0.412423, 0.114143, -0.208983
0.020000, 0.412739, 0.625805, -0.720536
0.040000, 0.412458, 0.625115, 0.301708
0.060000, 0.412487, 0.114145, -0.719946
0.080000, 0.923486, 0.625086, -0.719781
0.100000, 0.412441, 0.625485, -0.209047
0.120000, 0.412759, 0.624957, -2.252718
0.140000, 0.412053, 0.625733, -1.231184
0.160000, 0.412152, 0.114130, 0.302529
0.180000, 0.412996, 0.114633, -0.208869
0.200000, 0.412230, 0.114050, -1.231234
0.220000, 0.923138, 0.625218, -0.209173
0.240000, 0.412444, 0.114949, -0.720260
0.260000, 0.923763, 0.114970, 0.301718
0.280000, 0.412141, 0.114413, 0.301494
0.300000, 0.412367, 0.114192, -0.720126
0.320000, 0.412573, 0.625321, -0.719819
0.340000, 0.412310, 0.625688, 0.301959
0.360000, 0.412527, 0.624840, -0.209076
0.380000, 0.923754, 0.114116, -0.209600
0.400000, 0.412870, 0.113678, -0.209645
0.420000, 0.412171, 0.625960, -0.720329
0.440000, 0.412049, 0.625534, -0.208709
0.460000, 0.412483, 0.114054, -0.209199
0.480000, 0.412161, 0.625302, 0.301975
0.500000, 0.412767, 0.114634, -0.208949
0.520000, 0.413151, 0.114473, 0.301814
0.540000, 0.923960, 0.625039, -0.720675
0.560000, 0.412899, 0.624906, -1.325479
0.580000, 0.412213, 0.114186, -1.325257
0.600000, 0.412395, 0.114521, -1.325834
0.620000, 0.413287, 0.625051, -1.325662
0.640000, 0.412172, 0.113955, -0.813974
0.660000, 0.413174, 0.114238, -0.814810
0.680000, 0.412553, 0.114330, -1.325718
0.700000, -0.098175, 0.114497, -0.814381
0.720000, 0.412717, 0.114127, -1.835846
0.740000, 0.412581, 0.114512, -1.325413
0.760000, 0.412770, 0.625857, -0.814286
0.780000, -0.098284, 0.114009, -0.814543
0.800000, 0.412344, 0.625549, -0.814911
0.820000, 2.456353, 0.114880, -0.814908
0.840000, 0.412100, 0.625710, -1.325394
0.860000, 0.412857, 0.624989, -1.325616
0.880000, 0.412488, 0.625295, -0.814431
0.900000, 0.412603, 0.114768, -1.325055
0.920000, 0.923570, 0.625480, -1.325553
0.940000, 0.412768, 2.158722, -0.814280
0.960000, 0.412259, 0.114000, -1.325647
0.980000, -0.098501, 0.625672, -1.325181
1.000000, 0.412668, 0.625298, -0.303533
1.020000, 0.412786, 0.113796, -1.325556
1.040000, 0.412805, 0.114078, -0.814773
1.060000, 0.412559, 0.114121, -0.814569
1.080000, 0.412303, 0.625531, -1.325647
1.100000, 0.412395, 0.114444, -0.303415
1.120000, 0.412422, 0.114123, -0.814244
1.140000, 0.923828, 0.625114, -0.814414
1.159999, 0.412787, 0.624680, -1.324705
1.179999, 0.412421, 0.114169, -0.814288
1.199999, 0.923368, 0.114170, -0.813900
1.219999, 0.412115, 0.625068, -0.814159
1.239999, 0.411976, -0.397173, -0.814417
1.259999, 0.412466, 0.113777, -0.814223
1.279999, 0.412565, -0.396611, -1.324901
1.299999, 0.412057, 0.114777, -0.303077
1.319999, 0.412908, 1.136586, -0.303409
1.339999, 0.412442, 0.114030, -1.325230
1.359999, 0.412438, 0.624903, -1.836843
1.379999, 0.412874, 0.625576, -0.814695
1.399999, 0.412718, 0.114951, -1.837244
1.419999, 0.412604, 0.114315, -0.814310
1.439999, 0.412305, 0.113632, -0.814438
1.459999, 0.412726, 0.114466, -0.303250
1.479999, 0.412280, 0.625804, -1.326084
1.499999, 0.412601, 0.625184, -0.814541
1.519999, 0.412252, 0.113846, -1.325443
1.539999, 0.412190, 0.114742, -0.814287
1.559999, 0.412128, 0.624924, -1.324959
1.579999, 0.412262, 0.114645, -0.814860
1.599999, 0.412167, 0.114489, -0.814570
1.619999, 0.412028, 0.113770, -0.814436
1.639999, 0.412511, 0.114790, -0.814643
1.659999, 0.412599, 0.114438, -1.325747
1.679999, 0.923873, -0.395873, -1.325818
1.699999, 0.412661, 0.113303, -1.325580
1.719999, 0.412165, 0.625762, -1.325116
1.739999, 0.412379, 0.625931, -0.813687
1.759999, -0.098477, 0.114359, 0.718949
1.779999, 0.412326, 0.114624, -0.814633
1.799999, 0.411979, 0.114650, -1.325533
1.819999, 0.412372, 0.625268, -0.303672
1.839999, -0.098245, 0.625627, -0.303414
1.859999, 0.412649, 0.624755, -1.325594
1.879999, 0.412242, 0.625275, -0.813531
1.899999, 0.412688, 0.625066, -0.814543
1.919999, 0.412394, 0.624808, -1.324931
1.939999, 0.413004, 0.113566, -0.814488
1.959999, -0.098336, 0.113820, -0.814315
1.979999, 0.412191, 0.114181, -1.325856
1.999999, 0.412511, 0.113887, -0.303259
2.019999, -0.098752, 0.114297, -0.303881
2.039999, 0.412553, 0.625395, 0.206994
2.059999, 0.412351, 0.625878, -0.814635
2.079999, 0.412527, 0.114487, -1.837228
2.099999, 0.412829, 0.625530, -0.303739
2.119999, 0.412740, 0.114270, -1.324887
2.139999, 0.413154, 0.114605, -1.325860
2.159999, 0.412308, 0.114345, -0.303435
2.179999, 0.923775, 0.625535, -0.303511
