t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 298.000000, 246.000000, -4027.000000, -82.000000, 132.000000, 31.000000, 0.020000, 331.000000, -98.000000, -13477.000000, -243.000000, 208.000000, -35.000000, 0.020000, -16179.000000, -96.000000, 929.000000, -38.000000, 186.000000, 93.000000, 0.020000, -16159.000000, 293.000000, 814.000000, 25.000000, 69.000000, -109.000000, 0.020000, 303.000000, -16424.000000, 876.000000, -81.000000, 72.000000, 182.000000, 0.020000, 406.000000, -16301.000000, 2293.000000, 31.000000, 84.000000, 106.000000
0.040000, 330.000000, 255.000000, -4025.000000, -72.000000, 125.000000, 43.000000, 0.040000, 323.000000, -34.000000, -13598.000000, -265.000000, 203.000000, -7.000000, 0.040000, -16179.000000, -146.000000, 1015.000000, -49.000000, 160.000000, 98.000000, 0.040000, -16179.000000, 285.000000, 805.000000, 22.000000, 75.000000, -96.000000, 0.040000, 244.000000, -16418.000000, 841.000000, -99.000000, 74.000000, 196.000000, 0.040000, 417.000000, -16291.000000, 2279.000000, 35.000000, 124.000000, 118.000000
0.060000, 289.000000, 285.000000, -4016.000000, -86.000000, 127.000000, 45.000000, 0.060000, 319.000000, -36.000000, -13565.000000, -265.000000, 208.000000, -9.000000, 0.060000, -16173.000000, -129.000000, 990.000000, -32.000000, 177.000000, 89.000000, 0.060000, -16180.000000, 312.000000, 746.000000, 22.000000, 74.000000, -123.000000, 0.060000, 277.000000, -16373.000000, 854.000000, -96.000000, 101.000000, 196.000000, 0.060000, 342.000000, -16323.000000, 2308.000000, 38.000000, 110.000000, 113.000000
0.080000, 311.000000, 225.000000, -3981.000000, -89.000000, 146.000000, 30.000000, 0.080000, 319.000000, 13.000000, -13541.000000, -258.000000, 212.000000, -10.000000, 0.080000, -16133.000000, -152.000000, 1045.000000, -40.000000, 172.000000, 117.000000, 0.080000, -16176.000000, 337.000000, 726.000000, 4.000000, 62.000000, -97.000000, 0.080000, 265.000000, -16352.000000, 928.000000, -102.000000, 94.000000, 206.000000, 0.080000, 426.000000, -16297.000000, 2329.000000, 27.000000, 112.000000, 130.000000
0.100000, 289.000000, 291.000000, -4079.000000, -100.000000, 155.000000, 40.000000, 0.100000, 319.000000, -7.000000, -13564.000000, -244.000000, 209.000000, -24.000000, 0.100000, -16184.000000, -125.000000, 1041.000000, -33.000000, 166.000000, 83.000000, 0.100000, -16125.000000, 334.000000, 731.000000, 19.000000, 92.000000, -94.000000, 0.100000, 259.000000, -16434.000000, 826.000000, -72.000000, 99.000000, 205.000000, 0.100000, 422.000000, -16357.000000, 2316.000000, 23.000000, 107.000000, 134.000000
0.120000, 292.000000, 244.000000, -4086.000000, -89.000000, 136.000000, 46.000000, 0.120000, 277.000000, -87.000000, -13596.000000, -260.000000, 215.000000, -15.000000, 0.120000, -16142.000000, -75.000000, 1026.000000, -48.000000, 191.000000, 95.000000, 0.120000, -16187.000000, 281.000000, 784.000000, 17.000000, 60.000000, -103.000000, 0.120000, 271.000000, -16399.000000, 868.000000, -98.000000, 91.000000, 205.000000, 0.120000, 390.000000, -16305.000000, 2323.000000, 6.000000, 125.000000, 109.000000
0.140000, 347.000000, 295.000000, -4079.000000, -101.000000, 133.000000, 47.000000, 0.140000, 338.000000, -69.000000, -13488.000000, -252.000000, 203.000000, -18.000000, 0.140000, -16162.000000, -120.000000, 1021.000000, -58.000000, 175.000000, 77.000000, 0.140000, -16146.000000, 352.000000, 797.000000, 1.000000, 74.000000, -116.000000, 0.140000, 236.000000, -16446.000000, 848.000000, -104.000000, 93.000000, 189.000000, 0.140000, 414.000000, -16314.000000, 2304.000000, 10.000000, 81.000000, 118.000000
0.160000, 316.000000, 258.000000, -4029.000000, -64.000000, 130.000000, 40.000000, 0.160000, 309.000000, -54.000000, -13572.000000, -255.000000, 202.000000, -15.000000, 0.160000, -16127.000000, -196.000000, 989.000000, -33.000000, 180.000000, 88.000000, 0.160000, -16180.000000, 305.000000, 746.000000, 16.000000, 74.000000, -99.000000, 0.160000, 259.000000, -16399.000000, 828.000000, -92.000000, 86.000000, 193.000000, 0.160000, 428.000000, -16354.000000, 2354.000000, 40.000000, 96.000000, 101.000000
0.180000, 290.000000, 268.000000, -3983.000000, -65.000000, 127.000000, 44.000000, 0.180000, 261.000000, -23.000000, -13541.000000, -261.000000, 210.000000, -22.000000, 0.180000, -16146.000000, -143.000000, 1037.000000, -38.000000, 170.000000, 105.000000, 0.180000, -16154.000000, 307.000000, 786.000000, 29.000000, 69.000000, -101.000000, 0.180000, 298.000000, -16371.000000, 882.000000, -84.000000, 71.000000, 201.000000, 0.180000, 424.000000, -16261.000000, 2285.000000, 23.000000, 97.000000, 115.000000
0.200000, 283.000000, 254.000000, -4012.000000, -106.000000, 140.000000, 45.000000, 0.200000, 304.000000, -82.000000, -13566.000000, -253.000000, 219.000000, -14.000000, 0.200000, -16149.000000, -131.000000, 1015.000000, -34.000000, 170.000000, 81.000000, 0.200000, -16164.000000, 304.000000, 737.000000, 23.000000, 60.000000, -89.000000, 0.200000, 236.000000, -16381.000000, 864.000000, -92.000000, 99.000000, 180.000000, 0.200000, 397.000000, -16314.000000, 2287.000000, 32.000000, 102.000000, 119.000000
