t_ur, ur1, ur2, ur3
0.000000, -1.119338, 0.114405, 1.324955
0.020000, -1.630949, -0.908356, 0.813965
0.040000, -1.119411, -0.907544, 0.302575
0.060000, -1.119666, -0.907925, 0.813279
0.080000, -1.119867, -0.396913, 0.302064
0.100000, -0.609178, -0.907502, 1.324804
0.120000, -1.119500, -0.396374, -0.208585
0.140000, -1.119731, -0.907598, 0.302417
0.160000, -1.630969, -0.396800, 0.813509
0.180000, -1.119265, -0.396304, 0.813848
0.200000, -0.608658, 0.113866, 0.302274
0.220000, -1.119939, -0.396832, 0.814057
0.240000, -1.119277, -0.907868, 0.302330
0.260000, -1.119871, -0.907991, 0.302610
0.280000, -1.119471, -1.418826, 0.303295
0.300000, -1.119552, 0.113795, 0.813559
0.320000, -1.630516, -0.908009, 0.813864
0.340000, -1.119918, -0.397557, 1.324869
0.360000, -1.630087, -0.905489, -0.205490
0.380000, -1.624325, 5.229432, 0.306497
0.400000, -0.601306, -1.420689, 0.813588
0.420000, -1.630730, -0.397226, 0.302518
0.440000, -1.631382, -0.396928, 0.814145
0.460000, -1.119758, -0.907822, -0.719746
0.480000, -1.119257, 0.114007, -0.208476
0.500000, -0.608564, -0.908187, 0.813858
0.520000, -0.609043, -0.908040, 0.302084
0.540000, -1.119502, -1.418826, 0.302690
0.560000, -0.607645, -1.418200, 1.324131
0.580000, -1.630259, -0.908239, 0.813627
0.600000, -1.630351, -0.396836, 0.302687
0.620000, -1.119479, -1.418968, 0.813657
0.640000, -1.630070, 0.114062, 0.303183
0.660000, -2.141480, -0.397876, 0.814038
0.680000, -1.630256, 0.625061, 0.814237
0.700000, -0.608810, 0.625674, 0.302552
0.720000, -1.119641, -0.907750, 1.324949
0.740000, -0.608426, 0.114500, 0.813887
0.760000, -1.119432, -4.995629, 0.813683
0.780000, -1.119075, -0.907838, 0.302725
0.800000, -1.119339, -0.908146, 1.325106
0.820000, -1.120078, 0.625692, 1.324255
0.840000, -1.119758, -0.396954, 0.302803
0.860000, -1.119139, -0.907933, -0.207808
0.880000, -1.119757, -1.418670, 0.813495
0.900000, -1.630521, -0.908675, -1.230249
0.920000, -1.119548, 0.114450, 0.813544
0.940000, -1.630418, -0.396859, 0.813891
0.960000, -1.119314, -0.397153, 1.325409
0.980000, -1.119735, -0.397156, -0.718869
1.000000, -1.630701, -0.908017, -0.208714
1.020000, -0.608821, -1.930405, 0.813466
1.040000, -1.119524, 0.114459, 0.302834
1.060000, -0.608426, -0.908102, 1.324859
1.080000, -1.119483, -0.907359, 3.368742
1.100000, -1.119660, -0.396627, 0.302663
1.120000, -1.119181, -0.396137, 2.346591
1.140000, -0.608402, -1.418967, 0.813683
1.159999, -1.119043, -0.908288, 0.813633
1.179999, -1.119666, 0.625188, 0.302688
1.199999, -1.119662, -0.907567, 0.302691
1.219999, -1.119135, -0.907333, 0.302334
1.239999, -1.119732, 0.114570, -0.208455
1.259999, -1.119616, -0.907606, 0.814067
1.279999, -1.630167, -0.396560, 0.813087
1.299999, -1.119412, -1.418491, 1.835083
1.319999, -1.119321, -0.907589, 0.813291
1.339999, -1.119520, -0.907455, 0.813639
1.359999, -1.119499, -0.396452, 0.814255
1.379999, -1.119409, -0.907670, -0.207581
1.399999, -1.119870, -1.418693, 0.302733
1.419999, -1.120230, -0.396306, 0.813626
1.439999, -0.608441, -0.396162, 0.302720
1.459999, -1.630331, 0.114065, 0.813590
1.479999, -1.630484, -0.907655, 0.814160
1.499999, -1.119666, -0.396994, 0.813745
1.519999, -0.608288, -0.907848, 0.813751
1.539999, -1.630426, -0.907748, 0.302669
1.559999, -1.119817, 0.114807, 0.814111
1.579999, -1.119174, 0.114037, 0.302858
1.599999, -0.609367, 0.113653, 0.813406
1.619999, -1.119962, -0.396817, 1.324713
1.639999, -1.630902, -0.396792, 0.813744
1.659999, -1.119709, 0.113925, 1.835809
1.679999, -0.608788, -0.907986, 0.302870
1.699999, -1.119798, -0.907675, 1.325285
1.719999, -1.119500, 0.114336, 0.302809
1.739999, -1.119383, 2.158758, 0.814118
1.759999, -1.630486, -0.396647, 1.325116
1.779999, -1.120049, -0.907501, 0.813768
1.799999, -1.630633, 0.625607, 1.324423
1.819999, -1.119228, -0.396668, 0.813451
1.839999, -1.119415, -0.907608, 0.302510
1.859999, -1.119655, -0.396259, 0.814011
1.879999, -0.608888, -0.396930, 0.302782
1.899999, -1.119819, -0.396554, 1.325385
1.919999, -0.608288, -0.396372, 0.302426
1.939999, -1.119989, -0.397134, -0.208378
1.959999, -1.120071, -0.396446, 1.324874
1.979999, 0.924056, -1.418762, 1.324688
1.999999, -1.630587, -0.396970, 0.302732
2.019999, -0.608646, 3.691831, 0.814371
2.039999, -1.119752, 0.114497, 0.302950
2.059999, -1.119754, -1.419320, 0.813991
2.079999, -1.630848, -0.396721, 1.325034
2.099999, -1.119182, -0.397347, 0.302692
2.119999, -1.119000, -0.397034, 1.324835
2.139999, -1.120074, -1.418849, 1.836128
2.159999, -1.119624, -0.907632, -0.719534
2.179999, -0.608724, -0.397421, 1.324765
2.199999, -0.608881, -0.396653, 1.325090
2.219999, -1.119316, 0.625121, 0.302671
2.239999, -1.119985, -0.907806, 0.302365
2.259999, -1.119849, -1.418875, 1.324521
2.279999, -1.630329, -0.908286, 0.302434
2.299999, -0.608539, -0.908611, 0.813929
2.319999, -1.118974, -0.396878, 0.813777
2.339998, -1.119589, -0.907499, 0.813392
2.359998, -1.119913, -0.907712, 0.302157
2.379998, -0.608670, -0.396251, 0.813907
2.399998, -1.119777, -0.396511, 0.813833
2.419998, -1.119603, -0.908053, 0.813421
2.439998, -1.119640, 0.113864, -0.208642
2.459998, -0.608473, -0.396797, 1.324628
2.479998, -1.118928, -0.397121, 1.324496
2.499998, -1.119585, -0.396442, 0.302504
2.519998, -1.630724, -0.396794, 0.302299
2.539998, -1.119791, -1.419323, 0.302633
2.559998, -0.608831, -0.396699, 1.325106
2.579998, -1.119910, -0.907780, 0.813629
2.599998, -0.608284, -0.396806, -0.208086
2.619998, -1.119962, 0.114333, 0.813482
2.639998, -0.608154, -0.908327, 1.324650
2.659998, -1.119502, -0.397440, 1.324803
2.679998, -1.120027, -1.929655, 0.303191
2.699998, -1.119546, -0.907820, 1.325266
2.719998, -1.630579, -0.396446, -0.208357
2.739998, -1.119228, -0.907912, 0.302442
