t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 552.000000, -16180.000000, 12820.000000, -50.000000, 120.000000, 29.000000, 0.020000, 404.000000, -16464.000000, 3012.000000, -275.000000, 206.000000, -5.000000, 0.020000, 192.000000, 132.000000, -15560.000000, -63.000000, 234.000000, 99.000000, 0.020000, 180.000000, 388.000000, -15772.000000, 25.000000, 74.000000, -122.000000, 0.020000, -15952.000000, 72.000000, 864.000000, -62.000000, 86.000000, 193.000000, 0.020000, -16168.000000, -128.000000, 2472.000000, 0.000000, 120.000000, 160.000000
0.040000, 632.000000, -16180.000000, 12824.000000, -92.000000, 151.000000, 4.000000, 0.040000, 372.000000, -16476.000000, 3068.000000, -243.000000, 206.000000, 42.000000, 0.040000, 300.000000, 140.000000, -15552.000000, -39.000000, 192.000000, 91.000000, 0.040000, 120.000000, 368.000000, -15816.000000, 55.000000, 88.000000, -81.000000, 0.040000, -16108.000000, 116.000000, 860.000000, -89.000000, 93.000000, 180.000000, 0.040000, -16144.000000, -140.000000, 2412.000000, 16.000000, 111.000000, 80.000000
0.060000, 596.000000, -16168.000000, 12880.000000, -51.000000, 114.000000, 13.000000, 0.060000, 452.000000, -16404.000000, 3108.000000, -274.000000, 236.000000, 21.000000, 0.060000, 252.000000, 124.000000, -15504.000000, -44.000000, 199.000000, 157.000000, 0.060000, 132.000000, 340.000000, -15704.000000, -11.000000, 62.000000, -102.000000, 0.060000, -16036.000000, 44.000000, 988.000000, -74.000000, 102.000000, 204.000000, 0.060000, -16100.000000, -120.000000, 2412.000000, 36.000000, 118.000000, 101.000000
0.080000, 544.000000, -16156.000000, 12832.000000, -63.000000, 116.000000, -33.000000, 0.080000, 480.000000, -16520.000000, 3032.000000, -271.000000, 182.000000, -23.000000, 0.080000, 228.000000, 164.000000, -15572.000000, -35.000000, 164.000000, 91.000000, 0.080000, 152.000000, 404.000000, -15764.000000, 34.000000, 65.000000, -103.000000, 0.080000, -16064.000000, 100.000000, 876.000000, -112.000000, 60.000000, 164.000000, 0.080000, -16188.000000, -112.000000, 2504.000000, 27.000000, 136.000000, 95.000000
0.100000, 584.000000, -16164.000000, 12796.000000, -101.000000, 154.000000, -3.000000, 0.100000, 408.000000, -16496.000000, 2976.000000, -229.000000, 211.000000, 2.000000, 0.100000, 256.000000, 196.000000, -15548.000000, -33.000000, 171.000000, 132.000000, 0.100000, 136.000000, 392.000000, -15740.000000, 10.000000, 95.000000, -99.000000, 0.100000, -16044.000000, 32.000000, 896.000000, -98.000000, 79.000000, 199.000000, 0.100000, -16156.000000, -112.000000, 2380.000000, 18.000000, 143.000000, 67.000000
0.120000, 544.000000, -16100.000000, 12764.000000, -74.000000, 148.000000, 21.000000, 0.120000, 380.000000, -16416.000000, 3044.000000, -256.000000, 197.000000, 7.000000, 0.120000, 244.000000, 192.000000, -15620.000000, -92.000000, 187.000000, 113.000000, 0.120000, 192.000000, 380.000000, -15768.000000, 26.000000, 83.000000, -69.000000, 0.120000, -16060.000000, 44.000000, 880.000000, -76.000000, 50.000000, 186.000000, 0.120000, -16104.000000, -84.000000, 2472.000000, 33.000000, 83.000000, 106.000000
0.140000, 588.000000, -16168.000000, 12848.000000, -53.000000, 167.000000, 47.000000, 0.140000, 452.000000, -16488.000000, 3048.000000, -257.000000, 224.000000, -5.000000, 0.140000, 196.000000, 176.000000, -15720.000000, -50.000000, 191.000000, 114.000000, 0.140000, 148.000000, 364.000000, -15756.000000, 7.000000, 71.000000, -96.000000, 0.140000, -16020.000000, 80.000000, 824.000000, -71.000000, 87.000000, 194.000000, 0.140000, -16136.000000, -116.000000, 2448.000000, 6.000000, 120.000000, 144.000000
0.160000, 548.000000, -16188.000000, 12804.000000, -80.000000, 149.000000, -8.000000, 0.160000, 396.000000, -16524.000000, 3072.000000, -253.000000, 208.000000, -25.000000, 0.160000, 264.000000, 196.000000, -15524.000000, -34.000000, 168.000000, 69.000000, 0.160000, 140.000000, 440.000000, -15708.000000, 45.000000, 55.000000, -109.000000, 0.160000, -16132.000000, 140.000000, 936.000000, -91.000000, 92.000000, 164.000000, 0.160000, -16156.000000, -68.000000, 2384.000000, 36.000000, 112.000000, 131.000000
0.180000, 568.000000, -16224.000000, 12788.000000, -52.000000, 118.000000, 21.000000, 0.180000, 380.000000, -16456.000000, 3116.000000, -255.000000, 212.000000, -22.000000, 0.180000, 284.000000, 200.000000, -15568.000000, -52.000000, 200.000000, 94.000000, 0.180000, 144.000000, 384.000000, -15744.000000, 26.000000, 46.000000, -72.000000, 0.180000, -16056.000000, 60.000000, 848.000000, -82.000000, 87.000000, 163.000000, 0.180000, -16188.000000, -80.000000, 2428.000000, 5.000000, 108.000000, 129.000000
0.200000, 552.000000, -16192.000000, 12816.000000, -86.000000, 152.000000, 0.000000, 0.200000, 416.000000, -16476.000000, 3000.000000, -243.000000, 214.000000, 18.000000, 0.200000, 324.000000, 160.000000, -15612.000000, -65.000000, 179.000000, 122.000000, 0.200000, 144.000000, 400.000000, -15800.000000, 41.000000, 60.000000, -104.000000, 0.200000, -16068.000000, 100.000000, 924.000000, -100.000000, 65.000000, 172.000000, 0.200000, -16096.000000, -68.000000, 2400.000000, 22.000000, 99.000000, 114.000000
