t, phi, uk, ur, tm
0.000000, 0.028413, 0.000623, 7.970302, 0.134884
0.020000, 0.042490, -0.003016, 2.856678, 0.184501
0.040000, 0.056049, -0.000615, 0.304025, 0.239235
0.060000, 0.069514, 0.000361, 17.168037, 0.325501
0.080000, 0.081620, -0.000259, 21.766417, 0.384552
0.100000, 0.093957, 0.002087, 33.521755, 0.458103
0.120000, 0.106193, 0.000019, 40.673679, 0.521277
0.140000, 0.118363, 0.000415, 45.784119, 0.581969
0.160000, 0.130729, 0.000079, 52.426727, 0.645705
0.180000, 0.142532, 0.000154, 52.426804, 0.696077
0.200000, 0.153302, 0.000404, 64.180107, 0.761895
0.220000, 0.137757, -0.462028, -0.157388, 0.355950
0.240000, 0.128819, -0.526401, 0.289225, 0.286359
0.260000, 0.116614, -0.659917, 0.155710, 0.167249
0.280000, 0.102953, -0.798243, 12.792407, 0.060995
0.300000, 0.086367, -0.904164, 20.862513, -0.049190
0.320000, 0.069452, -0.904425, 20.862251, -0.121462
0.340000, 0.054187, -0.808058, 18.914612, -0.141597
0.360000, 0.042010, -0.646615, 13.455022, -0.121894
0.380000, 0.034429, -0.437337, 8.043327, -0.058566
0.400000, 0.031989, -0.185119, 3.696547, 0.049972
0.420000, 0.033956, 0.003595, 0.819221, 0.147991
0.440000, 0.037145, 0.099428, 0.915054, 0.209720
0.460000, 0.040213, 0.148216, -1.080103, 0.243874
0.480000, 0.041377, 0.199763, 13.790413, 0.299640
0.500000, 0.046862, 0.249849, 23.038559, 0.363652
0.520000, 0.055835, 0.304032, 29.735685, 0.440303
0.540000, 0.063349, 0.362711, 34.904411, 0.510412
0.560000, 0.071289, 0.428071, 43.145737, 0.590846
0.580000, 0.083982, 0.492079, 49.852749, 0.688297
0.600000, 0.095621, 0.574477, 57.089138, 0.791344
0.620000, 0.109254, 0.682517, 61.796177, 0.911482
0.640000, 0.126490, 0.804459, 71.627167, 1.062558
0.660000, 0.143905, 0.928503, 77.372185, 1.208579
0.680000, 0.165165, 1.075575, 81.607269, 1.379986
0.700000, 0.137161, -0.552622, 72.314034, 0.429905
0.720000, 0.128763, -0.442236, 78.556435, 0.459841
0.740000, 0.122217, -0.349740, 80.181953, 0.480958
0.760000, 0.117295, -0.245345, 94.594330, 0.536459
0.780000, 0.116245, -0.113933, 93.703773, 0.596264
0.800000, 0.117903, 0.019800, 108.656471, 0.695417
0.820000, 0.120129, 0.122398, 107.226051, 0.753861
0.840000, 0.126730, 0.259527, 117.072227, 0.867212
0.860000, 0.131234, 0.377182, 122.299866, 0.954102
0.880000, 0.139131, 0.502001, 125.490669, 1.055625
0.900000, 0.153203, 0.652860, 133.817535, 1.205156
0.920000, 0.128590, -0.787718, 130.332962, 0.373217
0.940000, 0.114008, -0.786508, 137.488159, 0.323668
0.960000, 0.097372, -0.893426, 144.024246, 0.210190
0.980000, 0.079178, -0.950064, 150.610611, 0.115317
1.000000, 0.060284, -1.033889, 153.592773, -0.002204
1.020000, 0.039571, -0.998759, 156.693939, -0.067743
1.040000, 0.021168, -0.894445, 153.732208, -0.098987
1.060000, 0.003665, -0.796071, 154.341568, -0.123366
1.080000, -0.011474, -0.736017, 153.890640, -0.158624
1.100000, -0.026476, -0.715766, 151.355896, -0.216730
1.120000, -0.040115, -0.690908, 152.913773, -0.259834
1.140000, -0.056736, -0.727461, 151.344208, -0.351653
1.160000, -0.070720, -0.739147, 154.398499, -0.412003
1.180000, -0.088133, -0.820595, 151.251068, -0.532327
1.200000, -0.104633, -0.814949, 151.256714, -0.599861
1.220000, -0.122381, -0.851232, 151.731415, -0.692913
1.240000, -0.139160, -0.809537, 153.817123, -0.740093
1.260000, -0.154074, -0.765242, 151.306427, -0.785746
1.280000, -0.131446, 0.714057, 150.741714, 0.050300
1.300000, -0.116791, 0.754678, 145.672348, 0.124607
1.320000, -0.102984, 0.716514, 152.788177, 0.176353
1.340000, -0.091140, 0.601184, 162.892883, 0.186121
1.360000, -0.082656, 0.468603, 164.293259, 0.158292
1.380000, -0.077418, 0.295161, 173.828796, 0.109840
1.400000, -0.072958, 0.207899, 180.384537, 0.096206
1.420000, -0.068941, 0.103702, 183.346390, 0.066157
1.440000, -0.069951, 0.058016, 186.877670, 0.044919
1.460000, -0.066199, 0.111068, 191.018738, 0.094438
1.480000, -0.061767, 0.173880, 200.279541, 0.160350
1.500000, -0.059976, 0.213576, 203.385223, 0.193081
1.520000, -0.054289, 0.232033, 209.535690, 0.236916
1.540000, -0.048794, 0.198381, 217.678070, 0.257195
1.560000, -0.047659, 0.129374, 224.763046, 0.239406
1.580000, -0.046756, 0.054213, 225.198883, 0.206363
1.600000, -0.046068, -0.025962, 237.382675, 0.189651
1.620000, -0.045244, -0.133844, 244.428848, 0.151007
1.640000, -0.051269, -0.232939, 232.576706, 0.055784
1.660000, -0.062833, -0.265470, 254.517197, 0.027068
1.680000, -0.074328, -0.246878, 256.068817, -0.010036
1.700000, -0.079933, -0.226123, 252.001541, -0.030391
1.720000, -0.084161, -0.226594, 248.424057, -0.054673
1.740000, -0.084778, -0.270449, 255.023193, -0.068159
1.760000, -0.088697, -0.343036, 250.862595, -0.128205
1.780000, -0.097073, -0.424203, 253.336487, -0.200394
1.800000, -0.112047, -0.504127, 254.789520, -0.301820
1.820000, -0.128174, -0.573504, 252.676132, -0.408879
1.840000, -0.144777, -0.638663, 249.544998, -0.517564
1.860000, -0.158181, -0.698445, 246.419235, -0.609911
1.880000, -0.127162, 0.720573, 226.376221, 0.198995
1.900000, -0.114526, 0.607643, 230.862289, 0.203897
1.920000, -0.108777, 0.453467, 238.373154, 0.163867
1.940000, -0.104379, 0.339862, 242.858551, 0.133298
1.960000, -0.096426, 0.254820, 244.817505, 0.127937
1.980000, -0.087728, 0.159988, 259.030670, 0.141458
2.000000, -0.085150, 0.065527, 269.156158, 0.122194
2.020000, -0.085597, -0.041175, 272.626495, 0.072710
2.040000, -0.090948, -0.155080, 268.935577, -0.013334
2.060000, -0.095575, -0.227785, 274.483887, -0.060131
2.080000, -0.103659, -0.245448, 277.532196, -0.098322
2.100000, -0.110318, -0.242613, 273.958069, -0.131311
2.120000, -0.116740, -0.215217, 277.051453, -0.139788
2.140000, -0.120565, -0.213415, 271.943268, -0.163785
2.160000, -0.124771, -0.232556, 271.413086, -0.192195
2.180000, -0.129641, -0.254193, 266.281464, -0.232421
2.200000, -0.131181, -0.264358, 268.826294, -0.239800
2.220000, -0.134384, -0.242161, 266.804474, -0.245746
2.240000, -0.135493, -0.192717, 268.897919, -0.222206
2.260000, -0.136652, -0.167588, 274.033112, -0.205937
2.280000, -0.137945, -0.176131, 266.870514, -0.227771
2.300000, -0.137630, -0.166969, 268.923676, -0.218390
2.320000, -0.143097, -0.108152, 270.004517, -0.210446
2.340000, -0.140731, 0.004636, 272.161316, -0.140269
2.360000, -0.138715, 0.210176, 269.811859, -0.032735
2.380000, -0.133542, 0.497346, 270.099030, 0.133559
2.400000, -0.120681, 0.800073, 269.890717, 0.339589
2.420000, -0.103907, 1.073908, 267.098572, 0.543509
2.440000, -0.076708, 1.310396, 264.780060, 0.773982
2.460000, -0.045130, 1.525800, 265.506470, 1.017698
2.480000, -0.008882, 1.728834, 267.753510, 1.277697
2.500000, 0.031837, 1.920923, 260.280609, 1.534943
2.520000, 0.079324, 2.113915, 262.517609, 1.837824
2.540000, 0.126559, 2.306566, 268.842224, 2.146337
2.560000, 0.172411, 2.493063, 263.407745, 2.426100
2.580000, 0.128597, -0.656490, -0.351851, 0.219216
2.600000, 0.115267, -0.689129, 0.637606, 0.147693
2.620000, 0.103471, -0.666709, -0.873056, 0.106069
2.640000, 0.092392, -0.550958, 15.083760, 0.143592
2.660000, 0.084471, -0.443160, 21.834501, 0.175121
2.680000, 0.078277, -0.403575, 32.605106, 0.186628
2.700000, 0.072824, -0.375394, 36.210312, 0.183542
2.720000, 0.069076, -0.305881, 48.032818, 0.222233
2.740000, 0.063753, -0.230553, 53.729115, 0.246815
2.760000, 0.061703, -0.168822, 59.411880, 0.278528
2.780000, 0.059894, -0.116015, 70.706696, 0.316233
2.800000, 0.058460, -0.052832, 69.236855, 0.339276
2.820000, 0.059295, 0.011093, 80.542786, 0.393844
2.840000, 0.060242, 0.051477, 84.671181, 0.425039
2.860000, 0.062967, 0.097743, 92.382431, 0.472786
2.880000, 0.066036, 0.158305, 100.107971, 0.529176
2.900000, 0.070365, 0.199600, 104.237274, 0.575256
2.920000, 0.073298, 0.245979, 111.437645, 0.623085
2.940000, 0.086101, 0.319119, 120.708786, 0.729885
2.960000, 0.090862, 0.358989, 136.078659, 0.795987
2.980000, 0.100939, 0.449769, 134.636429, 0.881981
3.000000, 0.108958, 0.508365, 137.250015, 0.949902
3.020000, 0.123424, 0.612279, 144.507980, 1.075818
3.040000, 0.135183, 0.700140, 149.705826, 1.178683
3.060000, 0.151467, 0.837084, 159.551758, 1.333237
3.080000, 0.120568, -1.245588, -0.429962, -0.110043
3.100000, 0.096514, -1.060861, 0.265873, -0.118983
3.120000, 0.080277, -0.752928, 0.062698, -0.034431
3.140000, 0.070174, -0.527453, -15.552769, 0.009093
3.160000, 0.062264, -0.437841, -15.463158, 0.020369
3.180000, 0.054568, -0.404571, -15.429888, 0.004257
3.200000, 0.047578, -0.323871, -16.371161, 0.013263
3.220000, 0.042101, -0.239569, -15.775871, 0.033102
3.240000, 0.038330, -0.174977, -13.667335, 0.052898
3.260000, 0.035801, -0.135781, -11.073084, 0.066095
3.280000, 0.033475, -0.118895, -7.479171, 0.070669
3.300000, 0.029972, -0.119563, -8.501935, 0.053678
3.320000, 0.027814, -0.123637, -4.417996, 0.049300
3.340000, 0.025123, -0.111179, 0.193461, 0.051814
3.360000, 0.022431, -0.099026, 8.381639, 0.060184
3.380000, 0.018808, -0.095555, 13.495096, 0.055066
3.400000, 0.016765, -0.099443, 13.491207, 0.044400
3.420000, 0.014958, -0.098252, 18.602444, 0.045884
3.440000, 0.012306, -0.096015, 21.670660, 0.040853
3.460000, 0.010056, -0.096558, 24.225111, 0.035281
3.480000, 0.009155, -0.096341, 26.269333, 0.034983
3.500000, 0.006642, -0.090263, 26.786398, 0.028181
3.520000, 0.004449, -0.082157, 29.349497, 0.027196
3.540000, 0.002319, -0.073292, 31.913416, 0.026860
3.560000, 0.001055, -0.063862, 31.922846, 0.026203
3.580000, -0.000574, -0.059365, 32.438332, 0.022374
3.600000, -0.002429, -0.057076, 34.484623, 0.019051
3.620000, -0.004124, -0.054223, 37.553455, 0.018409
3.640000, -0.005827, -0.053296, 40.109375, 0.015906
3.660000, -0.005971, -0.049700, 40.623959, 0.017957
3.680000, -0.007088, -0.043908, 39.607777, 0.014387
3.700000, -0.008207, -0.036802, 40.125870, 0.014042
3.720000, -0.008875, -0.027649, 41.668041, 0.018368
3.740000, -0.009883, -0.026200, 41.669491, 0.014798
3.760000, -0.011239, -0.029888, 39.110813, 0.002867
3.780000, -0.012144, -0.029261, 39.622425, 0.000179
3.800000, -0.012801, -0.020964, 42.185715, 0.005840
3.820000, -0.012855, -0.009079, 42.708584, 0.012440
3.840000, -0.013147, -0.000551, 42.717113, 0.015478
3.860000, -0.013721, 0.000415, 42.718079, 0.013513
3.880000, -0.013592, -0.003820, 42.202858, 0.011076
3.900000, -0.014225, -0.011404, 45.261253, 0.009723
3.920000, -0.014627, -0.017414, 46.277275, 0.006709
3.940000, -0.015494, -0.019039, 43.209610, -0.002959
3.960000, -0.016019, -0.007854, 44.753819, 0.002999
3.980000, -0.015682, 0.005705, 45.278362, 0.012102
4.000000, -0.015726, 0.008960, 37.616638, 0.000663
4.020000, -0.015709, 0.006501, 48.345200, 0.017542
4.040000, -0.016002, -0.000043, 45.272614, 0.007853
4.060000, -0.016644, -0.010470, 42.707195, -0.004420
4.080000, -0.016499, -0.004709, 45.267948, 0.003389
4.100000, -0.016618, 0.007988, 42.725651, 0.004961
4.120000, -0.016721, 0.014570, 45.287228, 0.012124
4.140000, -0.017068, 0.013330, 45.797035, 0.010879
4.160000, -0.017433, 0.001525, 47.829174, 0.006834
4.180000, -0.017960, -0.008046, 47.819603, -0.000222
4.200000, -0.018315, -0.004059, 43.224590, -0.007467
4.220000, -0.018362, 0.010501, 45.794205, 0.003944
4.240000, -0.018050, 0.021834, 45.805538, 0.010965
4.260000, -0.017619, 0.021810, 44.783482, 0.011073
4.280000, -0.017514, 0.010988, 48.349686, 0.012097
4.300000, -0.017559, -0.000522, 45.783184, 0.001832
4.320000, -0.017514, -0.004549, 48.334148, 0.004293
4.340000, -0.018102, 0.002526, 48.852211, 0.006201
4.360000, -0.018304, 0.008752, 46.303444, 0.004169
4.380000, -0.018279, 0.010318, 45.282974, 0.003343
4.400000, -0.018019, 0.006928, 47.834579, 0.007046
4.420000, -0.018172, 0.000140, 48.338837, 0.003845
