t, phi, uk, ur, tm
0.000000, 0.029228, 0.000158, 1.326893, 0.126961
0.020000, 0.043227, -0.002118, 1.324617, 0.185517
0.040000, 0.056984, -0.001041, 5.413584, 0.251599
0.060000, 0.070117, 0.000019, 15.123751, 0.324464
0.080000, 0.082095, -0.000365, 21.766312, 0.386524
0.100000, 0.094122, 0.000328, 32.498024, 0.456203
0.120000, 0.104984, 0.000455, 38.119122, 0.512042
0.140000, 0.114529, -0.000528, 46.294163, 0.566001
0.160000, 0.126495, 0.000511, 50.894199, 0.625288
0.180000, 0.136560, 0.000159, 59.069813, 0.681782
0.200000, 0.148439, -0.000421, 67.245262, 0.745896
0.220000, 0.159979, 0.000325, 70.311989, 0.800643
0.240000, 0.097801, -1.878589, 2.003077, -0.519906
0.260000, 0.062566, -1.631958, 2.249708, -0.546303
0.280000, 0.036629, -1.310823, 1.548870, -0.497341
0.300000, 0.015835, -1.009878, -15.013222, -0.463225
0.320000, -0.001065, -0.738610, -28.027966, -0.421392
0.340000, -0.012578, -0.544186, -34.476486, -0.384011
0.360000, -0.019929, -0.362510, -39.404793, -0.332705
0.380000, -0.024440, -0.199620, -47.417931, -0.283876
0.400000, -0.025085, -0.034045, -51.851353, -0.211201
0.420000, -0.022145, 0.126901, -61.910378, -0.135010
0.440000, -0.017371, 0.270254, -71.476006, -0.058974
0.460000, -0.009232, 0.390375, -75.954887, 0.028333
0.480000, -0.000081, 0.457019, -72.822319, 0.105990
0.500000, 0.009827, 0.459105, -70.776169, 0.152728
0.520000, 0.016556, 0.403340, -62.144924, 0.168020
0.540000, 0.022607, 0.338035, -57.611233, 0.168760
0.560000, 0.028128, 0.285761, -46.421562, 0.184954
0.580000, 0.034169, 0.247785, -42.371525, 0.198513
0.600000, 0.035229, 0.215944, -34.227341, 0.200791
0.620000, 0.036124, 0.186337, -28.635977, 0.199185
0.640000, 0.038885, 0.159173, -19.976128, 0.211926
0.660000, 0.040928, 0.135756, -15.911533, 0.215747
0.680000, 0.042558, 0.114896, -7.245381, 0.226828
0.700000, 0.044581, 0.096570, -6.752720, 0.227111
0.720000, 0.046949, 0.085883, 0.390523, 0.243872
0.740000, 0.047941, 0.079962, 13.159626, 0.266606
0.760000, 0.049554, 0.078667, 22.867376, 0.289159
0.780000, 0.050001, 0.079051, 26.444725, 0.297270
0.800000, 0.050719, 0.082928, 34.624630, 0.316028
0.820000, 0.053938, 0.095496, 42.813160, 0.349816
0.840000, 0.056776, 0.110332, 47.937981, 0.377958
0.860000, 0.058912, 0.120880, 60.212566, 0.412988
0.880000, 0.060150, 0.126566, 60.729240, 0.421979
0.900000, 0.062588, 0.138560, 65.851219, 0.446994
0.920000, 0.066894, 0.170449, 75.592155, 0.497697
0.940000, 0.071755, 0.204698, 82.780396, 0.547656
0.960000, 0.076566, 0.220586, 92.505272, 0.592478
0.980000, 0.080745, 0.253411, 96.115120, 0.632800
1.000000, 0.087193, 0.314769, 101.797455, 0.700567
1.020000, 0.094873, 0.348329, 107.451981, 0.759627
1.040000, 0.104573, 0.411633, 115.180328, 0.845679
1.060000, 0.107064, 0.492562, 112.195213, 0.891792
1.080000, 0.118201, 0.555607, 128.099258, 0.997583
1.100000, 0.132228, 0.677298, 133.330994, 1.127117
1.120000, 0.145838, 0.767729, 141.086411, 1.243465
1.140000, 0.165401, 0.904483, 146.333145, 1.404171
1.160000, 0.115519, -1.046616, -0.230990, -0.031641
1.180000, 0.097752, -0.804193, -1.010540, 0.012629
1.200000, 0.086402, -0.555567, 0.260059, 0.090814
1.220000, 0.079103, -0.382817, 0.432810, 0.146454
1.240000, 0.073324, -0.293333, 0.011307, 0.165890
1.260000, 0.068428, -0.234928, 0.069712, 0.174343
1.280000, 0.064335, -0.187287, 16.469404, 0.208309
1.300000, 0.062300, -0.135233, 21.120457, 0.233506
1.320000, 0.060158, -0.081999, 32.415695, 0.270009
1.340000, 0.058334, -0.030082, 40.132591, 0.301193
1.360000, 0.058967, 0.020793, 45.293449, 0.338037
1.380000, 0.061448, 0.067971, 50.961662, 0.381762
1.400000, 0.065079, 0.106212, 59.175865, 0.430200
1.420000, 0.067519, 0.140963, 67.386650, 0.471810
1.440000, 0.071317, 0.189395, 69.990074, 0.516626
1.460000, 0.076792, 0.251909, 77.717560, 0.584257
1.480000, 0.082630, 0.301764, 88.498436, 0.652238
1.500000, 0.089051, 0.344243, 91.606895, 0.706112
1.520000, 0.096245, 0.423059, 100.372719, 0.790981
1.540000, 0.104691, 0.501964, 106.583649, 0.876944
1.560000, 0.117601, 0.570310, 110.740005, 0.973200
1.580000, 0.127875, 0.690461, 119.547165, 1.091966
1.600000, 0.136549, 0.747947, 129.824615, 1.175013
1.620000, 0.155408, 0.765536, 136.996201, 1.276306
1.640000, 0.126453, -0.608915, 127.956779, 0.449612
1.660000, 0.113099, -0.626935, 131.004730, 0.388766
1.680000, 0.101647, -0.648716, 137.625946, 0.340159
1.700000, 0.092903, -0.640646, 144.277023, 0.318086
1.720000, 0.080897, -0.610237, 150.439453, 0.292470
1.740000, 0.068720, -0.591484, 161.189163, 0.267997
1.760000, 0.058721, -0.534882, 170.954819, 0.270109
1.780000, 0.048595, -0.526045, 169.941620, 0.229645
1.800000, 0.037623, -0.484255, 180.714432, 0.221882
1.820000, 0.030326, -0.484760, 187.356918, 0.201679
1.840000, 0.018225, -0.517150, 188.346512, 0.135522
1.860000, 0.005813, -0.526819, 202.644821, 0.101789
1.880000, -0.001078, -0.560319, 213.853333, 0.074474
1.900000, -0.012200, -0.589864, 211.268784, 0.007908
1.920000, -0.027563, -0.591084, 211.267563, -0.058221
1.940000, -0.039185, -0.537387, 210.299286, -0.082535
1.960000, -0.046191, -0.525703, 210.310974, -0.106546
1.980000, -0.057987, -0.557008, 207.213638, -0.177731
2.000000, -0.069208, -0.572149, 210.264526, -0.228036
2.020000, -0.079012, -0.597562, 209.217087, -0.284326
2.040000, -0.092773, -0.685011, 208.618652, -0.387793
2.060000, -0.110636, -0.755894, 207.014740, -0.502154
2.080000, -0.123544, -0.713241, 210.123444, -0.530626
2.100000, -0.133532, -0.615078, 204.600571, -0.533369
2.120000, -0.146952, -0.515103, 204.700546, -0.540388
2.140000, -0.156108, -0.403971, 205.322723, -0.522762
2.160000, -0.124640, 0.577689, 186.375366, 0.070976
2.180000, -0.114929, 0.476096, 186.273773, 0.061362
2.200000, -0.107511, 0.319112, 189.182770, 0.019307
2.220000, -0.104097, 0.182226, 192.622910, -0.028869
2.240000, -0.101530, 0.139449, 192.069153, -0.040265
2.260000, -0.095656, 0.130638, 194.615326, -0.015344
2.280000, -0.096289, 0.085584, 192.526260, -0.044107
2.300000, -0.098743, 0.075542, 190.472214, -0.063056
2.320000, -0.094237, 0.088359, 191.507004, -0.035683
2.340000, -0.092265, 0.090067, 192.530746, -0.024696
2.360000, -0.090839, 0.158252, 189.532898, 0.010477
2.380000, -0.084473, 0.261992, 189.636642, 0.089730
2.400000, -0.080256, 0.328123, 191.235779, 0.143507
2.420000, -0.075345, 0.417573, 184.171249, 0.197347
2.440000, -0.062965, 0.520858, 189.384521, 0.310612
2.460000, -0.048914, 0.548704, 189.923355, 0.385378
2.480000, -0.041902, 0.558933, 187.378586, 0.416126
2.500000, -0.029836, 0.585257, 186.893921, 0.479945
2.520000, -0.017848, 0.557662, 189.421326, 0.521509
2.540000, -0.007680, 0.547133, 186.855804, 0.555284
2.560000, 0.004424, 0.543101, 186.851761, 0.604880
2.580000, 0.014709, 0.500028, 184.253693, 0.622814
2.600000, 0.024302, 0.514288, 186.822952, 0.675182
2.620000, 0.035932, 0.541878, 186.339554, 0.737779
2.640000, 0.046459, 0.570991, 187.390640, 0.799016
2.660000, 0.060742, 0.683133, 184.947784, 0.911955
2.680000, 0.076252, 0.794050, 187.102707, 1.037246
2.700000, 0.093520, 0.902636, 181.590332, 1.155976
2.720000, 0.116229, 1.087480, 185.352142, 1.351674
2.740000, 0.141513, 1.262565, 182.972229, 1.543145
2.760000, 0.168583, 1.461738, 182.660416, 1.757766
2.780000, 0.094856, -1.578441, -0.762815, -0.386870
2.800000, 0.068633, -1.299075, -0.483448, -0.358390
2.820000, 0.049153, -0.989707, -0.685067, -0.286946
2.840000, 0.035700, -0.711546, -15.736862, -0.230388
2.860000, 0.026689, -0.452457, -25.697744, -0.155873
2.880000, 0.021856, -0.213803, -37.723129, -0.077236
2.900000, 0.023195, -0.003482, -40.067738, 0.029811
2.920000, 0.025970, 0.129502, -38.912781, 0.110154
2.940000, 0.030127, 0.174813, -33.757484, 0.159234
2.960000, 0.034671, 0.168319, -25.587955, 0.189095
2.980000, 0.038375, 0.154322, -20.491966, 0.206455
3.000000, 0.042348, 0.144133, -15.392170, 0.226871
3.020000, 0.045366, 0.130961, -7.229316, 0.246874
3.040000, 0.048305, 0.127667, -5.699651, 0.260331
3.060000, 0.050925, 0.131076, 0.946703, 0.284386
3.080000, 0.054742, 0.133574, 13.724224, 0.323397
3.100000, 0.056854, 0.138932, 21.905607, 0.348842
3.120000, 0.061725, 0.150718, 26.516392, 0.383265
3.140000, 0.065089, 0.163042, 34.704742, 0.417549
3.160000, 0.068570, 0.175679, 43.915379, 0.454205
3.180000, 0.071337, 0.186514, 48.525211, 0.479180
3.200000, 0.075103, 0.200889, 53.649570, 0.511051
3.220000, 0.080491, 0.226108, 62.872787, 0.562161
3.240000, 0.086542, 0.265734, 69.044434, 0.618180
