t, phi2, phi3
0.000000, -0.578273, 0.776052
0.020000, -0.578259, 0.776092
0.040000, -0.578229, 0.776139
0.060000, -0.578218, 0.776191
0.080000, -0.578199, 0.776214
0.100000, -0.578195, 0.776241
0.120000, -0.578183, 0.776271
0.140000, -0.578173, 0.776316
0.160000, -0.578161, 0.776352
0.180000, -0.578172, 0.776403
0.200000, -0.578180, 0.776439
0.220000, -0.578182, 0.776461
0.240000, -0.578170, 0.776488
0.260000, -0.578161, 0.776513
0.280000, -0.578146, 0.776543
0.300000, -0.578142, 0.776585
0.320000, -0.578146, 0.776622
0.340000, -0.578132, 0.776641
0.360000, -0.578126, 0.776687
0.380000, -0.578109, 0.776715
0.400000, -0.578075, 0.776734
0.420000, -0.578069, 0.776765
0.440000, -0.578055, 0.776784
0.460000, -0.578037, 0.776801
0.480000, -0.578030, 0.776843
0.500000, -0.578033, 0.776882
0.520000, -0.578017, 0.776906
0.540000, -0.577995, 0.776940
0.560000, -0.577991, 0.776958
0.580000, -0.577978, 0.776984
0.600000, -0.577977, 0.777000
0.620000, -0.577977, 0.777026
0.640000, -0.577965, 0.777038
0.660000, -0.577959, 0.777052
0.680000, -0.577949, 0.777070
0.700000, -0.577941, 0.777067
0.720000, -0.577935, 0.777084
0.740000, -0.577936, 0.777107
0.760000, -0.577940, 0.777121
0.780000, -0.577955, 0.777126
0.800000, -0.577944, 0.777153
0.820000, -0.577928, 0.777189
0.840000, -0.577922, 0.777198
0.860000, -0.577915, 0.777207
0.880000, -0.577935, 0.777231
0.900000, -0.577925, 0.777259
0.920000, -0.577899, 0.777270
0.940000, -0.577876, 0.777263
0.960000, -0.577872, 0.777319
0.980000, -0.577882, 0.777321
1.000000, -0.577872, 0.777334
1.020000, -0.577880, 0.777369
1.040000, -0.577879, 0.777389
1.060000, -0.577876, 0.777385
1.080000, -0.577858, 0.777421
1.100000, -0.577847, 0.777437
1.120000, -0.577822, 0.777442
1.140000, -0.577834, 0.777471
1.159999, -0.577846, 0.777473
1.179999, -0.577823, 0.777467
1.199999, -0.577809, 0.777490
1.219999, -0.577809, 0.777503
1.239999, -0.577794, 0.777505
1.259999, -0.577783, 0.777516
1.279999, -0.577778, 0.777519
1.299999, -0.577767, 0.777520
1.319999, -0.577774, 0.777542
1.339999, -0.577755, 0.777553
