t, uk1, uk2, uk3)
0.000000, -0.006037, -0.005460, -0.004017
0.020000, -0.006081, -0.005903, -0.004527
0.040000, -0.005992, -0.004860, -0.004061
0.060000, -0.005948, -0.005282, -0.003950
0.080000, -0.006525, -0.005104, -0.004350
0.100000, -0.005948, -0.005482, -0.004217
0.120000, -0.005881, -0.005260, -0.004283
0.140000, -0.005881, -0.005615, -0.004084
0.160000, -0.006569, -0.005659, -0.004461
0.180000, -0.005992, -0.005992, -0.004350
0.200000, -0.006014, -0.005593, -0.004195
0.220000, -0.005926, -0.005548, -0.004483
0.240000, -0.006125, -0.005460, -0.004283
0.260000, -0.006836, -0.005282, -0.004261
0.280000, -0.006325, -0.005415, -0.003839
0.300000, -0.006458, -0.005460, -0.003728
0.320000, -0.006436, -0.005460, -0.003950
0.340000, -0.006525, -0.005193, -0.004439
0.360000, -0.006148, -0.005548, -0.003684
0.380000, -0.006081, -0.004883, -0.003862
0.400000, -0.006636, -0.005215, -0.004306
0.420000, -0.005792, -0.005926, -0.004195
0.440000, -0.006281, -0.005770, -0.004550
0.460000, -0.006281, -0.005193, -0.004239
0.480000, -0.005748, -0.005415, -0.003773
0.500000, -0.005970, -0.005504, -0.004439
0.520000, -0.006436, -0.005681, -0.004416
0.540000, -0.006125, -0.005548, -0.004195
0.560000, -0.005482, -0.005260, -0.004372
0.580000, -0.006458, -0.005326, -0.004128
0.600000, -0.006014, -0.005215, -0.004061
0.620000, -0.006259, -0.005504, -0.003906
0.640000, -0.006547, -0.005060, -0.004239
0.660000, -0.006081, -0.005548, -0.004061
0.680000, -0.006636, -0.005393, -0.004416
0.700000, -0.005637, -0.005593, -0.004017
0.720000, -0.006192, -0.005770, -0.004195
0.740000, -0.006325, -0.005482, -0.004084
0.760000, -0.005881, -0.005482, -0.004328
0.780000, -0.005681, -0.005282, -0.004128
0.800000, -0.006014, -0.005637, -0.003906
0.820000, -0.006281, -0.005371, -0.003950
0.840000, -0.006281, -0.004949, -0.004594
0.860000, -0.006369, -0.005082, -0.004394
0.880000, -0.005748, -0.005926, -0.003995
0.900000, -0.005948, -0.005193, -0.003862
0.920000, -0.006392, -0.005127, -0.003817
0.940000, -0.006347, -0.005038, -0.004172
0.960000, -0.005548, -0.005260, -0.003684
0.980000, -0.006014, -0.005504, -0.005104
1.000000, -0.006458, -0.005238, -0.003884
1.020000, -0.006369, -0.006170, -0.004483
1.040000, -0.006037, -0.005504, -0.004217
1.060000, -0.005926, -0.005282, -0.003950
1.080000, -0.005859, -0.005393, -0.003884
1.100000, -0.006259, -0.005104, -0.004350
1.120000, -0.005970, -0.004860, -0.003307
1.140000, -0.006059, -0.005437, -0.003995
1.159999, -0.005792, -0.005171, -0.004616
1.179999, -0.006236, -0.005171, -0.003884
1.199999, -0.006414, -0.004550, -0.003995
1.219999, -0.006103, -0.004994, -0.004217
1.239999, -0.006037, -0.005460, -0.004039
1.259999, -0.006059, -0.004994, -0.004128
1.279999, -0.006414, -0.005149, -0.004461
1.299999, -0.006347, -0.005593, -0.004106
1.319999, -0.006037, -0.005593, -0.003618
1.339999, -0.006081, -0.004949, -0.004017
1.359999, -0.006369, -0.005193, -0.003684
1.379999, -0.005770, -0.005016, -0.004195
1.399999, -0.006458, -0.005371, -0.004128
1.419999, -0.006347, -0.005104, -0.004394
1.439999, -0.006525, -0.005127, -0.004084
1.459999, -0.006414, -0.005193, -0.004084
1.479999, -0.006214, -0.005238, -0.004239
1.499999, -0.006059, -0.005104, -0.004416
1.519999, -0.006614, -0.004927, -0.003684
1.539999, -0.006192, -0.005238, -0.003484
1.559999, -0.006037, -0.005282, -0.003662
1.579999, -0.006414, -0.005371, -0.003196
1.599999, -0.006969, -0.005704, -0.006014
1.619999, -0.005571, -0.003640, -0.002663
1.639999, -0.006680, -0.006392, -0.004017
1.659999, -0.005992, -0.004328, -0.005304
1.679999, -0.005992, -0.005948, -0.003640
1.699999, -0.006525, -0.005260, -0.003151
1.719999, -0.005970, -0.005526, -0.004661
1.739999, -0.005881, -0.005437, -0.003262
1.759999, -0.006392, -0.005326, -0.003817
1.779999, -0.005859, -0.004905, -0.003507
1.799999, -0.006103, -0.006192, -0.004683
1.819999, -0.005637, -0.005016, -0.001953
1.839999, -0.006436, -0.005748, -0.004727
1.859999, -0.005970, -0.005104, -0.003418
1.879999, -0.006014, -0.005748, -0.003884
1.899999, -0.006214, -0.005349, -0.003662
1.919999, -0.006281, -0.004527, -0.004350
1.939999, -0.006014, -0.005016, -0.001731
1.959999, -0.006769, -0.005371, -0.003728
1.979999, -0.006369, -0.004994, -0.004705
1.999999, -0.005948, -0.004749, -0.002375
2.019999, -0.006170, -0.005437, -0.002930
2.039999, -0.004838, -0.005681, -0.005881
2.059999, -0.004927, -0.001420, -0.005903
2.079999, -0.005260, -0.000333, -0.007745
2.099999, -0.008433, 0.000577, 0.001154
2.119999, -0.008611, -0.022349, -0.000222
2.139999, -0.004172, 0.001620, -0.003973
2.159999, -0.006369, -0.007879, -0.003928
2.179999, -0.006392, -0.005792, -0.005260
2.199999, -0.004328, 0.011052, -0.016423
2.219999, -0.000888, 0.025988, -0.019708
2.239999, -0.006547, 0.000111, -0.004905
2.259999, -0.009588, -0.017533, 0.006947
2.279999, -0.009188, -0.023059, 0.006259
2.299999, -0.008212, -0.011252, 0.001243
2.319999, -0.007213, -0.003040, -0.003862
2.339998, -0.007679, -0.003640, -0.002641
2.359998, -0.006192, 0.007146, -0.008034
2.379998, -0.004328, 0.023836, -0.019064
2.399998, -0.003884, 0.066469, -0.045763
2.419998, -0.000022, 0.189331, -0.114362
2.439998, -0.000488, 0.348924, -0.199385
2.459998, 0.019419, 0.432104, -0.172598
2.479998, -0.084113, 0.434901, -0.311395
2.499998, -0.203646, 0.383079, -0.529267
2.519998, -0.245569, 0.381992, -0.725189
2.539998, -0.258353, 0.458115, -0.887023
2.559998, -0.268384, 0.582841, -1.050499
2.579998, -0.287492, 0.700422, -1.198041
2.599998, -0.319074, 0.782115, -1.325652
2.619998, -0.352119, 0.928392, -1.580299
2.639998, -0.379306, 0.960927, -1.692464
2.659998, -0.369475, 0.964500, -1.780105
2.679998, -0.395752, 1.007799, -1.843090
2.699998, -0.464329, 1.062617, -1.854852
2.719998, -0.499394, 1.106404, -1.877245
2.739998, -0.509648, 1.130728, -1.894334
2.759998, -0.529111, 1.149570, -1.889163
2.779998, -0.560648, 1.151612, -1.845753
2.799998, -0.600796, 1.140848, -1.775289
2.819998, -0.640544, 1.114838, -1.679481
2.839998, -0.680980, 1.082347, -1.563743
2.859998, -0.720906, 1.051720, -1.437995
2.879998, -0.760632, 1.022003, -1.300529
2.899998, -0.781694, 0.991487, -1.168368
2.919998, -0.768067, 0.938312, -1.046638
2.939998, -0.726410, 0.874151, -0.949808
2.959998, -0.633420, 0.799825, -0.892993
2.979998, -0.507828, 0.693564, -0.831673
2.999998, -0.401078, 0.585149, -0.743011
3.019998, -0.359643, 0.508538, -0.624232
