t, tm1, tm2, tm3
0.000000, 0.868187, -3.750383, 1.759116
0.020000, 0.866657, -3.744820, 1.756104
0.040000, 0.867082, -3.744809, 1.754311
0.060000, 0.864382, -3.745896, 1.753710
0.080000, 0.865451, -3.747105, 1.756533
0.100000, 0.865728, -3.745411, 1.755806
0.120000, 0.867246, -3.746030, 1.756471
0.140000, 0.865829, -3.745017, 1.756733
0.160000, 0.865231, -3.746027, 1.754492
0.180000, 0.865374, -3.744023, 1.755651
0.200000, 0.868384, -3.742799, 1.757969
0.220000, 0.866860, -3.742954, 1.758536
0.240000, 0.866594, -3.742409, 1.757610
0.260000, 0.866585, -3.742538, 1.757697
0.280000, 0.866567, -3.742991, 1.758739
0.300000, 0.866481, -3.743278, 1.758970
0.320000, 0.866224, -3.741094, 1.757512
0.340000, 0.866749, -3.743795, 1.759121
0.360000, 0.866279, -3.742744, 1.758010
0.380000, 0.865876, -3.742742, 1.758260
0.400000, 0.866507, -3.743882, 1.759325
0.420000, 0.866024, -3.742988, 1.758319
0.440000, 0.866828, -3.742888, 1.759752
0.460000, 0.865950, -3.742810, 1.758255
0.480000, 0.866037, -3.743574, 1.759426
0.500000, 0.866083, -3.743808, 1.759541
0.520000, 0.867045, -3.742712, 1.757987
0.540000, 0.862041, -3.747311, 1.756781
0.560000, 0.866495, -3.743974, 1.758625
0.580000, 0.867444, -3.742792, 1.759783
0.600000, 0.865691, -3.742303, 1.759338
0.620000, 0.865744, -3.744009, 1.759877
0.640000, 0.867254, -3.742852, 1.759938
0.660000, 0.866727, -3.742844, 1.761020
0.680000, 0.864651, -3.743941, 1.758517
0.700000, 0.865995, -3.745019, 1.761096
0.720000, 0.866415, -3.744135, 1.760772
0.740000, 0.865551, -3.744404, 1.760236
0.760000, 0.866273, -3.745107, 1.759455
0.780000, 0.866752, -3.743023, 1.761116
0.800000, 0.866177, -3.743831, 1.760730
0.820000, 0.866066, -3.743399, 1.760535
0.840000, 0.865664, -3.744398, 1.760161
0.860000, 0.864990, -3.744592, 1.759462
0.880000, 0.866574, -3.743516, 1.758772
0.900000, 0.865443, -3.744097, 1.759349
0.920000, 0.864635, -3.743434, 1.759451
0.940000, 0.865496, -3.743526, 1.760965
0.960000, 0.865751, -3.743824, 1.760991
0.980000, 0.865449, -3.744639, 1.760443
1.000000, 0.865844, -3.743953, 1.761012
1.020000, 0.866020, -3.743253, 1.758954
1.040000, 0.866314, -3.743203, 1.761498
1.060000, 0.865202, -3.744484, 1.760500
1.080000, 0.864784, -3.744022, 1.759717
1.100000, 0.864614, -3.743762, 1.759665
1.120000, 0.863920, -3.744545, 1.759340
1.140000, 0.865745, -3.744466, 1.761388
1.159999, 0.865646, -3.742791, 1.760898
1.179999, 0.864682, -3.744771, 1.760998
1.199999, 0.865176, -3.744020, 1.761468
1.219999, 0.865775, -3.743507, 1.762016
1.239999, 0.864495, -3.744715, 1.761079
1.259999, 0.864567, -3.744680, 1.761013
1.279999, 0.865380, -3.745246, 1.760096
1.299999, 0.864622, -3.743488, 1.760725
1.319999, 0.863879, -3.743618, 1.759274
1.339999, 0.863741, -3.743906, 1.760290
1.359999, 0.864250, -3.744761, 1.761258
1.379999, 0.864366, -3.745237, 1.761480
1.399999, 0.865799, -3.741038, 1.761442
1.419999, 0.863964, -3.744450, 1.760489
1.439999, 0.865741, -3.744726, 1.763542
1.459999, 0.866080, -3.743542, 1.763085
1.479999, 0.863335, -3.744923, 1.759935
1.499999, 0.864321, -3.745255, 1.761517
1.519999, 0.864424, -3.746215, 1.760044
1.539999, 0.864534, -3.744097, 1.761154
1.559999, 0.863108, -3.744999, 1.760119
1.579999, 0.863757, -3.745937, 1.761051
1.599999, 0.864925, -3.745016, 1.762234
1.619999, 0.863791, -3.746289, 1.761244
1.639999, 0.863365, -3.747011, 1.760717
1.659999, 0.863827, -3.746158, 1.761144
1.679999, 0.864411, -3.744305, 1.761357
1.699999, 0.865501, -3.744498, 1.762793
1.719999, 0.864728, -3.744368, 1.761201
1.739999, 0.864739, -3.745727, 1.761549
1.759999, 0.863929, -3.745635, 1.759239
1.779999, 0.864149, -3.744951, 1.760680
1.799999, 0.866253, -3.743925, 1.763211
1.819999, 0.863971, -3.745520, 1.761895
1.839999, 0.864306, -3.746272, 1.760925
1.859999, 0.863737, -3.745868, 1.761011
1.879999, 0.865128, -3.745022, 1.761360
1.899999, 0.865372, -3.744028, 1.762584
1.919999, 0.865326, -3.745773, 1.763206
1.939999, 0.863846, -3.744678, 1.760698
1.959999, 0.865741, -3.744275, 1.762511
1.979999, 0.864120, -3.747715, 1.762672
1.999999, 0.865988, -3.743898, 1.761359
2.019999, 0.863008, -3.747451, 1.761208
2.039999, 0.861485, -3.747605, 1.759774
2.059999, 0.864991, -3.747194, 1.763806
2.079999, 0.863617, -3.744530, 1.760749
2.099999, 0.861033, -3.742082, 1.761595
2.119999, 0.859132, -3.735966, 1.760247
2.139999, 0.861997, -3.742030, 1.762206
2.159999, 0.862711, -3.744192, 1.763845
2.179999, 0.863880, -3.744386, 1.763726
2.199999, 0.864316, -3.748229, 1.765339
2.219999, 0.864350, -3.741331, 1.759099
2.239999, 0.856505, -3.713560, 1.745655
2.259999, 0.842106, -3.664578, 1.728227
2.279999, 0.821681, -3.640734, 1.721734
2.299999, 0.827923, -3.643145, 1.719862
2.319999, 0.825351, -3.627288, 1.711255
2.339998, 0.812076, -3.567455, 1.684719
2.359998, 0.787246, -3.505863, 1.660976
2.379998, 0.744944, -3.413821, 1.633770
2.399998, 0.700387, -3.332146, 1.610430
2.419998, 0.650753, -3.213789, 1.568801
2.439998, 0.566406, -3.045315, 1.518708
2.459998, 0.479498, -2.855885, 1.456561
2.479998, 0.398434, -2.663105, 1.388968
2.499998, 0.321006, -2.459591, 1.309182
2.519998, 0.252016, -2.265917, 1.237460
2.539998, 0.198033, -2.080337, 1.153135
2.559998, 0.173215, -1.916526, 1.070084
2.579998, 0.164252, -1.763688, 0.981924
2.599998, 0.164230, -1.616733, 0.890573
2.619998, 0.167079, -1.474142, 0.802553
2.639998, 0.173149, -1.339975, 0.715678
2.659998, 0.187727, -1.213051, 0.629963
2.679998, 0.203131, -1.102892, 0.552758
2.699998, 0.213238, -1.003505, 0.484186
2.719998, 0.214306, -0.890161, 0.413164
2.739998, 0.201409, -0.763587, 0.344969
2.759998, 0.179010, -0.628962, 0.272705
2.779998, 0.171438, -0.510232, 0.206994
2.799998, 0.180093, -0.421463, 0.146194
2.819998, 0.201730, -0.345087, 0.087155
2.839998, 0.223182, -0.278731, 0.033144
2.859998, 0.245899, -0.216647, -0.015315
2.879998, 0.265967, -0.165356, -0.064144
2.899998, 0.290635, -0.119901, -0.105301
2.919998, 0.304267, -0.077623, -0.139692
2.939998, 0.309858, -0.038125, -0.171389
2.959998, 0.320395, -0.002572, -0.195251
2.979998, 0.336929, 0.020142, -0.220633
2.999998, 0.361979, 0.032930, -0.245167
3.019998, 0.389843, 0.037658, -0.266023
3.039998, 0.404225, 0.045547, -0.277727
3.059998, 0.398736, 0.062058, -0.285189
3.079998, 0.380540, 0.079256, -0.284944
3.099998, 0.361819, 0.095186, -0.281400
3.119998, 0.345311, 0.103996, -0.276565
3.139998, 0.334454, 0.107853, -0.271428
3.159998, 0.335565, 0.103609, -0.270230
3.179998, 0.352009, 0.088104, -0.268099
3.199998, 0.372117, 0.065287, -0.270980
3.219998, 0.394196, 0.039877, -0.266589
3.239998, 0.409123, 0.016220, -0.262855
3.259998, 0.416504, 0.001528, -0.258439
3.279998, 0.410574, 0.011556, -0.277606
3.299998, 0.416589, -0.010062, -0.252431
3.319998, 0.410068, -0.008757, -0.248797
3.339998, 0.394137, -0.005805, -0.243041
3.359998, 0.374067, 0.009357, -0.238601
3.379997, 0.349919, 0.026386, -0.234203
3.399997, 0.329043, 0.040755, -0.227438
3.419997, 0.311986, 0.043065, -0.221345
3.439997, 0.297101, 0.047048, -0.214196
