t, phi2, phi3
0.000000, -0.572663, 0.767268
0.020000, -0.572702, 0.767319
0.040000, -0.572749, 0.767308
0.060000, -0.572810, 0.767302
0.080000, -0.572852, 0.767345
0.100000, -0.572875, 0.767349
0.120000, -0.572909, 0.767344
0.140000, -0.572925, 0.767342
0.160000, -0.572953, 0.767329
0.180000, -0.573011, 0.767316
0.200000, -0.573067, 0.767248
0.220000, -0.573136, 0.767271
0.240000, -0.573216, 0.767342
0.260000, -0.573305, 0.767296
0.280000, -0.573312, 0.767274
0.300000, -0.573326, 0.767346
0.320000, -0.573367, 0.767392
0.340000, -0.573367, 0.767286
0.360000, -0.573481, 0.767377
0.380000, -0.573548, 0.767335
0.400000, -0.573604, 0.767319
0.420000, -0.573614, 0.767351
0.440000, -0.573619, 0.767427
0.460000, -0.573643, 0.767478
0.480000, -0.573716, 0.767543
0.500000, -0.573783, 0.767560
0.520000, -0.573902, 0.767515
0.540000, -0.574114, 0.767502
0.560000, -0.574281, 0.767499
0.580000, -0.574527, 0.767467
0.600000, -0.574568, 0.767411
0.620000, -0.574418, 0.767498
0.640000, -0.574216, 0.767558
0.660000, -0.573779, 0.767419
0.680000, -0.573471, 0.767293
0.700000, -0.573200, 0.767008
0.720000, -0.573229, 0.767151
0.740000, -0.573214, 0.767111
0.760000, -0.573135, 0.767106
0.780000, -0.573251, 0.767220
0.800000, -0.573058, 0.767229
0.820000, -0.573141, 0.767127
0.840000, -0.572960, 0.767175
0.860000, -0.573104, 0.767185
0.880000, -0.572933, 0.767209
0.900000, -0.573030, 0.767168
0.920000, -0.572930, 0.767228
0.940000, -0.573014, 0.767259
0.960000, -0.572987, 0.767261
0.980000, -0.573003, 0.767312
1.000000, -0.572987, 0.767234
1.020000, -0.572977, 0.767296
1.040000, -0.572998, 0.767304
1.060000, -0.572958, 0.767357
1.080000, -0.572964, 0.767324
1.100000, -0.572936, 0.767382
1.120000, -0.572954, 0.767381
1.140000, -0.572955, 0.767400
1.159999, -0.572939, 0.767449
1.179999, -0.572946, 0.767426
1.199999, -0.572919, 0.767483
1.219999, -0.572938, 0.767451
1.239999, -0.572935, 0.767532
1.259999, -0.572944, 0.767470
1.279999, -0.572915, 0.767547
1.299999, -0.572950, 0.767516
1.319999, -0.572923, 0.767597
1.339999, -0.572928, 0.767565
1.359999, -0.572891, 0.767601
1.379999, -0.572915, 0.767603
1.399999, -0.572891, 0.767593
1.419999, -0.572898, 0.767598
1.439999, -0.572890, 0.767584
1.459999, -0.572881, 0.767602
1.479999, -0.572890, 0.767599
1.499999, -0.572868, 0.767619
1.519999, -0.572884, 0.767623
1.539999, -0.572863, 0.767653
1.559999, -0.572860, 0.767664
1.579999, -0.572857, 0.767679
1.599999, -0.572860, 0.767693
1.619999, -0.572859, 0.767686
1.639999, -0.572874, 0.767709
1.659999, -0.572859, 0.767684
1.679999, -0.572857, 0.767708
1.699999, -0.572859, 0.767704
1.719999, -0.572847, 0.767721
1.739999, -0.572858, 0.767693
1.759999, -0.572845, 0.767733
1.779999, -0.572828, 0.767719
1.799999, -0.572831, 0.767759
1.819999, -0.572824, 0.767755
1.839999, -0.572827, 0.767746
1.859999, -0.572812, 0.767719
1.879999, -0.572808, 0.767715
1.899999, -0.572799, 0.767745
1.919999, -0.572782, 0.767752
1.939999, -0.572785, 0.767759
1.959999, -0.572798, 0.767742
1.979999, -0.572792, 0.767768
1.999999, -0.572758, 0.767775
2.019999, -0.572748, 0.767809
2.039999, -0.572742, 0.767827
2.059999, -0.572752, 0.767807
2.079999, -0.572725, 0.767807
2.099999, -0.572733, 0.767789
2.119999, -0.572728, 0.767785
2.139999, -0.572739, 0.767798
2.159999, -0.572730, 0.767806
2.179999, -0.572723, 0.767801
2.199999, -0.572696, 0.767826
2.219999, -0.572680, 0.767841
2.239999, -0.572691, 0.767836
2.259999, -0.572686, 0.767851
2.279999, -0.572684, 0.767851
2.299999, -0.572685, 0.767852
2.319999, -0.572662, 0.767882
2.339998, -0.572631, 0.768070
2.359998, -0.572644, 0.767758
2.379998, -0.572620, 0.768064
2.399998, -0.572517, 0.768292
2.419998, -0.572796, 0.767750
2.439998, -0.572473, 0.768438
2.459998, -0.572821, 0.767806
2.479998, -0.572540, 0.768268
2.499998, -0.572667, 0.768082
2.519998, -0.572551, 0.768294
2.539998, -0.572668, 0.768112
2.559998, -0.572505, 0.768264
2.579998, -0.572628, 0.768240
2.599998, -0.572594, 0.768171
2.619998, -0.572612, 0.768286
2.639998, -0.572637, 0.768225
2.659998, -0.572617, 0.768266
2.679998, -0.572663, 0.768221
2.699998, -0.572579, 0.768255
2.719998, -0.572713, 0.768218
2.739998, -0.572614, 0.768223
2.759998, -0.572710, 0.768185
2.779998, -0.572632, 0.768206
2.799998, -0.572704, 0.768207
2.819998, -0.572654, 0.768183
2.839998, -0.572689, 0.768220
2.859998, -0.572662, 0.768148
2.879998, -0.572651, 0.768222
2.899998, -0.572672, 0.768146
2.919998, -0.572649, 0.768244
2.939998, -0.572676, 0.768162
2.959998, -0.572640, 0.768242
2.979998, -0.572668, 0.768209
2.999998, -0.572656, 0.768222
3.019998, -0.572674, 0.768213
3.039998, -0.572673, 0.768203
3.059998, -0.572664, 0.768229
3.079998, -0.572662, 0.768171
3.099998, -0.572638, 0.768203
3.119998, -0.572655, 0.768143
3.139998, -0.572633, 0.768198
3.159998, -0.572648, 0.768144
3.179998, -0.572625, 0.768195
3.199998, -0.572657, 0.768138
3.219998, -0.572637, 0.768160
3.239998, -0.572656, 0.768126
3.259998, -0.572628, 0.768173
3.279998, -0.572658, 0.768120
3.299998, -0.572628, 0.768165
3.319998, -0.572600, 0.768233
3.339998, -0.572683, 0.768197
3.359998, -0.572615, 0.768187
3.379997, -0.572578, 0.768246
3.399997, -0.572892, 0.768349
3.419997, -0.573006, 0.768383
3.439997, -0.572996, 0.768537
3.459997, -0.573231, 0.768632
3.479997, -0.573213, 0.768673
3.499997, -0.573208, 0.768546
3.519997, -0.573353, 0.768387
3.539997, -0.572891, 0.768369
3.559997, -0.573179, 0.768467
3.579997, -0.573103, 0.768396
3.599997, -0.573028, 0.768514
3.619997, -0.573302, 0.768702
3.639997, -0.573470, 0.768831
3.659997, -0.573541, 0.768804
3.679997, -0.573637, 0.768867
3.699997, -0.573617, 0.768860
3.719997, -0.573676, 0.768944
3.739997, -0.573295, 0.768805
3.759997, -0.573032, 0.768937
3.779997, -0.573085, 0.769071
3.799997, -0.573138, 0.769161
3.819997, -0.573143, 0.769035
3.839997, -0.572846, 0.769569
3.859997, -0.572388, 0.769624
3.879997, -0.572017, 0.769336
3.899997, -0.571057, 0.769105
3.919997, -0.570102, 0.769455
3.939997, -0.569305, 0.769854
3.959997, -0.568011, 0.770338
3.979997, -0.566628, 0.770730
3.999997, -0.564877, 0.771394
4.019997, -0.563304, 0.772413
4.039997, -0.562059, 0.772983
4.059997, -0.560273, 0.773638
4.079997, -0.558606, 0.774832
4.099997, -0.557341, 0.776108
4.119997, -0.556086, 0.776814
4.139997, -0.555021, 0.777004
4.159997, -0.553610, 0.777593
4.179997, -0.552542, 0.778546
4.199997, -0.551588, 0.779853
4.219997, -0.550322, 0.780653
4.239997, -0.548557, 0.781182
4.259997, -0.546758, 0.783093
4.279997, -0.545279, 0.785787
4.299997, -0.543534, 0.788026
4.319997, -0.541298, 0.790887
4.339997, -0.539823, 0.793743
4.359997, -0.539213, 0.795298
4.379997, -0.539695, 0.794554
4.399997, -0.540776, 0.793946
4.419997, -0.541606, 0.793240
4.439997, -0.542244, 0.792536
4.459997, -0.543342, 0.791936
4.479997, -0.544012, 0.791402
4.499997, -0.544537, 0.790784
4.519997, -0.545234, 0.790362
4.539997, -0.545902, 0.789910
4.559997, -0.546458, 0.789432
4.579997, -0.547034, 0.789014
4.599997, -0.547573, 0.788603
4.619997, -0.548082, 0.788190
4.639997, -0.548578, 0.787806
4.659997, -0.549062, 0.787418
4.679996, -0.549540, 0.787050
4.699996, -0.550012, 0.786703
4.719996, -0.550505, 0.786353
4.739996, -0.550977, 0.786002
4.759996, -0.551454, 0.785628
4.779996, -0.551869, 0.785274
4.799996, -0.552047, 0.784675
4.819996, -0.552253, 0.784253
4.839996, -0.552740, 0.784083
4.859996, -0.553421, 0.783971
4.879996, -0.554092, 0.783789
4.899996, -0.554613, 0.783575
4.919996, -0.555076, 0.783324
4.939996, -0.555498, 0.783009
4.959996, -0.555701, 0.782565
4.979996, -0.555685, 0.782069
4.999996, -0.555825, 0.781717
5.019996, -0.556080, 0.781348
5.039996, -0.556322, 0.780888
5.059996, -0.556666, 0.780404
5.079996, -0.556940, 0.779614
5.099996, -0.556881, 0.778611
5.119996, -0.557773, 0.777094
5.139996, -0.556532, 0.769979
5.159996, -0.549867, 0.759548
5.179996, -0.543652, 0.753088
5.199996, -0.537011, 0.745623
5.219996, -0.529911, 0.737665
5.239996, -0.522223, 0.729194
5.259996, -0.513292, 0.719528
5.279996, -0.502648, 0.707573
