t, uk1, uk2, uk3)
0.000000, -0.006214, -0.006991, -0.004217
0.020000, -0.005704, -0.007834, -0.005326
0.040000, -0.005637, -0.007435, -0.006658
0.060000, -0.006037, -0.007768, -0.005615
0.080000, -0.005970, -0.007302, -0.004816
0.100000, -0.005770, -0.006880, -0.006525
0.120000, -0.005726, -0.007856, -0.006880
0.140000, -0.006192, -0.007435, -0.006281
0.160000, -0.005726, -0.008078, -0.007168
0.180000, -0.005415, -0.008633, -0.008189
0.200000, -0.005526, -0.009166, -0.008256
0.220000, -0.005149, -0.009721, -0.003418
0.240000, -0.004638, -0.008855, -0.003662
0.260000, -0.005415, -0.007257, -0.007124
0.280000, -0.005526, -0.006236, -0.004439
0.300000, -0.005349, -0.007479, -0.002552
0.320000, -0.005016, -0.007568, -0.005837
0.340000, -0.003884, -0.005926, -0.010764
0.360000, -0.005770, -0.013960, -0.001043
0.380000, -0.004772, -0.005504, -0.005948
0.400000, -0.005792, -0.006591, -0.003751
0.420000, -0.006281, -0.006125, -0.002508
0.440000, -0.005903, -0.006569, -0.002819
0.460000, -0.005637, -0.008034, -0.003529
0.480000, -0.005082, -0.010098, -0.005415
0.500000, -0.005526, -0.013116, -0.009277
0.520000, -0.004616, -0.015757, -0.009832
0.540000, -0.004550, -0.017089, -0.008900
0.560000, -0.005748, -0.016112, -0.008078
0.580000, -0.005548, -0.011141, -0.005770
0.600000, -0.005193, 0.001221, 0.001620
0.620000, -0.005726, 0.008389, 0.008944
0.640000, -0.007435, 0.018243, 0.007435
0.660000, -0.006192, 0.016601, -0.009765
0.680000, -0.007013, 0.012029, -0.006614
0.700000, -0.005548, 0.003551, -0.008389
0.720000, -0.006658, -0.006680, -0.001953
0.740000, -0.005815, -0.001931, -0.006059
0.760000, -0.006369, -0.005770, -0.004261
0.780000, -0.006458, -0.006480, -0.003795
0.800000, -0.006125, -0.002641, -0.005082
0.820000, -0.006480, -0.005792, -0.003307
0.840000, -0.005127, -0.004927, -0.005215
0.860000, -0.006547, -0.006702, -0.002020
0.880000, -0.005571, -0.003151, -0.006192
0.900000, -0.006547, -0.006125, -0.001243
0.920000, -0.006037, -0.005215, -0.007435
0.940000, -0.006325, -0.005238, 0.000000
0.960000, -0.006014, -0.005926, -0.007168
0.980000, -0.006325, -0.004394, -0.002352
1.000000, -0.006059, -0.005815, -0.006148
1.020000, -0.006236, -0.005437, -0.001731
1.040000, -0.006259, -0.006170, -0.004550
1.060000, -0.006281, -0.004616, -0.003063
1.080000, -0.006525, -0.006503, -0.003862
1.100000, -0.005637, -0.004994, -0.004039
1.120000, -0.005460, -0.005282, -0.003618
1.140000, -0.006236, -0.006037, -0.004727
1.159999, -0.006148, -0.005082, -0.002708
1.179999, -0.006880, -0.006591, -0.005016
1.199999, -0.006414, -0.004594, -0.002841
1.219999, -0.006214, -0.006702, -0.004572
1.239999, -0.005726, -0.005060, -0.002796
1.259999, -0.006037, -0.005948, -0.004927
1.279999, -0.005770, -0.004949, -0.003285
1.299999, -0.006547, -0.006369, -0.003751
1.319999, -0.006325, -0.005460, -0.004128
1.339999, -0.006170, -0.005593, -0.003462
1.359999, -0.006702, -0.005770, -0.003928
1.379999, -0.006059, -0.005282, -0.003573
1.399999, -0.006369, -0.004883, -0.004905
1.419999, -0.006303, -0.005526, -0.003085
1.439999, -0.005992, -0.004994, -0.003973
1.459999, -0.005704, -0.005770, -0.003795
1.479999, -0.006037, -0.005482, -0.003706
1.499999, -0.006503, -0.005371, -0.003928
1.519999, -0.005970, -0.005726, -0.003684
1.539999, -0.006192, -0.005659, -0.004372
1.559999, -0.006125, -0.005215, -0.004017
1.579999, -0.005948, -0.005704, -0.004061
1.599999, -0.006259, -0.005837, -0.003440
1.619999, -0.005948, -0.005748, -0.004838
