t, x1_compfilter, x1_phiobs, x1_fullobs
0.000000, -0.761787, -0.000427, -0.003710
0.040000, -0.761908, -0.000621, -0.006812
0.060000, -0.762021, -0.000662, -0.009619
0.080000, -0.762148, -0.000796, -0.011797
0.100000, -0.762254, -0.000765, -0.013808
0.120000, -0.762358, -0.000757, -0.015490
0.140000, -0.762463, -0.000740, -0.016884
0.160000, -0.762567, -0.000913, -0.017919
0.180000, -0.762673, -0.000856, -0.018946
0.200000, -0.762772, -0.000827, -0.019800
0.220000, -0.762871, -0.000943, -0.020353
0.240000, -0.762942, -0.000867, -0.020983
0.260000, -0.763043, -0.000792, -0.021484
0.280000, -0.763150, -0.000927, -0.021766
0.300000, -0.763237, -0.001002, -0.022019
0.320000, -0.763359, -0.001031, -0.022236
0.340000, -0.763441, -0.001088, -0.022452
0.360000, -0.763514, -0.001032, -0.022594
0.380000, -0.763621, -0.001037, -0.022742
0.400000, -0.763704, -0.000880, -0.023014
0.420000, -0.763759, -0.000785, -0.023222
0.440000, -0.763840, -0.000738, -0.023386
0.460000, -0.763927, -0.000751, -0.023534
0.480000, -0.764015, -0.000916, -0.023507
0.500000, -0.764072, -0.001008, -0.023497
0.520000, -0.764149, -0.000901, -0.023641
0.540000, -0.764211, -0.001023, -0.023622
0.560000, -0.764280, -0.001032, -0.023583
0.600000, -0.764353, -0.000879, -0.023703
0.620000, -0.764417, -0.000970, -0.023660
0.640000, -0.764494, -0.001015, -0.023631
0.660000, -0.764549, -0.001010, -0.023598
0.680000, -0.764606, -0.000868, -0.023731
0.700000, -0.764658, -0.000923, -0.023673
0.720000, -0.764709, -0.000801, -0.023777
0.740000, -0.764783, -0.000907, -0.023718
0.760000, -0.764811, -0.000825, -0.023829
0.780000, -0.764861, -0.000758, -0.023896
0.800000, -0.764914, -0.000905, -0.023815
0.820000, -0.764970, -0.000709, -0.024061
0.840000, -0.765022, -0.000916, -0.023952
0.860000, -0.765093, -0.000985, -0.023849
0.880000, -0.765137, -0.001043, -0.023787
0.900000, -0.765207, -0.001007, -0.023707
0.920000, -0.765267, -0.001008, -0.023663
0.940000, -0.765290, -0.000921, -0.023815
0.960000, -0.765342, -0.000798, -0.023885
0.980000, -0.765398, -0.000903, -0.023799
1.000000, -0.765456, -0.001072, -0.023570
1.020000, -0.765504, -0.001025, -0.023560
1.040000, -0.765576, -0.000850, -0.023704
1.060000, -0.765627, -0.000710, -0.024014
1.080000, -0.765671, -0.000776, -0.024087
1.100000, -0.765697, -0.000815, -0.024138
1.120000, -0.765720, -0.000937, -0.023999
1.140000, -0.765767, -0.000987, -0.023886
1.159999, -0.765796, -0.001030, -0.023814
1.179999, -0.765829, -0.000983, -0.023725
1.199999, -0.765869, -0.000964, -0.023664
1.219999, -0.765920, -0.000982, -0.023638
1.239999, -0.765951, -0.000984, -0.023618
1.259999, -0.765994, -0.000830, -0.023750
1.279999, -0.766047, -0.000929, -0.023719
1.299999, -0.766090, -0.000989, -0.023703
1.319999, -0.766118, -0.000818, -0.023811
1.339999, -0.766144, -0.000898, -0.023755
1.359999, -0.766164, -0.000953, -0.023721
1.379999, -0.766197, -0.000942, -0.023677
1.399999, -0.766207, -0.000822, -0.023812
1.419999, -0.766236, -0.000881, -0.023750
1.439999, -0.766254, -0.000932, -0.023715
1.459999, -0.766276, -0.000924, -0.023673
1.479999, -0.766297, -0.000809, -0.023811
1.499999, -0.766315, -0.000878, -0.023755
1.519999, -0.766341, -0.000906, -0.023710
1.539999, -0.766345, -0.000827, -0.023855
1.559999, -0.766389, -0.000749, -0.023941
1.579999, -0.766413, -0.000867, -0.023859
1.599999, -0.766442, -0.000944, -0.023807
1.619999, -0.766451, -0.000586, -0.024236
1.639999, -0.766472, -0.000679, -0.024241
1.659999, -0.766484, -0.000878, -0.024091
1.679999, -0.766498, -0.000986, -0.023979
1.699999, -0.766524, -0.000874, -0.024032
1.719999, -0.766559, -0.000832, -0.024078
1.739999, -0.766564, -0.000865, -0.024139
1.759999, -0.766595, -0.000838, -0.024157
1.779999, -0.766610, -0.000854, -0.024182
1.799999, -0.766625, -0.000949, -0.024015
1.819999, -0.766626, -0.000863, -0.024044
1.839999, -0.766649, -0.000861, -0.024086
1.859999, -0.766663, -0.000862, -0.024116
1.879999, -0.766692, -0.000942, -0.023949
1.899999, -0.766704, -0.001029, -0.023851
1.919999, -0.766706, -0.001052, -0.023768
1.939999, -0.766723, -0.000890, -0.023843
1.959999, -0.766753, -0.000949, -0.023750
1.979999, -0.766778, -0.000847, -0.023837
1.999999, -0.766800, -0.000969, -0.023770
2.019999, -0.766820, -0.000880, -0.023867
2.039999, -0.766834, -0.000864, -0.023956
2.059999, -0.766829, -0.000983, -0.023862
2.079999, -0.766853, -0.000963, -0.023748
2.099999, -0.766870, -0.000849, -0.023837
2.119999, -0.766881, -0.001083, -0.023608
2.139999, -0.766880, -0.000995, -0.023557
2.159999, -0.766902, -0.000847, -0.023695
2.179999, -0.766915, -0.000926, -0.023658
2.199999, -0.766922, -0.000688, -0.023935
2.219999, -0.766937, -0.000869, -0.023847
2.239999, -0.766940, -0.000804, -0.023923
2.259999, -0.766913, -0.000781, -0.023982
2.279999, -0.766936, -0.000895, -0.023863
2.299999, -0.766958, -0.001013, -0.023808
2.319999, -0.766990, -0.000921, -0.023914
2.339998, -0.767007, -0.000991, -0.023830
2.359998, -0.767042, -0.001018, -0.023765
2.379998, -0.767049, -0.000900, -0.023876
2.399998, -0.767052, -0.000970, -0.023802
2.419998, -0.767068, -0.000960, -0.023723
2.439998, -0.767077, -0.000852, -0.023839
2.459998, -0.767083, -0.000648, -0.024072
2.479998, -0.767104, -0.000713, -0.024103
2.499998, -0.767130, -0.000628, -0.024282
2.519998, -0.767152, -0.000782, -0.024287
2.539998, -0.767161, -0.000969, -0.024115
2.559998, -0.767154, -0.001061, -0.023983
2.579998, -0.767180, -0.000925, -0.024014
2.599998, -0.767190, -0.001054, -0.023919
2.619998, -0.767201, -0.001067, -0.023820
2.639998, -0.767225, -0.000930, -0.023900
2.659998, -0.767243, -0.001010, -0.023815
2.679998, -0.767241, -0.001036, -0.023746
2.699998, -0.767248, -0.000879, -0.023833
2.719998, -0.767276, -0.000975, -0.023767
2.739998, -0.767290, -0.000868, -0.023863
2.759998, -0.767293, -0.000958, -0.023785
2.779998, -0.767309, -0.000977, -0.023714
2.799998, -0.767315, -0.000993, -0.023668
2.819998, -0.767338, -0.000995, -0.023635
2.839998, -0.767337, -0.000837, -0.023755
