t, x2_estimate, x2_phiobs
0.000000, -0.006170, -0.001677
0.040000, -0.005681, -0.003236
0.060000, -0.005437, -0.006061
0.080000, -0.005082, -0.006615
0.100000, -0.005659, -0.006951
0.120000, -0.005748, -0.007439
0.140000, -0.005903, -0.006185
0.160000, -0.005615, -0.005220
0.180000, -0.005992, -0.004336
0.200000, -0.005304, -0.003759
0.220000, -0.005371, -0.006443
0.240000, -0.005260, -0.005292
0.260000, -0.005238, -0.004315
0.280000, -0.005349, -0.005208
0.300000, -0.005215, -0.005991
0.320000, -0.005704, -0.004900
0.340000, -0.005437, -0.005881
0.360000, -0.006148, -0.006601
0.380000, -0.005215, -0.005759
0.400000, -0.005815, -0.006438
0.420000, -0.004794, -0.007216
0.440000, -0.005171, -0.007496
0.460000, -0.006014, -0.006167
0.480000, -0.005593, -0.005382
0.500000, -0.005726, -0.006292
0.520000, -0.005615, -0.007096
0.540000, -0.005748, -0.006030
0.560000, -0.005615, -0.008596
0.600000, -0.005815, -0.008968
0.620000, -0.006037, -0.011040
0.640000, -0.005726, -0.009432
0.660000, -0.005992, -0.009695
0.680000, -0.005460, -0.008312
0.700000, -0.005659, -0.006991
0.720000, -0.005637, -0.004289
0.740000, -0.004927, -0.005461
0.760000, -0.005415, -0.006183
0.780000, -0.005326, -0.005263
0.800000, -0.005637, -0.006178
0.820000, -0.005659, -0.007049
0.840000, -0.005415, -0.009474
0.860000, -0.005504, -0.009687
0.880000, -0.005837, -0.009891
0.900000, -0.005193, -0.010177
0.920000, -0.004971, -0.010182
0.940000, -0.005571, -0.010103
0.960000, -0.005326, -0.008555
0.980000, -0.005681, -0.007198
1.000000, -0.005726, -0.007911
1.020000, -0.006081, -0.008519
1.040000, -0.005992, -0.007458
1.060000, -0.005326, -0.006563
1.080000, -0.005460, -0.005601
1.100000, -0.005504, -0.006560
1.120000, -0.005504, -0.005679
1.140000, -0.005615, -0.010046
1.159999, -0.005504, -0.008594
1.179999, -0.005526, -0.009056
1.199999, -0.005837, -0.009446
1.219999, -0.005504, -0.011571
1.239999, -0.005593, -0.011503
1.259999, -0.005415, -0.009780
1.279999, -0.005482, -0.009994
1.299999, -0.005082, -0.010193
1.319999, -0.005704, -0.010214
1.339999, -0.005637, -0.010451
1.359999, -0.005282, -0.010623
1.379999, -0.004971, -0.010638
1.399999, -0.005193, -0.010537
1.419999, -0.005681, -0.012223
1.439999, -0.005504, -0.010392
1.459999, -0.005437, -0.010518
1.479999, -0.005415, -0.008904
1.499999, -0.005171, -0.009268
1.519999, -0.005704, -0.009483
1.539999, -0.005171, -0.009852
1.559999, -0.005482, -0.009968
1.579999, -0.005393, -0.008481
1.599999, -0.005260, -0.005538
1.619999, -0.005349, -0.006470
1.639999, -0.005637, -0.007278
1.659999, -0.005127, -0.006359
1.679999, -0.005482, -0.007125
1.699999, -0.005526, -0.007888
1.719999, -0.005726, -0.008536
1.739999, -0.005215, -0.007450
1.759999, -0.005637, -0.008075
1.779999, -0.004927, -0.008743
1.799999, -0.005571, -0.009041
1.819999, -0.005903, -0.009515
1.839999, -0.005393, -0.010025
1.859999, -0.005437, -0.011957
1.879999, -0.005615, -0.011862
1.899999, -0.005659, -0.011842
1.919999, -0.005304, -0.010144
1.939999, -0.005859, -0.008621
1.959999, -0.005704, -0.009265
1.979999, -0.004949, -0.009745
1.999999, -0.005704, -0.009872
2.019999, -0.005637, -0.010244
2.039999, -0.005371, -0.008835
2.059999, -0.005460, -0.009279
2.079999, -0.005837, -0.009678
2.099999, -0.005881, -0.008449
2.119999, -0.005171, -0.009155
2.139999, -0.005815, -0.009486
2.159999, -0.005571, -0.011682
2.179999, -0.006148, -0.011706
2.199999, -0.005571, -0.011928
2.219999, -0.005881, -0.011903
2.239999, -0.005393, -0.011990
2.259999, -0.005615, -0.013578
2.279999, -0.005215, -0.014955
2.299999, -0.005304, -0.014241
2.319999, -0.005415, -0.013674
2.339998, -0.005104, -0.013240
2.359998, -0.004971, -0.012766
2.379998, -0.005571, -0.010630
2.399998, -0.005193, -0.012474
2.419998, -0.005104, -0.012161
2.439998, -0.005104, -0.011869
2.459998, -0.005881, -0.011626
2.479998, -0.005748, -0.011702
2.499998, -0.005992, -0.011719
2.519998, -0.005593, -0.011821
2.539998, -0.005282, -0.010070
2.559998, -0.005615, -0.008523
2.579998, -0.005038, -0.009070
2.599998, -0.004816, -0.007625
2.619998, -0.005482, -0.008059
2.639998, -0.005948, -0.008657
2.659998, -0.005748, -0.007628
2.679998, -0.005437, -0.008415
2.699998, -0.005326, -0.008958
2.719998, -0.005038, -0.007673
2.739998, -0.005437, -0.008213
2.759998, -0.005593, -0.008803
2.779998, -0.005415, -0.009348
2.799998, -0.005393, -0.009734
2.819998, -0.005615, -0.008350
2.839998, -0.005770, -0.008990
2.859998, -0.005104, -0.009575
2.879998, -0.005238, -0.009820
2.899998, -0.005215, -0.008375
2.919998, -0.005659, -0.008874
2.939998, -0.006148, -0.009446
2.959998, -0.005526, -0.010095
2.979998, -0.005060, -0.010409
2.999998, -0.006059, -0.010499
3.019998, -0.005548, -0.010928
3.039998, -0.005681, -0.012793
3.059998, -0.005903, -0.012674
3.079998, -0.005437, -0.012650
3.099998, -0.006059, -0.010766
3.119998, -0.005770, -0.009439
3.139998, -0.005215, -0.011638
3.159998, -0.005349, -0.011553
3.179998, -0.005238, -0.009834
3.199998, -0.005437, -0.008381
3.219998, -0.005726, -0.008957
3.239998, -0.005260, -0.009538
3.259998, -0.005127, -0.009853
3.279998, -0.005149, -0.010066
3.299998, -0.005881, -0.008553
3.319998, -0.005437, -0.007575
3.339998, -0.005815, -0.006622
3.359998, -0.005748, -0.007676
3.379997, -0.006081, -0.008529
3.399997, -0.006325, -0.009354
3.419997, -0.005615, -0.008432
3.439997, -0.005548, -0.007427
3.459997, -0.005349, -0.006583
3.479997, -0.005571, -0.007520
3.499997, -0.005903, -0.008375
3.519997, -0.005104, -0.009201
3.539997, -0.005881, -0.009597
3.559997, -0.004971, -0.010199
3.579997, -0.005526, -0.010368
3.599997, -0.005193, -0.009007
3.619997, -0.005415, -0.007771
3.639997, -0.004749, -0.008532
3.659997, -0.005349, -0.008922
3.679997, -0.005326, -0.009457
3.699997, -0.005437, -0.009889
3.719997, -0.005393, -0.011977
3.739997, -0.005171, -0.010286
3.759997, -0.005326, -0.010508
3.779997, -0.005593, -0.009050
3.799997, -0.005082, -0.009643
3.819997, -0.005792, -0.009951
3.839997, -0.005482, -0.008763
3.859997, -0.005970, -0.011068
3.879997, -0.006148, -0.009749
3.899997, -0.005815, -0.010427
3.919997, -0.005726, -0.012561
3.939997, -0.005526, -0.010893
3.959997, -0.005171, -0.011143
3.979997, -0.004949, -0.011219
3.999997, -0.005792, -0.009505
4.019997, -0.005748, -0.008397
4.039997, -0.005460, -0.007477
4.059997, -0.005859, -0.008321
