t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, -7625.000000, -14243.000000, 2617.000000, 36.000000, 85.000000, 102.000000
0.020000, -7666.000000, -14262.000000, 2641.000000, 29.000000, 96.000000, 86.000000
0.040000, -7650.000000, -14244.000000, 2632.000000, 39.000000, 93.000000, 99.000000
0.060000, -7664.000000, -14247.000000, 2620.000000, 42.000000, 91.000000, 97.000000
0.080000, -7658.000000, -14230.000000, 2594.000000, 41.000000, 93.000000, 93.000000
0.100000, -7644.000000, -14231.000000, 2608.000000, 43.000000, 92.000000, 87.000000
0.120000, -7643.000000, -14228.000000, 2586.000000, 34.000000, 97.000000, 103.000000
0.140000, -7647.000000, -14253.000000, 2567.000000, 35.000000, 98.000000, 97.000000
0.160000, -7664.000000, -14240.000000, 2647.000000, 27.000000, 95.000000, 95.000000
0.180000, -7661.000000, -14234.000000, 2623.000000, 31.000000, 81.000000, 91.000000
0.200000, -7653.000000, -14236.000000, 2616.000000, 34.000000, 86.000000, 97.000000
0.220000, -7664.000000, -14226.000000, 2614.000000, 37.000000, 78.000000, 87.000000
0.240000, -7670.000000, -14241.000000, 2588.000000, 33.000000, 98.000000, 102.000000
0.260000, -7668.000000, -14254.000000, 2586.000000, 36.000000, 92.000000, 92.000000
0.280000, -7653.000000, -14261.000000, 2592.000000, 42.000000, 99.000000, 98.000000
0.300000, -7657.000000, -14264.000000, 2616.000000, 36.000000, 97.000000, 99.000000
0.320000, -7663.000000, -14241.000000, 2620.000000, 45.000000, 94.000000, 97.000000
0.340000, -7648.000000, -14224.000000, 2613.000000, 38.000000, 90.000000, 98.000000
0.360000, -7634.000000, -14248.000000, 2604.000000, 38.000000, 85.000000, 96.000000
0.380000, -7636.000000, -14256.000000, 2596.000000, 32.000000, 82.000000, 97.000000
0.400000, -7654.000000, -14253.000000, 2607.000000, 30.000000, 90.000000, 98.000000
0.420000, -7650.000000, -14230.000000, 2587.000000, 39.000000, 100.000000, 99.000000
0.440000, -7645.000000, -14241.000000, 2599.000000, 22.000000, 97.000000, 95.000000
0.460000, -7641.000000, -14245.000000, 2627.000000, 41.000000, 94.000000, 103.000000
0.480000, -7637.000000, -14212.000000, 2613.000000, 38.000000, 87.000000, 94.000000
0.500000, -7640.000000, -14236.000000, 2606.000000, 38.000000, 97.000000, 102.000000
0.520000, -7644.000000, -14249.000000, 2616.000000, 45.000000, 88.000000, 95.000000
0.540000, -7642.000000, -14231.000000, 2596.000000, 34.000000, 90.000000, 91.000000
0.560000, -7653.000000, -14231.000000, 2593.000000, 33.000000, 96.000000, 103.000000
0.580000, -7651.000000, -14236.000000, 2594.000000, 43.000000, 92.000000, 108.000000
0.600000, -7658.000000, -14234.000000, 2587.000000, 40.000000, 83.000000, 88.000000
0.620000, -7647.000000, -14228.000000, 2595.000000, 26.000000, 95.000000, 112.000000
0.640000, -7659.000000, -14246.000000, 2584.000000, 35.000000, 79.000000, 90.000000
0.660000, -7649.000000, -14246.000000, 2602.000000, 44.000000, 91.000000, 109.000000
0.680000, -7657.000000, -14241.000000, 2599.000000, 47.000000, 91.000000, 104.000000
0.700000, -7665.000000, -14215.000000, 2608.000000, 29.000000, 89.000000, 96.000000
0.720000, -7665.000000, -14227.000000, 2584.000000, 28.000000, 95.000000, 94.000000
0.740000, -7654.000000, -14217.000000, 2611.000000, 43.000000, 90.000000, 109.000000
0.760000, -7680.000000, -14221.000000, 2600.000000, 35.000000, 86.000000, 101.000000
0.780000, -7647.000000, -14218.000000, 2623.000000, 33.000000, 93.000000, 102.000000
0.800000, -7663.000000, -14246.000000, 2639.000000, 26.000000, 87.000000, 102.000000
0.820000, -7659.000000, -14239.000000, 2619.000000, 34.000000, 87.000000, 106.000000
0.840000, -7664.000000, -14250.000000, 2603.000000, 29.000000, 96.000000, 101.000000
0.860000, -7654.000000, -14232.000000, 2580.000000, 38.000000, 94.000000, 97.000000
0.880000, -7638.000000, -14234.000000, 2578.000000, 45.000000, 84.000000, 92.000000
0.900000, -7645.000000, -14259.000000, 2586.000000, 35.000000, 104.000000, 94.000000
0.920000, -7665.000000, -14216.000000, 2610.000000, 40.000000, 95.000000, 86.000000
0.940000, -7647.000000, -14247.000000, 2595.000000, 37.000000, 104.000000, 95.000000
0.960000, -7655.000000, -14245.000000, 2570.000000, 38.000000, 106.000000, 94.000000
0.980000, -7667.000000, -14216.000000, 2542.000000, 32.000000, 96.000000, 98.000000
1.000000, -7662.000000, -14226.000000, 2590.000000, 31.000000, 84.000000, 106.000000
1.020000, -7648.000000, -14260.000000, 2584.000000, 34.000000, 95.000000, 93.000000
1.040000, -7648.000000, -14237.000000, 2626.000000, 34.000000, 96.000000, 88.000000
1.060000, -7660.000000, -14237.000000, 2624.000000, 42.000000, 96.000000, 97.000000
1.080000, -7646.000000, -14229.000000, 2618.000000, 33.000000, 99.000000, 97.000000
1.100000, -7636.000000, -14243.000000, 2588.000000, 41.000000, 99.000000, 95.000000
1.120000, -7648.000000, -14238.000000, 2616.000000, 40.000000, 88.000000, 88.000000
1.140000, -7653.000000, -14248.000000, 2601.000000, 32.000000, 91.000000, 95.000000
1.159999, -7636.000000, -14261.000000, 2601.000000, 30.000000, 86.000000, 105.000000
1.179999, -7644.000000, -14232.000000, 2577.000000, 44.000000, 93.000000, 95.000000
1.199999, -7656.000000, -14251.000000, 2605.000000, 41.000000, 90.000000, 91.000000
1.219999, -7655.000000, -14230.000000, 2587.000000, 40.000000, 88.000000, 90.000000
1.239999, -7648.000000, -14237.000000, 2592.000000, 30.000000, 92.000000, 100.000000
1.259999, -7647.000000, -14239.000000, 2601.000000, 33.000000, 99.000000, 107.000000
1.279999, -7660.000000, -14250.000000, 2579.000000, 38.000000, 81.000000, 95.000000
1.299999, -7611.000000, -14249.000000, 2552.000000, 28.000000, 91.000000, 92.000000
1.319999, -7642.000000, -14229.000000, 2570.000000, 30.000000, 90.000000, 99.000000
1.339999, -7647.000000, -14233.000000, 2629.000000, 38.000000, 88.000000, 100.000000
1.359999, -7648.000000, -14254.000000, 2617.000000, 25.000000, 90.000000, 89.000000
1.379999, -7638.000000, -14239.000000, 2603.000000, 33.000000, 82.000000, 94.000000
1.399999, -7652.000000, -14236.000000, 2619.000000, 30.000000, 87.000000, 105.000000
1.419999, -7628.000000, -14259.000000, 2587.000000, 42.000000, 83.000000, 94.000000
1.439999, -7639.000000, -14221.000000, 2619.000000, 39.000000, 92.000000, 98.000000
1.459999, -7635.000000, -14234.000000, 2609.000000, 39.000000, 89.000000, 89.000000
1.479999, -7634.000000, -14232.000000, 2601.000000, 43.000000, 87.000000, 92.000000
1.499999, -7661.000000, -14235.000000, 2603.000000, 42.000000, 93.000000, 94.000000
1.519999, -7664.000000, -14262.000000, 2610.000000, 39.000000, 104.000000, 95.000000
1.539999, -7647.000000, -14248.000000, 2652.000000, 32.000000, 86.000000, 98.000000
1.559999, -7671.000000, -14250.000000, 2623.000000, 35.000000, 90.000000, 99.000000
1.579999, -7662.000000, -14233.000000, 2640.000000, 31.000000, 96.000000, 95.000000
1.599999, -7664.000000, -14227.000000, 2633.000000, 32.000000, 87.000000, 95.000000
1.619999, -7652.000000, -14231.000000, 2600.000000, 31.000000, 81.000000, 91.000000
1.639999, -7640.000000, -14222.000000, 2607.000000, 34.000000, 83.000000, 92.000000
1.659999, -7634.000000, -14234.000000, 2617.000000, 31.000000, 90.000000, 96.000000
1.679999, -7691.000000, -14239.000000, 2601.000000, 38.000000, 111.000000, 92.000000
1.699999, -7660.000000, -14229.000000, 2620.000000, 31.000000, 82.000000, 90.000000
1.719999, -7647.000000, -14249.000000, 2601.000000, 38.000000, 91.000000, 99.000000
1.739999, -7649.000000, -14233.000000, 2616.000000, 40.000000, 70.000000, 100.000000
1.759999, -7649.000000, -14247.000000, 2594.000000, 37.000000, 99.000000, 101.000000
1.779999, -7657.000000, -14249.000000, 2626.000000, 41.000000, 102.000000, 93.000000
1.799999, -7641.000000, -14250.000000, 2594.000000, 37.000000, 81.000000, 103.000000
1.819999, -7647.000000, -14244.000000, 2595.000000, 35.000000, 94.000000, 93.000000
1.839999, -7640.000000, -14233.000000, 2638.000000, 38.000000, 93.000000, 99.000000
1.859999, -7664.000000, -14239.000000, 2589.000000, 41.000000, 94.000000, 86.000000
1.879999, -7658.000000, -14244.000000, 2627.000000, 39.000000, 99.000000, 98.000000
1.899999, -7650.000000, -14228.000000, 2601.000000, 34.000000, 91.000000, 99.000000
1.919999, -7628.000000, -14240.000000, 2600.000000, 36.000000, 94.000000, 94.000000
1.939999, -7662.000000, -14243.000000, 2597.000000, 33.000000, 103.000000, 91.000000
1.959999, -7654.000000, -14237.000000, 2619.000000, 29.000000, 83.000000, 95.000000
1.979999, -7629.000000, -14250.000000, 2673.000000, 33.000000, 72.000000, 89.000000
1.999999, -7657.000000, -14249.000000, 2608.000000, 36.000000, 101.000000, 95.000000
2.019999, -7663.000000, -14237.000000, 2609.000000, 41.000000, 89.000000, 87.000000
2.039999, -7646.000000, -14238.000000, 2581.000000, 28.000000, 83.000000, 101.000000
2.059999, -7633.000000, -14249.000000, 2600.000000, 36.000000, 107.000000, 87.000000
2.079999, -7636.000000, -14251.000000, 2622.000000, 33.000000, 103.000000, 108.000000
2.099999, -7640.000000, -14237.000000, 2589.000000, 31.000000, 93.000000, 101.000000
2.119999, -7638.000000, -14257.000000, 2621.000000, 46.000000, 94.000000, 96.000000
2.139999, -7632.000000, -14237.000000, 2616.000000, 35.000000, 86.000000, 94.000000
2.159999, -7643.000000, -14233.000000, 2590.000000, 39.000000, 83.000000, 92.000000
2.179999, -7639.000000, -14253.000000, 2613.000000, 39.000000, 88.000000, 92.000000
2.199999, -7633.000000, -14236.000000, 2619.000000, 25.000000, 82.000000, 93.000000
