t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, -16153.000000, 266.000000, 2388.000000, 38.000000, 99.000000, 110.000000
0.020000, -16157.000000, 297.000000, 2400.000000, 30.000000, 111.000000, 110.000000
0.040000, -16139.000000, 289.000000, 2380.000000, 36.000000, 97.000000, 108.000000
0.060000, -16159.000000, 307.000000, 2410.000000, 28.000000, 97.000000, 109.000000
0.080000, -16152.000000, 289.000000, 2394.000000, 32.000000, 105.000000, 106.000000
0.100000, -16164.000000, 283.000000, 2401.000000, 29.000000, 91.000000, 111.000000
0.120000, -16156.000000, 292.000000, 2377.000000, 32.000000, 97.000000, 98.000000
0.140000, -16150.000000, 280.000000, 2382.000000, 37.000000, 99.000000, 106.000000
0.160000, -16157.000000, 300.000000, 2373.000000, 31.000000, 93.000000, 107.000000
0.180000, -16147.000000, 281.000000, 2395.000000, 37.000000, 97.000000, 110.000000
0.200000, -16165.000000, 290.000000, 2383.000000, 37.000000, 99.000000, 103.000000
0.220000, -16166.000000, 303.000000, 2408.000000, 32.000000, 91.000000, 101.000000
0.240000, -16169.000000, 276.000000, 2385.000000, 37.000000, 88.000000, 100.000000
0.260000, -16157.000000, 268.000000, 2369.000000, 35.000000, 104.000000, 117.000000
0.280000, -16129.000000, 284.000000, 2404.000000, 33.000000, 98.000000, 107.000000
0.300000, -16151.000000, 277.000000, 2382.000000, 30.000000, 107.000000, 103.000000
0.320000, -16162.000000, 288.000000, 2401.000000, 34.000000, 98.000000, 110.000000
0.340000, -16143.000000, 295.000000, 2353.000000, 27.000000, 99.000000, 115.000000
0.360000, -16146.000000, 283.000000, 2367.000000, 40.000000, 91.000000, 114.000000
0.380000, -16165.000000, 292.000000, 2402.000000, 30.000000, 93.000000, 109.000000
0.400000, -16172.000000, 277.000000, 2379.000000, 34.000000, 95.000000, 107.000000
0.420000, -16173.000000, 293.000000, 2372.000000, 33.000000, 96.000000, 107.000000
0.440000, -16140.000000, 305.000000, 2385.000000, 32.000000, 93.000000, 107.000000
0.460000, -16167.000000, 282.000000, 2369.000000, 34.000000, 99.000000, 106.000000
0.480000, -16159.000000, 306.000000, 2367.000000, 41.000000, 100.000000, 114.000000
0.500000, -16146.000000, 272.000000, 2356.000000, 35.000000, 97.000000, 105.000000
0.520000, -16151.000000, 268.000000, 2388.000000, 37.000000, 92.000000, 116.000000
0.540000, -16178.000000, 290.000000, 2340.000000, 30.000000, 101.000000, 110.000000
0.560000, -16159.000000, 284.000000, 2365.000000, 21.000000, 91.000000, 100.000000
0.580000, -16160.000000, 305.000000, 2345.000000, 37.000000, 93.000000, 101.000000
0.600000, -16159.000000, 280.000000, 2364.000000, 35.000000, 92.000000, 101.000000
0.620000, -16161.000000, 285.000000, 2383.000000, 38.000000, 109.000000, 115.000000
0.640000, -16156.000000, 284.000000, 2389.000000, 39.000000, 91.000000, 109.000000
0.660000, -16164.000000, 292.000000, 2374.000000, 26.000000, 101.000000, 105.000000
0.680000, -16152.000000, 276.000000, 2379.000000, 32.000000, 104.000000, 110.000000
0.700000, -16151.000000, 286.000000, 2399.000000, 22.000000, 104.000000, 116.000000
0.720000, -16165.000000, 270.000000, 2396.000000, 33.000000, 97.000000, 100.000000
0.740000, -16159.000000, 290.000000, 2362.000000, 37.000000, 98.000000, 113.000000
0.760000, -16158.000000, 309.000000, 2382.000000, 34.000000, 109.000000, 108.000000
0.780000, -16155.000000, 290.000000, 2369.000000, 32.000000, 93.000000, 119.000000
0.800000, -16164.000000, 307.000000, 2379.000000, 35.000000, 99.000000, 119.000000
0.820000, -16163.000000, 283.000000, 2412.000000, 37.000000, 99.000000, 101.000000
0.840000, -16156.000000, 292.000000, 2386.000000, 34.000000, 88.000000, 106.000000
0.860000, -16145.000000, 290.000000, 2395.000000, 35.000000, 112.000000, 111.000000
0.880000, -16150.000000, 279.000000, 2359.000000, 21.000000, 111.000000, 111.000000
0.900000, -16168.000000, 289.000000, 2364.000000, 36.000000, 104.000000, 117.000000
0.920000, -16164.000000, 283.000000, 2373.000000, 30.000000, 98.000000, 106.000000
0.940000, -16173.000000, 301.000000, 2398.000000, 36.000000, 91.000000, 105.000000
0.960000, -16157.000000, 291.000000, 2400.000000, 44.000000, 89.000000, 108.000000
0.980000, -16152.000000, 280.000000, 2378.000000, 28.000000, 107.000000, 102.000000
1.000000, -16145.000000, 296.000000, 2396.000000, 27.000000, 95.000000, 112.000000
1.020000, -16159.000000, 272.000000, 2395.000000, 34.000000, 94.000000, 108.000000
1.040000, -16181.000000, 268.000000, 2381.000000, 30.000000, 99.000000, 117.000000
1.060000, -16138.000000, 294.000000, 2389.000000, 35.000000, 102.000000, 104.000000
1.080000, -16153.000000, 279.000000, 2381.000000, 29.000000, 96.000000, 104.000000
1.100000, -16171.000000, 298.000000, 2383.000000, 37.000000, 104.000000, 100.000000
1.120000, -16153.000000, 291.000000, 2373.000000, 26.000000, 102.000000, 103.000000
1.140000, -16168.000000, 267.000000, 2383.000000, 24.000000, 103.000000, 106.000000
1.159999, -16145.000000, 298.000000, 2382.000000, 27.000000, 95.000000, 101.000000
1.179999, -16145.000000, 299.000000, 2399.000000, 37.000000, 89.000000, 109.000000
1.199999, -16164.000000, 300.000000, 2378.000000, 30.000000, 92.000000, 111.000000
1.219999, -16149.000000, 287.000000, 2388.000000, 33.000000, 98.000000, 113.000000
1.239999, -16152.000000, 279.000000, 2385.000000, 31.000000, 102.000000, 105.000000
1.259999, -16165.000000, 287.000000, 2377.000000, 41.000000, 98.000000, 101.000000
1.279999, -16152.000000, 279.000000, 2372.000000, 36.000000, 94.000000, 98.000000
1.299999, -16149.000000, 271.000000, 2372.000000, 26.000000, 88.000000, 112.000000
1.319999, -16131.000000, 290.000000, 2394.000000, 22.000000, 105.000000, 106.000000
1.339999, -16147.000000, 297.000000, 2361.000000, 36.000000, 97.000000, 113.000000
1.359999, -16161.000000, 307.000000, 2382.000000, 38.000000, 92.000000, 107.000000
1.379999, -16185.000000, 287.000000, 2394.000000, 25.000000, 95.000000, 114.000000
1.399999, -16168.000000, 290.000000, 2410.000000, 35.000000, 97.000000, 115.000000
1.419999, -16172.000000, 296.000000, 2364.000000, 37.000000, 91.000000, 117.000000
1.439999, -16160.000000, 292.000000, 2362.000000, 34.000000, 100.000000, 120.000000
1.459999, -16155.000000, 294.000000, 2400.000000, 37.000000, 102.000000, 101.000000
1.479999, -16165.000000, 304.000000, 2385.000000, 34.000000, 98.000000, 113.000000
1.499999, -16137.000000, 292.000000, 2355.000000, 25.000000, 105.000000, 115.000000
1.519999, -16170.000000, 272.000000, 2418.000000, 28.000000, 98.000000, 97.000000
1.539999, -16157.000000, 277.000000, 2415.000000, 32.000000, 93.000000, 118.000000
1.559999, -16159.000000, 293.000000, 2367.000000, 28.000000, 95.000000, 106.000000
1.579999, -16145.000000, 304.000000, 2383.000000, 31.000000, 94.000000, 104.000000
1.599999, -16166.000000, 290.000000, 2422.000000, 29.000000, 94.000000, 99.000000
1.619999, -16200.000000, 282.000000, 2377.000000, 41.000000, 104.000000, 113.000000
1.639999, -16187.000000, 289.000000, 2356.000000, 34.000000, 96.000000, 105.000000
1.659999, -16167.000000, 303.000000, 2392.000000, 38.000000, 96.000000, 114.000000
1.679999, -16168.000000, 281.000000, 2398.000000, 36.000000, 100.000000, 106.000000
1.699999, -16131.000000, 324.000000, 2373.000000, 31.000000, 104.000000, 102.000000
1.719999, -16124.000000, 310.000000, 2385.000000, 46.000000, 100.000000, 114.000000
1.739999, -16151.000000, 272.000000, 2385.000000, 36.000000, 98.000000, 109.000000
1.759999, -16151.000000, 289.000000, 2352.000000, 33.000000, 96.000000, 117.000000
1.779999, -16160.000000, 289.000000, 2374.000000, 25.000000, 94.000000, 111.000000
1.799999, -16145.000000, 290.000000, 2402.000000, 31.000000, 97.000000, 107.000000
1.819999, -16160.000000, 296.000000, 2399.000000, 46.000000, 86.000000, 110.000000
1.839999, -16155.000000, 304.000000, 2398.000000, 36.000000, 95.000000, 109.000000
1.859999, -16152.000000, 272.000000, 2377.000000, 43.000000, 91.000000, 104.000000
1.879999, -16156.000000, 286.000000, 2363.000000, 29.000000, 95.000000, 109.000000
1.899999, -16150.000000, 286.000000, 2411.000000, 40.000000, 99.000000, 112.000000
1.919999, -16161.000000, 274.000000, 2383.000000, 29.000000, 101.000000, 100.000000
1.939999, -16175.000000, 274.000000, 2404.000000, 33.000000, 97.000000, 103.000000
1.959999, -16160.000000, 275.000000, 2396.000000, 27.000000, 90.000000, 122.000000
