t, adc1
0.000000, 239.000000
0.020000, 329.000000
0.040000, 367.000000
0.060000, 385.000000
0.080000, 393.000000
0.100000, 398.000000
0.120000, 400.000000
0.140000, 401.000000
0.160000, 401.000000
0.180000, 402.000000
0.200000, 402.000000
0.220000, 402.000000
0.240000, 402.000000
0.260000, 403.000000
0.280000, 402.000000
0.300000, 402.000000
0.320000, 403.000000
0.340000, 403.000000
0.360000, 403.000000
0.380000, 403.000000
0.400000, 403.000000
0.420000, 403.000000
0.440000, 403.000000
0.460000, 403.000000
0.480000, 403.000000
0.500000, 403.000000
0.520000, 403.000000
0.540000, 403.000000
0.560000, 403.000000
0.580000, 403.000000
0.600000, 403.000000
0.620000, 404.000000
0.640000, 403.000000
0.660000, 403.000000
0.680000, 403.000000
0.700000, 404.000000
0.720000, 403.000000
0.740000, 403.000000
0.760000, 403.000000
0.780000, 403.000000
0.800000, 403.000000
0.820000, 403.000000
0.840000, 403.000000
0.860000, 403.000000
0.880000, 403.000000
0.900000, 403.000000
0.920000, 403.000000
0.940000, 403.000000
0.960000, 403.000000
0.980000, 403.000000
1.000000, 403.000000
1.020000, 403.000000
1.040000, 404.000000
1.060000, 404.000000
1.080000, 403.000000
1.100000, 404.000000
1.120000, 403.000000
1.140000, 403.000000
1.159999, 403.000000
1.179999, 403.000000
1.199999, 403.000000
1.219999, 403.000000
1.239999, 403.000000
1.259999, 403.000000
1.279999, 403.000000
1.299999, 403.000000
1.319999, 404.000000
1.339999, 403.000000
1.359999, 404.000000
1.379999, 403.000000
1.399999, 403.000000
1.419999, 404.000000
1.439999, 403.000000
1.459999, 404.000000
1.479999, 403.000000
1.499999, 403.000000
1.519999, 403.000000
1.539999, 403.000000
1.559999, 403.000000
1.579999, 403.000000
1.599999, 403.000000
1.619999, 404.000000
1.639999, 404.000000
1.659999, 403.000000
1.679999, 404.000000
1.699999, 404.000000
1.719999, 403.000000
1.739999, 404.000000
1.759999, 403.000000
1.779999, 403.000000
1.799999, 404.000000
1.819999, 404.000000
1.839999, 403.000000
1.859999, 404.000000
1.879999, 403.000000
1.899999, 403.000000
1.919999, 403.000000
1.939999, 403.000000
1.959999, 403.000000
1.979999, 404.000000
1.999999, 403.000000
2.019999, 403.000000
2.039999, 403.000000
2.059999, 403.000000
2.079999, 403.000000
2.099999, 404.000000
2.119999, 403.000000
2.139999, 403.000000
2.159999, 404.000000
2.179999, 403.000000
2.199999, 403.000000
2.219999, 402.000000
2.239999, 404.000000
2.259999, 403.000000
2.279999, 403.000000
2.299999, 403.000000
2.319999, 403.000000
2.339998, 403.000000
2.359998, 403.000000
2.379998, 403.000000
2.399998, 404.000000
2.419998, 404.000000
2.439998, 404.000000
2.459998, 404.000000
2.479998, 404.000000
2.499998, 404.000000
2.519998, 404.000000
2.539998, 404.000000
2.559998, 404.000000
2.579998, 404.000000
2.599998, 403.000000
2.619998, 404.000000
2.639998, 404.000000
2.659998, 403.000000
2.679998, 404.000000
2.699998, 404.000000
2.719998, 403.000000
2.739998, 404.000000
2.759998, 403.000000
2.779998, 403.000000
2.799998, 403.000000
2.819998, 403.000000
2.839998, 403.000000
2.859998, 403.000000
2.879998, 403.000000
2.899998, 403.000000
2.919998, 403.000000
2.939998, 403.000000
2.959998, 404.000000
2.979998, 403.000000
2.999998, 404.000000
3.019998, 403.000000
3.039998, 404.000000
3.059998, 404.000000
3.079998, 404.000000
3.099998, 403.000000
3.119998, 404.000000
3.139998, 404.000000
3.159998, 404.000000
3.179998, 403.000000
3.199998, 403.000000
3.219998, 404.000000
3.239998, 404.000000
3.259998, 403.000000
3.279998, 403.000000
3.299998, 403.000000
3.319998, 403.000000
3.339998, 403.000000
3.359998, 404.000000
3.379997, 404.000000
3.399997, 403.000000
3.419997, 404.000000
3.439997, 404.000000
3.459997, 404.000000
3.479997, 404.000000
3.499997, 403.000000
3.519997, 404.000000
3.539997, 403.000000
3.559997, 404.000000
3.579997, 404.000000
3.599997, 404.000000
3.619997, 403.000000
3.639997, 403.000000
3.659997, 403.000000
3.679997, 403.000000
3.699997, 403.000000
3.719997, 403.000000
3.739997, 404.000000
3.759997, 403.000000
3.779997, 404.000000
3.799997, 404.000000
3.819997, 404.000000
3.839997, 404.000000
3.859997, 403.000000
3.879997, 403.000000
3.899997, 403.000000
3.919997, 404.000000
3.939997, 403.000000
3.959997, 403.000000
3.979997, 404.000000
3.999997, 403.000000
4.019997, 404.000000
4.039997, 404.000000
4.059997, 403.000000
4.079997, 403.000000
4.099997, 404.000000
4.119997, 404.000000
4.139997, 404.000000
4.159997, 404.000000
4.179997, 404.000000
4.199997, 403.000000
4.219997, 404.000000
4.239997, 404.000000
