t, uk1, uk2, uk3)
0.000000, -0.006037, -0.005082, -0.004061
0.020000, -0.006591, -0.005127, -0.005571
0.040000, -0.005970, -0.005593, -0.004239
0.060000, -0.006325, -0.005127, -0.005548
0.080000, -0.005926, -0.005104, -0.003595
0.100000, -0.006236, -0.004971, -0.005482
0.120000, -0.005726, -0.004838, -0.004350
0.140000, -0.006325, -0.005127, -0.004150
0.160000, -0.006236, -0.004505, -0.005371
0.180000, -0.006259, -0.005238, -0.005215
0.200000, -0.006614, -0.005349, -0.003950
0.220000, -0.006702, -0.005060, -0.004239
0.240000, -0.006347, -0.005215, -0.004372
0.260000, -0.006525, -0.005504, -0.004949
0.280000, -0.006369, -0.004572, -0.004350
0.300000, -0.006569, -0.005260, -0.004394
0.320000, -0.006858, -0.005371, -0.004883
0.340000, -0.006037, -0.005881, -0.004439
0.360000, -0.005881, -0.004993, -0.004794
0.380000, -0.006947, -0.005593, -0.004816
0.400000, -0.006414, -0.006014, -0.004572
0.420000, -0.006325, -0.005659, -0.004794
0.440000, -0.006392, -0.005304, -0.005149
0.460000, -0.005948, -0.005171, -0.004905
0.480000, -0.006480, -0.005238, -0.004505
0.500000, -0.006347, -0.005571, -0.004283
0.520000, -0.006059, -0.005238, -0.004372
0.540000, -0.006813, -0.005349, -0.004106
0.560000, -0.006480, -0.005326, -0.004927
0.580000, -0.006769, -0.005349, -0.004683
0.600000, -0.006480, -0.005016, -0.004416
0.620000, -0.006569, -0.005859, -0.005082
0.640000, -0.006813, -0.005326, -0.004616
0.660000, -0.006392, -0.005615, -0.004128
0.680000, -0.006281, -0.005593, -0.004727
0.700000, -0.006170, -0.005748, -0.004638
0.720000, -0.006259, -0.006281, -0.004550
0.740000, -0.006369, -0.005482, -0.004794
0.760000, -0.006325, -0.006014, -0.003839
0.780000, -0.006125, -0.005127, -0.005127
0.800000, -0.005792, -0.005171, -0.004195
0.820000, -0.006125, -0.004860, -0.005038
0.840000, -0.005770, -0.005215, -0.004261
0.860000, -0.005837, -0.004749, -0.005016
0.880000, -0.006170, -0.005792, -0.004394
0.900000, -0.007102, -0.004661, -0.004217
0.920000, -0.006858, -0.005349, -0.004572
0.940000, -0.006392, -0.004949, -0.004550
0.960000, -0.006259, -0.005548, -0.004594
0.980000, -0.005792, -0.005681, -0.005104
1.000000, -0.005992, -0.005371, -0.004638
1.020000, -0.006436, -0.005171, -0.004772
1.040000, -0.006547, -0.005571, -0.004883
1.060000, -0.005859, -0.005082, -0.004749
1.080000, -0.005748, -0.005371, -0.003973
1.100000, -0.006259, -0.005326, -0.004638
1.120000, -0.006458, -0.005704, -0.004705
1.140000, -0.005948, -0.005637, -0.004394
1.159999, -0.006259, -0.005060, -0.004372
1.179999, -0.006480, -0.005349, -0.004461
1.199999, -0.006680, -0.005371, -0.005060
1.219999, -0.006369, -0.005127, -0.004727
1.239999, -0.006347, -0.005082, -0.004550
1.259999, -0.006125, -0.004927, -0.004483
1.279999, -0.006591, -0.005859, -0.005060
1.299999, -0.006214, -0.005171, -0.004306
1.319999, -0.006125, -0.005704, -0.004638
1.339999, -0.006369, -0.004661, -0.003906
1.359999, -0.006303, -0.005082, -0.004439
1.379999, -0.006547, -0.005948, -0.004394
1.399999, -0.006458, -0.005149, -0.004350
1.419999, -0.006503, -0.005726, -0.004705
1.439999, -0.006392, -0.005482, -0.004350
1.459999, -0.006458, -0.005881, -0.004705
1.479999, -0.006303, -0.005326, -0.005238
1.499999, -0.006059, -0.005304, -0.004306
1.519999, -0.006325, -0.005437, -0.004572
1.539999, -0.006414, -0.005615, -0.004483
1.559999, -0.006480, -0.005171, -0.004461
1.579999, -0.006125, -0.005371, -0.004816
1.599999, -0.006303, -0.005859, -0.004638
1.619999, -0.006059, -0.005659, -0.004328
1.639999, -0.005926, -0.005815, -0.004638
1.659999, -0.006148, -0.005437, -0.005016
1.679999, -0.006569, -0.005526, -0.004283
1.699999, -0.006369, -0.005415, -0.004483
1.719999, -0.006148, -0.005571, -0.004971
1.739999, -0.005659, -0.005349, -0.005016
1.759999, -0.006769, -0.005304, -0.004727
1.779999, -0.005926, -0.005326, -0.004505
1.799999, -0.006059, -0.005437, -0.004505
1.819999, -0.006636, -0.004994, -0.003817
1.839999, -0.006769, -0.006392, -0.007524
1.859999, -0.004994, -0.003573, -0.002242
1.879999, -0.006414, -0.007745, -0.005770
1.899999, -0.006347, -0.004128, -0.005038
1.919999, -0.005948, -0.005548, -0.004550
1.939999, -0.006148, -0.004838, -0.003928
1.959999, -0.006369, -0.006037, -0.005482
1.979999, -0.006503, -0.006303, -0.003551
1.999999, -0.005903, -0.003950, -0.005260
2.019999, -0.007035, -0.007057, -0.003640
2.039999, -0.006259, -0.004594, -0.005060
2.059999, -0.006214, -0.005238, -0.004550
2.079999, -0.005926, -0.004616, -0.004239
2.099999, -0.009055, 0.003995, -0.003640
2.119999, -0.007967, 0.011873, -0.005992
2.139999, -0.008123, -0.001598, -0.003018
2.159999, -0.007080, -0.002752, -0.002108
2.179999, -0.006991, -0.006525, -0.002530
2.199999, -0.007413, -0.011074, -0.001642
2.219999, -0.002375, 0.007057, -0.016645
2.239999, 0.002819, 0.063673, -0.040303
2.259999, -0.000399, 0.133404, -0.078409
2.279999, -0.014514, 0.150404, -0.061320
2.299999, -0.012450, 0.117270, -0.058679
2.319999, -0.006436, 0.133915, -0.070930
2.339998, 0.004061, 0.231809, -0.117958
2.359998, 0.004994, 0.318519, -0.125992
2.379998, -0.046317, 0.395419, -0.190619
2.399998, -0.150182, 0.400301, -0.305580
2.419998, -0.215564, 0.485058, -0.417812
2.439998, -0.318363, 0.619771, -0.550772
2.459998, -0.404074, 0.765448, -0.689769
2.479998, -0.460867, 0.901604, -0.814806
2.499998, -0.499750, 1.032256, -0.929501
2.519998, -0.521677, 1.136010, -1.016299
2.539998, -0.511468, 1.217327, -1.101389
2.559998, -0.459668, 1.256409, -1.173939
2.579998, -0.390603, 1.282908, -1.236324
2.599998, -0.314746, 1.302238, -1.284395
2.619998, -0.245591, 1.312270, -1.306344
2.639998, -0.176393, 1.312358, -1.307409
2.659998, -0.104286, 1.306078, -1.301728
2.679998, -0.044875, 1.274807, -1.263466
2.699998, -0.003151, 1.232196, -1.201214
2.719998, 0.021106, 1.216173, -1.161044
2.739998, 0.020573, 1.222498, -1.131749
2.759998, 0.011962, 1.233705, -1.107581
2.779998, 0.026477, 1.220278, -1.080926
2.799998, 0.064272, 1.171741, -1.044995
2.819998, 0.108792, 1.110577, -1.009486
2.839998, 0.142881, 1.039625, -0.963634
2.859998, 0.168425, 0.965233, -0.915009
2.879998, 0.190530, 0.891839, -0.871577
2.899998, 0.206065, 0.819844, -0.828499
2.919998, 0.200628, 0.747361, -0.765470
2.939998, 0.184493, 0.679449, -0.701043
2.959998, 0.175461, 0.611049, -0.648267
2.979998, 0.176726, 0.536302, -0.605789
2.999998, 0.186224, 0.457982, -0.578780
3.019998, 0.187822, 0.374224, -0.545845
3.039998, 0.165074, 0.302229, -0.500371
3.059998, 0.114096, 0.247988, -0.445709
3.079998, 0.051977, 0.201737, -0.384411
3.099998, -0.002264, 0.156263, -0.331169
3.119998, -0.043810, 0.110434, -0.288602
3.139998, -0.068799, 0.065892, -0.258752
3.159998, -0.069443, 0.017044, -0.245103
3.179998, -0.049624, -0.032380, -0.246790
3.199998, -0.024568, -0.086066, -0.240775
3.219998, -0.007590, -0.139796, -0.217739
3.239998, -0.000577, -0.178190, -0.190974
3.259998, 0.000444, -0.192594, -0.171421
3.279998, 0.000422, -0.190508, -0.155708
3.299998, -0.001975, -0.176903, -0.138664
3.319998, -0.008256, -0.157173, -0.114407
3.339998, -0.021927, -0.130741, -0.081805
3.359998, -0.037795, -0.095631, -0.049402
3.379997, -0.048603, -0.054440, -0.027342
3.399997, -0.050712, -0.022304, -0.006902
3.419997, -0.044675, -0.005792, 0.018265
3.439997, -0.038461, 0.005948, 0.046761
3.459997, -0.037307, 0.020884, 0.074259
3.479997, -0.040170, 0.040370, 0.101512
3.499997, -0.044387, 0.057481, 0.124660
3.519997, -0.045807, 0.072173, 0.141127
3.539997, -0.039682, 0.078653, 0.151248
3.559997, -0.026343, 0.076745, 0.153844
3.579997, -0.004483, 0.068755, 0.145699
3.599997, 0.020662, 0.056682, 0.132428
3.619997, 0.040814, 0.038572, 0.123417
3.639997, 0.057392, 0.021927, 0.109857
3.659997, 0.073726, 0.006525, 0.090837
3.679997, 0.088196, -0.013072, 0.073571
3.699997, 0.099138, -0.032402, 0.059523
3.719997, 0.102644, -0.047538, 0.047294
3.739997, 0.098649, -0.056615, 0.037906
3.759997, 0.088152, -0.061054, 0.029362
3.779997, 0.071884, -0.060677, 0.020951
3.799997, 0.051955, -0.058235, 0.012917
3.819997, 0.033179, -0.056682, 0.008589
3.839997, 0.021417, -0.055417, 0.001953
3.859997, 0.017333, -0.051378, -0.009188
3.879997, 0.019353, -0.050002, -0.020640
3.899997, 0.020684, -0.053908, -0.023325
3.919997, 0.016379, -0.058324, -0.018909
3.939997, 0.009854, -0.050956, -0.023059
3.959997, 0.003684, -0.037862, -0.030982
3.979997, -0.003862, -0.027631, -0.034067
3.999997, -0.010187, -0.020862, -0.029118
4.019997, -0.013360, -0.018709, -0.021483
4.039997, -0.013715, -0.017710, -0.014470
4.059997, -0.014692, -0.015358, -0.007879
4.079997, -0.016356, -0.007745, -0.003973
4.099997, -0.019863, 0.001642, -0.002397
