t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, 484.000000, -16285.000000, 2573.000000, 34.000000, 88.000000, 97.000000
0.020000, 482.000000, -16279.000000, 2573.000000, 36.000000, 94.000000, 98.000000
0.040000, 484.000000, -16274.000000, 2567.000000, 39.000000, 90.000000, 94.000000
0.060000, 481.000000, -16272.000000, 2559.000000, 33.000000, 88.000000, 100.000000
0.080000, 474.000000, -16282.000000, 2590.000000, 28.000000, 94.000000, 92.000000
0.100000, 492.000000, -16290.000000, 2588.000000, 35.000000, 94.000000, 103.000000
0.120000, 501.000000, -16267.000000, 2590.000000, 41.000000, 88.000000, 100.000000
0.140000, 479.000000, -16263.000000, 2584.000000, 34.000000, 92.000000, 110.000000
0.160000, 455.000000, -16306.000000, 2566.000000, 34.000000, 93.000000, 99.000000
0.180000, 476.000000, -16286.000000, 2571.000000, 33.000000, 95.000000, 101.000000
0.200000, 462.000000, -16287.000000, 2575.000000, 38.000000, 90.000000, 97.000000
0.220000, 499.000000, -16290.000000, 2580.000000, 31.000000, 95.000000, 93.000000
0.240000, 477.000000, -16273.000000, 2578.000000, 34.000000, 88.000000, 94.000000
0.260000, 461.000000, -16295.000000, 2604.000000, 38.000000, 89.000000, 86.000000
0.280000, 488.000000, -16282.000000, 2566.000000, 26.000000, 94.000000, 99.000000
0.300000, 484.000000, -16288.000000, 2562.000000, 41.000000, 97.000000, 92.000000
0.320000, 478.000000, -16280.000000, 2580.000000, 42.000000, 85.000000, 98.000000
0.340000, 472.000000, -16282.000000, 2585.000000, 43.000000, 82.000000, 109.000000
0.360000, 501.000000, -16275.000000, 2592.000000, 32.000000, 99.000000, 110.000000
0.380000, 501.000000, -16273.000000, 2570.000000, 34.000000, 76.000000, 93.000000
0.400000, 492.000000, -16278.000000, 2557.000000, 39.000000, 89.000000, 106.000000
0.420000, 484.000000, -16279.000000, 2568.000000, 43.000000, 92.000000, 98.000000
0.440000, 495.000000, -16284.000000, 2580.000000, 27.000000, 92.000000, 93.000000
0.460000, 464.000000, -16294.000000, 2575.000000, 46.000000, 96.000000, 93.000000
0.480000, 496.000000, -16277.000000, 2547.000000, 41.000000, 85.000000, 100.000000
0.500000, 483.000000, -16266.000000, 2571.000000, 30.000000, 86.000000, 104.000000
0.520000, 493.000000, -16270.000000, 2598.000000, 34.000000, 99.000000, 98.000000
0.540000, 501.000000, -16273.000000, 2612.000000, 27.000000, 98.000000, 83.000000
0.560000, 487.000000, -16278.000000, 2591.000000, 46.000000, 87.000000, 95.000000
0.580000, 483.000000, -16282.000000, 2568.000000, 44.000000, 97.000000, 96.000000
0.600000, 465.000000, -16275.000000, 2584.000000, 32.000000, 94.000000, 98.000000
0.620000, 489.000000, -16286.000000, 2605.000000, 39.000000, 82.000000, 93.000000
0.640000, 500.000000, -16285.000000, 2578.000000, 41.000000, 98.000000, 84.000000
0.660000, 488.000000, -16288.000000, 2540.000000, 31.000000, 104.000000, 105.000000
0.680000, 482.000000, -16280.000000, 2606.000000, 40.000000, 84.000000, 91.000000
0.700000, 484.000000, -16263.000000, 2608.000000, 45.000000, 77.000000, 89.000000
0.720000, 500.000000, -16287.000000, 2615.000000, 43.000000, 89.000000, 98.000000
0.740000, 493.000000, -16277.000000, 2596.000000, 41.000000, 94.000000, 99.000000
0.760000, 484.000000, -16275.000000, 2581.000000, 35.000000, 99.000000, 109.000000
0.780000, 495.000000, -16247.000000, 2603.000000, 40.000000, 102.000000, 99.000000
0.800000, 465.000000, -16273.000000, 2605.000000, 42.000000, 88.000000, 90.000000
0.820000, 487.000000, -16275.000000, 2606.000000, 34.000000, 82.000000, 105.000000
0.840000, 493.000000, -16255.000000, 2576.000000, 26.000000, 82.000000, 101.000000
0.860000, 482.000000, -16274.000000, 2615.000000, 37.000000, 83.000000, 99.000000
0.880000, 480.000000, -16258.000000, 2579.000000, 32.000000, 96.000000, 97.000000
0.900000, 492.000000, -16283.000000, 2585.000000, 42.000000, 86.000000, 89.000000
0.920000, 494.000000, -16285.000000, 2585.000000, 41.000000, 84.000000, 100.000000
0.940000, 491.000000, -16283.000000, 2602.000000, 35.000000, 83.000000, 101.000000
0.960000, 480.000000, -16296.000000, 2580.000000, 39.000000, 77.000000, 95.000000
0.980000, 474.000000, -16279.000000, 2558.000000, 38.000000, 92.000000, 101.000000
1.000000, 486.000000, -16280.000000, 2562.000000, 44.000000, 95.000000, 91.000000
1.020000, 492.000000, -16272.000000, 2582.000000, 32.000000, 90.000000, 96.000000
1.040000, 461.000000, -16306.000000, 2564.000000, 33.000000, 90.000000, 90.000000
1.060000, 497.000000, -16270.000000, 2580.000000, 32.000000, 91.000000, 97.000000
1.080000, 480.000000, -16262.000000, 2565.000000, 36.000000, 92.000000, 100.000000
1.100000, 458.000000, -16284.000000, 2555.000000, 32.000000, 87.000000, 102.000000
1.120000, 480.000000, -16282.000000, 2570.000000, 28.000000, 92.000000, 98.000000
1.140000, 485.000000, -16291.000000, 2558.000000, 41.000000, 84.000000, 92.000000
1.159999, 489.000000, -16281.000000, 2555.000000, 40.000000, 96.000000, 95.000000
1.179999, 492.000000, -16280.000000, 2614.000000, 41.000000, 92.000000, 98.000000
1.199999, 470.000000, -16273.000000, 2596.000000, 42.000000, 95.000000, 114.000000
1.219999, 471.000000, -16280.000000, 2588.000000, 37.000000, 81.000000, 107.000000
1.239999, 502.000000, -16262.000000, 2617.000000, 35.000000, 86.000000, 91.000000
1.259999, 494.000000, -16272.000000, 2563.000000, 40.000000, 84.000000, 84.000000
1.279999, 501.000000, -16275.000000, 2592.000000, 32.000000, 94.000000, 95.000000
1.299999, 501.000000, -16280.000000, 2600.000000, 31.000000, 89.000000, 96.000000
1.319999, 486.000000, -16260.000000, 2611.000000, 32.000000, 89.000000, 97.000000
1.339999, 487.000000, -16279.000000, 2607.000000, 36.000000, 95.000000, 94.000000
1.359999, 473.000000, -16299.000000, 2576.000000, 45.000000, 87.000000, 92.000000
1.379999, 456.000000, -16268.000000, 2576.000000, 35.000000, 93.000000, 105.000000
1.399999, 477.000000, -16273.000000, 2553.000000, 43.000000, 93.000000, 98.000000
1.419999, 505.000000, -16250.000000, 2569.000000, 38.000000, 98.000000, 102.000000
1.439999, 497.000000, -16273.000000, 2574.000000, 45.000000, 102.000000, 104.000000
1.459999, 491.000000, -16298.000000, 2573.000000, 50.000000, 92.000000, 102.000000
1.479999, 496.000000, -16294.000000, 2615.000000, 45.000000, 86.000000, 89.000000
1.499999, 490.000000, -16270.000000, 2561.000000, 40.000000, 78.000000, 96.000000
1.519999, 484.000000, -16301.000000, 2600.000000, 41.000000, 84.000000, 98.000000
1.539999, 488.000000, -16276.000000, 2562.000000, 36.000000, 85.000000, 103.000000
1.559999, 511.000000, -16292.000000, 2581.000000, 37.000000, 88.000000, 94.000000
1.579999, 488.000000, -16279.000000, 2570.000000, 37.000000, 107.000000, 86.000000
1.599999, 474.000000, -16271.000000, 2623.000000, 37.000000, 94.000000, 91.000000
1.619999, 504.000000, -16268.000000, 2588.000000, 31.000000, 86.000000, 99.000000
1.639999, 487.000000, -16273.000000, 2597.000000, 41.000000, 98.000000, 102.000000
1.659999, 476.000000, -16266.000000, 2592.000000, 37.000000, 98.000000, 98.000000
1.679999, 482.000000, -16279.000000, 2615.000000, 35.000000, 80.000000, 97.000000
1.699999, 473.000000, -16276.000000, 2587.000000, 37.000000, 90.000000, 103.000000
1.719999, 466.000000, -16272.000000, 2581.000000, 22.000000, 91.000000, 105.000000
1.739999, 489.000000, -16274.000000, 2571.000000, 44.000000, 92.000000, 81.000000
1.759999, 493.000000, -16285.000000, 2598.000000, 40.000000, 88.000000, 99.000000
1.779999, 490.000000, -16272.000000, 2560.000000, 34.000000, 91.000000, 94.000000
1.799999, 512.000000, -16278.000000, 2597.000000, 34.000000, 91.000000, 108.000000
1.819999, 471.000000, -16277.000000, 2607.000000, 34.000000, 100.000000, 94.000000
1.839999, 500.000000, -16273.000000, 2601.000000, 31.000000, 97.000000, 107.000000
1.859999, 489.000000, -16264.000000, 2564.000000, 35.000000, 92.000000, 93.000000
1.879999, 482.000000, -16291.000000, 2600.000000, 35.000000, 100.000000, 100.000000
1.899999, 489.000000, -16276.000000, 2596.000000, 36.000000, 102.000000, 98.000000
1.919999, 507.000000, -16276.000000, 2617.000000, 40.000000, 95.000000, 98.000000
1.939999, 484.000000, -16283.000000, 2568.000000, 42.000000, 84.000000, 95.000000
1.959999, 476.000000, -16288.000000, 2582.000000, 40.000000, 88.000000, 102.000000
1.979999, 497.000000, -16294.000000, 2585.000000, 32.000000, 93.000000, 105.000000
1.999999, 482.000000, -16283.000000, 2581.000000, 35.000000, 85.000000, 96.000000
2.019999, 470.000000, -16257.000000, 2558.000000, 33.000000, 82.000000, 104.000000
2.039999, 483.000000, -16275.000000, 2568.000000, 36.000000, 106.000000, 94.000000
2.059999, 457.000000, -16285.000000, 2583.000000, 27.000000, 89.000000, 104.000000
2.079999, 469.000000, -16261.000000, 2551.000000, 32.000000, 85.000000, 94.000000
2.099999, 482.000000, -16284.000000, 2569.000000, 35.000000, 87.000000, 93.000000
2.119999, 475.000000, -16269.000000, 2555.000000, 42.000000, 79.000000, 95.000000
2.139999, 496.000000, -16279.000000, 2581.000000, 34.000000, 77.000000, 96.000000
2.159999, 472.000000, -16276.000000, 2571.000000, 37.000000, 94.000000, 82.000000
2.179999, 465.000000, -16286.000000, 2563.000000, 41.000000, 93.000000, 97.000000
2.199999, 494.000000, -16266.000000, 2579.000000, 42.000000, 85.000000, 95.000000
2.219999, 476.000000, -16284.000000, 2568.000000, 44.000000, 83.000000, 98.000000
2.239999, 474.000000, -16287.000000, 2590.000000, 39.000000, 88.000000, 95.000000
2.259999, 481.000000, -16296.000000, 2592.000000, 38.000000, 97.000000, 92.000000
2.279999, 510.000000, -16285.000000, 2590.000000, 26.000000, 86.000000, 95.000000
2.299999, 498.000000, -16289.000000, 2590.000000, 34.000000, 94.000000, 87.000000
2.319999, 482.000000, -16276.000000, 2612.000000, 27.000000, 96.000000, 102.000000
2.339998, 470.000000, -16295.000000, 2554.000000, 40.000000, 82.000000, 108.000000
2.359998, 477.000000, -16265.000000, 2565.000000, 35.000000, 89.000000, 113.000000
2.379998, 488.000000, -16279.000000, 2614.000000, 32.000000, 90.000000, 99.000000
2.399998, 472.000000, -16274.000000, 2601.000000, 31.000000, 97.000000, 102.000000
2.419998, 500.000000, -16274.000000, 2581.000000, 41.000000, 91.000000, 101.000000
2.439998, 491.000000, -16271.000000, 2552.000000, 47.000000, 93.000000, 103.000000
2.459998, 495.000000, -16307.000000, 2567.000000, 37.000000, 94.000000, 106.000000
2.479998, 469.000000, -16278.000000, 2583.000000, 29.000000, 85.000000, 96.000000
2.499998, 493.000000, -16271.000000, 2579.000000, 40.000000, 84.000000, 98.000000
2.519998, 487.000000, -16274.000000, 2572.000000, 42.000000, 74.000000, 104.000000
2.539998, 471.000000, -16292.000000, 2567.000000, 36.000000, 93.000000, 95.000000
2.559998, 484.000000, -16287.000000, 2564.000000, 39.000000, 90.000000, 103.000000
2.579998, 499.000000, -16292.000000, 2596.000000, 35.000000, 85.000000, 99.000000
2.599998, 475.000000, -16270.000000, 2587.000000, 37.000000, 94.000000, 99.000000
2.619998, 460.000000, -16277.000000, 2562.000000, 37.000000, 90.000000, 89.000000
2.639998, 497.000000, -16276.000000, 2607.000000, 34.000000, 88.000000, 100.000000
2.659998, 488.000000, -16282.000000, 2608.000000, 28.000000, 90.000000, 93.000000
2.679998, 497.000000, -16283.000000, 2568.000000, 37.000000, 95.000000, 94.000000
2.699998, 488.000000, -16271.000000, 2609.000000, 37.000000, 108.000000, 93.000000
2.719998, 484.000000, -16281.000000, 2562.000000, 48.000000, 86.000000, 96.000000
2.739998, 489.000000, -16264.000000, 2582.000000, 37.000000, 77.000000, 96.000000
2.759998, 490.000000, -16295.000000, 2552.000000, 36.000000, 95.000000, 95.000000
2.779998, 466.000000, -16282.000000, 2604.000000, 28.000000, 91.000000, 100.000000
2.799998, 472.000000, -16285.000000, 2570.000000, 34.000000, 95.000000, 102.000000
2.819998, 489.000000, -16308.000000, 2574.000000, 43.000000, 95.000000, 98.000000
2.839998, 490.000000, -16266.000000, 2580.000000, 41.000000, 83.000000, 95.000000
2.859998, 481.000000, -16272.000000, 2614.000000, 33.000000, 82.000000, 93.000000
2.879998, 479.000000, -16279.000000, 2571.000000, 36.000000, 89.000000, 107.000000
2.899998, 486.000000, -16266.000000, 2595.000000, 33.000000, 85.000000, 103.000000
2.919998, 507.000000, -16270.000000, 2584.000000, 39.000000, 80.000000, 100.000000
2.939998, 479.000000, -16272.000000, 2571.000000, 40.000000, 101.000000, 99.000000
2.959998, 498.000000, -16258.000000, 2577.000000, 31.000000, 102.000000, 103.000000
2.979998, 475.000000, -16278.000000, 2580.000000, 31.000000, 83.000000, 103.000000
2.999998, 482.000000, -16274.000000, 2577.000000, 26.000000, 92.000000, 97.000000
3.019998, 496.000000, -16264.000000, 2580.000000, 37.000000, 84.000000, 101.000000
3.039998, 472.000000, -16284.000000, 2578.000000, 37.000000, 75.000000, 107.000000
3.059998, 479.000000, -16271.000000, 2566.000000, 29.000000, 87.000000, 93.000000
3.079998, 493.000000, -16297.000000, 2609.000000, 33.000000, 82.000000, 95.000000
3.099998, 466.000000, -16286.000000, 2584.000000, 40.000000, 90.000000, 89.000000
3.119998, 477.000000, -16276.000000, 2581.000000, 40.000000, 94.000000, 94.000000
3.139998, 500.000000, -16271.000000, 2590.000000, 31.000000, 97.000000, 91.000000
3.159998, 467.000000, -16292.000000, 2573.000000, 36.000000, 86.000000, 96.000000
3.179998, 462.000000, -16273.000000, 2557.000000, 39.000000, 84.000000, 112.000000
3.199998, 484.000000, -16271.000000, 2586.000000, 39.000000, 90.000000, 103.000000
3.219998, 491.000000, -16274.000000, 2552.000000, 34.000000, 100.000000, 101.000000
3.239998, 479.000000, -16278.000000, 2561.000000, 34.000000, 105.000000, 92.000000
3.259998, 465.000000, -16270.000000, 2556.000000, 39.000000, 109.000000, 97.000000
3.279998, 488.000000, -16285.000000, 2566.000000, 45.000000, 97.000000, 98.000000
3.299998, 491.000000, -16269.000000, 2575.000000, 40.000000, 93.000000, 103.000000
3.319998, 482.000000, -16279.000000, 2547.000000, 35.000000, 87.000000, 103.000000
3.339998, 490.000000, -16290.000000, 2568.000000, 34.000000, 84.000000, 88.000000
3.359998, 487.000000, -16288.000000, 2574.000000, 29.000000, 101.000000, 92.000000
3.379997, 492.000000, -16267.000000, 2580.000000, 38.000000, 85.000000, 96.000000
3.399997, 484.000000, -16275.000000, 2597.000000, 34.000000, 92.000000, 101.000000
3.419997, 485.000000, -16276.000000, 2602.000000, 31.000000, 98.000000, 94.000000
3.439997, 481.000000, -16279.000000, 2608.000000, 39.000000, 89.000000, 98.000000
3.459997, 501.000000, -16294.000000, 2598.000000, 30.000000, 103.000000, 102.000000
3.479997, 488.000000, -16269.000000, 2608.000000, 20.000000, 91.000000, 109.000000
3.499997, 501.000000, -16281.000000, 2598.000000, 38.000000, 100.000000, 100.000000
3.519997, 507.000000, -16273.000000, 2579.000000, 36.000000, 92.000000, 87.000000
3.539997, 481.000000, -16280.000000, 2581.000000, 28.000000, 88.000000, 105.000000
3.559997, 477.000000, -16280.000000, 2586.000000, 35.000000, 86.000000, 99.000000
3.579997, 492.000000, -16285.000000, 2566.000000, 24.000000, 95.000000, 106.000000
3.599997, 464.000000, -16268.000000, 2557.000000, 30.000000, 97.000000, 99.000000
3.619997, 481.000000, -16270.000000, 2588.000000, 37.000000, 86.000000, 101.000000
3.639997, 492.000000, -16271.000000, 2595.000000, 31.000000, 98.000000, 104.000000
3.659997, 488.000000, -16276.000000, 2582.000000, 42.000000, 86.000000, 98.000000
3.679997, 469.000000, -16267.000000, 2595.000000, 48.000000, 96.000000, 99.000000
3.699997, 463.000000, -16275.000000, 2576.000000, 29.000000, 96.000000, 95.000000
3.719997, 503.000000, -16274.000000, 2584.000000, 42.000000, 95.000000, 91.000000
3.739997, 491.000000, -16280.000000, 2573.000000, 37.000000, 75.000000, 100.000000
3.759997, 484.000000, -16281.000000, 2627.000000, 39.000000, 89.000000, 94.000000
3.779997, 477.000000, -16299.000000, 2605.000000, 39.000000, 90.000000, 104.000000
3.799997, 483.000000, -16245.000000, 2579.000000, 35.000000, 93.000000, 93.000000
3.819997, 475.000000, -16250.000000, 2555.000000, 44.000000, 89.000000, 90.000000
3.839997, 477.000000, -16278.000000, 2591.000000, 51.000000, 86.000000, 100.000000
3.859997, 487.000000, -16273.000000, 2578.000000, 34.000000, 85.000000, 105.000000
3.879997, 502.000000, -16263.000000, 2610.000000, 25.000000, 97.000000, 97.000000
3.899997, 484.000000, -16277.000000, 2588.000000, 32.000000, 86.000000, 98.000000
3.919997, 488.000000, -16277.000000, 2581.000000, 39.000000, 90.000000, 106.000000
3.939997, 468.000000, -16253.000000, 2571.000000, 42.000000, 98.000000, 106.000000
3.959997, 485.000000, -16278.000000, 2601.000000, 38.000000, 107.000000, 107.000000
3.979997, 500.000000, -16278.000000, 2588.000000, 35.000000, 96.000000, 100.000000
3.999997, 493.000000, -16273.000000, 2600.000000, 42.000000, 83.000000, 99.000000
4.019997, 478.000000, -16294.000000, 2574.000000, 37.000000, 89.000000, 100.000000
4.039997, 482.000000, -16272.000000, 2551.000000, 30.000000, 100.000000, 98.000000
4.059997, 475.000000, -16297.000000, 2570.000000, 29.000000, 96.000000, 100.000000
4.079997, 493.000000, -16292.000000, 2581.000000, 38.000000, 76.000000, 93.000000
4.099997, 499.000000, -16267.000000, 2556.000000, 36.000000, 98.000000, 102.000000
4.119997, 482.000000, -16263.000000, 2529.000000, 36.000000, 94.000000, 100.000000
4.139997, 495.000000, -16291.000000, 2560.000000, 32.000000, 91.000000, 99.000000
4.159997, 480.000000, -16304.000000, 2553.000000, 28.000000, 94.000000, 86.000000
4.179997, 496.000000, -16306.000000, 2557.000000, 32.000000, 99.000000, 93.000000
4.199997, 489.000000, -16278.000000, 2568.000000, 46.000000, 109.000000, 101.000000
4.219997, 463.000000, -16271.000000, 2539.000000, 32.000000, 95.000000, 93.000000
4.239997, 489.000000, -16263.000000, 2558.000000, 37.000000, 75.000000, 96.000000
4.259997, 483.000000, -16257.000000, 2587.000000, 27.000000, 88.000000, 103.000000
4.279997, 492.000000, -16288.000000, 2593.000000, 42.000000, 74.000000, 97.000000
4.299997, 491.000000, -16281.000000, 2571.000000, 36.000000, 80.000000, 104.000000
4.319997, 497.000000, -16274.000000, 2592.000000, 32.000000, 88.000000, 98.000000
4.339997, 503.000000, -16285.000000, 2584.000000, 36.000000, 86.000000, 93.000000
4.359997, 508.000000, -16280.000000, 2574.000000, 34.000000, 91.000000, 103.000000
4.379997, 481.000000, -16290.000000, 2575.000000, 33.000000, 92.000000, 93.000000
4.399997, 476.000000, -16300.000000, 2556.000000, 44.000000, 101.000000, 92.000000
4.419997, 499.000000, -16268.000000, 2568.000000, 39.000000, 86.000000, 94.000000
4.439997, 481.000000, -16294.000000, 2601.000000, 32.000000, 97.000000, 104.000000
4.459997, 487.000000, -16291.000000, 2582.000000, 34.000000, 95.000000, 99.000000
4.479997, 489.000000, -16293.000000, 2579.000000, 40.000000, 113.000000, 102.000000
4.499997, 493.000000, -16279.000000, 2545.000000, 16.000000, 94.000000, 92.000000
4.519997, 494.000000, -16277.000000, 2608.000000, 40.000000, 93.000000, 105.000000
4.539997, 496.000000, -16261.000000, 2592.000000, 31.000000, 85.000000, 89.000000
4.559997, 495.000000, -16282.000000, 2573.000000, 40.000000, 79.000000, 104.000000
4.579997, 487.000000, -16272.000000, 2611.000000, 36.000000, 78.000000, 98.000000
4.599997, 483.000000, -16284.000000, 2591.000000, 24.000000, 78.000000, 94.000000
4.619997, 498.000000, -16275.000000, 2624.000000, 34.000000, 97.000000, 107.000000
4.639997, 499.000000, -16297.000000, 2600.000000, 35.000000, 102.000000, 91.000000
4.659997, 490.000000, -16285.000000, 2593.000000, 37.000000, 88.000000, 97.000000
4.679996, 501.000000, -16302.000000, 2584.000000, 38.000000, 80.000000, 96.000000
4.699996, 476.000000, -16278.000000, 2612.000000, 32.000000, 89.000000, 106.000000
4.719996, 462.000000, -16285.000000, 2575.000000, 47.000000, 78.000000, 94.000000
4.739996, 476.000000, -16295.000000, 2603.000000, 44.000000, 94.000000, 95.000000
4.759996, 476.000000, -16282.000000, 2582.000000, 36.000000, 93.000000, 101.000000
4.779996, 501.000000, -16285.000000, 2597.000000, 37.000000, 88.000000, 108.000000
4.799996, 479.000000, -16297.000000, 2595.000000, 38.000000, 94.000000, 91.000000
4.819996, 478.000000, -16287.000000, 2620.000000, 36.000000, 98.000000, 81.000000
4.839996, 480.000000, -16286.000000, 2578.000000, 32.000000, 76.000000, 101.000000
4.859996, 489.000000, -16270.000000, 2564.000000, 41.000000, 93.000000, 97.000000
4.879996, 494.000000, -16276.000000, 2577.000000, 40.000000, 98.000000, 96.000000
4.899996, 493.000000, -16271.000000, 2615.000000, 36.000000, 85.000000, 107.000000
4.919996, 481.000000, -16279.000000, 2548.000000, 41.000000, 95.000000, 102.000000
4.939996, 486.000000, -16280.000000, 2557.000000, 32.000000, 95.000000, 99.000000
4.959996, 503.000000, -16298.000000, 2566.000000, 36.000000, 104.000000, 95.000000
4.979996, 479.000000, -16274.000000, 2588.000000, 44.000000, 81.000000, 106.000000
4.999996, 474.000000, -16276.000000, 2566.000000, 33.000000, 78.000000, 102.000000
5.019996, 497.000000, -16256.000000, 2610.000000, 37.000000, 109.000000, 92.000000
5.039996, 492.000000, -16268.000000, 2584.000000, 30.000000, 105.000000, 96.000000
5.059996, 504.000000, -16280.000000, 2630.000000, 34.000000, 88.000000, 99.000000
