t, phi2, phi3
0.000000, -0.576129, 0.775035
0.020000, -0.576097, 0.775063
0.040000, -0.576066, 0.775063
0.060000, -0.576048, 0.775049
0.080000, -0.576039, 0.775072
0.100000, -0.576013, 0.775079
0.120000, -0.576011, 0.775085
0.140000, -0.575993, 0.775074
0.160000, -0.575998, 0.775106
0.180000, -0.575989, 0.775112
0.200000, -0.575981, 0.775130
0.220000, -0.575956, 0.775124
0.240000, -0.575956, 0.775139
0.260000, -0.575927, 0.775137
0.280000, -0.575910, 0.775152
0.300000, -0.575875, 0.775163
0.320000, -0.575866, 0.775164
0.340000, -0.575845, 0.775170
0.360000, -0.575837, 0.775184
0.380000, -0.575833, 0.775198
0.400000, -0.575833, 0.775209
0.420000, -0.575789, 0.775235
0.440000, -0.575797, 0.775283
0.460000, -0.575782, 0.775302
0.480000, -0.575785, 0.775284
0.500000, -0.575769, 0.775298
0.520000, -0.575784, 0.775322
0.540000, -0.575778, 0.775304
0.560000, -0.575780, 0.775322
0.580000, -0.575762, 0.775342
0.600000, -0.575760, 0.775340
0.620000, -0.575749, 0.775346
0.640000, -0.575744, 0.775376
0.660000, -0.575740, 0.775375
0.680000, -0.575718, 0.775378
0.700000, -0.575718, 0.775393
0.720000, -0.575716, 0.775388
0.740000, -0.575708, 0.775349
0.760000, -0.575695, 0.775342
0.780000, -0.575688, 0.775347
0.800000, -0.575678, 0.775348
0.820000, -0.575672, 0.775346
0.840000, -0.575666, 0.775366
0.860000, -0.575645, 0.775379
0.880000, -0.575652, 0.775367
0.900000, -0.575672, 0.775389
0.920000, -0.575667, 0.775409
0.940000, -0.575647, 0.775408
0.960000, -0.575651, 0.775396
0.980000, -0.575626, 0.775415
1.000000, -0.575608, 0.775436
1.020000, -0.575591, 0.775446
1.040000, -0.575589, 0.775445
1.060000, -0.575570, 0.775454
1.080000, -0.575581, 0.775450
1.100000, -0.575572, 0.775444
1.120000, -0.575560, 0.775436
1.140000, -0.575559, 0.775442
1.159999, -0.575537, 0.775428
1.179999, -0.575512, 0.775424
1.199999, -0.575511, 0.775434
1.219999, -0.575507, 0.775457
1.239999, -0.575491, 0.775460
1.259999, -0.575470, 0.775459
1.279999, -0.575466, 0.775466
1.299999, -0.575469, 0.775472
1.319999, -0.575461, 0.775446
1.339999, -0.575467, 0.775438
1.359999, -0.575450, 0.775445
1.379999, -0.575449, 0.775440
1.399999, -0.575448, 0.775427
1.419999, -0.575445, 0.775415
1.439999, -0.575436, 0.775413
1.459999, -0.575417, 0.775422
1.479999, -0.575410, 0.775429
1.499999, -0.575411, 0.775434
1.519999, -0.575412, 0.775448
1.539999, -0.575406, 0.775462
1.559999, -0.575402, 0.775484
1.579999, -0.575412, 0.775476
1.599999, -0.575402, 0.775491
1.619999, -0.575392, 0.775488
1.639999, -0.575381, 0.775471
1.659999, -0.575385, 0.775462
1.679999, -0.575393, 0.775451
1.699999, -0.575395, 0.775423
1.719999, -0.575391, 0.775436
1.739999, -0.575384, 0.775427
1.759999, -0.575390, 0.775434
1.779999, -0.575386, 0.775452
1.799999, -0.575394, 0.775466
1.819999, -0.575413, 0.775474
1.839999, -0.575413, 0.775474
1.859999, -0.575428, 0.775418
1.879999, -0.575459, 0.775298
1.899999, -0.575441, 0.775504
1.919999, -0.575790, 0.775206
1.939999, -0.575822, 0.775310
1.959999, -0.575897, 0.775322
1.979999, -0.575909, 0.775574
1.999999, -0.575800, 0.775386
2.019999, -0.575734, 0.775602
2.039999, -0.575506, 0.775551
2.059999, -0.575610, 0.775541
2.079999, -0.575302, 0.775532
2.099999, -0.575447, 0.775675
2.119999, -0.575268, 0.775542
2.139999, -0.575379, 0.775627
2.159999, -0.575081, 0.775542
2.179999, -0.575139, 0.775541
2.199999, -0.575114, 0.775569
2.219999, -0.575307, 0.775683
2.239999, -0.575399, 0.775827
2.259999, -0.575519, 0.775692
2.279999, -0.575530, 0.775266
2.299999, -0.575120, 0.774125
2.319999, -0.574122, 0.773193
2.339998, -0.573748, 0.773410
2.359998, -0.574408, 0.774151
2.379998, -0.574496, 0.774255
2.399998, -0.574290, 0.773411
2.419998, -0.573478, 0.771594
2.439998, -0.571713, 0.768336
2.459998, -0.568691, 0.763410
2.479998, -0.564514, 0.757367
2.499998, -0.559333, 0.751120
2.519998, -0.553967, 0.744389
2.539998, -0.550050, 0.737172
2.559998, -0.545198, 0.729336
2.579998, -0.539878, 0.721281
2.599998, -0.534548, 0.712109
2.619998, -0.528954, 0.701514
2.639998, -0.522529, 0.689153
2.659998, -0.515038, 0.675553
2.679998, -0.506294, 0.660498
2.699998, -0.496657, 0.643496
2.719998, -0.486480, 0.624003
2.739998, -0.476277, 0.601707
2.759998, -0.466507, 0.576411
2.779998, -0.456695, 0.548624
2.799998, -0.446150, 0.519046
2.819998, -0.434063, 0.488370
2.839998, -0.420116, 0.457565
2.859998, -0.404467, 0.426451
2.879998, -0.387436, 0.394888
2.899998, -0.369626, 0.362589
2.919998, -0.351596, 0.329807
2.939998, -0.333420, 0.297180
2.959998, -0.315507, 0.265219
2.979998, -0.297020, 0.234159
2.999998, -0.278099, 0.204681
3.019998, -0.259000, 0.176629
3.039998, -0.239750, 0.149485
3.059998, -0.221329, 0.123742
3.079998, -0.204437, 0.099505
3.099998, -0.189343, 0.077078
3.119998, -0.175387, 0.056342
3.139998, -0.162277, 0.037137
3.159998, -0.150079, 0.019356
3.179998, -0.139030, 0.002578
3.199998, -0.129241, -0.013641
3.219998, -0.120401, -0.029127
3.239998, -0.112063, -0.043610
3.259998, -0.103969, -0.056870
3.279998, -0.095846, -0.068688
3.299998, -0.087724, -0.079314
3.319998, -0.079955, -0.088239
3.339998, -0.072496, -0.095870
3.359998, -0.065518, -0.102235
3.379997, -0.059035, -0.107268
3.399997, -0.052974, -0.111113
3.419997, -0.047091, -0.113729
3.439997, -0.041425, -0.114783
3.459997, -0.036264, -0.114607
3.479997, -0.031692, -0.113308
3.499997, -0.027422, -0.111985
3.519997, -0.023871, -0.110339
3.539997, -0.020864, -0.108699
3.559997, -0.018834, -0.106525
3.579997, -0.017730, -0.104036
3.599997, -0.017190, -0.101524
3.619997, -0.017185, -0.099149
3.639997, -0.017975, -0.096129
3.659997, -0.019048, -0.093193
3.679997, -0.020141, -0.090452
3.699997, -0.021114, -0.087699
3.719997, -0.021678, -0.085161
3.739997, -0.022041, -0.082762
3.759997, -0.022356, -0.080412
3.779997, -0.022386, -0.078083
3.799997, -0.021995, -0.075529
3.819997, -0.021093, -0.072724
3.839997, -0.019789, -0.069927
3.859997, -0.018528, -0.067422
3.879997, -0.017562, -0.065123
3.899997, -0.016933, -0.062742
3.919997, -0.016505, -0.060372
3.939997, -0.016079, -0.058216
3.959997, -0.015732, -0.056104
3.979997, -0.015659, -0.054025
3.999997, -0.015771, -0.052169
4.019997, -0.016235, -0.050245
4.039997, -0.016946, -0.048392
4.059997, -0.017820, -0.046745
4.079997, -0.018592, -0.045351
4.099997, -0.019148, -0.043793
4.119997, -0.019288, -0.042296
4.139997, -0.019110, -0.040777
4.159997, -0.018870, -0.039084
4.179997, -0.018521, -0.037623
4.199997, -0.018060, -0.036485
4.219997, -0.017567, -0.035568
