t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, 598.000000, -8071.000000, -11448.000000, -263.000000, 216.000000, -3.000000
0.020000, 607.000000, -8100.000000, -11441.000000, -252.000000, 195.000000, -5.000000
0.040000, 603.000000, -8077.000000, -11403.000000, -254.000000, 194.000000, 4.000000
0.060000, 614.000000, -8081.000000, -11455.000000, -249.000000, 198.000000, 13.000000
0.080000, 603.000000, -8089.000000, -11449.000000, -258.000000, 208.000000, -3.000000
0.100000, 600.000000, -8082.000000, -11433.000000, -244.000000, 196.000000, -9.000000
0.120000, 607.000000, -8070.000000, -11417.000000, -246.000000, 196.000000, -6.000000
0.140000, 605.000000, -8074.000000, -11450.000000, -256.000000, 196.000000, -16.000000
0.160000, 600.000000, -8082.000000, -11457.000000, -252.000000, 205.000000, -2.000000
0.180000, 581.000000, -8077.000000, -11452.000000, -246.000000, 197.000000, 0.000000
0.200000, 597.000000, -8090.000000, -11438.000000, -252.000000, 204.000000, -1.000000
0.220000, 590.000000, -8072.000000, -11417.000000, -251.000000, 208.000000, -1.000000
0.240000, 628.000000, -8107.000000, -11432.000000, -251.000000, 204.000000, -4.000000
0.260000, 609.000000, -8084.000000, -11414.000000, -251.000000, 203.000000, -1.000000
0.280000, 610.000000, -8075.000000, -11416.000000, -258.000000, 198.000000, 2.000000
0.300000, 587.000000, -8091.000000, -11481.000000, -256.000000, 191.000000, -4.000000
0.320000, 595.000000, -8103.000000, -11426.000000, -251.000000, 201.000000, -1.000000
0.340000, 619.000000, -8091.000000, -11442.000000, -249.000000, 203.000000, -1.000000
0.360000, 604.000000, -8074.000000, -11437.000000, -252.000000, 205.000000, 7.000000
0.380000, 602.000000, -8106.000000, -11473.000000, -257.000000, 194.000000, -9.000000
0.400000, 600.000000, -8072.000000, -11424.000000, -253.000000, 200.000000, -1.000000
0.420000, 608.000000, -8076.000000, -11410.000000, -262.000000, 199.000000, -1.000000
0.440000, 605.000000, -8079.000000, -11410.000000, -247.000000, 190.000000, -9.000000
0.460000, 608.000000, -8095.000000, -11439.000000, -255.000000, 198.000000, 1.000000
0.480000, 592.000000, -8094.000000, -11424.000000, -247.000000, 203.000000, 8.000000
0.500000, 611.000000, -8078.000000, -11425.000000, -254.000000, 202.000000, 5.000000
0.520000, 616.000000, -8069.000000, -11428.000000, -252.000000, 203.000000, -6.000000
0.540000, 614.000000, -8069.000000, -11444.000000, -250.000000, 204.000000, -1.000000
0.560000, 621.000000, -8078.000000, -11437.000000, -248.000000, 200.000000, 6.000000
0.580000, 607.000000, -8086.000000, -11451.000000, -249.000000, 203.000000, 0.000000
0.600000, 599.000000, -8086.000000, -11435.000000, -249.000000, 193.000000, -8.000000
0.620000, 590.000000, -8101.000000, -11431.000000, -256.000000, 193.000000, -3.000000
0.640000, 629.000000, -8075.000000, -11452.000000, -249.000000, 196.000000, -8.000000
0.660000, 607.000000, -8082.000000, -11448.000000, -252.000000, 198.000000, 2.000000
0.680000, 602.000000, -8114.000000, -11432.000000, -255.000000, 194.000000, -3.000000
0.700000, 595.000000, -8097.000000, -11460.000000, -249.000000, 202.000000, 6.000000
0.720000, 604.000000, -8077.000000, -11427.000000, -245.000000, 199.000000, -3.000000
0.740000, 608.000000, -8101.000000, -11443.000000, -247.000000, 201.000000, 8.000000
0.760000, 599.000000, -8092.000000, -11436.000000, -249.000000, 193.000000, -11.000000
0.780000, 611.000000, -8096.000000, -11456.000000, -257.000000, 194.000000, -8.000000
0.800000, 585.000000, -8107.000000, -11436.000000, -246.000000, 195.000000, 4.000000
0.820000, 609.000000, -8087.000000, -11438.000000, -259.000000, 199.000000, -10.000000
0.840000, 600.000000, -8060.000000, -11417.000000, -252.000000, 185.000000, -8.000000
0.860000, 586.000000, -8072.000000, -11458.000000, -245.000000, 189.000000, -10.000000
0.880000, 605.000000, -8099.000000, -11413.000000, -260.000000, 194.000000, 5.000000
0.900000, 612.000000, -8098.000000, -11456.000000, -256.000000, 200.000000, -5.000000
0.920000, 619.000000, -8096.000000, -11426.000000, -263.000000, 206.000000, 1.000000
0.940000, 600.000000, -8106.000000, -11456.000000, -254.000000, 200.000000, 3.000000
0.960000, 585.000000, -8070.000000, -11433.000000, -255.000000, 196.000000, 2.000000
0.980000, 617.000000, -8089.000000, -11440.000000, -254.000000, 196.000000, -10.000000
1.000000, 601.000000, -8094.000000, -11423.000000, -254.000000, 200.000000, 3.000000
1.020000, 623.000000, -8091.000000, -11438.000000, -256.000000, 202.000000, 0.000000
1.040000, 606.000000, -8098.000000, -11418.000000, -250.000000, 195.000000, -5.000000
1.060000, 585.000000, -8085.000000, -11436.000000, -252.000000, 197.000000, -11.000000
1.080000, 618.000000, -8063.000000, -11392.000000, -260.000000, 202.000000, -2.000000
1.100000, 597.000000, -8094.000000, -11425.000000, -256.000000, 184.000000, -3.000000
1.120000, 573.000000, -8093.000000, -11428.000000, -251.000000, 196.000000, -2.000000
1.140000, 623.000000, -8080.000000, -11415.000000, -254.000000, 191.000000, -10.000000
1.159999, 602.000000, -8098.000000, -11415.000000, -250.000000, 195.000000, -6.000000
1.179999, 567.000000, -8090.000000, -11413.000000, -250.000000, 196.000000, -3.000000
1.199999, 628.000000, -8087.000000, -11396.000000, -248.000000, 197.000000, 2.000000
1.219999, 605.000000, -8086.000000, -11417.000000, -253.000000, 196.000000, 0.000000
1.239999, 576.000000, -8085.000000, -11433.000000, -250.000000, 201.000000, 3.000000
1.259999, 607.000000, -8078.000000, -11441.000000, -247.000000, 201.000000, -16.000000
1.279999, 599.000000, -8097.000000, -11456.000000, -241.000000, 191.000000, 0.000000
