t_g, g1, g2, g3
0.000000, -9.696372, 0.056039, 0.077462
0.020000, -9.699872, 0.159097, 0.130816
0.040000, -9.572734, -0.000914, 0.010016
0.060000, -9.560489, 0.043285, 0.254085
0.080000, -9.654769, -0.006579, 0.141595
0.100000, -9.833975, -0.037059, 0.209129
0.120000, -9.623413, -0.016733, 0.344425
0.140000, -9.581790, -0.216650, 0.055643
0.160000, -9.760196, -0.210382, 0.171384
0.180000, -9.606021, -0.100786, 0.048753
0.200000, -9.576313, 0.008867, 0.067180
0.220000, -9.559344, 0.045709, 0.071835
0.240000, -9.608027, -0.068080, 0.178036
0.260000, -9.707788, -0.233853, 0.029890
0.280000, -9.793614, -0.160848, 0.223228
0.300000, -9.616250, -0.120677, 0.163773
0.320000, -9.853063, -0.093490, -0.014142
0.340000, -9.563292, 0.090805, 0.147887
0.360000, -9.499477, 0.062893, 0.031942
0.380000, -9.493986, 0.052923, -0.016653
0.400000, -9.658861, -0.127612, 0.101990
0.420000, -9.639887, 0.019512, 0.193798
0.440000, -9.795588, -0.022728, 0.087889
0.460000, -9.764448, -0.047642, 0.199287
0.480000, -9.612675, 0.165355, 0.039117
0.500000, -9.528563, -0.060536, 0.173535
0.520000, -9.692798, -0.080836, 0.192560
0.540000, -9.635733, -0.161751, 0.125848
0.560000, -9.701878, -0.086580, 0.062716
0.580000, -9.781289, 0.033680, -0.096735
0.600000, -9.732815, 0.062794, 0.217095
0.620000, -9.388790, -0.085448, 0.080130
0.640000, -9.727173, -0.061887, 0.120021
0.660000, -9.686228, 0.097078, 0.080012
0.680000, -9.541731, 0.106201, -0.102526
0.700000, -9.649640, 0.075799, -0.050051
0.720000, -9.625042, -0.058446, 0.002913
0.740000, -9.691852, -0.063981, -0.026168
0.760000, -9.608935, -0.218088, 0.030519
0.780000, -9.691550, -0.053614, 0.108734
0.800000, -9.774197, 0.080796, 0.113115
0.820000, -9.665125, 0.003506, -0.132340
0.840000, -9.661018, -0.076815, 0.195744
0.860000, -9.738193, 0.017731, 0.044218
0.880000, -9.761943, 0.069489, 0.007146
0.900000, -9.606709, -0.141485, -0.012100
0.920000, -9.640094, 0.184074, -0.033051
0.940000, -9.734793, 0.170483, 0.104518
0.960000, -9.735141, 0.046815, 0.086598
0.980000, -9.853204, -0.040803, 0.142953
1.000000, -9.838769, -0.058308, 0.226982
1.020000, -9.731180, -0.111427, 0.143350
1.040000, -9.582543, -0.031621, 0.076189
1.060000, -9.830965, -0.153951, 0.056687
1.080000, -9.692722, -0.146834, 0.087608
1.100000, -9.610033, -0.132267, 0.012042
1.120000, -9.721686, -0.064101, 0.163621
1.140000, -9.705288, 0.097162, -0.030225
1.159999, -9.573455, 0.002960, 0.096091
1.179999, -9.581508, 0.197084, 0.154273
1.199999, -9.638012, -0.048721, 0.069382
1.219999, -9.712738, 0.033660, -0.091321
1.239999, -9.752953, -0.230792, 0.175897
1.259999, -9.594511, -0.049877, 0.297277
1.279999, -9.555822, 0.140993, 0.039702
1.299999, -9.572211, 0.124241, 0.108697
1.319999, -9.568523, 0.048610, 0.227694
1.339999, -9.776485, 0.139179, -0.003417
1.359999, -9.686021, 0.055988, 0.101850
1.379999, -9.736526, 0.075108, 0.103999
1.399999, -9.499840, -0.100018, 0.134376
1.419999, -9.762339, 0.092831, 0.101571
1.439999, -9.826387, 0.082189, -0.086493
1.459999, -9.598674, -0.059783, -0.019198
1.479999, -9.687768, 0.023729, 0.041174
1.499999, -9.748008, -0.061204, 0.021137
1.519999, -9.565872, 0.045406, 0.127804
1.539999, -9.755693, 0.210168, 0.120862
1.559999, -9.460247, 0.167407, 0.244710
1.579999, -9.702852, -0.070752, 0.236269
1.599999, -9.599437, 0.065616, 0.080321
1.619999, -9.590046, -0.022365, 0.153137
1.639999, -9.555605, 0.027091, 0.230453
1.659999, -9.608757, -0.093013, 0.211059
1.679999, -9.726231, 0.155542, 0.041758
1.699999, -9.805039, 0.133660, 0.166680
1.719999, -9.670927, 0.108379, 0.097480
1.739999, -9.750744, 0.124186, 0.087098
1.759999, -9.582275, 0.065098, 0.066294
1.779999, -9.778487, 0.026913, 0.012340
1.799999, -9.553090, -0.057443, -0.073325
1.819999, -9.717259, 0.152024, 0.056106
1.839999, -9.691823, 0.224846, 0.249299
1.859999, -9.713863, -0.064878, 0.126819
1.879999, -9.618397, -0.127190, 0.020368
1.899999, -9.630581, 0.010314, 0.167331
1.919999, -9.734096, -0.022373, -0.009993
1.939999, -9.531045, -0.059477, -0.054582
1.959999, -9.617908, -0.032929, -0.054209
1.979999, -9.614705, -0.046620, -0.057871
1.999999, -9.751488, -0.136072, 0.148841
2.019999, -9.523430, -0.070874, 0.113450
2.039999, -9.623277, -0.059458, 0.169308
2.059999, -9.669622, 0.072968, 0.168851
2.079999, -9.566856, 0.020486, 0.051623
2.099999, -9.659991, 0.188262, 0.096849
2.119999, -9.749303, 0.008000, 0.193345
2.139999, -9.796011, 0.062658, 0.090494
2.159999, -9.570793, -0.099839, 0.092945
2.179999, -9.605050, 0.052952, 0.027022
2.199999, -9.847406, 0.015505, 0.064044
2.219999, -9.675764, -0.095354, 0.066236
2.239999, -9.776787, -0.232415, -0.053196
2.259999, -9.564902, -0.092285, 0.109327
2.279999, -9.662158, 0.033965, 0.009054
2.299999, -9.592396, 0.017387, 0.157075
2.319999, -9.586047, 0.164033, 0.151216
2.339998, -9.727040, 0.013228, 0.057535
2.359998, -9.644012, -0.058123, 0.218665
2.379998, -9.779947, 0.095251, 0.029466
2.399998, -9.673677, -0.003298, -0.135596
2.419998, -9.746048, 0.065176, 0.014893
2.439998, -9.547297, -0.057111, 0.162111
2.459998, -9.866781, -0.093460, 0.008634
2.479998, -9.701571, 0.029623, 0.122857
2.499998, -9.672599, -0.051811, 0.109647
2.519998, -9.640711, 0.083915, 0.239490
2.539998, -9.624101, -0.067707, -0.059868
2.559998, -9.716049, -0.125854, 0.125538
2.579998, -9.626563, 0.070765, -0.117000
2.599998, -9.759824, -0.126942, 0.059610
2.619998, -9.704463, 0.030547, 0.075848
2.639998, -9.772530, 0.137957, 0.162580
2.659998, -9.653214, -0.015825, 0.138117
2.679998, -9.474654, -0.173923, 0.121027
2.699998, -9.784124, -0.070762, 0.181909
2.719998, -9.728792, -0.037009, 0.246983
2.739998, -9.595797, 0.092738, 0.092176
2.759998, -9.637734, 0.143607, 0.200569
2.779998, -9.551042, -0.043835, 0.064867
2.799998, -9.672608, 0.045529, -0.041773
2.819998, -9.653897, 0.059687, 0.043301
2.839998, -9.595123, 0.162429, 0.113387
2.859998, -9.648746, -0.090561, 0.193150
2.879998, -9.601806, -0.028674, 0.049456
2.899998, -9.630919, 0.040263, 0.072428
2.919998, -9.687415, 0.014148, 0.003775
2.939998, -9.622070, 0.069547, 0.070435
2.959998, -9.682955, -0.106556, -0.011397
2.979998, -9.570153, 0.135284, 0.294013
2.999998, -9.925085, 0.192483, 0.163620
3.019998, -9.792385, 0.185126, 0.014083
3.039998, -9.754073, -0.038766, -0.000713
3.059998, -9.843535, -0.229927, 0.216052
3.079998, -9.717513, -0.093996, 0.058460
3.099998, -9.663538, -0.070052, 0.205394
3.119998, -9.437463, -0.002684, 0.140222
3.139998, -9.749237, -0.053194, 0.121518
3.159998, -9.685465, -0.190077, 0.191865
3.179998, -9.684420, -0.109989, 0.121295
3.199998, -9.718554, 0.094435, -0.017403
3.219998, -9.580947, 0.119594, 0.163435
3.239998, -9.585779, -0.006738, -0.004432
3.259998, -9.704237, -0.026450, 0.068138
3.279998, -9.869555, 0.159680, -0.070629
3.299998, -9.710167, 0.176935, -0.016002
3.319998, -9.626781, 0.133122, 0.009916
3.339998, -9.701708, -0.094747, -0.009762
3.359998, -9.571881, -0.048989, -0.035212
3.379997, -9.774418, 0.071417, 0.292856
3.399997, -9.575069, 0.021504, 0.026865
3.419997, -9.641139, 0.129391, 0.056873
3.439997, -9.607113, 0.115002, 0.075351
3.459997, -9.536612, -0.049141, 0.068694
3.479997, -9.626502, 0.022641, 0.037302
3.499997, -9.679663, 0.040427, -0.000483
3.519997, -9.649880, -0.040227, 0.142486
3.539997, -9.663708, 0.026436, 0.239051
3.559997, -9.527720, -0.059017, 0.151901
3.579997, -9.542296, 0.014970, 0.140925
3.599997, -9.763116, 0.011930, 0.291793
3.619997, -9.678137, 0.038355, -0.037381
3.639997, -9.726796, 0.091255, -0.129214
3.659997, -9.897637, -0.131698, -0.030010
3.679997, -9.563503, -0.060086, 0.075735
3.699997, -9.679164, 0.067414, 0.178353
3.719997, -9.690759, 0.108968, 0.011380
3.739997, -9.673998, -0.093105, -0.045442
3.759997, -9.779429, -0.082912, 0.139165
3.779997, -9.618049, 0.025557, 0.245316
3.799997, -9.743472, -0.086016, 0.119801
3.819997, -9.494702, 0.002838, 0.139940
3.839997, -9.606199, -0.017097, 0.145711
3.859997, -9.568288, 0.049874, 0.158921
3.879997, -9.756386, -0.071717, 0.059022
3.899997, -9.478765, 0.181122, 0.033290
3.919997, -9.521726, 0.220418, 0.307991
3.939997, -9.539381, -0.094419, 0.120372
3.959997, -9.676870, -0.005059, 0.300877
3.979997, -9.685800, -0.118549, 0.084334
3.999997, -9.685875, -0.061011, 0.076443
4.019997, -9.681217, 0.002238, -0.002052
4.039997, -9.797768, 0.033654, 0.102748
4.059997, -9.831907, 0.106354, 0.118667
4.079997, -9.644229, -0.191057, 0.271499
4.099997, -9.708141, -0.048196, 0.028439
4.119997, -9.641799, -0.162494, 0.074400
4.139997, -9.526279, -0.062438, 0.170688
4.159997, -9.530118, 0.057565, 0.016743
4.179997, -9.570892, -0.102918, 0.084269
4.199997, -9.694771, -0.198079, 0.105155
4.219997, -9.688579, 0.177461, 0.198804
4.239997, -9.687061, 0.108943, 0.231788
4.259997, -9.566993, -0.028248, 0.109200
4.279997, -9.621468, -0.018520, 0.205892
4.299997, -9.651331, -0.043473, 0.113228
4.319997, -9.530612, -0.094941, 0.132708
4.339997, -9.820986, -0.144745, 0.168392
4.359997, -9.691837, 0.122285, 0.125191
4.379997, -9.746048, -0.048808, -0.040486
4.399997, -9.600496, 0.032950, 0.128162
4.419997, -9.558049, -0.014928, -0.035191
4.439997, -9.815679, -0.032855, 0.244739
4.459997, -9.632051, 0.025335, 0.079718
4.479997, -9.581998, 0.014664, 0.189536
4.499997, -9.590097, 0.151078, 0.110693
4.519997, -9.638225, 0.027264, -0.099877
4.539997, -9.750630, -0.045790, 0.008299
4.559997, -9.734783, -0.005843, 0.104572
4.579997, -9.636152, 0.020164, -0.041377
4.599997, -9.736963, -0.024575, 0.121223
4.619997, -9.586396, -0.101135, 0.038611
4.639997, -9.553853, -0.020903, 0.094840
4.659997, -9.531606, 0.005063, 0.227311
4.679996, -9.559175, -0.180434, 0.111927
4.699996, -9.589618, 0.153204, 0.231626
