t_tm, tm1, tm2, tm3
0.000000, -8.587336, -8.218636, 10.349457
0.020000, -8.617311, -8.213064, 10.365372
0.040000, 8.633802, 8.161264, -10.348228
0.060000, -8.550160, -8.257904, 10.352136
0.080000, 8.666667, 8.071798, -10.311472
0.100000, 8.739343, 8.069639, -10.355571
0.120000, 8.761471, 8.064244, -10.359756
0.140000, -8.667907, -8.151133, 10.360207
0.160000, -8.552397, -8.266967, 10.355933
0.180000, -8.567670, -8.174893, 10.310751
0.200000, -8.587317, -8.243065, 10.367490
0.220000, 8.695884, 8.115845, -10.358171
0.240000, -8.526762, -8.274466, 10.348080
0.260000, 8.726651, 8.107596, -10.372359
0.280000, -8.515658, -8.275660, 10.338511
0.300000, 8.750269, 8.047820, -10.346495
0.320000, 8.859422, 7.937811, -10.347448
0.340000, -8.523260, -8.287226, 10.349481
0.360000, -8.556656, -8.274056, 10.363338
0.380000, -8.523793, -8.200912, 10.298246
0.400000, -8.563235, -8.130644, 10.280384
0.420000, -8.601785, -8.194441, 10.344367
0.440000, 8.632866, 8.107177, -10.312715
0.460000, -8.495363, -8.172710, 10.264359
0.480000, -8.428995, -8.374104, 10.344281
0.500000, 8.770009, 8.023802, -10.345312
0.520000, 8.779135, 7.992503, -10.333391
0.540000, 8.809094, 8.007387, -10.360151
0.560000, 1.463269, -6.019042, 2.787548
0.580000, 1.549680, -6.055833, 2.757724
0.600000, 1.599197, -6.151262, 2.785683
0.620000, 1.582645, -6.033411, 2.722600
0.640000, 1.590433, -6.175652, 2.804348
0.660000, 1.621302, -6.220963, 2.813159
0.680000, 1.619475, -6.193169, 2.798797
0.700000, 1.526959, -6.082431, 2.787661
0.720000, 1.596463, -6.037928, 2.719481
0.740000, 1.651700, -6.232310, 2.802979
0.760000, 1.482511, -6.043878, 2.789672
0.780000, 1.560196, -6.056011, 2.750680
0.800000, 1.525442, -6.123684, 2.811797
0.820000, 1.611521, -6.153884, 2.774294
0.840000, 1.624960, -6.205418, 2.802039
0.860000, 1.567247, -6.104469, 2.775623
0.880000, 1.519976, -6.095767, 2.798044
0.900000, 1.671364, -6.235798, 2.793105
0.920000, 1.713807, -6.212458, 2.750358
0.940000, 1.661519, -6.104582, 2.713230
0.960000, 1.679947, -6.205288, 2.768670
0.980000, 1.562567, -6.170751, 2.820413
1.000000, 1.644568, -6.182896, 2.772835
