t_uk, uk1, uk2, uk3
0.000000, -0.002616, -0.000847, -0.001952
0.020000, -0.002300, -0.000294, -0.002518
0.040000, -0.002581, -0.000984, -0.002248
0.060000, -0.002552, -0.000845, -0.001929
0.080000, -0.002662, -0.001013, -0.001763
0.100000, -0.002598, -0.000613, -0.002016
0.120000, -0.002280, -0.001142, -0.001742
0.140000, -0.002986, -0.000366, -0.002180
0.160000, -0.002888, -0.000860, -0.001426
0.180000, -0.002043, -0.000357, -0.001838
0.200000, -0.002809, -0.000940, -0.002230
0.220000, -0.003009, -0.000880, -0.002142
0.240000, -0.002596, -0.000041, -0.002243
0.260000, -0.002385, -0.000021, -0.002237
0.280000, -0.002898, -0.000577, -0.002461
0.300000, -0.002672, -0.000798, -0.002108
0.320000, -0.002466, -0.000777, -0.001802
0.340000, -0.002729, -0.000411, -0.001996
0.360000, -0.002512, -0.001258, -0.002045
0.380000, -0.002393, -0.000874, -0.002569
0.400000, -0.002169, -0.001313, -0.002613
0.420000, -0.002868, -0.000138, -0.002312
0.440000, -0.002991, -0.000565, -0.001678
0.460000, -0.002556, -0.000936, -0.002168
0.480000, -0.002878, -0.000797, -0.001980
0.500000, -0.002272, -0.000356, -0.001918
0.520000, -0.001888, -0.000517, -0.002141
0.540000, -0.002188, -0.001059, -0.002657
0.560000, -0.000073, -0.000183, -0.000219
0.580000, -0.000758, 0.000206, 0.000003
0.600000, -0.000577, 0.000540, -0.000575
0.620000, 0.000315, -0.000038, -0.000403
0.640000, -0.000800, -0.000025, 0.000300
0.660000, 0.000202, 0.000258, -0.000537
0.680000, -0.000418, 0.000350, -0.000458
0.700000, -0.000160, 0.000517, -0.000108
0.720000, -0.000254, 0.000147, 0.000400
0.740000, -0.000391, 0.000531, -0.000153
0.760000, -0.000202, 0.000769, -0.000012
0.780000, -0.000269, 0.000029, -0.000270
0.800000, -0.000628, 0.000461, -0.000638
0.820000, -0.000686, 0.000900, -0.000635
0.840000, -0.000871, 0.000621, -0.000134
0.860000, -0.000114, -0.000099, -0.000356
0.880000, -0.000484, 0.000206, -0.000157
0.900000, -0.000369, 0.000788, 0.000205
0.920000, -0.000510, 0.000391, -0.000294
0.940000, -0.000204, 0.000675, -0.000007
0.960000, -0.000713, 0.000019, -0.000388
0.980000, -0.000487, 0.000584, 0.000079
1.000000, -0.000304, 0.000210, -0.000246
1.020000, -0.000186, -0.000184, -0.000296
1.040000, -0.000167, 0.000097, -0.000500
1.060000, -0.000413, 0.000141, -0.000295
1.080000, -0.000669, 0.000442, -0.000388
1.100000, -0.000577, 0.000463, -0.000128
1.120000, -0.000550, 0.000143, 0.000029
1.140000, -0.000252, 0.000025, -0.000140
1.159999, -0.000185, -0.000409, 0.000555
1.179999, -0.000550, 0.000188, -0.000014
1.199999, -0.000712, 0.000190, 0.000373
1.219999, -0.000856, -0.000021, 0.000114
1.239999, -0.000995, -0.000167, -0.000144
1.259999, -0.000506, -0.000203, 0.000051
1.279999, -0.000407, 0.000395, 0.000359
1.299999, -0.000915, 0.000796, 0.000210
1.319999, -0.000063, 0.000511, -0.000122
1.339999, -0.000530, 0.000050, 0.000030
1.359999, -0.000533, -0.000186, -0.000597
1.379999, -0.000098, 0.000487, -0.000421
1.399999, -0.000253, 0.000971, -0.000998
1.419999, -0.000368, 0.000335, -0.000037
1.439999, -0.000666, -0.000348, -0.000165
1.459999, -0.000246, 0.000486, 0.000037
1.479999, -0.000691, 0.000715, -0.000824
1.499999, -0.000371, 0.000095, -0.000267
1.519999, -0.000720, -0.000135, -0.000183
1.539999, -0.000782, 0.000761, -0.000014
1.559999, -0.000844, -0.000164, 0.000300
1.579999, -0.000710, 0.000665, -0.000586
1.599999, -0.000805, 0.000509, -0.000297
1.619999, -0.000944, -0.000210, -0.000163
1.639999, -0.000460, 0.000810, -0.000370
1.659999, -0.000372, 0.000458, -0.000487
1.679999, -0.000207, 0.001133, -0.000558
1.699999, -0.000311, -0.000677, -0.000320
1.719999, -0.000807, 0.000674, 0.000144
1.739999, -0.000593, 0.000843, 0.000586
1.759999, -0.000463, 0.000379, 0.000142
1.779999, -0.000646, 0.000644, -0.000360
1.799999, -0.000993, 0.000670, -0.000274
1.819999, -0.000600, 0.000179, -0.000385
1.839999, -0.000231, 0.000538, -0.000127
1.859999, -0.000323, -0.000333, -0.000334
1.879999, -0.000730, 0.000187, 0.000743
1.899999, -0.000284, -0.000022, -0.000270
1.919999, -0.000578, -0.000281, 0.000328
1.939999, 0.000032, -0.000414, -0.000215
1.959999, -0.000321, -0.000160, -0.000041
1.979999, -0.000781, 0.000201, -0.000596
1.999999, -0.000460, -0.000093, 0.000028
2.019999, -0.000738, 0.000316, -0.000594
2.039999, -0.000418, 0.000307, -0.000705
2.059999, -0.000621, 0.000789, -0.000362
2.079999, -0.000445, 0.000506, -0.000982
2.099999, -0.000143, 0.000442, -0.000452
2.119999, -0.000231, 0.000290, 0.000373
2.139999, 0.000182, 0.000625, -0.000600
2.159999, -0.000664, 0.000365, -0.000148
2.179999, -0.000305, 0.000447, -0.000224
2.199999, -0.000441, 0.000518, 0.000284
2.219999, -0.000348, 0.000256, -0.000183
2.239999, -0.000388, 0.000005, 0.000331
2.259999, -0.000323, 0.000278, -0.000155
2.279999, -0.000751, 0.000672, 0.000400
2.299999, -0.000873, 0.000437, -0.000180
2.319999, -0.000528, 0.000472, 0.000239
2.339998, -0.000579, 0.000029, -0.000186
2.359998, -0.000461, 0.000349, 0.000146
2.379998, -0.000572, 0.000070, 0.000213
2.399998, -0.000279, 0.000556, -0.000538
2.419998, -0.000464, 0.000315, 0.000374
2.439998, -0.000665, 0.000835, -0.000502
2.459998, -0.000253, 0.000585, 0.000177
2.479998, -0.000298, 0.000359, 0.000330
2.499998, -0.000354, 0.000239, -0.000014
2.519998, -0.000782, 0.000599, -0.000498
2.539998, -0.000184, 0.000096, 0.000289
2.559998, -0.000647, 0.000260, -0.000065
2.579998, -0.000678, 0.001325, 0.000193
2.599998, -0.000580, 0.000583, -0.000355
2.619998, -0.000145, 0.000459, -0.000488
2.639998, -0.000312, 0.000583, -0.000238
2.659998, -0.001127, 0.000715, -0.000572
2.679998, -0.000413, 0.000483, -0.000426
2.699998, -0.000826, 0.000065, -0.000393
2.719998, -0.001131, -0.000284, 0.000063
2.739998, -0.001270, -0.000269, -0.000655
2.759998, -0.000320, 0.000258, -0.000034
2.779998, -0.000593, 0.000461, -0.000200
2.799998, -0.000637, 0.001258, 0.000080
2.819998, -0.000537, 0.000344, -0.001033
2.839998, -0.000164, 0.000644, -0.001120
2.859998, -0.000207, -0.000176, 0.000533
2.879998, -0.000847, 0.000651, -0.000139
2.899998, -0.000276, 0.000909, 0.000011
2.919998, -0.001037, 0.000558, -0.000259
2.939998, -0.000271, 0.001207, -0.000030
2.959998, 0.000176, 0.000452, 0.000127
2.979998, -0.000157, 0.000754, 0.000009
2.999998, -0.001176, 0.000091, -0.000465
3.019998, -0.000596, 0.000567, 0.000327
3.039998, -0.000601, 0.000225, 0.000483
3.059998, -0.000053, -0.000480, 0.000192
3.079998, -0.000212, 0.000607, -0.000309
3.099998, -0.000552, 0.000370, -0.000495
3.119998, -0.000484, 0.000583, -0.000108
3.139998, -0.000807, 0.000464, -0.000132
3.159998, -0.000506, 0.000535, -0.000033
3.179998, -0.000831, 0.000023, -0.000232
3.199998, -0.000391, 0.000967, -0.000629
3.219998, -0.000460, 0.000674, 0.000016
3.239998, -0.000820, 0.000647, 0.000146
3.259998, -0.000302, -0.000025, -0.000134
3.279998, -0.000896, 0.000108, -0.000369
3.299998, -0.000256, 0.000348, -0.000567
3.319998, -0.000370, -0.000115, -0.000574
3.339998, -0.000407, 0.000981, 0.000154
3.359998, -0.000370, 0.000904, -0.000354
3.379997, -0.000143, -0.000162, -0.000267
3.399997, 0.000074, 0.000285, 0.000293
3.419997, -0.000113, 0.000589, -0.000111
3.439997, -0.000636, 0.001093, 0.000034
3.459997, -0.000390, 0.000373, 0.000331
3.479997, -0.001245, 0.000272, -0.000089
3.499997, -0.000700, 0.000328, -0.000543
3.519997, -0.000757, 0.000041, -0.000228
3.539997, -0.000903, -0.000052, -0.000531
3.559997, -0.000109, 0.001929, -0.000320
3.579997, 0.005597, 0.025766, -0.006754
3.599997, 0.005957, 0.018675, -0.004981
3.619997, 0.013509, 0.015230, -0.008850
3.639997, 0.037118, 0.052511, -0.011519
3.659997, 0.390962, -0.018625, 0.023772
3.679997, 0.740082, 0.052468, 0.009697
3.699997, 1.077764, -0.028005, 0.020971
3.719997, 1.224760, 0.063175, -0.011863
3.739997, 1.583815, 0.005752, 0.013011
3.759997, 1.907923, -0.041891, 0.022186
3.779997, 1.986574, 0.002591, 0.024556
3.799997, 1.805235, 0.017620, 0.015159
3.819997, 1.611951, -0.006258, 0.020972
3.839997, 1.404375, 0.050610, -0.003172
3.859997, 1.522747, -0.052846, 0.046812
3.879997, 1.506815, 0.025189, 0.018183
3.899997, 1.735869, -0.031045, 0.029235
3.919997, 1.927136, 0.003010, 0.030422
3.939997, 2.148419, 0.012896, 0.034274
