t_ur, ur1, ur2, ur3
0.000000, 349.901093, 345.480927, 409.136261
0.020000, 349.696869, 346.094177, 409.544678
0.040000, 402.610443, 401.486786, 402.390778
0.060000, 401.997620, 402.099762, 401.573029
0.080000, 402.610596, 402.100067, 401.572998
0.100000, 402.406586, 401.486420, 401.981628
0.120000, 402.610901, 401.078278, 401.778259
0.140000, 402.201935, 401.895416, 402.390717
0.160000, 402.814667, 401.486359, 401.573212
0.180000, 402.814636, 401.691101, 401.777405
0.200000, 402.814728, 400.873444, 401.777679
0.220000, 402.610413, 401.486542, 401.981873
0.240000, 402.814545, 401.485962, 401.777100
0.260000, 402.405884, 401.078125, 401.777832
0.280000, 402.406067, 401.895172, 401.981659
0.300000, 402.610077, 401.486603, 401.369202
0.320000, 402.815063, 401.691193, 401.572601
0.340000, 402.814880, 401.690948, 401.777008
0.360000, 402.610352, 401.282166, 401.572693
0.380000, 402.611084, 401.282043, 401.369110
0.400000, 402.611328, 401.078033, 401.778137
0.420000, 401.793518, 401.282379, 402.390808
0.440000, 402.201447, 401.281708, 401.777435
0.460000, 402.814972, 401.895447, 401.981964
0.480000, 402.610504, 401.486694, 401.572906
0.500000, 402.611084, 401.690979, 401.368439
0.520000, 402.405945, 401.077667, 401.572998
0.540000, 402.201660, 401.486420, 401.982513
0.560000, 402.406525, 401.077728, 401.573212
0.580000, 402.610535, 400.464325, 400.959625
0.600000, 402.814880, 401.690338, 401.573120
0.620000, 402.610596, 401.077576, 400.960052
0.640000, 402.814453, 401.486359, 401.778076
0.660000, 403.018616, 401.486969, 401.777466
0.680000, 402.814789, 401.691040, 401.777100
0.700000, 403.223480, 396.989044, 401.777405
0.720000, 401.588837, 401.076965, 402.390472
0.740000, 402.814606, 401.077759, 401.777130
0.760000, 402.814941, 401.077881, 401.777283
0.780000, 402.814575, 401.486755, 401.777496
0.800000, 401.997498, 401.486328, 401.573425
0.820000, 402.405853, 401.895447, 401.777466
0.840000, 403.019165, 402.100189, 401.369324
0.860000, 402.814240, 401.486481, 401.369110
0.880000, 402.405975, 401.895081, 401.573181
0.900000, 402.202118, 401.282623, 401.777161
0.920000, 402.814789, 401.690948, 401.777405
0.940000, 402.814514, 401.690918, 401.572662
0.960000, 402.814728, 401.895477, 401.368927
0.980000, 403.018402, 401.282562, 401.573395
1.000000, 402.201965, 401.487274, 401.368469
1.020000, 402.406403, 401.486786, 401.164490
1.040000, 402.814728, 401.486267, 401.164612
1.060000, 402.610352, 401.691528, 401.777283
1.080000, 403.018707, 401.486145, 401.572601
1.100000, 402.406097, 401.487335, 402.186462
1.120000, 402.814117, 401.691132, 402.186798
1.140000, 402.610229, 398.624878, 401.573883
1.159999, 401.792847, 401.690918, 401.981750
1.179999, 402.202423, 400.668915, 402.390594
1.199999, 402.610413, 401.486816, 401.777588
1.219999, 402.814667, 401.486450, 401.777832
1.239999, 402.814667, 401.690613, 401.777283
1.259999, 403.018768, 401.282135, 401.573425
1.279999, 402.610474, 401.077637, 401.777557
1.299999, 402.406189, 401.282104, 401.777557
