t_uk, uk1, uk2, uk3
0.000000, -0.002070, -0.000561, -0.001827
0.020000, -0.002008, -0.001071, -0.001877
0.040000, -0.001933, -0.001263, -0.002170
0.060000, -0.001683, -0.001187, -0.001891
0.080000, -0.001766, -0.000910, -0.001622
0.100000, -0.002140, -0.000796, -0.002241
0.120000, -0.001846, -0.000839, -0.002126
0.140000, -0.001871, -0.001146, -0.002007
0.160000, -0.001308, -0.000937, -0.002104
0.180000, -0.001563, -0.000533, -0.001261
0.200000, -0.002024, -0.000788, -0.001571
0.220000, -0.002714, -0.001125, -0.001486
0.240000, -0.001528, -0.001536, -0.001866
0.260000, -0.002559, -0.001309, -0.001808
0.280000, -0.002086, -0.000810, -0.001391
0.300000, -0.002020, -0.000821, -0.001710
0.320000, -0.001912, -0.001206, -0.001505
0.340000, -0.001380, -0.000420, -0.002065
0.360000, -0.002093, -0.000969, -0.002359
0.380000, -0.001912, -0.000725, -0.002080
0.400000, -0.002075, -0.000843, -0.001821
0.420000, -0.001701, -0.000394, -0.001821
0.440000, -0.001554, -0.000865, -0.001817
0.460000, -0.001683, -0.001352, -0.002117
0.480000, -0.002203, -0.001051, -0.001923
0.500000, -0.002298, -0.001100, -0.001812
0.520000, -0.001860, -0.000609, -0.001425
0.540000, -0.002410, -0.000595, -0.001895
0.560000, -0.002368, -0.001052, -0.001854
0.580000, -0.001698, -0.000699, -0.001684
0.600000, -0.002022, -0.000612, -0.001843
0.620000, -0.001682, -0.001000, -0.002239
0.640000, -0.002002, -0.000766, -0.001808
0.660000, -0.002136, -0.000450, -0.002081
0.680000, -0.002231, -0.001375, -0.001627
0.700000, -0.002442, -0.001120, -0.001739
0.720000, -0.001655, -0.001213, -0.002125
0.740000, -0.001817, -0.001608, -0.002200
0.760000, -0.001846, -0.001144, -0.002237
0.780000, -0.002206, -0.000635, -0.001752
0.800000, -0.001978, -0.001067, -0.001618
0.820000, -0.002305, -0.000998, -0.001418
0.840000, -0.002117, -0.000805, -0.002334
0.860000, -0.002180, -0.001027, -0.001532
0.880000, -0.002184, -0.000935, -0.001783
0.900000, -0.002065, -0.001104, -0.002496
0.920000, -0.002210, -0.000704, -0.002030
0.940000, -0.002078, -0.000975, -0.002201
0.960000, -0.001775, -0.001209, -0.001986
0.980000, -0.002543, -0.000590, -0.001650
1.000000, -0.002432, -0.001003, -0.001354
1.020000, -0.001975, -0.000492, -0.002241
1.040000, -0.002004, -0.000496, -0.002054
1.060000, -0.001756, -0.000932, -0.002122
1.080000, -0.002048, 0.000092, -0.002005
1.100000, -0.002255, -0.000914, -0.002269
1.120000, -0.001754, -0.000744, -0.001634
1.140000, -0.002199, -0.000399, -0.001520
1.159999, -0.001499, -0.001117, -0.001798
1.179999, -0.002415, -0.001513, -0.001885
1.199999, -0.002689, -0.000521, -0.002458
1.219999, -0.002848, -0.000886, -0.002086
1.239999, -0.002026, -0.000952, -0.001847
1.259999, -0.002144, -0.000859, -0.002197
1.279999, -0.001818, -0.000750, -0.001887
1.299999, -0.002434, -0.001213, -0.001511
1.319999, -0.001707, -0.001018, -0.001502
1.339999, -0.001886, -0.000977, -0.001613
