t_uk, uk1, uk2, uk3
0.000000, -0.002623, -0.001307, -0.002158
0.020000, -0.002349, -0.001027, -0.002268
0.040000, -0.002341, -0.001067, -0.000983
0.060000, -0.002481, -0.000799, -0.001646
0.080000, -0.001999, -0.001308, -0.001806
0.100000, -0.002692, -0.000864, -0.001439
0.120000, -0.002246, -0.000677, -0.001647
0.140000, -0.002373, -0.000887, -0.001668
0.160000, -0.002033, -0.001095, -0.001546
0.180000, -0.001842, -0.000684, -0.002349
0.200000, -0.002319, -0.000891, -0.001875
0.220000, -0.002710, -0.000384, -0.001987
0.240000, -0.002069, -0.000581, -0.001617
0.260000, -0.002135, -0.000493, -0.001981
0.280000, -0.002336, -0.000820, -0.001464
0.300000, -0.002439, -0.000983, -0.001919
0.320000, -0.001728, -0.001472, -0.001636
0.340000, -0.002115, -0.000755, -0.001890
0.360000, -0.002548, 0.000168, -0.002397
0.380000, -0.002303, -0.001007, -0.002035
0.400000, -0.002370, -0.000549, -0.002075
0.420000, -0.002664, -0.001005, -0.001353
0.440000, -0.002621, -0.001844, -0.001915
0.460000, -0.002324, -0.001452, -0.002250
0.480000, -0.002072, -0.001096, -0.001986
0.500000, -0.002437, -0.000865, -0.001811
0.520000, -0.001817, -0.001182, -0.001594
0.540000, -0.001983, -0.001235, -0.002056
0.560000, -0.002209, -0.001012, -0.002265
0.580000, -0.001868, -0.001152, -0.002719
0.600000, -0.001855, -0.000174, -0.002067
0.620000, -0.001983, -0.001031, -0.002423
0.640000, -0.001813, -0.001286, -0.002371
0.660000, -0.001955, -0.000557, -0.001889
0.680000, -0.002254, -0.000972, -0.001550
0.700000, -0.002361, -0.000307, -0.001429
0.720000, -0.002045, -0.001254, -0.001461
0.740000, -0.002625, -0.001564, -0.002016
0.760000, -0.001924, -0.001047, -0.001435
0.780000, -0.002091, -0.000795, -0.001565
0.800000, -0.002204, -0.001557, -0.001910
0.820000, -0.002615, -0.000517, -0.001767
0.840000, -0.001835, -0.000636, -0.001960
0.860000, -0.002139, -0.001004, -0.001923
0.880000, -0.002370, -0.001164, -0.001715
0.900000, -0.002043, -0.000870, -0.001984
0.920000, -0.001794, -0.000791, -0.001962
0.940000, -0.001716, -0.000865, -0.001681
0.960000, -0.001931, -0.001328, -0.001408
0.980000, -0.002365, -0.000914, -0.001412
1.000000, -0.001859, -0.001371, -0.001343
1.020000, -0.002172, -0.001082, -0.001688
1.040000, -0.001928, -0.000680, -0.001709
1.060000, -0.002485, -0.001065, -0.002663
1.080000, -0.002030, -0.001445, -0.001598
1.100000, -0.002211, -0.001581, -0.001556
1.120000, -0.002233, -0.001383, -0.002207
1.140000, -0.002118, -0.000888, -0.002079
1.159999, -0.002482, -0.000748, -0.001924
1.179999, -0.002256, -0.000630, -0.002060
1.199999, -0.002202, -0.000609, -0.001685
1.219999, -0.001972, -0.000251, -0.001149
1.239999, -0.002171, -0.000497, -0.001710
1.259999, -0.001856, -0.000401, -0.001896
1.279999, -0.002042, -0.000536, -0.001380
1.299999, -0.002134, -0.000868, -0.001754
1.319999, -0.002278, -0.000912, -0.002058
1.339999, -0.001931, -0.000656, -0.001928
1.359999, -0.002646, -0.001333, -0.001599
1.379999, -0.002411, -0.000938, -0.001618
1.399999, -0.001979, -0.000559, -0.001742
1.419999, -0.002190, -0.001653, -0.001782
1.439999, -0.002391, -0.001402, -0.001991
1.459999, -0.002346, -0.001057, -0.001919
1.479999, -0.002220, -0.000494, -0.001223
1.499999, -0.002486, -0.000956, -0.001625
1.519999, -0.002674, -0.001409, -0.002411
1.539999, -0.002210, -0.001051, -0.001939
